代码	名称	涨幅%%	涨速%%	细分行业	买量	最低	未匹配量	卖价	总量	现量	换手%%	振幅%%	最高	现价	每股收益	市盈(动)	总金额	量比	流通市值	地区	今开	均价	内盘	外盘	内外比	买价	卖量	强弱度%%	
300279	和晶科技	9.98	0.00	元器件	142906	6.39	--  	--  	53453	414	          1.71	0.00	6.39	6.39	-0.089㈢	--  	34156524	  0.28	         19.97亿	江苏	6.39	6.39	43221	10232	  4.22	6.39	0	  7.62	
600100	同方股份	9.28	-0.08	电脑设备	1542	10.52	--  	11.20	613050	3001	          2.07	7.23	11.26	11.19	-0.193㈢	--  	679055552	  3.44	        331.66亿	北京	10.52	11.08	255934	357115	  0.72	11.19	1809	  8.16	
002421	达实智能	5.29	0.46	软件服务	3000	4.14	--  	4.38	806016	11095	          4.75	8.41	4.49	4.38	0.082㈢	    40.10	348085504	  1.87	         74.28亿	深圳	4.18	4.32	354979	451036	  0.79	4.37	1965	  2.92	
300310	宜通世纪	4.95	0.16	通信设备	689	6.00	--  	6.36	952505	11806	         15.16	9.08	6.55	6.36	-0.645㈢	--  	595671232	  1.20	         39.96亿	广东	6.17	6.25	448972	503533	  0.89	6.35	745	  2.59	
002761	多喜爱	4.92	0.29	纺织	609	16.38	--  	17.29	168917	2411	          8.32	9.65	17.97	17.28	0.146㈢	    88.79	290190080	  1.11	         35.07亿	湖南	16.39	17.18	79199	89717	  0.88	17.28	137	  2.55	
002139	拓邦股份	4.81	0.18	元器件	4049	5.42	--  	5.66	492331	2170	          6.28	6.30	5.76	5.66	0.200㈢	    22.25	277222240	  1.45	         44.38亿	深圳	5.45	5.63	225113	267218	  0.84	5.65	5887	  2.45	
002121	科陆电子	4.47	0.75	电器仪表	1031	5.20	--  	5.37	197683	5183	          2.18	3.50	5.38	5.37	0.014㈢	   286.34	104918840	  1.14	         48.63亿	深圳	5.25	5.31	93226	104457	  0.89	5.36	181	  2.11	
000671	阳 光 城	4.30	0.00	区域地产	744	7.02	--  	7.28	587811	3472	          1.48	7.02	7.51	7.28	0.390㈢	    13.99	429126752	  1.10	        289.15亿	福建	7.02	7.30	283770	304040	  0.93	7.27	1466	  1.93	
002528	英飞拓	3.71	0.68	电脑设备	18	4.37	--  	4.47	229215	3113	          2.65	4.87	4.58	4.47	0.060㈢	    61.05	102508432	  1.23	         38.63亿	深圳	4.38	4.47	118730	110484	  1.07	4.46	1423	  1.35	
002706	良信电器	3.14	0.16	电气设备	357	6.07	--  	6.25	138321	795	          2.54	5.45	6.40	6.25	0.280㈢	    16.75	86508272	  1.31	         33.97亿	上海	6.07	6.25	62769	75551	  0.83	6.24	252	  0.77	
300312	邦讯技术	2.86	0.11	通信设备	647	8.85	--  	9.00	274819	1636	         14.36	4.00	9.20	9.00	-0.034㈢	--  	248831792	  1.17	         17.22亿	北京	8.85	9.05	124227	150591	  0.82	8.99	1957	  0.49	
002681	奋达科技	2.81	0.21	家用电器	1771	4.65	--  	4.76	372420	1410	          3.37	4.33	4.85	4.75	0.160㈢	    28.08	177957936	  1.08	         52.48亿	深圳	4.65	4.78	161913	210506	  0.77	4.75	1079	  0.45	
300247	融捷健康	2.65	0.00	医疗保健	1248	3.78	--  	3.87	403836	1831	          6.60	5.04	3.97	3.87	0.057㈢	    51.30	157174528	  1.21	         23.69亿	安徽	3.82	3.89	191882	211954	  0.91	3.86	7217	  0.29	
300423	鲁亿通	2.46	0.25	电气设备	240	27.36	--  	27.96	85246	550	          7.80	6.74	29.20	27.95	1.230㈢	    18.25	241265152	  1.55	         30.56亿	山东	27.78	28.30	43650	41595	  1.05	27.95	109	  0.09	
000938	紫光股份	2.34	-0.07	软件服务	402	39.49	--  	39.88	142723	909	          4.95	3.93	41.02	39.86	0.796㈢	    37.53	574379136	  1.33	        115.00亿	北京	39.76	40.24	67854	74869	  0.91	39.86	530	 -0.03	
300007	汉威科技	2.21	0.00	电器仪表	252	11.50	--  	11.58	187856	1398	          8.28	7.33	12.33	11.58	0.309㈢	    28.10	222564176	  1.35	         26.28亿	河南	11.85	11.85	98756	89099	  1.11	11.57	170	 -0.16	
