代码	名称	涨幅%%	涨速%%	细分行业	买量	最低	未匹配量	卖价	总量	现量	换手%%	振幅%%	最高	现价	每股收益	市盈(动)	总金额	量比	流通市值	地区	今开	均价	内盘	外盘	内外比	买价	卖量	强弱度%%	
002903	宇环数控	10.02	0.00	机床制造	4249	18.22	--  	--  	187012	173	         28.34	10.29	20.10	20.10	0.284㈢	    53.08	366120704	  2.55	         13.27亿	湖南	18.39	19.58	106717	80294	  1.33	20.10	0	  7.65	
603656	泰禾光电	10.01	0.00	专用机械	9724	16.70	--  	--  	35796	115	          5.65	8.68	18.13	18.13	0.441㈢	    30.84	64094768	  2.37	         11.48亿	安徽	16.74	17.91	25858	9937	  2.60	18.13	0	  8.89	
600775	南京熊猫	10.01	0.00	通信设备	13948	10.16	--  	--  	743171	599	         11.06	10.30	11.21	11.21	0.089㈢	    94.59	816658688	  1.31	         75.31亿	江苏	10.38	10.99	424959	318211	  1.34	11.21	0	  8.89	
300278	华昌达	10.00	0.00	专用机械	123031	7.37	--  	--  	3164	3	          0.12	0.00	7.37	7.37	0.008㈢	   668.35	2331883	  0.04	         19.76亿	湖北	7.37	7.37	2831	333	  8.50	7.37	0	  7.64	
300280	紫天科技	10.00	0.00	专用机械	16125	38.31	--  	--  	36019	31	          2.81	11.54	42.80	42.80	0.383㈢	    83.79	146234896	  1.52	         54.78亿	江苏	39.00	40.60	19669	16350	  1.20	42.80	0	  7.63	
601608	中信重工	9.98	0.00	专用机械	99886	4.40	--  	--  	1583529	2889	          3.65	7.89	4.74	4.74	0.020㈢	   218.01	736953472	  2.05	        205.69亿	河南	4.54	4.65	841305	742224	  1.13	4.74	0	  8.86	
300400	劲拓股份	7.38	0.14	专用机械	58	20.20	--  	21.41	147098	565	          9.23	8.63	21.92	21.40	0.300㈢	    53.92	310141120	  1.42	         34.10亿	深圳	20.50	21.08	62165	84932	  0.73	21.40	50	  5.01	
002577	雷柏科技	6.61	0.39	电脑设备	334	12.02	--  	12.75	119735	3074	          4.26	7.19	12.88	12.75	0.065㈢	   147.26	147455760	  1.76	         35.86亿	深圳	12.02	12.32	51404	68330	  0.75	12.74	977	  4.24	
600172	黄河旋风	6.23	0.47	矿物制品	5850	4.02	--  	4.27	1064048	9776	          9.30	7.73	4.33	4.26	0.070㈢	    45.66	443104544	  1.68	         48.76亿	河南	4.02	4.16	486986	577061	  0.84	4.26	2899	  5.11	
300126	锐奇股份	5.46	0.17	轻工机械	993	5.52	--  	5.80	239022	1634	         11.35	9.47	6.04	5.79	-0.074㈢	--  	138944816	  2.37	         12.20亿	上海	5.55	5.81	121594	117428	  1.04	5.79	2378	  3.10	
300076	GQY视讯	5.33	0.78	电脑设备	160	5.02	--  	5.15	307140	8560	          8.04	3.69	5.20	5.14	0.078㈢	    49.36	156403424	  1.38	         19.63亿	浙江	5.04	5.09	128735	178404	  0.72	5.14	2218	  2.96	
000961	中南建设	5.21	0.24	建筑施工	229	7.76	--  	8.28	791296	3524	          2.14	8.77	8.45	8.28	0.342㈢	    18.18	647502912	  1.33	        306.35亿	江苏	7.83	8.18	398056	393239	  1.01	8.27	4834	  2.85	
002008	大族激光	4.97	0.65	电器仪表	7	40.23	--  	42.00	388593	1994	          3.91	5.92	42.60	42.00	1.550㈢	    20.29	1618060672	  1.38	        417.19亿	深圳	40.25	41.64	208377	180215	  1.16	41.99	1023	  2.61	
002139	拓邦股份	4.81	0.18	元器件	4049	5.42	--  	5.66	492331	2170	          6.28	6.30	5.76	5.66	0.200㈢	    22.25	277222240	  1.45	         44.38亿	深圳	5.45	5.63	225113	267218	  0.84	5.65	5887	  2.45	
002917	金奥博	4.31	0.61	化工原料	1602	27.70	--  	29.51	124559	2953	         36.79	6.36	29.50	29.50	0.443㈢	    49.99	357335936	  1.97	          9.99亿	深圳	27.74	28.69	64123	60435	  1.06	29.50	92	  1.95	
600885	宏发股份	4.15	1.24	电气设备	18	25.59	--  	26.84	67908	367	          0.91	5.47	27.00	26.84	0.790㈢	    25.48	180707024	  1.39	        199.89亿	湖北	25.81	26.61	31601	36306	  0.87	26.83	14	  3.03	
300479	神思电子	3.86	0.52	软件服务	46	17.25	--  	17.50	139301	1487	          8.71	5.88	18.24	17.50	0.039㈢	   339.99	246892224	  0.97	         28.00亿	山东	17.54	17.72	63393	75907	  0.84	17.49	37	  1.49	
