代码	名称	涨幅%%	涨速%%	细分行业	买量	最低	未匹配量	卖价	总量	现量	换手%%	振幅%%	最高	现价	每股收益	市盈(动)	总金额	量比	流通市值	地区	今开	均价	内盘	外盘	内外比	买价	卖量	强弱度%%	
002112	三变科技	10.03	0.00	电气设备	46674	7.33	--  	--  	122510	7	          6.67	1.92	7.46	7.46	-0.223㈢	--  	91335696	  2.39	         13.71亿	浙江	7.46	7.46	108318	14191	  7.63	7.46	0	  7.66	
300491	通合科技	10.02	0.00	电气设备	18745	16.56	--  	--  	69985	67	         12.23	10.02	18.22	18.22	0.022㈢	   611.71	123142280	  1.53	         10.43亿	河北	16.56	17.60	31341	38644	  0.81	18.22	0	  7.66	
601700	风范股份	10.02	0.00	电气设备	9064	8.15	--  	--  	1574180	11557	         13.89	12.77	9.22	9.22	0.035㈢	   195.94	1384298240	  1.34	        104.48亿	江苏	8.41	8.79	758828	815352	  0.93	9.22	0	  8.90	
300069	金利华电	10.00	0.00	电气设备	60030	12.94	--  	--  	35391	138	          3.83	10.46	14.30	14.30	-0.104㈢	--  	48235756	  1.17	         13.21亿	浙江	13.03	13.63	17035	18356	  0.93	14.30	0	  7.64	
002356	赫美集团	9.97	0.00	其他商业	295341	7.06	--  	--  	8141	12	          0.17	0.00	7.06	7.06	-0.473㈢	--  	5747758	  0.08	         33.90亿	深圳	7.06	7.06	6531	1610	  4.06	7.06	0	  7.60	
002123	梦网集团	7.83	-0.47	互联网	43	11.63	--  	12.40	564913	5777	          8.75	8.87	12.65	12.40	0.188㈢	    49.49	689967744	  1.28	         80.03亿	深圳	11.70	12.21	284441	280472	  1.01	12.39	2328	  5.46	
300365	恒华科技	6.53	-0.32	软件服务	190	23.20	--  	24.48	95960	923	          4.39	7.84	25.00	24.47	0.274㈢	    67.08	231273792	  1.43	         53.49亿	北京	23.20	24.10	44065	51894	  0.85	24.47	103	  4.17	
002121	科陆电子	4.47	0.75	电器仪表	1031	5.20	--  	5.37	197683	5183	          2.18	3.50	5.38	5.37	0.014㈢	   286.34	104918840	  1.14	         48.63亿	深圳	5.25	5.31	93226	104457	  0.89	5.36	181	  2.11	
300356	光一科技	4.24	0.38	电气设备	1537	7.55	--  	7.87	393070	4362	         10.66	7.69	8.13	7.86	0.055㈢	   107.70	307573984	  0.85	         28.99亿	江苏	7.66	7.82	185013	208056	  0.89	7.86	522	  1.88	
600885	宏发股份	4.15	1.24	电气设备	18	25.59	--  	26.84	67908	367	          0.91	5.47	27.00	26.84	0.790㈢	    25.48	180707024	  1.39	        199.89亿	湖北	25.81	26.61	31601	36306	  0.87	26.83	14	  3.03	
002028	思源电气	4.06	-0.07	电气设备	390	11.56	--  	12.06	312827	2824	          5.39	5.95	12.25	12.06	0.315㈢	    28.69	373443232	  1.72	         69.97亿	上海	11.65	11.94	142462	170364	  0.84	12.05	119	  1.69	
002184	海得控制	3.64	-0.35	软件服务	652	10.76	--  	11.10	147232	1948	         10.84	8.68	11.69	11.10	-0.203㈢	--  	164658560	  1.45	         15.08亿	上海	10.76	11.18	67397	79834	  0.84	11.09	37	  1.28	
603666	亿嘉和	3.38	-0.10	专用机械	504	53.00	--  	54.45	35630	292	         14.51	6.27	56.30	54.40	0.914㈢	    44.62	194425536	  1.13	         13.36亿	江苏	53.10	54.57	17388	18242	  0.95	54.40	5	  2.26	
600406	国电南瑞	3.29	0.00	软件服务	490	18.90	--  	19.17	531743	3514	          2.08	3.99	19.64	19.17	0.520㈢	    28.46	1026720576	  1.40	        489.45亿	江苏	18.90	19.31	299738	232004	  1.29	19.16	177	  2.17	
300513	恒实科技	2.95	0.39	软件服务	150	24.92	--  	25.47	48939	176	          7.95	5.38	26.25	25.45	0.500㈢	    43.80	125653128	  1.31	         15.68亿	北京	24.93	25.68	24847	24092	  1.03	25.45	3	  0.59	
300001	特锐德	2.80	-0.23	电气设备	268	24.18	--  	24.57	242963	1899	          2.63	6.49	25.73	24.57	0.144㈢	   127.96	605742912	  1.49	        227.20亿	山东	24.20	24.93	118675	124288	  0.95	24.56	80	  0.44	
600525	长园集团	2.62	0.14	电气设备	4221	6.91	--  	7.07	1272460	8316	          9.74	4.80	7.24	7.06	0.980㈢	     5.49	900597120	  0.81	         92.19亿	深圳	6.95	7.08	677358	595101	  1.14	7.06	2707	  1.49	
002074	国轩高科	2.57	0.23	电气设备	390	17.10	--  	17.53	409963	3262	          4.07	6.14	18.15	17.53	0.580㈢	    22.68	726047040	  1.46	        176.75亿	江苏	17.16	17.71	180859	229103	  0.79	17.52	1093	  0.21	
002169	智光电气	2.24	-0.21	电气设备	222	4.47	--  	4.57	304357	1085	          4.05	5.83	4.73	4.56	0.106㈢	    32.22	139572256	  1.31	         34.24亿	广东	4.52	4.59	155072	149285	  1.04	4.56	1425	 -0.12	
000400	许继电气	2.01	0.00	电气设备	154	11.00	--  	11.16	298323	2045	          2.96	3.84	11.42	11.16	0.154㈢	    54.31	335641760	  1.23	        112.51亿	河南	11.00	11.25	153164	145159	  1.06	11.15	1144	 -0.35	
300514	友讯达	1.93	0.24	通信设备	571	12.55	--  	12.71	77616	653	          8.59	3.05	12.93	12.70	0.119㈢	    79.71	98976024	  1.28	         11.47亿	深圳	12.60	12.75	37058	40557	  0.91	12.70	188	 -0.44	
300682	朗新科技	1.70	0.73	软件服务	439	19.03	--  	19.20	61822	988	          3.76	4.72	19.92	19.19	-0.250㈢	--  	120350816	  1.01	         31.51亿	江苏	19.35	19.47	31982	29840	  1.07	19.19	78	 -0.67	
600973	宝胜股份	1.61	0.00	电气设备	965	4.36	--  	4.43	163532	1761	          1.34	4.37	4.55	4.42	0.094㈢	    35.31	72696880	  1.21	         54.02亿	江苏	4.36	4.45	70719	92813	  0.76	4.42	757	  0.49	
603577	汇金通	1.60	0.19	钢加工	32	10.63	--  	10.77	41025	244	          5.29	2.74	10.92	10.77	0.148㈢	    54.64	44378600	  0.85	          8.35亿	山东	10.64	10.82	20877	20147	  1.04	10.76	8	  0.48	
600112	天成控股	1.56	0.22	电气设备	1127	4.43	--  	4.56	461584	3927	          9.06	4.69	4.64	4.55	0.160㈢	    21.36	209144384	  1.05	         23.17亿	贵州	4.53	4.53	235147	226437	  1.04	4.55	980	  0.44	
