代码	名称	涨幅%%	涨速%%	细分行业	买量	最低	未匹配量	卖价	总量	现量	换手%%	振幅%%	最高	现价	每股收益	市盈(动)	总金额	量比	流通市值	地区	今开	均价	内盘	外盘	内外比	买价	卖量	强弱度%%	
600839	四川长虹	10.10	0.00	家用电器	319825	3.13	--  	--  	880363	3236	          1.91	1.05	3.16	3.16	0.044㈢	    53.35	277916064	  1.01	        145.81亿	四川	3.13	3.16	753051	127312	  5.92	3.16	0	  8.98	
300104	乐视网	10.04	0.00	互联网	438144	2.71	--  	--  	2830584	10488	          9.21	9.29	2.96	2.96	-0.373㈢	--  	804969664	  1.07	         90.97亿	北京	2.71	2.84	1460273	1370311	  1.07	2.96	0	  7.67	
600060	海信电器	10.01	0.00	家用电器	179706	10.66	--  	--  	110479	86	          0.84	0.00	10.66	10.66	0.278㈢	    28.72	117770144	  0.49	        139.48亿	山东	10.66	10.66	101040	9438	 10.71	10.66	0	  8.89	
300079	数码科技	10.00	0.00	通信设备	617405	4.62	--  	--  	109926	330	          0.91	0.00	4.62	4.62	0.059㈢	    59.04	50785928	  0.20	         55.86亿	北京	4.62	4.62	96424	13502	  7.14	4.62	0	  7.64	
000810	创维数字	9.96	0.00	家用电器	110382	8.39	--  	--  	48994	1394	          0.50	0.00	8.39	8.39	0.220㈢	    29.36	41105580	  0.22	         81.42亿	四川	8.39	8.39	43227	5766	  7.50	8.39	0	  7.60	
002519	银河电子	9.93	0.00	通信设备	56737	4.23	--  	--  	789252	522	          9.49	4.96	4.43	4.43	0.117㈢	    28.38	346985280	  2.12	         36.84亿	江苏	4.31	4.40	567976	221275	  2.57	4.43	0	  7.56	
000156	华数传媒	5.96	0.09	影视音像	391	10.55	--  	10.68	250282	2182	          1.95	4.47	11.00	10.67	0.337㈢	    23.76	268807840	  1.92	        136.61亿	浙江	10.70	10.74	134064	116218	  1.15	10.67	479	  3.59	
002052	同洲电子	4.86	-0.20	通信设备	3154	4.51	--  	4.76	652022	4996	          8.74	10.38	4.98	4.75	-0.092㈢	--  	318067616	  2.06	         35.43亿	深圳	4.95	4.88	338606	313415	  1.08	4.75	2734	  2.49	
300431	暴风集团	4.52	-0.30	互联网	129	9.55	--  	9.73	421838	3507	         16.88	7.31	10.23	9.72	-0.710㈢	--  	420115168	  1.67	         24.29亿	北京	10.00	9.96	235452	186385	  1.26	9.72	204	  2.15	
002429	兆驰股份	4.30	0.00	家用电器	14687	2.89	--  	2.91	1232116	6157	          3.10	6.45	3.07	2.91	0.079㈢	    27.73	365148032	  1.16	        115.61亿	深圳	2.97	2.96	632883	599232	  1.06	2.90	2973	  1.94	
300128	锦富技术	3.88	-0.19	元器件	796	4.70	--  	5.10	1461790	17309	         13.72	12.45	5.31	5.09	-0.014㈢	--  	726079040	  1.12	         54.24亿	江苏	4.91	4.97	679669	782121	  0.87	5.09	5639	  1.51	
600637	东方明珠	2.75	0.08	影视音像	768	11.90	--  	11.96	412139	3522	          1.21	4.81	12.46	11.96	0.440㈢	    20.38	498765184	  1.74	        408.37亿	上海	12.21	12.10	215235	196904	  1.09	11.95	381	  1.63	
002241	歌尔股份	2.26	0.11	元器件	1258	8.96	--  	9.06	614745	4357	          2.26	3.28	9.25	9.05	0.264㈢	    25.73	558526336	  1.05	        246.56亿	山东	8.98	9.09	304523	310222	  0.98	9.05	1078	 -0.10	
300133	华策影视	1.25	0.00	影视音像	565	8.03	--  	8.12	239306	1326	          1.73	3.87	8.34	8.11	0.201㈢	    30.32	195611728	  0.88	        112.11亿	浙江	8.09	8.17	122622	116684	  1.05	8.11	203	 -1.12	
数据来源:通达信
