代码	名称	涨幅%%	涨速%%	细分行业	买量	最低	未匹配量	卖价	总量	现量	换手%%	振幅%%	最高	现价	每股收益	市盈(动)	总金额	量比	流通市值	地区	今开	均价	内盘	外盘	内外比	买价	卖量	强弱度%%	
002512	达华智能	8.54	1.42	元器件	264	5.25	--  	5.73	761013	11084	          8.62	10.44	5.80	5.72	-0.368㈢	--  	423397440	  1.57	         50.52亿	福建	5.25	5.56	329153	431859	  0.76	5.72	785	  6.17	
002273	水晶光电	7.10	0.69	元器件	141	12.35	--  	13.12	569146	5654	          7.00	8.49	13.39	13.12	0.470㈢	    20.97	726853440	  1.73	        106.65亿	浙江	12.49	12.77	258807	310339	  0.83	13.11	4908	  4.74	
002217	合力泰	5.13	0.40	元器件	7065	7.26	--  	7.58	2162561	29375	          8.44	6.10	7.70	7.58	0.381㈢	    14.91	1621293184	  1.37	        194.15亿	山东	7.26	7.50	960298	1202262	  0.80	7.57	10649	  2.77	
000670	盈方微	3.91	0.00	元器件	756	3.91	--  	4.00	768200	6036	         12.81	5.21	4.11	3.99	-0.070㈢	--  	308547168	  1.33	         23.92亿	湖北	3.93	4.02	317689	450511	  0.71	3.99	8829	  1.54	
002055	得润电子	3.42	0.00	元器件	303	13.43	--  	13.92	197128	1607	          4.63	7.88	14.49	13.91	0.182㈢	    57.19	274360416	  1.31	         59.24亿	深圳	13.45	13.92	93460	103667	  0.90	13.91	357	  1.06	
002230	科大讯飞	2.90	0.03	软件服务	1929	36.37	--  	36.87	952582	5525	          5.23	4.55	38.00	36.87	0.110㈢	   264.09	3547937792	  0.97	        671.87亿	安徽	37.30	37.25	481867	470714	  1.02	36.86	90	  0.54	
300312	邦讯技术	2.86	0.11	通信设备	647	8.85	--  	9.00	274819	1636	         14.36	4.00	9.20	9.00	-0.034㈢	--  	248831792	  1.17	         17.22亿	北京	8.85	9.05	124227	150591	  0.82	8.99	1957	  0.49	
002681	奋达科技	2.81	0.21	家用电器	1771	4.65	--  	4.76	372420	1410	          3.37	4.33	4.85	4.75	0.160㈢	    28.08	177957936	  1.08	         52.48亿	深圳	4.65	4.78	161913	210506	  0.77	4.75	1079	  0.45	
600584	长电科技	2.46	0.51	半导体	1301	13.32	--  	13.76	775643	7349	          7.49	7.45	14.32	13.75	0.011㈢	   946.01	1068596288	  1.03	        142.44亿	江苏	13.65	13.78	379338	396305	  0.96	13.75	117	  1.34	
600083	博信股份	2.44	-0.26	建筑施工	6	17.87	--  	18.48	57958	159	          2.54	6.54	19.05	18.47	0.065㈢	   214.61	106897560	  1.96	         42.11亿	江苏	18.00	18.44	23964	33993	  0.70	18.47	7	  1.32	
002362	汉王科技	2.43	0.17	电脑设备	384	17.02	--  	17.31	129944	901	          7.31	4.80	17.83	17.30	0.124㈢	   104.95	226777440	  0.89	         30.75亿	北京	17.10	17.45	64168	65775	  0.98	17.30	48	  0.06	
002241	歌尔股份	2.26	0.11	元器件	1258	8.96	--  	9.06	614745	4357	          2.26	3.28	9.25	9.05	0.264㈢	    25.73	558526336	  1.05	        246.56亿	山东	8.98	9.09	304523	310222	  0.98	9.05	1078	 -0.10	
300216	千山药机	2.18	-0.20	医疗保健	2853	4.44	--  	4.70	717584	4695	         25.48	10.46	4.92	4.69	-1.117㈢	--  	332579104	  1.33	         13.21亿	湖南	4.44	4.63	345434	372149	  0.93	4.69	2904	 -0.19	
300327	中颖电子	2.17	-0.12	半导体	65	23.12	--  	23.52	83350	654	          3.63	4.00	24.04	23.51	0.525㈢	    33.61	197115552	  1.31	         53.91亿	上海	23.47	23.65	37377	45972	  0.81	23.51	103	 -0.19	
300236	上海新阳	2.14	-0.12	半导体	183	29.88	--  	30.01	126487	850	          6.65	5.17	31.40	30.01	-0.013㈢	--  	387113472	  1.09	         57.08亿	上海	31.00	30.60	64900	61587	  1.05	30.00	401	 -0.22	
002618	丹邦科技	1.95	-0.50	元器件	1205	15.50	--  	15.65	228220	4368	          4.17	5.47	16.34	15.65	0.046㈢	   255.89	364657536	  1.52	         85.75亿	深圳	15.68	15.98	124260	103959	  1.20	15.64	45	 -0.41	
300134	大富科技	1.76	0.35	通信设备	1329	13.90	--  	14.46	460497	3837	          6.46	7.46	14.96	14.45	-0.091㈢	--  	667980992	  1.04	        102.94亿	深圳	14.15	14.51	217907	242590	  0.90	14.45	74	 -0.60	
002288	超华科技	1.75	0.17	元器件	2915	5.72	--  	5.82	777808	7087	          9.72	5.25	6.02	5.81	0.044㈢	    99.76	457803936	  0.80	         46.50亿	广东	5.74	5.89	384539	393269	  0.98	5.81	1189	 -0.61	
002280	联络互动	1.57	0.22	软件服务	134	4.49	--  	4.54	578363	3345	          3.38	3.36	4.64	4.53	0.065㈢	    52.36	264294640	  1.12	         77.55亿	浙江	4.51	4.57	297310	281053	  1.06	4.53	1395	 -0.79	
300686	智动力	1.51	-0.16	元器件	531	11.31	--  	11.44	83349	939	          9.46	5.15	11.89	11.43	0.046㈢	   184.80	96430840	  1.15	         10.07亿	深圳	11.34	11.57	43090	40259	  1.07	11.43	266	 -0.85	
000636	风华高科	1.37	0.00	元器件	6058	13.79	--  	14.11	972484	8593	         10.86	5.10	14.50	14.10	0.992㈢	    10.66	1383172224	  0.93	        126.22亿	广东	14.08	14.22	490776	481707	  1.02	14.10	1319	 -1.00	
002635	安洁科技	1.31	0.07	电脑设备	2232	14.50	--  	14.71	259443	1570	          7.09	3.99	15.08	14.71	0.570㈢	    19.11	383059104	  1.06	         53.82亿	江苏	14.52	14.76	130104	129338	  1.01	14.70	53	 -1.06	
002655	共达电声	1.11	0.14	元器件	282	7.20	--  	7.29	109984	1227	          3.06	3.61	7.46	7.28	0.012㈢	   463.67	80672000	  0.94	         26.21亿	山东	7.26	7.33	53707	56276	  0.95	7.28	207	 -1.25	
300184	力源信息	1.09	0.39	元器件	108	10.12	--  	10.24	222003	2110	          7.17	4.05	10.53	10.24	0.466㈢	    16.49	229346208	  1.07	         31.72亿	湖北	10.30	10.33	105341	116662	  0.90	10.23	115	 -1.28	
300101	振芯科技	1.06	0.35	通信设备	2374	11.23	--  	11.41	260461	2930	          4.74	3.81	11.66	11.40	0.048㈢	   179.92	297396160	  1.05	         62.66亿	四川	11.38	11.42	136470	123991	  1.10	11.40	199	 -1.30	
300223	北京君正	0.94	0.00	半导体	78	25.70	--  	25.90	127286	1500	         10.62	8.50	27.88	25.90	0.104㈢	   187.44	335693216	  1.42	         31.05亿	北京	27.24	26.37	65051	62234	  1.05	25.89	220	 -1.43	
002313	日海智能	0.92	0.16	通信设备	33	25.18	--  	25.26	99396	1089	          3.19	4.80	26.38	25.25	0.331㈢	    57.29	254947392	  1.28	         78.78亿	深圳	26.01	25.65	51177	48218	  1.06	25.25	24	 -1.45	
300562	乐心医疗	0.91	0.50	医疗保健	335	11.95	--  	12.14	64527	442	          7.58	3.74	12.40	12.14	0.090㈢	    98.51	78456768	  1.05	         10.33亿	广东	12.00	12.16	32655	31872	  1.02	12.13	465	 -1.45	
300061	康旗股份	0.81	0.57	医疗保健	373	8.67	--  	8.76	77194	394	          2.81	3.80	9.00	8.75	0.329㈢	    19.96	68194024	  0.91	         24.01亿	上海	8.77	8.83	42844	34350	  1.25	8.75	164	 -1.56	
300709	精研科技	0.79	0.13	元器件	43	31.63	--  	31.90	13036	100	          2.30	2.75	32.50	31.90	0.211㈢	   113.13	41802892	  0.65	         18.05亿	江苏	31.95	32.07	6891	6144	  1.12	31.89	159	 -1.57	
002579	中京电子	0.73	0.18	元器件	225	10.91	--  	11.02	167125	1362	          4.82	3.48	11.29	11.01	0.159㈢	    52.01	185878032	  0.97	         38.19亿	广东	11.05	11.12	86910	80214	  1.08	11.01	919	 -1.63	
300053	欧比特	0.66	0.09	半导体	80	10.57	--  	10.69	252967	2620	          5.07	5.66	11.17	10.68	0.140㈢	    61.48	274107616	  1.10	         53.28亿	广东	11.08	10.84	141191	111775	  1.26	10.68	279	 -1.70	
002721	金一文化	0.47	0.15	服饰	1895	6.40	--  	6.47	238934	2767	          3.98	3.88	6.65	6.47	0.013㈢	   384.62	155427696	  0.88	         38.82亿	北京	6.42	6.51	114541	124392	  0.92	6.46	88	 -1.90	
002870	香山股份	0.43	0.35	电器仪表	130	24.50	--  	25.90	118579	897	         29.56	9.31	26.90	25.89	0.216㈢	    90.07	304521824	  1.81	         10.39亿	广东	25.30	25.68	60659	57920	  1.05	25.89	38	 -1.94	
600345	长江通信	0.33	-0.23	通信设备	449	24.21	--  	24.60	100660	978	          5.08	4.20	25.24	24.59	1.089㈢	    16.94	250353856	  1.18	         48.69亿	湖北	24.66	24.87	54623	46037	  1.19	24.59	2	 -0.80	
002432	九安医疗	0.31	0.15	医疗保健	1609	6.35	--  	6.54	256485	2118	          5.93	4.76	6.66	6.53	-0.160㈢	--  	167743968	  1.19	         28.26亿	天津	6.40	6.54	143183	113301	  1.26	6.53	613	 -2.06	
300246	宝莱特	0.29	0.29	医疗保健	224	13.66	--  	13.80	43162	146	          4.01	2.84	14.05	13.79	0.341㈢	    30.32	59704208	  1.13	         14.86亿	广东	13.80	13.83	23327	19834	  1.18	13.79	10	 -2.07	
002027	分众传媒	0.29	0.00	影视音像	18789	6.84	--  	6.90	3253209	22605	          2.22	4.65	7.16	6.90	0.328㈢	    15.79	2272379392	  1.41	       1012.77亿	广东	6.97	6.99	1694200	1559009	  1.09	6.89	3637	 -2.07	
000026	飞亚达Ａ	0.23	-0.11	其他商业	81	8.55	--  	8.59	46963	110	          1.32	3.85	8.88	8.59	0.370㈢	    17.54	40690180	  1.39	         30.64亿	深圳	8.58	8.66	23624	23339	  1.01	8.58	384	 -2.13	
002603	以岭药业	0.00	0.00	中成药	94	12.31	--  	12.46	155622	1001	          1.57	3.29	12.72	12.45	0.466㈢	    20.05	195304976	  1.22	        123.18亿	河北	12.47	12.55	82055	73567	  1.12	12.45	1741	 -2.36	
300032	金龙机电	-0.27	0.54	元器件	3236	3.67	--  	3.71	595525	3557	          7.54	5.91	3.89	3.71	-1.935㈢	--  	223560160	  1.23	         29.29亿	浙江	3.71	3.75	320438	275087	  1.16	3.70	2589	 -2.63	
601231	环旭电子	-0.49	-0.07	元器件	193	12.09	--  	12.16	216028	1616	          0.99	3.85	12.56	12.15	0.357㈢	    25.51	266234992	  0.81	        264.37亿	上海	12.45	12.32	130241	85787	  1.52	12.15	230	 -1.61	
数据来源:通达信
