代码	名称	涨幅%	涨速%	细分行业	买量	最低	卖价	涨速%	总量	现量	换手%	振幅%	最高	现价	每股收益	市盈(动)	总金额	量比	流通市值	地区	今开	均价	内盘	外盘	内外比	买价	卖量	强弱度%	流通股(亿)	涨跌	AB股总市值	活跃度	未匹配量	笔均量	笔换手	财务更新	上市日期	总股本(亿)	B/A股(亿)	H股(亿)	总资产(亿)	净资产(亿)	少数股权(亿)	资产负债率%	流动资产(亿)	固定资产(亿)	无形资产(亿)	流动负债(亿)	资本公积金(亿)	存货(亿)	应收帐款(亿)	营业收入(亿)	营业成本(亿)	营业利润(亿)	投资收益(亿)	利润总额(亿)	税后利润(亿)	净利润(亿)	未分利润(亿)	经营现金流(亿)	总现金流(亿)	股东人数	人均持股	人均市值	利润同比%	收入同比%	市净率	市现率	市销率	昨收	每股净资	调整后净资	每股公积	每股未分配	权益比%	净益率%	毛利率%	营业利润率%	净利润率%	交易代码	自选日	自选价	自选收益%	
600331	宏达股份	-2.81	1.47	铅锌	7406	3.30	3.47	1.47	560712	10414	          2.76	9.83	3.65	3.46	0.008㈢	   318.88	195506064	  0.53	         70.31亿	四川	3.55	3.49	292556	268155	  1.09	3.46	442	 -1.61	         20.32	-0.10	         70.31亿	   3623	--  	    155	        0.0008	20190213	20011220	         20.32	--  	--  	93.69	49.60	          9.59	36.82	31.68	31.14	2.46	31.39	30.86	21.93	0.14	35.50	28.71	2.22	1.14	2.03	1.07	0.17	-3.44	3.77	-0.39	82532.00	         15633	5.41万	-92.33	3.86	          1.42	18.63	1.98	3.56	          2.44	0.00	          1.52	         -0.17	         52.94	   0.33㈢	         19.13	          6.25	          0.47	600331	--  	--  	--  	
000688	国城矿业	-1.48	0.84	铅锌	208	11.84	11.95	0.84	28782	271	          0.25	3.79	12.30	11.95	0.270㈢	    33.18	34581816	  0.77	        135.91亿	重庆	12.13	12.02	14802	13979	  1.06	11.92	41	  0.33	         11.37	-0.18	        135.91亿	   1089	--  	     26	        0.0002	20190213	19970120	         11.37	--  	--  	25.33	23.57	          0.00	6.96	11.26	7.34	0.92	1.42	1.89	0.73	0.75	8.96	3.84	3.71	0.02	3.66	3.05	3.07	8.09	3.52	-0.43	22212.00	         13326	15.92万	-13.50	-3.40	          5.77	38.65	15.18	12.13	          2.07	0.00	          0.17	          0.71	         93.04	  13.04㈢	         57.09	         41.40	         34.31	000688	20170817	9.77	23.34	
002295	精艺股份	-3.12	0.75	铜	87	7.93	8.10	0.75	38973	503	          1.56	4.68	8.32	8.08	0.174㈢	    34.85	31630454	  0.65	         20.22亿	广东	8.18	8.12	23666	15307	  1.55	8.08	30	 -1.30	          2.50	-0.26	         20.25亿	   1318	--  	     30	        0.0012	20181108	20090929	          2.51	--  	--  	21.12	11.46	          0.00	45.75	17.35	1.64	0.41	9.57	6.22	3.04	8.50	44.10	42.38	0.56	-0.03	0.56	0.44	0.44	2.47	2.44	-0.04	15566.00	          8907	7.20万	-11.52	13.26	          1.77	8.30	0.46	8.34	          4.57	0.00	          2.48	          0.98	         54.25	   3.80㈢	          3.90	          1.27	          0.99	002295	--  	--  	--  	
000758	中色股份	-3.05	0.63	铅锌	235	4.68	4.77	0.63	367221	2022	          1.86	6.71	5.01	4.77	0.086㈢	    41.52	177077648	  0.71	         93.93亿	北京	4.87	4.82	201286	165935	  1.21	4.76	1234	 -1.23	         19.69	-0.15	         93.94亿	   3035	--  	    121	        0.0006	20190213	19970416	         19.69	--  	--  	257.92	52.85	         42.65	62.97	157.69	35.21	10.79	113.05	9.55	32.06	38.53	107.42	92.60	3.59	0.15	3.81	2.95	1.70	22.73	31.47	23.67	126080.00	         10347	4.94万	-21.45	-2.39	          1.78	2.98	0.87	4.92	          2.68	0.00	          0.48	          1.15	         20.49	   3.21㈢	         13.80	          3.34	          1.58	000758	--  	--  	--  	
603937	丽岛新材	-3.00	0.62	铝	260	12.70	12.94	0.62	41554	426	          5.48	7.20	13.66	12.93	0.415㈢	    23.34	54475476	  0.57	          9.81亿	江苏	13.37	13.11	23204	18349	  1.26	12.93	2	 -1.80	          0.76	-0.40	         27.01亿	   1736	--  	     24	        0.0032	20181101	20171102	          2.09	--  	--  	16.79	12.91	          0.00	23.06	14.49	1.15	0.22	3.87	5.52	1.88	2.56	9.70	8.21	1.11	0.07	1.14	0.87	0.87	4.88	1.06	0.52	24723.00	          3068	3.97万	22.70	8.61	          2.09	25.48	2.79	13.33	          6.18	0.00	          2.64	          2.34	         76.94	   6.72㈢	         15.30	         11.43	          8.95	603937	20171228	27.12	-52.14	
000807	云铝股份	-1.21	0.62	铝	4319	4.78	4.88	0.62	736100	6523	          3.03	6.68	5.11	4.88	0.042㈢	    86.33	363712800	  0.58	        118.57亿	云南	4.94	4.94	355867	380232	  0.94	4.87	490	  0.60	         24.30	-0.06	        127.21亿	   3889	--  	    189	        0.0008	20190213	19980408	         26.07	--  	--  	387.20	98.62	         12.41	71.33	109.76	188.56	14.32	199.40	64.39	50.30	4.58	159.04	141.17	1.17	0.05	1.28	1.20	1.11	4.38	23.89	0.09	156490.00	          9565	4.67万	-73.86	-3.06	          1.29	5.32	0.80	4.94	          3.78	0.00	          2.47	          0.17	         25.47	   1.12㈢	         11.23	          0.74	          0.69	000807	--  	--  	--  	
601677	明泰铝业	-3.00	0.58	铝	5	10.25	10.35	0.58	42949	180	          0.75	5.25	10.81	10.35	0.680㈢	    11.63	44943896	  0.86	         59.47亿	河南	10.65	10.46	25921	17027	  1.52	10.33	81	 -1.80	          5.75	-0.32	         61.05亿	   1926	--  	     22	        0.0004	20181210	20110919	          5.90	--  	--  	96.24	58.27	          1.54	37.86	59.43	20.26	1.67	33.01	34.89	15.18	9.18	98.20	89.18	5.56	0.31	5.56	4.21	3.94	17.20	-4.69	0.71	20624.00	         22726	23.52万	39.28	32.73	          1.05	-13.01	0.62	10.67	          9.88	0.00	          5.91	          2.92	         60.54	   6.75㈢	          9.18	          5.66	          4.01	601677	--  	--  	--  	
002824	和胜股份	-2.21	0.57	铝	14	10.56	10.63	0.57	32115	147	          4.34	7.73	11.40	10.63	0.141㈢	    56.37	35320296	  1.11	          7.86亿	广东	11.13	11.00	16900	15215	  1.11	10.62	20	 -0.39	          0.74	-0.24	         19.52亿	   1568	--  	     20	        0.0028	20190213	20170112	          1.84	--  	--  	10.32	7.74	          0.06	24.42	5.82	2.77	0.53	2.40	3.47	2.14	2.51	7.61	6.40	0.33	0.02	0.33	0.25	0.26	2.14	-0.65	0.09	16720.00	          3178	3.38万	-46.00	24.34	          2.52	-29.99	2.56	10.87	          4.22	0.00	          1.89	          1.17	         75.04	   3.35㈢	         15.86	          4.40	          3.41	002824	--  	--  	--  	
600311	荣华实业	-4.87	0.54	黄金	1925	3.63	3.71	0.54	344749	3003	          5.18	7.44	3.92	3.71	-0.085㈢	--  	129053352	  0.56	         24.69亿	甘肃	3.88	3.74	198750	145999	  1.36	3.70	965	 -3.67	          6.66	-0.19	         24.69亿	   2836	--  	    122	        0.0018	20190213	20010626	          6.66	--  	--  	9.42	7.73	          0.00	17.93	6.01	2.71	0.41	1.62	2.19	0.87	0.00	0.61	0.76	-0.57	0.12	-0.57	-0.57	-0.57	-1.64	0.02	0.00	78134.00	          7124	2.64万	-1314.71	-54.90	          3.19	1029.72	40.60	3.90	          1.16	0.00	          0.33	         -0.25	         82.07	  -7.32㈢	        -25.28	        -93.32	        -93.03	600311	20171204	6.19	-40.06	
000751	锌业股份	-3.12	0.54	铅锌	2655	3.67	3.73	0.54	325556	2813	          2.31	5.99	3.90	3.72	0.039㈢	    72.25	122824760	  0.55	         52.45亿	辽宁	3.80	3.77	181551	144004	  1.26	3.72	1629	 -1.31	         14.10	-0.12	         52.45亿	   2534	--  	    128	        0.0009	20190213	19970626	         14.10	--  	--  	46.96	24.41	          0.00	48.02	26.49	8.92	8.55	21.61	13.16	14.29	0.96	59.35	55.93	0.28	0.01	0.54	0.54	0.54	-6.57	0.19	-1.44	171740.00	          6273	2.33万	-55.93	23.74	          2.15	271.49	0.88	3.84	          1.73	0.00	          0.93	         -0.47	         51.98	   2.23㈢	          5.77	          0.48	          0.92	000751	20170817	6.49	-42.68	
000962	东方钽业	-3.58	0.51	小金属	819	7.66	7.81	0.51	128026	854	          2.90	7.41	8.26	7.81	0.008㈢	   779.95	101374624	  0.75	         34.43亿	宁夏	8.02	7.92	70348	57678	  1.22	7.80	469	 -1.76	          4.41	-0.29	         34.43亿	   2368	--  	     54	        0.0012	20190213	20000120	          4.41	--  	--  	19.76	11.10	          0.04	43.61	9.80	8.06	1.29	7.90	11.98	4.36	1.96	8.19	7.08	0.04	-0.01	0.04	0.04	0.03	-7.80	0.65	-0.59	42471.00	          5625	4.39万	102.35	15.60	          3.10	52.95	4.20	8.10	          2.52	0.00	          2.72	         -1.77	         56.18	   0.30㈢	         13.48	          0.43	          0.40	000962	20170926	11.66	-33.02	
