代码	名称	涨幅%%	涨速%%	细分行业	买量	最低	未匹配量	卖价	总量	现量	换手%%	振幅%%	最高	现价	每股收益	市盈(动)	总金额	量比	流通市值	地区	今开	均价	内盘	外盘	内外比	买价	卖量	强弱度%%	
002149	西部材料	10.04	0.00	小金属	27775	7.38	--  	--  	453006	605	         10.65	9.91	8.11	8.11	0.087㈢	    69.57	357562912	  1.98	         34.50亿	陕西	7.45	7.89	267666	185340	  1.44	8.11	0	  7.68	
002167	东方锆业	10.00	0.00	小金属	35872	6.73	--  	--  	325469	397	          5.26	8.03	7.26	7.26	0.017㈣	   424.18	228841008	  1.62	         44.91亿	广东	6.96	7.03	183835	141634	  1.30	7.26	0	  7.64	
002564	天沃科技	9.98	0.00	化工机械	84761	5.13	--  	--  	453538	863	          7.54	11.52	5.73	5.73	0.200㈢	    23.48	254045504	  2.41	         34.49亿	江苏	5.20	5.60	212722	240815	  0.88	5.73	0	  7.62	
002364	中恒电气	6.13	0.45	电气设备	5	10.63	--  	11.25	214309	2413	          4.16	8.96	11.58	11.25	0.158㈢	    53.40	237290768	  1.36	         57.98亿	浙江	10.66	11.07	101571	112738	  0.90	11.24	477	  3.77	
603985	恒润股份	5.48	0.33	机械基件	100	26.30	--  	27.73	18156	310	          2.73	5.79	27.82	27.71	1.000㈢	    23.14	49559780	  1.13	         18.44亿	江苏	26.30	27.30	8053	10102	  0.80	27.71	1	  4.36	
002276	万马股份	5.38	0.28	电气设备	604	6.80	--  	7.05	521439	3308	          5.04	6.58	7.24	7.05	0.065㈢	    81.78	367656736	  1.50	         72.90亿	浙江	6.80	7.05	275529	245909	  1.12	7.04	1060	  3.02	
600226	瀚叶股份	5.04	-0.26	农药化肥	5607	3.53	--  	3.76	2276107	25203	         11.42	11.20	3.93	3.75	0.068㈢	    41.45	842652160	  0.96	         74.73亿	浙江	3.60	3.70	1090396	1185710	  0.92	3.75	10588	  3.92	
002227	奥 特 迅	4.96	0.64	电气设备	599	13.66	--  	14.19	97287	879	          4.42	6.43	14.53	14.19	-0.045㈢	--  	137574576	  1.57	         31.20亿	深圳	13.73	14.14	43655	53631	  0.81	14.18	185	  2.59	
601106	中国一重	3.56	0.49	工程机械	3726	4.00	--  	4.08	2021808	27375	          3.09	7.12	4.28	4.07	0.015㈢	   203.49	834156416	  1.42	        266.10亿	黑龙江	4.01	4.13	967712	1054095	  0.92	4.07	7919	  2.44	
600292	远达环保	3.29	0.16	环境保护	270	6.08	--  	6.28	185982	1351	          2.38	5.26	6.40	6.28	0.138㈢	    34.14	116606496	  1.60	         49.04亿	重庆	6.10	6.27	96950	89031	  1.09	6.27	528	  2.17	
002130	沃尔核材	2.80	0.00	电气设备	1503	4.26	--  	4.40	660362	9296	          6.98	9.35	4.66	4.40	0.113㈢	    29.09	291125632	  1.46	         41.63亿	深圳	4.30	4.41	313428	346934	  0.90	4.39	952	  0.44	
000969	安泰科技	2.50	-0.15	钢加工	120	6.01	--  	6.17	192745	955	          2.13	3.66	6.23	6.16	-0.078㈢	--  	118624928	  0.83	         55.74亿	北京	6.01	6.15	91710	101035	  0.91	6.16	241	  0.13	
000967	盈峰环境	2.43	0.60	环境保护	10	6.61	--  	6.75	77632	94	          0.68	3.49	6.84	6.75	0.230㈢	    59.59	52499008	  1.20	         77.44亿	浙江	6.66	6.76	32287	45344	  0.71	6.74	487	  0.06	
002665	首航节能	2.28	0.00	电气设备	5897	3.08	--  	3.14	1135581	9250	          5.03	4.56	3.22	3.14	-0.006㈢	--  	357431456	  1.26	         70.85亿	北京	3.12	3.15	514605	620975	  0.83	3.13	3155	 -0.08	
000600	建投能源	2.27	0.30	火力发电	486	6.61	--  	6.75	142609	1408	          1.31	3.33	6.83	6.75	0.158㈢	    32.04	96267336	  1.04	         73.58亿	河北	6.61	6.75	62823	79785	  0.79	6.74	103	 -0.09	
600202	*ST哈空	2.12	0.23	电气设备	1091	4.27	--  	4.34	81034	418	          2.11	2.82	4.39	4.34	0.028㈢	   115.59	35194280	  1.33	         16.64亿	黑龙江	4.32	4.34	39084	41950	  0.93	4.33	148	  1.00	
002534	杭锅股份	2.07	0.00	专用机械	169	6.29	--  	6.42	106296	776	          1.46	4.46	6.57	6.41	0.259㈢	    18.53	68225928	  1.23	         46.60亿	浙江	6.31	6.42	51591	54705	  0.94	6.41	678	 -0.29	
601727	上海电气	1.77	0.70	电气设备	2229	5.66	--  	5.75	503091	5437	          0.50	3.37	5.85	5.74	0.150㈢	    29.22	289067456	  1.25	        573.44亿	上海	5.72	5.75	274692	228399	  1.20	5.74	1901	  0.65	
601611	中国核建	1.76	0.25	建筑施工	3763	8.02	--  	8.11	313679	5109	          3.26	2.89	8.25	8.10	0.220㈢	    27.62	255200496	  1.04	         77.91亿	上海	8.11	8.14	157167	156512	  1.00	8.10	267	  0.64	
601877	正泰电器	1.70	0.11	电气设备	42	25.73	--  	26.30	179721	2032	          1.03	3.33	26.59	26.30	1.297㈢	    15.21	471170528	  0.91	        456.88亿	浙江	26.03	26.22	83737	95983	  0.87	26.29	2490	  0.58	
300153	科泰电源	1.67	0.59	电气设备	380	8.33	--  	8.52	159385	1262	          4.99	5.02	8.75	8.51	0.055㈢	   116.03	135150784	  1.26	         27.20亿	上海	8.43	8.48	83087	76298	  1.09	8.51	724	 -0.69	
601369	陕鼓动力	1.66	0.00	机械基件	209	6.61	--  	6.73	79298	555	          0.48	3.17	6.82	6.73	0.228㈢	    22.15	53361204	  1.18	        110.29亿	陕西	6.67	6.73	34052	45246	  0.75	6.72	322	  0.54	
600973	宝胜股份	1.61	0.00	电气设备	965	4.36	--  	4.43	163532	1761	          1.34	4.37	4.55	4.42	0.094㈢	    35.31	72696880	  1.21	         54.02亿	江苏	4.36	4.45	70719	92813	  0.76	4.42	757	  0.49	
600875	东方电气	1.53	0.81	电气设备	20	9.83	--  	9.97	246516	2319	          1.23	3.16	10.14	9.97	0.291㈢	    25.67	246571072	  1.17	        199.09亿	四川	9.86	10.00	127214	119302	  1.07	9.96	887	  0.41	
300402	宝色股份	1.42	0.00	专用机械	287	9.22	--  	9.32	33520	528	          3.88	3.38	9.53	9.31	0.015㈢	   456.12	31453612	  1.07	          8.03亿	江苏	9.29	9.38	17104	16415	  1.04	9.31	22	 -0.95	
600023	浙能电力	1.25	0.00	火力发电	1783	4.81	--  	4.87	391644	3172	          0.29	2.49	4.93	4.87	0.276㈢	    13.23	190540144	  1.28	        662.35亿	浙江	4.82	4.87	194105	197538	  0.98	4.86	1003	  0.13	
000883	湖北能源	1.21	0.48	火力发电	576	4.11	--  	4.17	196711	1212	          0.30	2.67	4.22	4.17	0.267㈢	    11.70	82140512	  1.05	        271.24亿	湖北	4.12	4.18	94887	101823	  0.93	4.16	422	 -1.15	
601179	中国西电	1.19	0.47	电气设备	251	4.20	--  	4.24	340933	1266	          0.67	3.58	4.35	4.24	0.049㈢	    64.87	145793872	  1.25	        217.34亿	陕西	4.22	4.28	176319	164614	  1.07	4.23	187	  0.07	
300004	南风股份	1.19	0.47	电气设备	747	4.19	--  	4.24	262718	2633	          5.89	4.53	4.38	4.24	0.026㈢	   120.41	112569008	  1.05	         18.90亿	广东	4.20	4.28	125621	137096	  0.92	4.23	258	 -1.17	
600516	方大炭素	1.16	0.09	矿物制品	4492	22.50	--  	22.72	887895	5147	          5.01	3.83	23.36	22.71	2.530㈢	     6.80	2028726912	  1.03	        402.49亿	甘肃	22.71	22.85	442681	445213	  0.99	22.71	1416	  0.04	
603699	纽威股份	1.11	0.08	专用机械	830	11.71	--  	11.85	44207	218	          0.59	2.56	12.01	11.85	0.269㈢	    33.03	52558992	  1.14	         88.88亿	江苏	11.73	11.89	20103	24103	  0.83	11.84	177	 -0.01	
600399	*ST抚钢	1.05	-0.25	特种钢	1465	3.79	--  	3.85	359795	2400	          1.82	5.26	3.99	3.84	-0.064㈢	--  	140799712	  1.66	         75.73亿	辽宁	3.88	3.91	200448	159346	  1.26	3.84	1227	 -0.07	
000993	闽东电力	1.05	0.17	水力发电	747	5.58	--  	5.79	147956	4245	          3.97	4.90	5.86	5.78	-0.180㈢	--  	84859152	  0.93	         21.56亿	福建	5.60	5.74	75889	72066	  1.05	5.78	1969	 -1.32	
600269	赣粤高速	0.91	0.00	路桥	1584	4.40	--  	4.44	311909	1213	          1.34	2.51	4.51	4.43	0.355㈢	     9.35	138773888	  1.03	        103.46亿	江西	4.40	4.45	150512	161396	  0.93	4.43	2692	 -0.21	
300489	中飞股份	0.90	0.30	铝	126	13.34	--  	13.46	23771	266	          3.32	2.55	13.68	13.45	0.010㈢	  1003.88	32106972	  1.09	          9.62亿	黑龙江	13.38	13.51	11303	12467	  0.91	13.45	57	 -1.46	
603333	尚纬股份	0.88	0.74	电气设备	580	6.73	--  	6.86	59154	1420	          1.16	3.09	6.94	6.85	0.111㈣	    61.44	40389032	  1.17	         34.97亿	四川	6.90	6.83	38407	20747	  1.85	6.85	101	 -0.24	
600328	兰太实业	0.88	0.25	化工原料	259	7.92	--  	8.01	152948	1643	          3.49	2.52	8.12	8.00	0.563㈢	    10.66	122578144	  1.17	         35.04亿	内蒙	7.95	8.01	77783	75165	  1.03	8.00	556	 -0.24	
