代码	名称	涨幅%%	涨速%%	细分行业	买量	最低	未匹配量	卖价	总量	现量	换手%%	振幅%%	最高	现价	每股收益	市盈(动)	总金额	量比	流通市值	地区	今开	均价	内盘	外盘	内外比	买价	卖量	强弱度%%	
601319	中国人保	10.05	0.00	保险	134658	9.04	--  	--  	2212617	2827	         21.88	6.85	9.64	9.64	0.274㈢	    26.39	2105869312	  0.69	         97.48亿	北京	9.30	9.52	1242780	969836	  1.28	9.64	0	  8.92	
601865	福莱特	10.04	0.00	玻璃	182721	8.22	--  	--  	5411	135	          0.36	0.00	8.22	8.22	0.149㈢	    41.47	4448196	  1.13	         12.33亿	浙江	8.22	8.22	4543	868	  5.23	8.22	0	  8.92	
601068	中铝国际	10.03	0.00	建筑施工	12234	6.73	--  	--  	1380740	2013	         46.66	10.77	7.46	7.46	0.070㈢	    65.94	1006529024	  1.54	         22.07亿	北京	7.00	7.29	823684	557056	  1.48	7.46	0	  8.91	
601860	紫金银行	10.01	0.00	银行	27571	8.39	--  	--  	2323649	3006	         63.47	12.34	9.45	9.45	0.270㈢	    26.28	2113238784	  1.35	         34.60亿	江苏	8.66	9.09	1217093	1106555	  1.10	9.45	0	  8.89	
300758	七彩化学	9.99	0.00	染料涂料	5551	54.00	--  	--  	156128	83	         58.52	4.59	56.35	56.35	0.806㈢	    52.47	864320768	325.27	         15.03亿	辽宁	56.35	55.36	78324	77803	  1.01	56.35	0	  7.63	
603956	威派格	9.99	0.00	专用机械	52665	14.53	--  	--  	1076	5	          0.25	0.00	14.53	14.53	0.156㈢	    69.90	1563937	  2.24	          6.19亿	上海	14.53	14.53	937	139	  6.74	14.53	0	  8.87	
300504	天邑股份	9.99	0.00	通信设备	18213	27.20	--  	--  	145097	121	         21.70	7.85	29.29	29.29	0.530㈢	    44.81	415547520	  1.64	         19.58亿	四川	27.23	28.64	70592	74504	  0.95	29.29	0	  7.62	
002949	华阳国际	9.99	0.00	建筑施工	41330	22.14	--  	--  	965	5	          0.20	0.00	22.14	22.14	0.187㈡	    59.26	2135403	  4.02	         10.86亿	深圳	22.14	22.14	870	94	  9.26	22.14	0	  7.62	
600928	西安银行	9.94	0.00	银行	524603	7.41	--  	--  	4652	30	          0.10	0.00	7.41	7.41	0.406㈢	    13.69	3446895	  1.08	         32.93亿	陕西	7.41	7.41	4314	337	 12.80	7.41	0	  8.82	
002936	郑州银行	8.46	-0.92	银行	1766	5.86	--  	6.41	2498849	19376	         41.65	10.83	6.50	6.41	0.650㈢	     8.29	1569580288	  1.46	         38.46亿	河南	5.93	6.28	1481911	1016938	  1.46	6.40	92	  6.10	
603259	药明康德	7.53	0.50	化学制药	140	89.95	--  	96.67	113543	709	         10.90	9.93	98.88	96.66	1.940㈢	    43.99	1084659200	  1.95	        100.72亿	江苏	89.95	95.53	53170	60372	  0.88	96.66	1	  6.41	
601598	中国外运	6.81	-0.34	仓储物流	11343	5.30	--  	5.66	2268482	19198	         16.78	9.83	5.82	5.65	0.262㈢	    16.18	1275669504	  1.50	         76.37亿	北京	5.33	5.62	1110178	1158303	  0.96	5.65	6604	  5.68	
300761	立华股份	6.28	0.32	农业综合	1	86.68	--  	91.28	142941	1721	         34.63	8.15	93.68	91.28	2.418㈢	    28.32	1285753344	  0.92	         37.68亿	江苏	90.98	89.95	73885	69055	  1.07	91.27	65	  3.91	
601066	中信建投	5.78	-3.81	证券	12035	22.25	--  	23.42	1654062	43755	         41.35	9.44	24.34	23.41	0.300㈢	    61.43	3902680576	  1.64	         93.64亿	北京	22.95	23.59	883917	770145	  1.15	23.41	70	  4.66	
601330	绿色动力	5.70	0.14	环境保护	3977	13.30	--  	14.10	300500	7300	         25.86	7.13	14.25	14.09	0.220㈢	    50.87	412992352	  1.62	         16.37亿	深圳	13.36	13.74	129040	171460	  0.75	14.09	1099	  4.58	
603220	贝通信	5.63	0.56	通信设备	856	35.88	--  	37.56	263843	4053	         31.25	6.92	38.34	37.55	0.213㈢	   132.47	985187200	  1.01	         31.71亿	湖北	35.88	37.34	128436	135407	  0.95	37.55	42	  4.50	
002948	青岛银行	5.20	-0.99	银行	2777	7.42	--  	7.89	2222168	19959	         49.27	11.07	8.25	7.89	0.389㈢	    15.21	1764634496	  1.19	         35.58亿	山东	7.50	7.94	1152106	1070061	  1.08	7.88	877	  2.84	
601162	天风证券	5.18	-0.19	证券	2183	9.45	--  	10.16	2273946	25044	         43.90	12.12	10.62	10.15	0.051㈢	   149.36	2304006912	  1.12	         52.58亿	湖北	9.89	10.13	1207777	1066168	  1.13	10.15	2999	  4.06	
002941	新疆交建	4.92	0.06	建筑施工	2112	33.26	--  	35.01	211703	3920	         32.57	6.56	35.45	35.00	0.526㈢	    49.90	730628416	  0.80	         22.75亿	新疆	33.36	34.51	105651	106051	  1.00	35.00	83	  2.55	
601298	青岛港	4.49	0.12	港口	1651	7.81	--  	8.15	1418021	17610	         31.21	7.45	8.39	8.14	0.438㈢	    13.93	1149139072	  1.21	         36.99亿	山东	7.85	8.10	667183	750838	  0.89	8.14	10725	  3.37	
300634	彩讯股份	4.40	0.26	软件服务	93	26.26	--  	27.29	86218	1082	         21.55	7.35	28.18	27.29	0.206㈢	    99.48	234845536	  1.47	         10.92亿	深圳	26.26	27.24	40066	46152	  0.87	27.28	38	  2.03	
603185	上机数控	4.15	0.34	机床制造	591	55.87	--  	58.69	89335	1181	         28.36	6.44	59.50	58.68	1.374㈢	    32.03	513334816	  1.54	         18.48亿	江苏	56.68	57.46	43343	45992	  0.94	58.68	1	  3.03	
601606	长城军工	3.95	0.00	专用机械	4075	16.85	--  	17.91	579826	11554	         39.18	8.19	18.26	17.90	0.055㈢	   243.25	1011628352	  1.06	         26.49亿	安徽	16.96	17.45	295338	284488	  1.04	17.90	188	  2.83	
002945	华林证券	3.84	-0.65	证券	419	14.04	--  	15.16	1412353	22906	         52.31	13.84	16.06	15.16	0.095㈢	   119.40	2137548928	  1.56	         40.93亿	西藏	14.70	15.13	719063	693290	  1.04	15.15	3121	  1.47	
300674	宇信科技	3.81	-0.05	软件服务	401	34.10	--  	35.66	152492	1589	         38.11	7.77	36.77	35.66	0.205㈢	   130.28	539333568	  0.97	         14.27亿	北京	34.99	35.37	75141	77351	  0.97	35.65	94	  1.45	
300757	罗博特科	3.79	-0.07	专用机械	270	68.00	--  	71.00	50781	584	         25.39	6.55	72.48	70.99	0.799㈢	    66.67	355806720	  1.06	         14.20亿	江苏	68.00	70.07	22983	27798	  0.83	70.99	26	  1.42	
300751	迈为股份	3.63	-0.06	专用机械	129	165.00	--  	172.86	15371	114	         11.82	6.07	175.13	172.86	4.260㈣	    52.59	261477600	  0.96	         22.47亿	江苏	167.53	170.12	6255	9115	  0.69	172.80	24	  1.26	
603666	亿嘉和	3.38	-0.10	专用机械	504	53.00	--  	54.45	35630	292	         14.51	6.27	56.30	54.40	0.914㈢	    44.62	194425536	  1.13	         13.36亿	江苏	53.10	54.57	17388	18242	  0.95	54.40	5	  2.26	
603706	东方环宇	3.33	-0.21	供气供热	1342	26.16	--  	27.35	110791	1228	         27.70	6.20	27.80	27.34	0.490㈢	    51.97	297223872	  1.49	         10.94亿	新疆	26.49	26.83	54200	56590	  0.96	27.34	46	  2.20	
300760	迈瑞医疗	3.24	0.13	医疗保健	1	129.71	--  	132.55	71485	510	          5.88	7.08	138.80	132.55	2.650㈢	    41.72	959811136	  1.23	        161.18亿	深圳	129.71	134.27	37219	34265	  1.09	132.53	2	  0.88	
300759	康龙化成	3.21	0.35	化学制药	23	40.40	--  	42.46	293863	4078	         44.78	10.91	44.89	42.46	0.351㈢	    90.62	1245913984	  0.93	         27.87亿	北京	40.80	42.40	150109	143753	  1.04	42.45	2542	  0.84	
300752	隆利科技	3.04	0.36	元器件	16	70.31	--  	73.26	37749	448	         20.78	6.54	74.96	73.26	1.894㈢	    29.01	273718592	  1.06	         13.31亿	深圳	71.80	72.51	18013	19735	  0.91	73.25	18	  0.67	
601990	南京证券	2.87	-0.21	证券	2403	12.81	--  	13.64	1224457	11680	         44.52	13.36	14.58	13.63	0.090㈢	   124.33	1685017856	  1.38	         37.49亿	江苏	13.30	13.76	631908	592548	  1.07	13.63	2042	  1.75	
