代码	名称	涨幅%%	涨速%%	细分行业	买量	最低	未匹配量	卖价	总量	现量	换手%%	振幅%%	最高	现价	每股收益	市盈(动)	总金额	量比	流通市值	地区	今开	均价	内盘	外盘	内外比	买价	卖量	强弱度%%	
000633	合金投资	9.93	0.00	综合类	10483	5.41	--  	--  	408487	464	         10.61	12.27	6.09	6.09	-0.024㈢	--  	244751616	  1.63	         23.45亿	新疆	5.53	5.99	310814	97673	  3.18	6.09	0	  7.56	
000722	湖南发展	8.64	-0.12	水力发电	234	7.32	--  	7.92	313570	1389	          6.76	9.60	8.02	7.92	0.169㈢	    35.14	245619120	  1.67	         36.76亿	湖南	7.34	7.83	142819	170750	  0.84	7.91	792	  6.28	
002030	达安基因	6.75	0.00	生物制药	992	11.86	--  	12.50	357802	1950	          4.68	8.71	12.88	12.50	0.098㈢	    95.28	441462112	  1.61	         95.48亿	广东	11.86	12.34	165426	192376	  0.86	12.49	1455	  4.38	
000908	景峰医药	6.40	0.19	化学制药	2392	5.09	--  	5.32	327695	1779	          4.63	8.20	5.50	5.32	0.133㈢	    30.08	174984128	  1.49	         37.61亿	湖南	5.13	5.34	169341	158354	  1.07	5.31	942	  4.04	
002390	信邦制药	6.34	0.19	中成药	46	5.10	--  	5.37	395539	2347	          2.37	7.72	5.49	5.37	0.158㈢	    25.44	210183280	  1.36	         89.53亿	贵州	5.11	5.31	195658	199880	  0.98	5.36	668	  3.97	
000732	泰禾集团	4.80	-0.24	区域地产	903	15.25	--  	15.95	631948	6244	          5.08	8.68	16.57	15.94	1.161㈢	    10.30	1004227264	  1.70	        198.14亿	福建	15.36	15.89	274595	357353	  0.77	15.94	244	  2.43	
002172	澳洋健康	4.72	0.65	化纤	508	4.37	--  	4.66	205010	2006	          2.95	7.87	4.72	4.66	0.032㈢	   108.78	93677696	  1.84	         32.36亿	江苏	4.42	4.57	94001	111009	  0.85	4.65	185	  2.35	
600767	ST运盛	3.92	0.38	医疗保健	333	5.10	--  	5.30	42516	155	          1.25	5.10	5.36	5.30	-0.054㈢	--  	22337610	  1.69	         18.07亿	上海	5.13	5.25	14664	27852	  0.53	5.29	224	  2.80	
000999	华润三九	3.69	0.31	中成药	2	25.24	--  	26.10	69123	964	          0.71	4.13	26.28	26.10	1.136㈢	    17.22	179177744	  1.43	        255.36亿	深圳	25.49	25.92	38657	30465	  1.27	26.09	184	  1.33	
600196	复星医药	3.00	0.24	化学制药	448	29.01	--  	29.58	628985	5302	          3.29	3.97	30.15	29.57	0.830㈢	    27.14	1856410752	  1.08	        564.94亿	上海	29.01	29.51	298666	330319	  0.90	29.57	246	  1.87	
