代码	名称	涨幅%%	涨速%%	细分行业	买量	最低	未匹配量	卖价	总量	现量	换手%%	振幅%%	最高	现价	每股收益	市盈(动)	总金额	量比	流通市值	地区	今开	均价	内盘	外盘	内外比	买价	卖量	强弱度%%	
600131	岷江水电	10.01	0.00	水力发电	27869	17.18	--  	--  	339752	133	          8.33	3.89	17.81	17.81	0.218㈢	    61.31	601267200	  0.63	         72.60亿	四川	17.28	17.70	193161	146591	  1.32	17.81	0	  8.88	
600116	三峡水利	3.91	0.31	水力发电	811	9.28	--  	9.58	215680	2908	          2.17	5.21	9.76	9.57	0.176㈢	    40.80	206213072	  1.16	         95.03亿	重庆	9.29	9.56	106565	109114	  0.98	9.57	423	  2.79	
002205	国统股份	3.36	-0.18	其他建材	176	15.15	--  	15.67	34525	810	          2.97	5.28	15.95	15.67	-0.041㈢	--  	53769960	  1.44	         18.20亿	新疆	15.21	15.57	15496	19029	  0.81	15.66	37	  1.00	
300145	中金环境	3.17	0.52	专用机械	3159	3.80	--  	3.91	703731	3569	          4.76	5.03	3.99	3.90	0.261㈢	    11.19	275045440	  1.11	         57.68亿	浙江	3.81	3.91	340821	362910	  0.94	3.90	2128	  0.81	
600326	西藏天路	2.13	0.62	建筑施工	1806	7.86	--  	8.18	769426	9413	          8.89	6.13	8.35	8.17	0.439㈢	    13.96	621671424	  1.29	         70.70亿	西藏	8.06	8.08	397574	371851	  1.07	8.17	910	  1.00	
600502	安徽水利	1.90	0.00	建筑施工	31	4.21	--  	4.30	387577	4428	          4.26	4.51	4.40	4.29	0.252㈢	    12.78	167283520	  1.56	         39.07亿	安徽	4.23	4.32	198037	189539	  1.04	4.29	3266	  0.78	
300021	大禹节水	1.71	1.36	农业综合	100	5.80	--  	5.96	250278	9929	          3.86	2.73	5.96	5.96	0.072㈢	    62.26	147242288	  1.37	         38.64亿	甘肃	5.88	5.88	117776	132501	  0.89	5.93	775	 -0.66	
600283	钱江水利	1.60	-0.23	水务	282	12.69	--  	12.74	100103	746	          2.84	2.47	13.00	12.73	0.255㈢	    37.48	128476552	  0.91	         44.94亿	浙江	12.89	12.83	50055	50048	  1.00	12.73	305	  0.47	
002871	伟隆股份	1.58	0.47	机械基件	119	22.75	--  	23.76	71753	1465	         24.83	5.26	23.98	23.75	0.450㈢	    39.96	167788640	  1.15	          6.86亿	山东	23.52	23.38	36541	35212	  1.04	23.75	132	 -0.78	
002694	顾地科技	1.29	0.43	塑料	20	4.66	--  	4.70	225309	5517	          4.52	3.02	4.80	4.70	0.029㈢	   120.72	106034504	  1.06	         23.44亿	湖北	4.80	4.71	120589	104719	  1.15	4.69	91	 -1.07	
603856	东宏股份	1.18	0.17	塑料	133	11.80	--  	11.99	72885	458	          7.97	2.87	12.14	11.98	0.488㈢	    18.42	87437528	  1.22	         10.95亿	山东	11.90	12.00	38714	34171	  1.13	11.98	33	  0.06	
600075	新疆天业	0.95	0.00	化工原料	597	5.25	--  	5.33	173991	696	          2.09	3.04	5.41	5.32	0.324㈢	    12.32	92641296	  1.17	         44.28亿	新疆	5.28	5.32	81078	92912	  0.87	5.32	1057	 -0.17	
002457	青龙管业	0.90	0.11	塑料	2674	8.83	--  	9.00	216475	2116	          6.47	3.59	9.15	9.00	0.112㈢	    60.17	194694288	  0.93	         30.10亿	宁夏	8.92	8.99	111662	104813	  1.07	8.99	477	 -1.47	
002060	粤 水 电	0.88	0.00	建筑施工	1032	3.41	--  	3.45	303660	2175	          2.53	2.35	3.49	3.44	0.074㈢	    34.73	104827648	  1.04	         41.34亿	广东	3.41	3.45	168539	135120	  1.25	3.44	3999	 -1.48	
600068	葛洲坝	0.84	0.28	建筑施工	11045	7.14	--  	7.20	937250	3903	          2.04	3.50	7.39	7.20	0.510㈢	     8.92	681776576	  1.08	        331.54亿	湖北	7.20	7.27	496590	440659	  1.13	7.19	3552	 -0.28	
000778	新兴铸管	0.81	0.20	钢加工	2727	4.93	--  	4.98	728972	4903	          1.86	2.64	5.06	4.97	0.454㈢	     8.22	363619936	  1.07	        194.88亿	河北	4.95	4.99	347092	381879	  0.91	4.97	2877	 -1.55	
002619	艾格拉斯	0.72	0.48	互联网	1081	4.12	--  	4.19	531825	2865	          3.81	5.54	4.35	4.18	0.190㈢	    16.51	224424464	  1.24	         58.38亿	浙江	4.17	4.22	269388	262437	  1.03	4.18	1092	 -1.64	
601669	中国电建	0.53	0.17	建筑施工	1722	5.72	--  	5.74	983339	11771	          0.88	2.28	5.85	5.73	0.380㈢	    10.87	568787520	  1.00	        638.57亿	北京	5.82	5.78	517979	465359	  1.11	5.73	3508	 -0.60	
002586	围海股份	0.39	0.19	建筑施工	62	5.12	--  	5.19	179182	826	          2.58	3.10	5.28	5.18	0.180㈢	    23.94	93186448	  1.21	         35.93亿	浙江	5.15	5.20	85338	93844	  0.91	5.18	1292	 -1.98	
002532	新界泵业	0.17	0.17	农用机械	1049	5.75	--  	5.78	55108	507	          1.46	3.12	5.93	5.78	0.222㈢	    19.53	32113256	  0.79	         21.84亿	浙江	5.76	5.83	30681	24427	  1.26	5.77	227	 -2.19	
002671	龙泉股份	0.00	0.21	其他建材	781	4.68	--  	4.72	79026	636	          2.34	2.75	4.81	4.72	0.041㈢	    87.25	37465516	  1.07	         15.94亿	山东	4.70	4.74	43903	35122	  1.25	4.71	351	 -2.36	
002131	利欧股份	0.00	0.54	互联网	34094	1.83	--  	1.85	3553535	54719	          9.15	4.32	1.91	1.85	0.050㈢	    33.50	664744320	  0.85	         71.85亿	浙江	1.85	1.87	1768987	1784548	  0.99	1.84	5868	 -2.36	
002051	中工国际	-0.22	0.00	建筑施工	952	13.44	--  	13.55	264110	3066	          2.38	3.46	13.91	13.54	0.844㈢	    12.03	361771072	  0.96	        150.46亿	北京	13.65	13.70	143188	120921	  1.18	13.54	654	 -2.59	
数据来源:通达信
