代码	名称	涨幅%%	涨速%%	细分行业	买量	最低	未匹配量	卖价	总量	现量	换手%%	振幅%%	最高	现价	每股收益	市盈(动)	总金额	量比	流通市值	地区	今开	均价	内盘	外盘	内外比	买价	卖量	强弱度%%	
300362	天翔环境	10.07	0.00	环境保护	22301	5.80	--  	--  	385658	2700	         12.42	14.36	6.67	6.67	-0.580㈢	--  	242307648	  0.78	         20.72亿	四川	6.00	6.28	209294	176364	  1.19	6.67	0	  7.70	
300198	纳川股份	10.06	3.05	塑料	19520	3.37	--  	--  	1084356	74733	         14.49	10.36	3.72	3.72	0.006㈢	   503.87	389107936	  1.89	         27.84亿	福建	3.45	3.59	577814	506542	  1.14	3.72	0	  7.69	
000711	京蓝科技	9.98	0.00	软件服务	74008	6.05	--  	--  	237667	845	          5.85	9.32	6.61	6.61	0.170㈢	    33.25	154655232	  1.04	         26.86亿	黑龙江	6.05	6.51	170765	66901	  2.55	6.61	0	  7.62	
300070	碧水源	9.97	0.10	环境保护	1543	9.61	--  	10.48	1258299	8844	          6.24	9.13	10.48	10.48	0.182㈢	    43.19	1291084160	  1.90	        211.22亿	北京	9.62	10.26	614239	644060	  0.95	10.47	12904	  7.60	
300262	巴安水务	8.37	1.15	环境保护	289	8.12	--  	8.80	219675	4750	          5.27	9.48	8.89	8.80	0.234㈢	    28.19	188859616	  1.18	         36.68亿	上海	8.15	8.60	111614	108060	  1.03	8.79	305	  6.01	
300422	博世科	7.36	0.41	环境保护	1	11.36	--  	12.25	232831	1384	          8.80	10.43	12.55	12.25	0.492㈢	    18.67	281793760	  2.04	         32.41亿	广西	11.36	12.10	90290	142541	  0.63	12.24	961	  5.00	
300388	国祯环保	7.34	0.18	环境保护	357	10.58	--  	11.27	191762	929	          3.56	9.15	11.54	11.26	0.420㈢	    20.31	214819168	  2.49	         60.61亿	安徽	10.58	11.20	85010	106751	  0.80	11.26	249	  4.98	
002573	清新环境	6.87	0.00	环境保护	3379	8.71	--  	9.33	483336	4388	          4.48	9.85	9.57	9.33	0.458㈢	    15.28	444100640	  1.65	        100.64亿	北京	8.80	9.19	232727	250608	  0.93	9.32	120	  4.51	
300437	清水源	6.08	0.00	化工原料	701	16.00	--  	16.77	81348	369	          6.13	8.73	17.38	16.76	0.705㈢	    17.84	137344352	  1.57	         22.23亿	河南	16.00	16.88	42180	39168	  1.08	16.76	44	  3.71	
600635	大众公用	5.49	-0.15	供气供热	4381	5.95	--  	6.16	2438849	22164	         10.08	7.03	6.36	6.15	0.113㈢	    40.69	1494905344	  1.03	        148.76亿	上海	6.18	6.13	1150296	1288552	  0.89	6.15	6551	  4.37	
