代码	名称	涨幅%	涨速%	细分行业	买量	最低	卖价	涨速%	总量	现量	换手%	振幅%	最高	现价	每股收益	市盈(动)	总金额	量比	流通市值	地区	今开	均价	内盘	外盘	内外比	买价	卖量	强弱度%	流通股(亿)	涨跌	AB股总市值	活跃度	未匹配量	笔均量	笔换手	财务更新	上市日期	总股本(亿)	B/A股(亿)	H股(亿)	总资产(亿)	净资产(亿)	少数股权(亿)	资产负债率%	流动资产(亿)	固定资产(亿)	无形资产(亿)	流动负债(亿)	资本公积金(亿)	存货(亿)	应收帐款(亿)	营业收入(亿)	营业成本(亿)	营业利润(亿)	投资收益(亿)	利润总额(亿)	税后利润(亿)	净利润(亿)	未分利润(亿)	经营现金流(亿)	总现金流(亿)	股东人数	人均持股	人均市值	利润同比%	收入同比%	市净率	市现率	市销率	昨收	每股净资	调整后净资	每股公积	每股未分配	权益比%	净益率%	毛利率%	营业利润率%	净利润率%	交易代码	自选日	自选价	自选收益%	
002765	蓝黛传动	-4.56	6.00	汽车配件	2	9.67	10.25	6.00	684616	15006	         26.86	12.29	10.99	10.25	0.064㈢	   119.52	679162496	  7.17	         26.13亿	重庆	10.99	9.92	296185	388431	  0.76	10.12	50	 -2.75	          2.55	-0.49	         43.18亿	   3206	--  	    214	        0.0084	20190213	20150612	          4.21	--  	--  	23.72	12.56	          0.02	46.95	11.37	7.04	2.29	5.27	4.58	3.11	3.46	7.31	5.86	0.40	0.07	0.38	0.28	0.27	3.32	0.21	-1.72	19583.00	          8709	8.93万	-63.90	-8.81	          3.44	208.80	5.91	10.74	          2.98	0.00	          1.09	          0.79	         52.96	   2.16㈢	         19.83	          5.43	          3.71	002765	20170926	11.39	-9.57	
603158	腾龙股份	-0.61	2.12	汽车配件	100	17.30	17.86	2.12	75131	1255	          3.46	6.68	18.50	17.86	0.377㈢	    35.56	133760320	  1.72	         38.75亿	江苏	17.98	17.80	43053	32078	  1.34	17.85	728	  0.59	          2.17	-0.11	         39.04亿	   1977	--  	     38	        0.0018	20190213	20150320	          2.19	--  	--  	15.35	10.11	          0.98	27.77	8.30	4.41	0.69	3.16	2.90	2.43	2.28	7.38	5.08	1.09	0.01	1.08	0.87	0.82	4.73	1.59	0.10	6877.00	         10511	18.77万	-10.96	15.61	          3.86	24.49	5.29	17.97	          4.62	0.00	          1.33	          2.17	         65.84	   8.15㈢	         31.15	         14.75	         11.16	603158	--  	--  	--  	
300680	隆盛科技	-1.37	1.85	汽车配件	462	18.08	18.70	1.85	22012	859	          6.41	5.28	19.08	18.69	0.090㈢	   143.25	40628932	  0.59	          6.42亿	江苏	18.81	18.46	12926	9086	  1.42	18.69	8	  0.44	          0.34	-0.26	         13.89亿	   1262	--  	     17	        0.0051	20190311	20170725	          0.74	--  	--  	8.69	5.25	          0.27	36.50	4.12	2.01	0.51	2.43	3.61	1.27	1.09	1.19	0.84	0.06	0.03	0.07	0.07	0.07	0.76	-0.07	0.05	8395.00	          3575	6.68万	-46.45	1.52	          2.65	-190.75	11.70	18.95	          7.06	7.06	          4.86	          1.02	         60.34	   1.39㈢	         29.28	          5.20	          6.13	300680	--  	--  	--  	
603917	合力科技	-1.31	1.19	汽车配件	1246	12.46	12.81	1.19	33149	1516	          4.13	5.71	13.20	12.80	0.430㈢	    22.33	42270284	  0.72	         10.27亿	浙江	13.00	12.75	19670	13479	  1.46	12.80	11	 -0.11	          0.80	-0.17	         20.07亿	   1492	--  	     22	        0.0028	20181203	20171204	          1.57	--  	--  	11.91	8.81	          0.00	26.03	7.84	2.33	0.34	2.24	2.90	3.10	2.53	4.09	2.73	0.76	0.05	0.80	0.67	0.67	3.81	-0.05	-2.46	18332.00	          3427	4.39万	26.51	17.31	          2.28	-419.87	4.91	12.97	          5.62	0.00	          1.85	          2.43	         73.97	   7.65㈢	         33.07	         18.66	         16.50	603917	--  	--  	--  	
002906	华阳集团	-3.93	1.06	汽车配件	38	11.13	11.49	1.06	50990	982	          2.52	7.62	12.04	11.48	0.080㈢	   107.87	58298644	  0.67	         23.22亿	广东	12.04	11.43	28484	22506	  1.27	11.48	25	 -2.12	          2.02	-0.47	         54.31亿	   1804	--  	     28	        0.0014	20190311	20171013	          4.73	--  	--  	44.71	34.22	          0.01	23.45	32.37	8.37	0.79	10.06	8.76	5.77	9.44	24.83	19.91	0.18	0.21	0.16	0.38	0.38	19.64	0.29	-2.56	32964.00	          2218	2.55万	-80.80	-19.63	          1.60	185.41	2.19	11.95	          7.19	7.19	          1.85	          4.15	         76.54	   1.10㈢	         19.82	          0.72	          1.52	002906	20180910	14.89	-22.90	
002592	八菱科技	6.49	0.94	汽车配件	141	23.30	24.64	0.94	153065	1573	          6.23	9.08	25.40	24.63	0.047㈢	   394.26	377476704	  2.28	         60.52亿	广西	23.60	24.66	71543	81521	  0.88	24.63	8	  8.30	          2.46	1.50	         69.78亿	   3230	--  	     47	        0.0019	20190213	20111111	          2.83	--  	--  	24.21	19.11	          0.00	21.04	8.64	6.25	0.56	4.52	11.97	1.22	0.70	5.23	4.64	0.18	0.28	0.19	0.13	0.13	4.58	0.58	3.54	13000.00	         10415	25.65万	-87.10	-6.54	          3.65	119.54	13.35	23.13	          6.74	0.00	          4.22	          1.62	         78.95	   0.69㈢	         11.30	          3.53	          2.54	002592	--  	--  	--  	
600686	金龙汽车	2.00	0.89	汽车整车	153	9.76	10.20	0.89	166703	1744	          2.75	6.21	10.38	10.19	0.100㈢	    53.95	168634432	  0.74	         61.83亿	福建	9.88	10.12	77096	89606	  0.86	10.19	124	  3.20	          6.07	0.20	         61.83亿	   2350	--  	     71	        0.0012	20181031	19931108	          6.07	--  	--  	259.01	37.13	         11.54	81.21	226.25	17.30	5.24	184.21	8.12	19.26	126.66	126.99	111.38	0.96	0.37	1.24	1.09	0.86	15.10	1.58	2.72	21466.00	         16258	16.57万	-62.58	23.60	          1.92	39.18	0.49	9.99	          5.30	5.30	          1.34	          2.49	         14.34	   2.31㈢	         12.29	          0.75	          0.68	600686	20170918	16.26	-36.72	
600178	东安动力	-1.44	0.74	汽车配件	70	5.32	5.48	0.74	63527	644	          1.37	6.29	5.67	5.48	0.143㈢	    28.74	34788660	  0.57	         25.32亿	黑龙江	5.47	5.48	26738	36788	  0.73	5.46	52	 -0.24	          4.62	-0.08	         25.32亿	   2884	--  	     22	        0.0005	20190213	19981014	          4.62	--  	--  	33.90	19.31	          0.00	43.03	11.77	5.11	0.36	13.86	8.60	2.05	2.27	9.52	8.31	0.66	0.10	0.66	0.66	0.66	3.59	1.47	-0.57	41082.00	          5464	2.99万	44.88	-26.33	          1.31	17.18	2.66	5.56	          4.18	0.00	          1.86	          0.78	         56.97	   3.42㈢	         12.75	          6.89	          6.94	600178	--  	--  	--  	
603009	北特科技	-6.29	0.72	汽车配件	884	6.89	7.01	0.72	115132	677	          3.59	6.69	7.39	7.00	0.142㈢	    36.94	81993368	  1.00	         22.45亿	上海	7.35	7.12	70724	44407	  1.59	7.00	130	 -5.09	          3.21	-0.47	         25.14亿	   2396	--  	     48	        0.0015	20190213	20140718	          3.59	--  	--  	29.50	17.26	          0.25	40.62	13.33	7.02	1.91	11.54	10.26	3.29	4.01	9.05	6.76	0.57	0.03	0.58	0.49	0.51	3.11	0.62	1.25	26731.00	          5724	4.01万	27.51	39.80	          1.46	40.62	2.78	7.47	          4.81	0.00	          2.86	          0.87	         58.52	   2.96㈢	         25.31	          6.35	          5.64	603009	20180123	12.06	-41.24	
601799	星宇股份	1.97	0.71	汽车配件	2	55.01	56.80	0.71	7432	270	          0.27	3.21	56.80	56.80	1.591㈢	    26.78	41563556	  0.72	        156.86亿	江苏	55.38	55.92	2702	4730	  0.57	56.78	101	  3.17	          2.76	1.10	        156.86亿	   1260	--  	      6	        0.0002	20190213	20110201	          2.76	--  	--  	69.63	41.97	          0.03	39.69	53.33	10.20	3.61	25.91	26.59	11.91	4.25	37.24	29.29	5.16	0.67	5.15	4.39	4.39	10.81	6.24	0.82	5313.00	         22199	126.09万	35.76	23.84	          3.74	25.14	4.21	55.70	         15.20	0.00	          9.63	          3.92	         60.27	  10.47㈢	         21.36	         13.85	         11.79	601799	--  	--  	--  	
