代码	名称	涨幅%%	涨速%%	细分行业	买量	最低	未匹配量	卖价	总量	现量	换手%%	振幅%%	最高	现价	每股收益	市盈(动)	总金额	量比	流通市值	地区	今开	均价	内盘	外盘	内外比	买价	卖量	强弱度%%	
002207	ST准油	5.03	0.00	石油开采	2113	6.02	--  	--  	105584	12	          4.45	7.31	6.47	6.47	-0.072㈢	--  	67442280	  1.10	         15.36亿	新疆	6.10	6.39	49343	56240	  0.88	6.47	0	  2.67	
000096	广聚能源	4.97	0.47	石油贸易	30	10.30	--  	10.78	51147	280	          1.00	9.44	11.27	10.78	0.182㈢	    44.42	54498304	  1.79	         55.07亿	深圳	10.30	10.66	21575	29571	  0.73	10.75	144	  2.60	
002443	金洲管道	4.80	0.92	钢加工	8482	6.28	--  	6.56	196600	2045	          3.87	8.32	6.80	6.55	0.210㈢	    23.34	128144376	  1.54	         33.24亿	浙江	6.36	6.52	93571	103028	  0.91	6.55	236	  2.44	
000159	国际实业	4.38	0.00	石油贸易	1082	4.76	--  	5.01	290184	2153	          6.04	10.65	5.27	5.00	0.056㈢	    67.18	144816464	  1.83	         24.03亿	新疆	4.78	4.99	135063	155120	  0.87	5.00	1740	  2.02	
000637	茂化实华	3.84	0.44	石油加工	519	4.45	--  	4.60	228511	2891	          6.24	9.48	4.87	4.60	0.048㈢	    71.92	105018544	  1.56	         16.86亿	广东	4.45	4.60	98143	130368	  0.75	4.59	600	  1.47	
600822	上海物贸	2.37	0.10	商贸代理	216	9.69	--  	9.93	170189	1179	          4.30	7.84	10.45	9.92	0.082㈢	    90.49	168854128	  1.92	         39.30亿	上海	9.80	9.92	85395	84793	  1.01	9.92	76	  1.25	
601028	玉龙股份	1.92	0.38	钢加工	900	5.15	--  	5.30	98314	1403	          1.26	3.65	5.34	5.30	0.111㈢	    35.85	51667084	  1.03	         41.50亿	江苏	5.18	5.26	45362	52952	  0.86	5.29	872	  0.80	
000554	泰山石油	1.69	-0.16	石油贸易	317	5.81	--  	6.02	250278	3879	          6.90	8.11	6.29	6.02	0.002㈢	  1828.03	150467296	  1.50	         21.83亿	山东	5.88	6.01	115177	135101	  0.85	6.01	620	 -0.68	
603003	龙宇燃油	1.63	0.12	石油贸易	521	8.00	--  	8.14	84080	484	          2.02	3.13	8.25	8.13	0.112㈢	    54.23	68382056	  1.26	         33.86亿	上海	8.03	8.13	42044	42035	  1.00	8.13	161	  0.50	
002629	仁智股份	1.26	-0.98	石油开采	851	3.91	--  	4.02	162013	5297	          4.70	5.05	4.11	4.01	-0.051㈢	--  	65251268	  1.34	         13.82亿	浙江	3.91	4.03	64722	97291	  0.67	4.01	95	 -1.10	
002210	飞马国际	1.25	0.25	仓储物流	5831	3.95	--  	4.05	1291440	20385	          9.30	5.76	4.18	4.04	0.077㈢	    39.36	524293984	  0.83	         56.13亿	深圳	3.99	4.06	613801	677639	  0.91	4.04	6004	 -1.11	
000407	胜利股份	1.17	0.23	供气供热	419	4.22	--  	4.32	314458	1961	          4.22	3.52	4.37	4.31	0.103㈢	    31.49	134875712	  1.65	         32.14亿	山东	4.25	4.29	158852	155606	  1.02	4.31	1237	 -1.19	
000985	大庆华科	1.16	0.00	化工原料	53	13.60	--  	13.97	22684	137	          1.75	6.45	14.49	13.95	-0.072㈢	--  	31837348	  1.48	         18.08亿	黑龙江	13.75	14.04	10720	11963	  0.90	13.95	21	 -1.20	
600339	中油工程	1.16	0.00	石油加工	1937	4.27	--  	4.38	507371	2053	          3.27	4.17	4.45	4.37	0.093㈢	    35.28	220740672	  1.63	         67.83亿	新疆	4.32	4.35	244941	262429	  0.93	4.37	276	  0.04	
000059	华锦股份	1.04	0.30	石油加工	1077	6.68	--  	6.77	320365	1998	          2.00	2.84	6.87	6.77	0.662㈢	     7.67	217321248	  1.03	        108.28亿	辽宁	6.72	6.78	162992	157373	  1.04	6.76	794	 -1.32	
600175	美都能源	0.77	0.38	综合类	15993	2.56	--  	2.63	1840492	18720	          7.51	5.36	2.70	2.63	0.041㈢	    48.50	485301888	  0.86	         64.46亿	浙江	2.57	2.64	918419	922072	  1.00	2.62	21011	 -0.36	
000822	山东海化	0.72	0.18	化工原料	1543	5.53	--  	5.61	233318	1683	          2.61	3.59	5.73	5.61	0.529㈢	     7.96	131245472	  1.16	         50.21亿	山东	5.60	5.63	121923	111394	  1.09	5.60	677	 -1.65	
300084	海默科技	0.67	-0.16	石油开采	166	5.92	--  	5.99	164516	2226	          5.42	2.69	6.08	5.98	-0.063㈢	--  	98737232	  0.87	         18.15亿	甘肃	5.95	6.00	86395	78120	  1.11	5.98	784	 -1.69	
601808	中海油服	0.61	0.20	石油开采	770	9.83	--  	9.90	146551	833	          0.50	1.73	10.00	9.90	-0.058㈢	--  	144956272	  0.95	        293.09亿	天津	9.83	9.89	77599	68951	  1.13	9.89	973	 -0.51	
000703	恒逸石化	0.51	-0.13	化纤	760	13.71	--  	13.82	153706	1521	          0.68	2.69	14.08	13.82	0.970㈢	    13.36	213226000	  1.12	        314.21亿	广西	13.83	13.87	77811	75895	  1.03	13.81	289	 -1.86	
300191	潜能恒信	0.47	-0.11	石油开采	268	16.92	--  	17.19	54237	1083	          2.62	3.74	17.56	17.18	0.033㈢	   386.29	93587072	  1.11	         35.57亿	北京	17.00	17.26	25520	28716	  0.89	17.18	31	 -1.90	
600256	广汇能源	0.47	0.47	石油开采	6675	4.26	--  	4.32	1320972	10227	          1.96	2.56	4.37	4.32	0.220㈢	    16.18	570051584	  1.13	        291.04亿	新疆	4.30	4.32	712563	608409	  1.17	4.31	9106	 -0.66	
600688	上海石化	0.36	0.00	石油加工	1966	5.46	--  	5.54	257458	2310	          0.35	2.90	5.62	5.54	0.431㈢	     9.65	142756816	  1.25	        406.02亿	上海	5.52	5.54	128991	128466	  1.00	5.53	929	 -0.76	
600387	海越能源	0.34	0.00	石油贸易	393	8.75	--  	8.81	176593	809	          4.58	2.74	8.99	8.80	0.616㈢	    10.71	156599568	  1.22	         33.94亿	浙江	8.82	8.87	85755	90837	  0.94	8.80	1035	 -0.78	
002493	荣盛石化	0.09	0.00	化纤	70	11.26	--  	11.38	85942	819	          0.16	2.64	11.56	11.38	0.300㈢	    30.36	98205784	  1.00	        603.80亿	浙江	11.45	11.43	40799	45143	  0.90	11.37	1570	 -2.28	
600500	中化国际	0.00	-0.12	商贸代理	1212	7.71	--  	7.78	303386	1261	          1.46	3.35	7.97	7.77	0.371㈢	    15.71	237876848	  1.18	        161.85亿	上海	7.80	7.84	165289	138096	  1.20	7.77	334	 -1.12	
002353	杰瑞股份	0.00	0.10	化工机械	238	19.88	--  	20.00	137877	610	          2.05	2.70	20.42	20.00	0.379㈢	    39.61	277303488	  1.17	        134.60亿	山东	20.08	20.11	64222	73654	  0.87	19.99	295	 -2.36	
600583	海油工程	-0.16	0.16	石油开采	1574	6.03	--  	6.09	390178	4612	          0.88	1.80	6.14	6.09	-0.032㈢	--  	237209504	  1.35	        269.26亿	天津	6.08	6.08	213780	176397	  1.21	6.08	685	 -1.29	
600871	*ST油服	-0.49	-0.48	石油开采	10301	2.04	--  	2.06	375466	2315	          0.31	2.43	2.09	2.05	0.023㈢	    66.34	77664288	  1.12	        246.87亿	北京	2.06	2.07	234170	141296	  1.66	2.05	10457	 -1.61	
300135	宝利国际	-0.94	-0.31	化工原料	3989	3.13	--  	3.16	428825	5676	          4.65	3.14	3.23	3.15	0.041㈢	    57.59	135970000	  1.34	         29.03亿	江苏	3.16	3.17	240863	187962	  1.28	3.15	3140	 -3.31	
数据来源:通达信
