代码	名称	涨幅%%	涨速%%	细分行业	买量	最低	未匹配量	卖价	总量	现量	换手%%	振幅%%	最高	现价	每股收益	市盈(动)	总金额	量比	流通市值	地区	今开	均价	内盘	外盘	内外比	买价	卖量	强弱度%%	
002596	海南瑞泽	10.06	1.14	其他建材	3457	8.70	--  	--  	791532	22651	          9.18	11.75	9.74	9.74	0.100㈢	    76.00	730288384	  1.35	         84.00亿	海南	8.80	9.23	355832	435700	  0.82	9.74	0	  7.69	
000099	中信海直	7.95	1.10	空运	1444	7.71	--  	8.29	284243	3549	          4.69	9.52	8.44	8.28	0.145㈢	    42.77	231528592	  1.98	         50.18亿	深圳	7.71	8.15	131733	152509	  0.86	8.28	411	  5.59	
000503	国新健康	6.97	-0.04	医疗保健	333	20.09	--  	21.32	415544	3091	          4.62	9.08	21.90	21.32	-0.126㈢	--  	878107008	  1.48	        191.63亿	海南	20.39	21.13	197691	217852	  0.91	21.31	465	  4.61	
002693	双成药业	4.22	0.43	化学制药	909	4.53	--  	4.69	138181	1860	          3.43	4.22	4.72	4.69	-0.080㈢	--  	64304004	  1.40	         18.92亿	海南	4.58	4.65	52825	85356	  0.62	4.68	203	  1.86	
000793	华闻传媒	2.88	0.26	出版业	6053	3.85	--  	3.93	1529312	15184	          7.89	5.50	4.06	3.93	0.011㈢	   256.55	602117184	  0.83	         76.20亿	海南	3.86	3.94	774686	754625	  1.03	3.92	3623	  0.52	
000567	海德股份	2.53	0.29	多元金融	630	13.32	--  	13.76	110399	1091	          7.34	5.29	14.03	13.76	0.220㈢	    59.77	150746976	  0.92	         20.69亿	海南	13.56	13.65	58419	51980	  1.12	13.75	62	  0.17	
300324	旋极信息	2.38	0.41	软件服务	523	7.02	--  	7.32	1094544	11821	         10.56	6.71	7.50	7.32	0.206㈢	    26.69	794674560	  0.85	         75.90亿	北京	7.07	7.26	550906	543638	  1.01	7.31	1517	  0.01	
000735	罗 牛 山	2.34	-0.28	农业综合	4914	13.11	--  	13.58	1380111	33212	         13.02	4.68	13.73	13.57	0.338㈢	    30.07	1851764608	  1.05	        143.79亿	海南	13.20	13.42	676054	704056	  0.96	13.57	3383	 -0.03	
603729	龙韵股份	2.34	-0.80	广告包装	28	16.69	--  	17.09	47968	938	          5.14	7.13	17.88	17.08	0.205㈢	    62.40	82472104	  1.69	         15.94亿	上海	16.69	17.19	23684	24284	  0.98	17.08	5	  1.22	
600238	*ST椰岛	2.27	-1.26	红黄药酒	41	8.34	--  	8.55	64430	2667	          1.45	5.26	8.78	8.55	-0.363㈢	--  	56083668	  1.78	         38.05亿	海南	8.35	8.70	40371	24058	  1.68	8.54	2332	  1.15	
000886	海南高速	2.27	0.45	路桥	4858	4.41	--  	4.51	289063	6009	          2.98	2.27	4.51	4.51	0.158㈢	    21.45	129225616	  1.03	         43.68亿	海南	4.44	4.47	137884	151179	  0.91	4.50	1055	 -0.10	
002065	东华软件	2.10	0.12	软件服务	1272	8.14	--  	8.29	776443	2755	          2.77	5.30	8.57	8.28	0.210㈢	    29.57	648559424	  1.52	        232.48亿	北京	8.21	8.35	330340	446102	  0.74	8.28	2721	 -0.27	
600555	海航创新	1.92	1.27	旅游服务	2339	3.08	--  	3.19	395794	8891	          4.07	3.53	3.19	3.18	-0.003㈢	--  	124344104	  1.20	         30.96亿	海南	3.13	3.14	179911	215882	  0.83	3.18	7004	  0.80	
300144	宋城演艺	1.89	-0.08	旅游景点	238	21.40	--  	22.14	213579	1302	          1.81	5.89	22.68	22.13	0.790㈢	    21.01	470665376	  1.27	        261.84亿	浙江	21.80	22.04	100352	113227	  0.89	22.13	387	 -0.48	
