代码	名称	涨幅%%	涨速%%	细分行业	买量	最低	未匹配量	卖价	总量	现量	换手%%	振幅%%	最高	现价	每股收益	市盈(动)	总金额	量比	流通市值	地区	今开	均价	内盘	外盘	内外比	买价	卖量	强弱度%%	
300198	纳川股份	10.06	3.05	塑料	19520	3.37	--  	--  	1084356	74733	         14.49	10.36	3.72	3.72	0.006㈢	   503.87	389107936	  1.89	         27.84亿	福建	3.45	3.59	577814	506542	  1.14	3.72	0	  7.69	
002235	安妮股份	5.58	0.76	互联网	901	6.20	--  	6.63	776378	20910	         15.52	7.02	6.64	6.62	0.107㈢	    46.21	502824640	  1.22	         33.12亿	福建	6.30	6.48	355406	420972	  0.84	6.62	878	  3.22	
002679	福建金森	5.25	1.47	林业	1	21.65	--  	22.85	88035	766	          3.73	7.74	23.33	22.85	0.054㈢	   314.61	197237744	  2.22	         53.87亿	福建	21.80	22.40	33634	54401	  0.62	22.74	8	  2.89	
600388	龙净环保	5.10	0.38	环境保护	38	12.50	--  	13.19	245951	5780	          2.30	6.06	13.26	13.19	0.496㈢	    19.96	319690304	  1.60	        141.01亿	福建	12.57	13.00	123918	122032	  1.02	13.18	522	  3.98	
000732	泰禾集团	4.80	-0.24	区域地产	903	15.25	--  	15.95	631948	6244	          5.08	8.68	16.57	15.94	1.161㈢	    10.30	1004227264	  1.70	        198.14亿	福建	15.36	15.89	274595	357353	  0.77	15.94	244	  2.43	
000671	阳 光 城	4.30	0.00	区域地产	744	7.02	--  	7.28	587811	3472	          1.48	7.02	7.51	7.28	0.390㈢	    13.99	429126752	  1.10	        289.15亿	福建	7.02	7.30	283770	304040	  0.93	7.27	1466	  1.93	
002614	奥佳华	3.84	-0.10	医疗保健	167	17.22	--  	17.83	87025	487	          2.61	5.53	18.17	17.83	0.560㈢	    24.29	154322608	  1.04	         59.42亿	福建	17.33	17.73	36199	50825	  0.71	17.82	63	  1.48	
000526	紫光学大	3.79	0.25	文教休闲	302	22.41	--  	23.82	41206	374	          4.28	6.41	23.88	23.80	0.710㈢	    25.14	96220872	  1.56	         22.89亿	福建	22.85	23.35	16900	24306	  0.70	23.80	38	  1.43	
000701	厦门信达	3.63	0.00	综合类	675	6.91	--  	7.14	148173	1047	          3.64	5.52	7.29	7.14	-0.060㈢	    35.00	105587368	  1.82	         29.03亿	福建	6.96	7.13	69654	78518	  0.89	7.13	175	  1.26	
000536	华映科技	3.16	0.51	元器件	6098	3.65	--  	3.93	3430176	36009	         17.12	12.63	4.13	3.92	-0.166㈢	--  	1342422528	  1.32	         78.53亿	福建	3.87	3.91	1753082	1677094	  1.05	3.92	3175	  0.79	
300096	易联众	3.12	0.52	软件服务	453	11.31	--  	11.57	183841	1602	          4.88	7.04	12.10	11.57	-0.040㈢	--  	214131200	  0.81	         43.56亿	福建	11.34	11.65	88737	95104	  0.93	11.56	70	  0.75	
600203	福日电子	2.96	0.54	元器件	587	5.42	--  	5.56	228284	1999	          6.17	4.26	5.65	5.56	0.043㈢	    96.25	126348064	  0.95	         20.58亿	福建	5.45	5.53	97555	130729	  0.75	5.55	211	  1.84	
000663	永安林业	2.54	0.16	林业	32	6.30	--  	6.46	59054	914	          2.65	2.54	6.46	6.46	-0.205㈢	--  	37724780	  0.89	         14.40亿	福建	6.32	6.39	26499	32555	  0.81	6.45	39	  0.18	
002228	合兴包装	2.42	0.00	广告包装	2155	5.41	--  	5.51	333489	3616	          2.86	4.47	5.65	5.50	0.412㈢	    10.00	184642192	  1.48	         64.10亿	福建	5.41	5.54	194834	138654	  1.41	5.50	1922	  0.06	
300341	麦克奥迪	2.22	0.17	电气设备	933	5.87	--  	5.99	63863	828	          1.25	2.73	6.03	5.99	0.187㈢	    24.06	38174792	  1.44	         30.52亿	福建	5.87	5.98	28584	35279	  0.81	5.98	86	 -0.15	
600592	龙溪股份	2.04	0.00	机械基件	159	6.86	--  	6.99	148600	1251	          3.72	3.65	7.11	6.99	0.210㈢	    24.92	103768272	  0.99	         27.93亿	福建	6.88	6.98	67714	80886	  0.84	6.98	251	  0.92	
002682	龙洲股份	1.98	0.19	公路	389	5.03	--  	5.15	79046	728	          1.83	4.16	5.24	5.15	0.162㈢	    23.78	40619304	  1.23	         22.25亿	福建	5.06	5.14	40538	38508	  1.05	5.14	711	 -0.38	
