代码	名称	涨幅%%	涨速%%	细分行业	买量	最低	未匹配量	卖价	总量	现量	换手%%	振幅%%	最高	现价	每股收益	市盈(动)	总金额	量比	流通市值	地区	今开	均价	内盘	外盘	内外比	买价	卖量	强弱度%%	
002564	天沃科技	9.98	0.00	化工机械	84761	5.13	--  	--  	453538	863	          7.54	11.52	5.73	5.73	0.200㈢	    23.48	254045504	  2.41	         34.49亿	江苏	5.20	5.60	212722	240815	  0.88	5.73	0	  7.62	
300070	碧水源	9.97	0.10	环境保护	1543	9.61	--  	10.48	1258299	8844	          6.24	9.13	10.48	10.48	0.182㈢	    43.19	1291084160	  1.90	        211.22亿	北京	9.62	10.26	614239	644060	  0.95	10.47	12904	  7.60	
600100	同方股份	9.28	-0.08	电脑设备	1542	10.52	--  	11.20	613050	3001	          2.07	7.23	11.26	11.19	-0.193㈢	--  	679055552	  3.44	        331.66亿	北京	10.52	11.08	255934	357115	  0.72	11.19	1809	  8.16	
300262	巴安水务	8.37	1.15	环境保护	289	8.12	--  	8.80	219675	4750	          5.27	9.48	8.89	8.80	0.234㈢	    28.19	188859616	  1.18	         36.68亿	上海	8.15	8.60	111614	108060	  1.03	8.79	305	  6.01	
000151	中成股份	4.87	-0.06	商贸代理	373	13.03	--  	13.99	289733	2618	         10.87	11.77	14.60	13.99	0.223㈢	    47.05	395792448	  1.46	         37.29亿	北京	13.30	13.66	142390	147342	  0.97	13.98	152	  2.51	
600481	双良节能	3.94	0.48	环境保护	5109	4.08	--  	4.23	261249	2098	          1.61	4.93	4.28	4.22	0.090㈢	    34.29	109373864	  1.59	         68.38亿	江苏	4.09	4.19	101009	160240	  0.63	4.22	1218	  2.82	
300145	中金环境	3.17	0.52	专用机械	3159	3.80	--  	3.91	703731	3569	          4.76	5.03	3.99	3.90	0.261㈢	    11.19	275045440	  1.11	         57.68亿	浙江	3.81	3.91	340821	362910	  0.94	3.90	2128	  0.81	
300172	中电环保	3.15	0.16	环境保护	371	6.01	--  	6.23	148270	2309	          4.28	4.80	6.30	6.23	0.189㈢	    24.77	91806368	  1.65	         21.56亿	江苏	6.06	6.19	71329	76941	  0.93	6.22	11	  0.78	
300332	天壕环境	2.36	-0.45	环境保护	1429	4.19	--  	4.34	328933	3480	          4.63	5.91	4.44	4.33	0.035㈢	    91.97	142546400	  1.20	         30.74亿	北京	4.24	4.33	162508	166425	  0.98	4.33	561	 -0.00	
002665	首航节能	2.28	0.00	电气设备	5897	3.08	--  	3.14	1135581	9250	          5.03	4.56	3.22	3.14	-0.006㈢	--  	357431456	  1.26	         70.85亿	北京	3.12	3.15	514605	620975	  0.83	3.13	3155	 -0.08	
600008	首创股份	1.99	0.24	环境保护	855	4.00	--  	4.10	807493	7852	          1.68	4.23	4.17	4.10	0.090㈢	    40.73	331088384	  1.34	        197.65亿	北京	4.01	4.10	362944	444549	  0.82	4.09	1571	  0.87	
600458	时代新材	1.61	0.34	塑料	27	8.65	--  	8.83	116748	1344	          1.45	3.46	8.95	8.82	0.107㈢	    61.97	102776064	  1.01	         70.81亿	湖南	8.73	8.80	56220	60528	  0.93	8.82	370	  0.49	
