代码	名称	涨幅%%	涨速%%	细分行业	买量	最低	未匹配量	卖价	总量	现量	换手%%	振幅%%	最高	现价	每股收益	市盈(动)	总金额	量比	流通市值	地区	今开	均价	内盘	外盘	内外比	买价	卖量	强弱度%%	
000711	京蓝科技	9.98	0.00	软件服务	74008	6.05	--  	--  	237667	845	          5.85	9.32	6.61	6.61	0.170㈢	    33.25	154655232	  1.04	         26.86亿	黑龙江	6.05	6.51	170765	66901	  2.55	6.61	0	  7.62	
600240	华业资本	9.63	1.15	全国地产	21754	3.16	--  	3.53	2768794	32255	         19.44	11.80	3.54	3.53	-0.095㈢	--  	936220608	  2.26	         50.28亿	北京	3.35	3.38	1316533	1452261	  0.91	3.52	12137	  8.51	
002449	国星光电	5.24	0.23	半导体	1760	12.41	--  	13.06	258941	2647	          4.26	5.56	13.10	13.06	0.620㈢	    15.80	331366400	  1.25	         79.34亿	广东	12.41	12.80	122784	136156	  0.90	13.05	525	  2.87	
000100	TCL 集团	4.86	0.29	家用电器	22912	3.42	--  	3.46	5397387	70686	          4.22	3.65	3.54	3.45	0.184㈢	    14.08	1873347584	  1.42	        441.18亿	广东	3.48	3.47	2590115	2807271	  0.92	3.45	32677	  2.50	
600614	鹏起科技	4.62	0.99	综合类	860	5.79	--  	6.11	1158927	19342	          7.67	7.53	6.23	6.11	0.091㈢	    50.26	698995264	  0.80	         92.35亿	上海	5.84	6.03	558476	600451	  0.93	6.10	673	  3.50	
000159	国际实业	4.38	0.00	石油贸易	1082	4.76	--  	5.01	290184	2153	          6.04	10.65	5.27	5.00	0.056㈢	    67.18	144816464	  1.83	         24.03亿	新疆	4.78	4.99	135063	155120	  0.87	5.00	1740	  2.02	
600505	西昌电力	3.77	0.85	水力发电	152	6.99	--  	7.15	118994	1633	          3.26	5.52	7.37	7.15	0.131㈢	    40.80	85239840	  1.25	         26.07亿	四川	6.99	7.16	64409	54585	  1.18	7.14	655	  2.65	
002162	悦心健康	3.14	0.28	医疗保健	1710	3.47	--  	3.62	169978	1107	          1.99	6.00	3.68	3.61	0.029㈣	   126.59	60939992	  1.41	         30.79亿	上海	3.47	3.59	87890	82088	  1.07	3.61	1221	  0.78	
600101	明星电力	3.13	0.59	水力发电	104	8.28	--  	8.57	150203	2303	          4.63	3.37	8.56	8.56	0.324㈢	    19.82	126820912	  1.52	         27.75亿	四川	8.40	8.44	81087	69115	  1.17	8.56	220	  2.01	
600844	丹化科技	2.56	-0.24	化工原料	934	3.91	--  	4.01	137294	3443	          1.67	3.59	4.05	4.00	0.003㈢	  1048.04	54843216	  0.82	         32.91亿	上海	3.95	3.99	69034	68259	  1.01	4.00	136	  1.44	
002418	康盛股份	2.42	0.24	机械基件	1246	4.06	--  	4.25	820812	9075	          8.18	9.18	4.44	4.24	-0.008㈢	--  	347508224	  1.03	         42.55亿	浙江	4.15	4.23	387189	433623	  0.89	4.24	4492	  0.05	
600393	粤泰股份	2.40	0.67	全国地产	1883	2.91	--  	3.00	830959	10257	          8.41	4.11	3.03	2.99	0.248㈢	     9.05	247016432	  0.83	         29.55亿	广东	2.95	2.97	477725	353234	  1.35	2.99	5735	  1.28	
600868	梅雁吉祥	2.32	0.57	水力发电	2746	3.44	--  	3.53	766536	4764	          4.04	4.35	3.59	3.53	0.010㈢	   274.24	269341728	  1.15	         67.00亿	广东	3.49	3.51	325665	440871	  0.74	3.52	6901	  1.20	
002326	永太科技	2.13	0.00	化工原料	1601	8.91	--  	9.10	262612	2784	          4.88	4.71	9.33	9.10	0.485㈢	    14.06	239407840	  1.18	         49.00亿	浙江	9.03	9.12	121691	140921	  0.86	9.09	818	 -0.23	
600326	西藏天路	2.13	0.62	建筑施工	1806	7.86	--  	8.18	769426	9413	          8.89	6.13	8.35	8.17	0.439㈢	    13.96	621671424	  1.29	         70.70亿	西藏	8.06	8.08	397574	371851	  1.07	8.17	910	  1.00	
002239	奥特佳	2.01	0.40	汽车配件	10793	2.48	--  	2.54	925626	8195	          3.06	5.62	2.62	2.54	0.136㈢	    13.98	235839504	  0.93	         76.85亿	江苏	2.50	2.55	430239	495386	  0.87	2.53	4033	 -0.36	
600039	四川路桥	1.88	0.53	建筑施工	448	3.72	--  	3.80	734105	1748	          2.12	4.56	3.89	3.80	0.153㈢	    18.65	279467200	  1.31	        131.37亿	四川	3.75	3.81	332331	401774	  0.83	3.79	5794	  0.76	
002176	江特电机	1.77	0.35	电气设备	1930	5.65	--  	5.76	643048	8135	          4.38	4.07	5.88	5.75	0.200㈢	    24.73	371816832	  1.11	         84.43亿	江西	5.68	5.78	318805	324243	  0.98	5.75	1546	 -0.59	
600734	实达集团	1.76	0.00	电脑设备	1347	8.46	--  	8.69	502448	4706	         14.17	5.98	8.97	8.68	0.200㈢	    32.61	440360672	  1.06	         30.79亿	福建	8.64	8.76	268996	233452	  1.15	8.68	897	  0.64	
