代码	名称	涨幅%	涨速%	细分行业	买量	最低	卖价	涨速%	总量	现量	换手%	振幅%	最高	现价	每股收益	市盈(动)	总金额	量比	流通市值	地区	今开	均价	内盘	外盘	内外比	买价	卖量	强弱度%	流通股(亿)	涨跌	AB股总市值	活跃度	未匹配量	笔均量	笔换手	财务更新	上市日期	总股本(亿)	B/A股(亿)	H股(亿)	总资产(亿)	净资产(亿)	少数股权(亿)	资产负债率%	流动资产(亿)	固定资产(亿)	无形资产(亿)	流动负债(亿)	资本公积金(亿)	存货(亿)	应收帐款(亿)	营业收入(亿)	营业成本(亿)	营业利润(亿)	投资收益(亿)	利润总额(亿)	税后利润(亿)	净利润(亿)	未分利润(亿)	经营现金流(亿)	总现金流(亿)	股东人数	人均持股	人均市值	利润同比%	收入同比%	市净率	市现率	市销率	昨收	每股净资	调整后净资	每股公积	每股未分配	权益比%	净益率%	毛利率%	营业利润率%	净利润率%	交易代码	自选日	自选价	自选收益%	
600157	永泰能源	-7.17	0.92	煤炭开采	30746	2.15	2.20	0.92	4667421	68708	          3.76	8.44	2.35	2.20	0.003㈢	   659.62	1044568512	  0.45	        273.37亿	山西	2.32	2.24	2390910	2276510	  1.05	2.19	10006	 -5.98	        124.26	-0.17	        273.37亿	   4689	--  	    995	        0.0008	20190213	19980513	        124.26	--  	--  	1076.92	243.25	         42.21	73.49	116.86	269.66	507.99	424.52	93.18	5.90	26.91	166.35	125.24	4.23	6.70	4.21	0.98	0.31	23.63	39.17	-37.55	289588.00	         21058	4.63万	-92.45	-3.03	          1.12	6.98	1.64	2.37	          1.96	0.00	          0.75	          0.19	         22.59	   0.13㈢	         24.71	          2.54	          0.19	600157	--  	--  	--  	
600792	云煤能源	-1.36	0.83	焦炭加工	2119	3.57	3.63	0.83	144752	1566	          1.46	4.89	3.75	3.63	0.086㈢	    31.83	52889180	  0.57	         35.93亿	云南	3.70	3.65	79622	65129	  1.22	3.62	583	 -0.16	          9.90	-0.05	         35.93亿	   1498	--  	     97	        0.0010	20190213	19970123	          9.90	--  	--  	53.38	30.02	          0.65	42.54	19.26	20.12	6.01	18.15	22.72	4.31	7.55	38.28	34.37	0.93	0.00	0.95	0.86	0.85	-3.99	2.77	0.39	37703.00	          7745	2.81万	185.76	27.25	          1.20	12.99	0.94	3.68	          3.03	0.00	          2.30	         -0.40	         56.24	   2.82㈢	         10.22	          2.43	          2.21	600792	20170901	5.75	-36.87	
601101	昊华能源	0.00	0.75	煤炭开采	830	6.59	6.68	0.75	122901	2185	          1.02	3.44	6.82	6.68	0.756㈢	     6.62	82190600	  0.61	         80.16亿	北京	6.65	6.69	66378	56523	  1.17	6.67	398	  1.20	         12.00	0.00	         80.16亿	   1813	--  	     68	        0.0006	20190213	20100331	         12.00	--  	--  	210.01	82.35	         47.19	38.32	41.91	78.95	79.46	22.44	32.72	3.75	2.88	43.19	19.03	13.26	-0.00	12.84	10.15	9.08	25.59	23.39	11.06	49463.00	          9147	6.11万	44.23	-4.09	          0.97	3.43	1.86	6.68	          6.86	0.00	          2.73	          2.13	         39.21	  11.02㈢	         55.93	         30.71	         21.02	601101	--  	--  	--  	
600714	金瑞矿业	-1.94	0.71	煤炭开采	39	6.95	7.08	0.71	24647	33	          0.86	4.57	7.28	7.08	0.054㈢	    98.20	17541496	  0.72	         20.40亿	青海	7.20	7.12	13490	11156	  1.21	7.05	418	 -0.74	          2.88	-0.14	         20.40亿	    792	--  	     31	        0.0011	20190213	19960606	          2.88	--  	--  	6.68	6.17	          0.00	7.58	4.73	0.78	0.53	0.39	3.00	0.41	0.12	0.92	0.61	0.19	0.04	0.19	0.16	0.16	0.01	0.13	-0.38	19814.00	          5484	3.88万	72.96	55.45	          3.30	154.37	22.20	7.22	          2.14	0.00	          1.04	          0.00	         92.42	   2.52㈢	         33.78	         20.80	         16.96	600714	--  	--  	--  	
601015	陕西黑猫	3.65	0.65	焦炭加工	1469	5.97	6.25	0.65	263825	8966	          2.35	4.49	6.24	6.24	0.162㈢	    28.86	161980128	  1.50	         70.02亿	陕西	5.97	6.14	109271	154554	  0.71	6.24	1777	  4.85	         11.22	0.22	         78.23亿	   3045	--  	     87	        0.0008	20181101	20141105	         12.54	--  	--  	141.99	55.79	         18.01	48.02	64.14	35.70	6.17	59.34	29.02	8.43	7.46	73.25	64.88	2.92	0.56	2.92	2.67	2.03	12.81	0.30	-7.14	47259.00	          9529	5.95万	20.77	-5.05	          1.40	261.05	1.07	6.02	          4.45	0.00	          2.31	          1.02	         39.29	   3.64㈢	         11.43	          3.98	          2.78	601015	20170901	10.92	-42.67	
600758	红阳能源	-1.97	0.50	煤炭开采	388	3.93	3.99	0.50	145799	1942	          1.86	4.91	4.13	3.99	0.003㈢	  1068.39	58363428	  0.80	         31.35亿	辽宁	4.06	4.00	79620	66179	  1.20	3.98	1542	 -0.77	          7.86	-0.08	         52.75亿	   1790	--  	     81	        0.0010	20190123	19961029	         13.22	--  	--  	152.54	53.48	          0.01	64.94	60.75	68.58	18.48	84.95	34.09	2.35	12.04	53.37	44.91	0.64	0.04	0.63	0.04	0.04	4.42	3.34	-9.73	65821.00	          8526	3.40万	-99.22	-4.94	          0.99	15.81	0.99	4.07	          4.05	0.00	          2.58	          0.33	         35.06	   0.07㈢	         15.86	          1.20	          0.07	600758	--  	--  	--  	
600725	ST云维	0.75	0.38	焦炭加工	92	2.62	2.67	0.38	64351	99	          0.52	4.15	2.73	2.67	0.013㈢	   157.66	17139874	  0.59	         32.91亿	云南	2.66	2.66	35333	29017	  1.22	2.66	716	  1.95	         12.32	0.02	         32.91亿	    585	--  	    110	        0.0009	20190304	19960702	         12.32	--  	--  	3.54	2.91	          0.00	17.79	3.53	0.01	0.00	0.25	18.01	0.02	0.32	7.47	7.11	0.23	0.04	0.16	0.16	0.16	-28.48	0.02	-0.02	30000.00	         31509	8.41万	192.79	122.67	         11.30	1557.87	4.41	2.65	          0.24	0.00	          1.46	         -2.31	         82.21	   5.38㈢	          4.86	          3.15	          2.10	600725	--  	--  	--  	
600740	山西焦化	0.65	0.32	焦炭加工	2125	9.15	9.29	0.32	253376	6484	          3.86	2.38	9.37	9.29	1.060㈢	     8.20	234831136	  0.63	         61.02亿	山西	9.21	9.27	128473	124902	  1.03	9.28	205	  1.85	          6.57	0.06	        140.84亿	   2830	--  	     90	        0.0014	20190129	19960808	         15.16	--  	--  	197.89	95.46	          5.82	48.82	57.07	35.60	2.31	84.31	77.16	4.03	1.79	52.03	46.55	10.53	9.34	12.88	12.88	12.87	1.73	1.37	-2.25	79272.00	          7175	6.67万	2376.51	20.98	          1.39	102.58	2.71	9.23	          6.67	6.67	          5.09	          0.11	         48.24	  13.49㈢	         10.54	         20.23	         24.74	600740	--  	--  	--  	
601011	宝泰隆	-3.00	0.31	焦炭加工	946	6.37	6.48	0.31	390789	2810	          2.44	5.10	6.71	6.47	0.171㈢	    28.30	254104112	  0.72	        103.47亿	黑龙江	6.66	6.50	214360	176428	  1.21	6.47	942	 -1.80	         15.99	-0.20	        104.23亿	   3222	--  	    121	        0.0008	20181108	20110309	         16.11	--  	--  	105.11	59.56	          7.20	36.48	24.96	17.22	5.54	28.78	32.17	10.28	0.66	26.04	19.05	3.66	-0.03	3.64	2.73	2.76	10.96	5.34	-1.76	121775.00	          8677	5.61万	87.96	28.76	          1.75	19.51	4.00	6.67	          3.70	3.70	          2.00	          0.68	         56.67	   4.64㈢	         26.86	         14.06	         10.61	601011	20170904	11.44	-43.01	
601918	新集能源	0.56	0.28	煤炭开采	3628	3.57	3.62	0.28	356620	4722	          1.38	2.78	3.67	3.62	0.350㈢	     7.75	128552880	  0.57	         93.78亿	安徽	3.59	3.60	202996	153623	  1.32	3.61	3527	  1.75	         25.91	0.02	         93.78亿	   2692	--  	    132	        0.0005	20190213	20071219	         25.91	--  	--  	308.01	58.33	          7.41	78.66	29.44	144.53	15.54	108.94	18.89	2.19	4.87	67.40	37.58	15.98	-0.18	15.42	10.23	9.08	0.64	30.04	9.33	175941.00	          8086	2.93万	435.32	23.90	          1.77	3.12	1.39	3.60	          2.04	2.04	          0.73	          0.02	         18.94	  15.56㈢	         44.25	         23.70	         13.47	601918	--  	--  	--  	
