代码	名称	涨幅%%	涨速%%	细分行业	买量	最低	未匹配量	卖价	总量	现量	换手%%	振幅%%	最高	现价	每股收益	市盈(动)	总金额	量比	流通市值	地区	今开	均价	内盘	外盘	内外比	买价	卖量	强弱度%%	
002167	东方锆业	10.00	0.00	小金属	35872	6.73	--  	--  	325469	397	          5.26	8.03	7.26	7.26	0.017㈣	   424.18	228841008	  1.62	         44.91亿	广东	6.96	7.03	183835	141634	  1.30	7.26	0	  7.64	
600218	全柴动力	6.98	-0.29	农用机械	568	11.95	--  	13.18	921812	10444	         25.00	12.82	13.53	13.18	0.100㈢	    99.29	1174402432	  1.15	         48.60亿	安徽	12.87	12.74	442073	479738	  0.92	13.17	1376	  5.86	
000338	潍柴动力	6.18	0.00	汽车配件	1276	9.94	--  	10.65	1702075	11348	          4.01	10.27	10.97	10.65	0.756㈢	    10.56	1796992640	  1.86	        451.97亿	山东	10.08	10.56	771336	930738	  0.83	10.64	624	  3.82	
600459	贵研铂业	4.97	-0.05	小金属	256	14.81	--  	15.64	429574	3675	         12.66	10.48	16.37	15.63	0.354㈢	    33.11	668158336	  1.90	         53.03亿	云南	15.20	15.55	204033	225540	  0.90	15.63	284	  3.85	
002249	大洋电机	4.65	-0.20	电气设备	2961	4.47	--  	4.74	689358	7720	          3.01	8.41	4.85	4.73	0.061㈢	    58.14	320687552	  1.28	        108.49亿	广东	4.55	4.65	316184	373174	  0.85	4.73	2569	  2.28	
002733	雄韬股份	4.10	0.16	电气设备	291	23.01	--  	24.63	312749	3485	          9.56	9.04	25.15	24.63	0.205㈢	    90.01	763062656	  0.76	         80.60亿	深圳	23.60	24.40	144307	168441	  0.86	24.62	48	  1.74	
000807	云铝股份	3.92	0.42	铝	3041	4.59	--  	4.78	1277166	6210	          5.26	6.32	4.88	4.77	0.042㈢	    84.39	605223872	  1.18	        115.89亿	云南	4.64	4.74	606209	670956	  0.90	4.77	3259	  1.56	
000637	茂化实华	3.84	0.44	石油加工	519	4.45	--  	4.60	228511	2891	          6.24	9.48	4.87	4.60	0.048㈢	    71.92	105018544	  1.56	         16.86亿	广东	4.45	4.60	98143	130368	  0.75	4.59	600	  1.47	
002012	凯恩股份	3.63	1.68	造纸	55	4.63	--  	4.85	600862	6544	         12.87	5.77	4.90	4.85	0.040㈢	    91.86	286197856	  1.35	         22.65亿	浙江	4.63	4.76	294430	306432	  0.96	4.84	3871	  1.27	
300228	富瑞特装	3.43	0.32	化工机械	1605	6.15	--  	6.33	385190	5211	          9.49	6.54	6.55	6.33	-0.084㈢	--  	243682208	  1.17	         25.71亿	江苏	6.18	6.33	178022	207168	  0.86	6.32	668	  1.07	
