代码	名称	涨幅%%	涨速%%	细分行业	买量	最低	未匹配量	卖价	总量	现量	换手%%	振幅%%	最高	现价	每股收益	市盈(动)	总金额	量比	流通市值	地区	今开	均价	内盘	外盘	内外比	买价	卖量	强弱度%%	
300278	华昌达	10.00	0.00	专用机械	123031	7.37	--  	--  	3164	3	          0.12	0.00	7.37	7.37	0.008㈢	   668.35	2331883	  0.04	         19.76亿	湖北	7.37	7.37	2831	333	  8.50	7.37	0	  7.64	
300176	派生科技	10.00	0.00	汽车配件	1528	41.00	--  	--  	64534	134	          1.73	8.06	44.24	44.24	1.000㈢	    33.19	276464736	  4.27	        165.18亿	广东	41.00	42.84	26299	38235	  0.69	44.24	0	  7.63	
002160	常铝股份	9.92	0.00	铝	35687	3.94	--  	--  	317749	368	          5.28	9.67	4.32	4.32	0.040㈢	    90.31	133909584	  2.15	         26.01亿	江苏	3.94	4.21	142512	175237	  0.81	4.32	0	  7.56	
002547	春兴精工	8.14	1.01	通信设备	2455	8.40	--  	9.03	1364683	21232	         17.11	8.98	9.15	9.03	0.039㈢	   173.01	1207545728	  0.95	         72.03亿	江苏	8.40	8.85	614212	750470	  0.82	9.02	996	  5.78	
002050	三花智控	7.89	0.25	机械基件	339	14.77	--  	15.88	530506	3987	          2.85	9.59	16.18	15.87	0.480㈢	    24.78	840645248	  3.44	        295.30亿	浙江	14.77	15.85	295460	235046	  1.26	15.87	761	  5.52	
002441	众业达	6.99	-0.11	批发业	445	7.91	--  	8.58	254829	2609	          6.49	9.74	8.69	8.57	0.343㈢	    18.74	210175280	  2.06	         33.66亿	广东	7.99	8.25	120786	134043	  0.90	8.57	234	  4.63	
601689	拓普集团	6.58	0.91	汽车配件	453	18.94	--  	19.91	170850	1433	          6.98	7.76	20.39	19.91	0.848㈢	    17.60	337271840	  1.56	         48.71亿	浙江	18.94	19.74	88855	81994	  1.08	19.90	156	  5.46	
603197	保隆科技	5.29	0.00	汽车配件	26	23.49	--  	24.49	36259	90	          3.68	6.41	24.98	24.48	0.750㈢	    24.96	88285344	  1.27	         24.09亿	上海	23.62	24.35	14810	21449	  0.69	24.48	393	  4.17	
002850	科达利	4.85	0.07	机械基件	179	25.98	--  	26.83	45598	547	          4.91	5.36	27.35	26.82	0.209㈢	    96.47	121781176	  1.41	         24.92亿	深圳	25.98	26.71	22129	23468	  0.94	26.82	5	  2.48	
002121	科陆电子	4.47	0.75	电器仪表	1031	5.20	--  	5.37	197683	5183	          2.18	3.50	5.38	5.37	0.014㈢	   286.34	104918840	  1.14	         48.63亿	深圳	5.25	5.31	93226	104457	  0.89	5.36	181	  2.11	
300450	先导智能	4.26	-0.63	专用机械	49	34.34	--  	35.71	215739	1265	          4.44	5.96	36.38	35.71	0.620㈢	    43.16	771617280	  1.12	        173.35亿	江苏	34.49	35.77	101404	114335	  0.89	35.70	13	  1.90	
600885	宏发股份	4.15	1.24	电气设备	18	25.59	--  	26.84	67908	367	          0.91	5.47	27.00	26.84	0.790㈢	    25.48	180707024	  1.39	        199.89亿	湖北	25.81	26.61	31601	36306	  0.87	26.83	14	  3.03	
002028	思源电气	4.06	-0.07	电气设备	390	11.56	--  	12.06	312827	2824	          5.39	5.95	12.25	12.06	0.315㈢	    28.69	373443232	  1.72	         69.97亿	上海	11.65	11.94	142462	170364	  0.84	12.05	119	  1.69	
603730	岱美股份	3.66	0.04	汽车配件	50	23.48	--  	24.06	13359	92	          1.65	6.12	24.90	24.05	1.086㈢	    16.61	32539920	  1.55	         19.52亿	上海	23.48	24.36	7391	5968	  1.24	24.05	46	  2.54	
300127	银河磁体	3.63	0.15	元器件	626	12.66	--  	13.15	81202	1466	          3.58	4.65	13.25	13.14	0.383㈢	    25.75	104730280	  1.90	         29.84亿	四川	12.74	12.90	40641	40561	  1.00	13.14	766	  1.26	
002045	国光电器	3.30	0.85	元器件	2294	5.73	--  	5.95	302825	7065	          7.28	4.35	5.98	5.94	-0.150㈢	--  	177221968	  1.23	         24.69亿	广东	5.89	5.85	153106	149718	  1.02	5.94	1637	  0.94	
000839	中信国安	3.03	0.00	综合类	9508	4.66	--  	4.76	1839058	22573	          4.69	6.06	4.94	4.76	0.001㈢	  2570.12	880746560	  0.93	        186.54亿	北京	4.76	4.79	916047	923010	  0.99	4.75	53	  0.67	
603960	克来机电	2.82	0.00	专用机械	19	30.31	--  	31.41	16195	218	          3.13	5.54	32.00	31.38	0.314㈢	    74.98	50972120	  1.61	         16.26亿	上海	30.31	31.47	6974	9220	  0.76	31.38	5	  1.70	
002130	沃尔核材	2.80	0.00	电气设备	1503	4.26	--  	4.40	660362	9296	          6.98	9.35	4.66	4.40	0.113㈢	    29.09	291125632	  1.46	         41.63亿	深圳	4.30	4.41	313428	346934	  0.90	4.39	952	  0.44	
600525	长园集团	2.62	0.14	电气设备	4221	6.91	--  	7.07	1272460	8316	          9.74	4.80	7.24	7.06	0.980㈢	     5.49	900597120	  0.81	         92.19亿	深圳	6.95	7.08	677358	595101	  1.14	7.06	2707	  1.49	
300037	新宙邦	2.40	0.45	化工原料	116	28.23	--  	29.00	106313	605	          4.27	5.37	29.75	28.99	0.560㈢	    39.67	309867872	  0.88	         72.23亿	深圳	28.32	29.15	48765	57548	  0.85	28.99	223	  0.04	
002340	格林美	2.33	0.21	小金属	4800	4.76	--  	4.84	1471553	11587	          3.89	4.03	4.95	4.83	0.130㈢	    29.04	715116992	  1.15	        182.75亿	深圳	4.76	4.86	721628	749925	  0.96	4.83	4130	 -0.03	
000400	许继电气	2.01	0.00	电气设备	154	11.00	--  	11.16	298323	2045	          2.96	3.84	11.42	11.16	0.154㈢	    54.31	335641760	  1.23	        112.51亿	河南	11.00	11.25	153164	145159	  1.06	11.15	1144	 -0.35	
002239	奥特佳	2.01	0.40	汽车配件	10793	2.48	--  	2.54	925626	8195	          3.06	5.62	2.62	2.54	0.136㈢	    13.98	235839504	  0.93	         76.85亿	江苏	2.50	2.55	430239	495386	  0.87	2.53	4033	 -0.36	
603305	旭升股份	1.92	0.14	汽车配件	4	34.20	--  	34.55	60181	467	          9.51	8.23	36.99	34.55	0.574㈢	    45.14	213161344	  1.02	         21.86亿	浙江	35.68	35.42	33514	26666	  1.26	34.53	12	  0.80	
002501	利源精制	1.86	0.61	铝	5860	3.15	--  	3.30	744504	11141	          7.44	5.57	3.33	3.29	-0.783㈢	--  	241243680	  1.34	         32.94亿	吉林	3.18	3.24	401710	342793	  1.17	3.29	3783	 -0.51	
002156	通富微电	1.80	0.44	半导体	1091	8.92	--  	9.05	385503	2456	          3.34	4.05	9.28	9.05	0.140㈢	    48.65	350935168	  1.22	        104.39亿	江苏	9.03	9.10	186508	198995	  0.94	9.04	427	 -0.56	
300134	大富科技	1.76	0.35	通信设备	1329	13.90	--  	14.46	460497	3837	          6.46	7.46	14.96	14.45	-0.091㈢	--  	667980992	  1.04	        102.94亿	深圳	14.15	14.51	217907	242590	  0.90	14.45	74	 -0.60	
600335	国机汽车	1.59	0.13	汽车配件	640	7.53	--  	7.66	252384	2723	          2.45	4.12	7.84	7.65	0.475㈢	    12.09	193977168	  1.02	         78.77亿	天津	7.58	7.69	125211	127173	  0.98	7.65	267	  0.47	
002664	长鹰信质	1.56	0.44	汽车配件	1689	13.42	--  	13.72	133159	672	          3.80	4.22	13.99	13.71	0.497㈢	    20.68	182808384	  1.13	         47.98亿	浙江	13.55	13.73	69471	63687	  1.09	13.71	294	 -0.81	
600114	东睦股份	1.36	-0.12	机械基件	433	7.34	--  	7.43	161150	1243	          2.54	3.41	7.59	7.43	0.386㈢	    14.45	120793984	  1.12	         47.14亿	浙江	7.35	7.50	82720	78429	  1.05	7.42	613	  0.24	
002036	联创电子	1.36	0.67	元器件	268	11.77	--  	11.95	255347	2298	          4.64	6.28	12.51	11.95	0.333㈢	    26.92	307707936	  1.23	         65.73亿	江西	12.25	12.05	135367	119979	  1.13	11.93	207	 -1.01	
000009	中国宝安	1.33	0.19	综合类	717	5.31	--  	5.36	676081	3165	          3.19	5.11	5.58	5.35	0.046㈢	    87.46	368026592	  1.39	        113.41亿	深圳	5.45	5.44	349016	327064	  1.07	5.35	2673	 -1.04	
300320	海达股份	1.31	0.00	橡胶	757	5.93	--  	6.17	502354	9119	         11.09	9.20	6.49	6.17	0.220㈢	    22.80	313638016	  3.81	         27.95亿	江苏	6.09	6.24	231487	270867	  0.85	6.16	402	 -1.05	
002635	安洁科技	1.31	0.07	电脑设备	2232	14.50	--  	14.71	259443	1570	          7.09	3.99	15.08	14.71	0.570㈢	    19.11	383059104	  1.06	         53.82亿	江苏	14.52	14.76	130104	129338	  1.01	14.70	53	 -1.06	
000559	万向钱潮	1.29	0.16	汽车配件	364	6.17	--  	6.26	224002	2104	          0.81	3.40	6.38	6.26	0.211㈢	    22.29	140905456	  1.27	        172.35亿	浙江	6.25	6.29	111117	112885	  0.98	6.25	612	 -1.07	
300718	长盛轴承	1.26	0.12	机械基件	212	16.72	--  	16.95	53897	937	         10.89	4.67	17.50	16.92	0.527㈢	    24.06	91820168	  1.28	          8.38亿	浙江	16.76	17.04	26098	27799	  0.94	16.92	3	 -1.11	
002091	江苏国泰	1.22	-0.29	商贸代理	1270	6.56	--  	6.64	257724	3010	          2.65	5.50	6.92	6.63	0.469㈢	    10.61	173225776	  1.22	         64.46亿	江苏	6.56	6.72	126419	131304	  0.96	6.63	884	 -1.14	
300643	万通智控	1.16	0.21	汽车配件	198	9.52	--  	9.62	67795	421	          9.41	2.52	9.76	9.62	0.143㈢	    50.57	65338924	  1.04	          6.93亿	浙江	9.53	9.64	35526	32268	  1.10	9.61	424	 -1.21	
002540	亚太科技	1.14	0.19	铝	395	5.27	--  	5.34	87054	1000	          0.97	2.46	5.40	5.34	0.228㈢	    17.57	46511420	  1.03	         47.79亿	江苏	5.35	5.34	39980	47073	  0.85	5.33	396	 -1.23	
000973	佛塑科技	1.09	0.22	塑料	2709	4.59	--  	4.65	410379	4456	          4.24	4.35	4.79	4.65	0.043㈢	    81.06	192029504	  0.71	         44.98亿	广东	4.64	4.68	199430	210949	  0.95	4.64	115	 -1.28	
600480	凌云股份	0.87	0.65	汽车配件	135	9.23	--  	9.33	91967	1219	          2.04	2.81	9.49	9.32	0.490㈢	    14.45	86038784	  1.08	         42.03亿	河北	9.28	9.36	49953	42013	  1.19	9.32	119	 -0.26	
002203	海亮股份	0.85	0.12	铜	620	8.21	--  	8.28	121678	916	          0.74	1.71	8.35	8.28	0.410㈢	    17.54	100731344	  1.43	        135.28亿	浙江	8.22	8.28	71478	50200	  1.42	8.27	135	 -1.51	
603026	石大胜华	0.83	0.50	化工原料	18	23.72	--  	24.20	42241	263	          2.08	3.67	24.60	24.20	0.838㈢	    21.65	101749160	  1.06	         49.05亿	山东	24.14	24.09	21615	20626	  1.05	24.06	9	 -0.29	
000012	南 玻Ａ	0.80	0.20	玻璃	1993	4.98	--  	5.01	364513	1884	          2.05	2.62	5.11	5.01	0.170㈢	    22.93	183887376	  1.04	         88.93亿	深圳	5.00	5.04	177019	187493	  0.94	5.00	285	 -1.56	
300709	精研科技	0.79	0.13	元器件	43	31.63	--  	31.90	13036	100	          2.30	2.75	32.50	31.90	0.211㈢	   113.13	41802892	  0.65	         18.05亿	江苏	31.95	32.07	6891	6144	  1.12	31.89	159	 -1.57	
300707	威唐工业	0.76	0.47	专用机械	3	17.05	--  	17.19	42736	689	          5.54	2.58	17.49	17.18	0.512㈢	    25.15	73745184	  1.01	         13.26亿	江苏	17.11	17.26	20156	22580	  0.89	17.18	45	 -1.60	
600869	智慧能源	0.76	0.00	电气设备	1136	5.28	--  	5.32	225017	2019	          1.01	2.27	5.40	5.32	0.134㈢	    29.72	120244856	  0.90	        118.07亿	青海	5.30	5.34	111829	113188	  0.99	5.31	657	 -0.36	
600418	江淮汽车	0.75	0.19	汽车整车	228	5.30	--  	5.35	281582	3126	          1.49	2.83	5.45	5.34	0.025㈢	   158.54	151539984	  1.12	        101.10亿	安徽	5.32	5.38	133690	147892	  0.90	5.34	663	 -0.37	
603667	五洲新春	0.75	0.00	机械基件	10	9.30	--  	9.37	44830	261	          3.95	2.37	9.52	9.37	0.370㈢	    21.92	42192916	  1.09	         10.63亿	浙江	9.38	9.41	23603	21227	  1.11	9.36	67	 -0.37	
002460	赣锋锂业	0.70	0.22	小金属	7	26.85	--  	27.16	580457	4710	          7.25	4.90	28.17	27.15	1.010㈢	    24.20	1593662336	  0.97	        217.35亿	江西	26.98	27.46	293694	286762	  1.02	27.15	164	 -1.66	
002196	方正电机	0.68	0.51	纺织机械	311	5.88	--  	5.94	65935	722	          2.19	2.54	6.03	5.94	0.130㈢	    37.06	39308152	  1.00	         17.89亿	浙江	5.94	5.96	33615	32320	  1.04	5.93	25	 -1.69	
600611	大众交通	0.66	0.22	公共交通	579	4.54	--  	4.59	295057	1404	          1.89	3.08	4.68	4.58	0.244㈢	    14.06	136025456	  1.14	         71.60亿	上海	4.59	4.61	152667	142390	  1.07	4.58	3842	 -0.46	
600110	诺德股份	0.63	0.21	电气设备	4572	4.74	--  	4.80	648849	9334	          5.64	5.03	4.98	4.80	0.053㈢	    68.13	313533440	  1.60	         55.21亿	吉林	4.79	4.83	322666	326182	  0.99	4.79	2394	 -0.49	
000887	中鼎股份	0.60	0.26	橡胶	20	11.61	--  	11.70	210846	1413	          1.73	3.18	11.98	11.70	0.860㈢	    10.20	249141168	  0.99	        142.57亿	安徽	11.86	11.82	119584	91261	  1.31	11.69	50	 -1.76	
300619	金银河	0.57	0.15	专用机械	5	26.14	--  	26.32	18642	228	          6.12	2.33	26.75	26.32	0.621㈣	    42.39	49370608	  1.09	          8.02亿	广东	26.35	26.48	9466	9175	  1.03	26.31	36	 -1.79	
600805	悦达投资	0.56	0.00	综合类	944	5.37	--  	5.41	182918	1521	          2.15	2.61	5.51	5.40	0.175㈢	    23.18	99363728	  1.26	         45.91亿	江苏	5.40	5.43	112712	70205	  1.61	5.40	256	 -0.56	
000970	中科三环	0.54	0.33	元器件	248	9.17	--  	9.26	304192	2149	          2.86	4.13	9.55	9.25	0.176㈢	    39.37	284636896	  1.14	         98.53亿	北京	9.22	9.36	158476	145715	  1.09	9.25	251	 -1.82	
600366	宁波韵升	0.49	0.33	电器仪表	1656	6.06	--  	6.12	314809	1169	          3.18	3.45	6.27	6.11	0.066㈢	    69.45	193889600	  1.03	         60.43亿	浙江	6.14	6.16	166468	148341	  1.12	6.11	1410	 -0.63	
002466	天齐锂业	0.48	0.11	小金属	1601	36.83	--  	37.39	501545	3438	          4.42	6.40	39.21	37.38	1.479㈢	    18.96	1897234688	  1.11	        424.62亿	四川	37.30	37.83	250735	250810	  1.00	37.38	92	 -1.88	
600699	均胜电子	0.46	0.04	汽车配件	492	25.96	--  	26.09	153033	669	          1.61	3.66	26.91	26.09	1.150㈢	    17.56	404118016	  1.04	        247.67亿	浙江	26.36	26.41	83731	69302	  1.21	26.08	144	 -0.66	
600884	杉杉股份	0.45	0.19	综合类	1530	15.59	--  	15.77	362991	1665	          3.23	3.63	16.16	15.77	0.939㈢	    12.60	576018432	  1.22	        177.06亿	浙江	15.95	15.87	203310	159681	  1.27	15.76	336	 -0.68	
000030	富奥股份	0.43	0.00	汽车配件	272	4.66	--  	4.71	150176	973	          0.86	2.35	4.77	4.70	0.365㈢	     9.65	70995224	  1.14	         82.28亿	吉林	4.71	4.73	82923	67252	  1.23	4.70	1325	 -1.94	
002510	天汽模	0.43	0.00	汽车配件	5139	4.63	--  	4.72	441074	3425	          5.61	3.41	4.79	4.71	0.110㈢	    31.75	207320224	  0.99	         37.06亿	天津	4.69	4.70	220492	220581	  1.00	4.71	1273	 -1.94	
300088	长信科技	0.35	-0.16	元器件	2190	5.71	--  	5.75	1229604	11174	          5.44	4.19	5.95	5.75	0.265㈢	    16.30	715721344	  1.13	        130.05亿	安徽	5.83	5.82	610503	619100	  0.99	5.74	923	 -2.02	
002056	横店东磁	0.29	0.29	元器件	577	6.93	--  	6.99	434992	4008	          2.65	3.16	7.15	6.98	0.306㈢	    17.13	306482400	  1.22	        114.65亿	浙江	6.99	7.05	238336	196655	  1.21	6.98	704	 -2.08	
002484	江海股份	0.27	0.00	元器件	1006	7.31	--  	7.52	196507	2045	          2.57	4.01	7.61	7.51	0.219㈢	    25.78	147145568	  1.23	         57.35亿	江苏	7.48	7.49	106648	89858	  1.19	7.51	680	 -2.10	
002101	广东鸿图	0.22	0.11	机械基件	365	9.03	--  	9.10	73101	464	          1.72	2.42	9.25	9.10	0.535㈢	    12.76	66896572	  1.11	         38.73亿	广东	9.10	9.15	38315	34785	  1.10	9.09	160	 -2.14	
