代码	名称	涨幅%%	涨速%%	细分行业	买量	最低	未匹配量	卖价	总量	现量	换手%%	振幅%%	最高	现价	每股收益	市盈(动)	总金额	量比	流通市值	地区	今开	均价	内盘	外盘	内外比	买价	卖量	强弱度%%	
600408	*ST安泰	5.08	0.00	焦炭加工	22260	3.61	--  	--  	106320	160	          1.06	3.11	3.72	3.72	0.566㈢	     4.93	39435128	  0.44	         37.45亿	山西	3.61	3.71	51899	54420	  0.95	3.72	0	  3.96	
002075	沙钢股份	4.17	-0.18	特种钢	1633	9.83	--  	10.25	866245	6541	          3.93	8.85	10.70	10.24	0.450㈢	    17.06	881203584	  1.18	        225.97亿	江苏	9.85	10.17	453292	412953	  1.10	10.24	477	  1.81	
002423	中原特钢	3.69	0.37	特种钢	676	12.18	--  	13.49	498299	2745	          9.91	13.23	13.90	13.48	-0.130㈢	--  	648349824	  2.29	         67.80亿	河南	12.40	13.01	249973	248326	  1.01	13.48	148	  1.33	
300034	钢研高纳	2.37	0.09	小金属	566	11.46	--  	11.68	130628	1036	          3.10	4.21	11.94	11.68	0.160㈢	    58.27	152844352	  1.28	         49.17亿	北京	11.47	11.70	61420	69208	  0.89	11.67	229	  0.00	
600117	西宁特钢	2.29	0.50	特种钢	1917	3.88	--  	4.03	375284	3324	          5.06	8.14	4.20	4.02	-0.551㈢	--  	150395872	  1.14	         29.80亿	青海	3.92	4.01	180521	194762	  0.93	4.02	3543	  1.17	
601005	重庆钢铁	1.36	0.90	普钢	3346	2.20	--  	2.24	710887	1816	          0.85	3.17	2.27	2.24	0.166㈢	    10.12	158774624	  1.07	        187.72亿	重庆	2.22	2.23	339236	371651	  0.91	2.23	7250	  0.24	
000709	河钢股份	1.17	0.00	普钢	6257	3.42	--  	3.45	1263892	4803	          1.19	2.05	3.49	3.45	0.317㈢	     8.15	436637632	  1.09	        366.28亿	河北	3.44	3.45	636585	627306	  1.01	3.44	15672	 -1.19	
600399	*ST抚钢	1.05	-0.25	特种钢	1465	3.79	--  	3.85	359795	2400	          1.82	5.26	3.99	3.84	-0.064㈢	--  	140799712	  1.66	         75.73亿	辽宁	3.88	3.91	200448	159346	  1.26	3.84	1227	 -0.07	
600126	杭钢股份	0.79	0.20	普钢	2269	5.04	--  	5.09	159669	983	          1.32	3.37	5.21	5.09	0.475㈢	     8.03	81621896	  1.01	         61.34亿	浙江	5.06	5.11	86188	73480	  1.17	5.08	1677	 -0.33	
002756	永兴特钢	0.71	0.19	特种钢	356	15.57	--  	15.68	67180	773	          3.63	2.44	15.95	15.68	0.917㈢	    12.82	105589176	  0.88	         29.00亿	浙江	15.60	15.72	34520	32660	  1.06	15.67	527	 -1.66	
000825	太钢不锈	0.58	0.19	特种钢	7573	5.20	--  	5.23	990376	5634	          1.74	2.50	5.33	5.23	0.713㈢	     5.50	520846080	  1.08	        297.90亿	山西	5.25	5.26	483519	506857	  0.95	5.22	1298	 -1.79	
002478	常宝股份	0.54	0.00	钢加工	103	5.53	--  	5.60	169651	621	          2.86	2.16	5.65	5.59	0.380㈢	    10.94	95016352	  1.62	         33.18亿	江苏	5.56	5.60	84692	84958	  1.00	5.59	800	 -1.82	
600507	方大特钢	0.07	-0.27	特种钢	1795	14.23	--  	14.35	474807	7492	          3.58	2.93	14.65	14.34	2.080㈣	     7.10	683243712	  0.84	        190.16亿	江西	14.34	14.39	250883	223924	  1.12	14.34	98	 -1.05	
000708	大冶特钢	0.00	0.00	特种钢	1155	11.31	--  	11.38	105903	1284	          2.36	2.28	11.57	11.38	1.135㈣	    10.02	120972232	  0.94	         51.14亿	湖北	11.39	11.42	53212	52691	  1.01	11.37	34	 -2.36	
002318	久立特材	-0.51	-0.12	特种钢	1236	7.72	--  	7.74	319463	1627	          3.89	3.35	7.98	7.73	0.260㈢	    22.63	250838208	  1.28	         63.45亿	浙江	7.83	7.85	173482	145980	  1.19	7.73	587	 -2.88	
数据来源:通达信
