代码	名称	涨幅%%	涨速%%	细分行业	买量	最低	未匹配量	卖价	总量	现量	换手%%	振幅%%	最高	现价	每股收益	市盈(动)	总金额	量比	流通市值	地区	今开	均价	内盘	外盘	内外比	买价	卖量	强弱度%%	
002112	三变科技	10.03	0.00	电气设备	46674	7.33	--  	--  	122510	7	          6.67	1.92	7.46	7.46	-0.223㈢	--  	91335696	  2.39	         13.71亿	浙江	7.46	7.46	108318	14191	  7.63	7.46	0	  7.66	
601700	风范股份	10.02	0.00	电气设备	9064	8.15	--  	--  	1574180	11557	         13.89	12.77	9.22	9.22	0.035㈢	   195.94	1384298240	  1.34	        104.48亿	江苏	8.41	8.79	758828	815352	  0.93	9.22	0	  8.90	
300069	金利华电	10.00	0.00	电气设备	60030	12.94	--  	--  	35391	138	          3.83	10.46	14.30	14.30	-0.104㈢	--  	48235756	  1.17	         13.21亿	浙江	13.03	13.63	17035	18356	  0.93	14.30	0	  7.64	
002123	梦网集团	7.83	-0.47	互联网	43	11.63	--  	12.40	564913	5777	          8.75	8.87	12.65	12.40	0.188㈢	    49.49	689967744	  1.28	         80.03亿	深圳	11.70	12.21	284441	280472	  1.01	12.39	2328	  5.46	
002028	思源电气	4.06	-0.07	电气设备	390	11.56	--  	12.06	312827	2824	          5.39	5.95	12.25	12.06	0.315㈢	    28.69	373443232	  1.72	         69.97亿	上海	11.65	11.94	142462	170364	  0.84	12.05	119	  1.69	
600406	国电南瑞	3.29	0.00	软件服务	490	18.90	--  	19.17	531743	3514	          2.08	3.99	19.64	19.17	0.520㈢	    28.46	1026720576	  1.40	        489.45亿	江苏	18.90	19.31	299738	232004	  1.29	19.16	177	  2.17	
002359	北讯集团	3.06	0.31	通信设备	3111	9.55	--  	9.76	631043	5192	          8.91	4.54	9.98	9.76	0.493㈢	    14.85	618415552	  0.91	         69.11亿	深圳	9.55	9.80	315354	315688	  1.00	9.75	731	  0.70	
002074	国轩高科	2.57	0.23	电气设备	390	17.10	--  	17.53	409963	3262	          4.07	6.14	18.15	17.53	0.580㈢	    22.68	726047040	  1.46	        176.75亿	江苏	17.16	17.71	180859	229103	  0.79	17.52	1093	  0.21	
601208	东材科技	2.19	0.36	化工原料	2174	5.28	--  	5.60	570401	8805	          9.10	7.66	5.70	5.60	0.044㈢	    94.75	313221376	  1.10	         35.09亿	四川	5.50	5.49	278506	291895	  0.95	5.59	3828	  1.07	
601222	林洋能源	2.14	0.00	电器仪表	1084	5.58	--  	5.74	564178	10003	          3.23	3.03	5.75	5.73	0.370㈢	    11.72	319814688	  1.16	        100.21亿	江苏	5.62	5.67	283438	280739	  1.01	5.73	5558	  1.02	
