代码	名称	涨幅%%	涨速%%	细分行业	买量	最低	未匹配量	卖价	总量	现量	换手%%	振幅%%	最高	现价	每股收益	市盈(动)	总金额	量比	流通市值	地区	今开	均价	内盘	外盘	内外比	买价	卖量	强弱度%%	
300264	佳创视讯	10.08	0.00	通信设备	12621	6.52	--  	--  	300130	95	          9.42	2.31	6.66	6.66	-0.003㈢	--  	199547824	  2.35	         21.22亿	深圳	6.66	6.65	238209	61920	  3.85	6.66	0	  7.72	
000917	电广传媒	10.02	0.00	影视音像	53152	8.69	--  	--  	1586884	806	         12.26	6.32	9.22	9.22	-0.095㈢	--  	1442531328	  1.15	        119.37亿	湖南	8.99	9.09	924136	662748	  1.39	9.22	0	  7.66	
002670	国盛金控	10.02	0.00	证券	31873	12.45	--  	--  	870678	163	         13.87	7.80	13.40	13.40	-0.131㈢	--  	1150090368	  3.00	         84.11亿	广东	12.84	13.21	416475	454203	  0.92	13.40	0	  7.65	
300016	北陆药业	10.00	0.00	中成药	10092	9.24	--  	--  	375641	753	          9.40	7.33	9.90	9.90	0.302㈣	    32.76	364081504	  1.39	         39.57亿	北京	9.42	9.69	203140	172501	  1.18	9.90	0	  7.64	
603000	人民网	9.99	0.00	互联网	73193	19.93	--  	--  	326039	116	          2.95	6.25	21.13	21.13	0.061㈢	   258.60	676864768	  0.53	        233.63亿	北京	20.20	20.76	179864	146174	  1.23	21.13	0	  8.87	
300279	和晶科技	9.98	0.00	元器件	142906	6.39	--  	--  	53453	414	          1.71	0.00	6.39	6.39	-0.089㈢	--  	34156524	  0.28	         19.97亿	江苏	6.39	6.39	43221	10232	  4.22	6.39	0	  7.62	
002488	金固股份	9.96	0.00	汽车配件	104402	8.50	--  	--  	309618	63	          4.03	1.40	8.61	8.61	0.125㈢	    51.62	266358416	  1.13	         66.19亿	浙江	8.61	8.60	171676	137941	  1.24	8.61	0	  7.60	
600728	佳都科技	9.63	1.35	软件服务	5714	10.81	--  	11.27	1894057	17753	         11.81	4.86	11.31	11.27	0.070㈢	   121.49	2108389760	  2.24	        180.79亿	广东	11.31	11.13	1041367	852690	  1.22	11.26	1122	  8.51	
002605	姚记扑克	9.14	0.73	文教休闲	1110	9.97	--  	11.11	234164	4347	          8.76	11.11	11.10	11.10	0.193㈢	    43.10	246330960	  1.70	         29.68亿	上海	10.22	10.52	108235	125928	  0.86	11.10	213	  6.78	
603259	药明康德	7.53	0.50	化学制药	140	89.95	--  	96.67	113543	709	         10.90	9.93	98.88	96.66	1.940㈢	    43.99	1084659200	  1.95	        100.72亿	江苏	89.95	95.53	53170	60372	  0.88	96.66	1	  6.41	
002273	水晶光电	7.10	0.69	元器件	141	12.35	--  	13.12	569146	5654	          7.00	8.49	13.39	13.12	0.470㈢	    20.97	726853440	  1.73	        106.65亿	浙江	12.49	12.77	258807	310339	  0.83	13.11	4908	  4.74	
600571	信雅达	6.70	-0.35	软件服务	320	10.13	--  	10.99	663519	5149	         15.39	11.65	11.33	10.99	0.021㈢	   390.30	717282304	  1.66	         47.38亿	浙江	10.35	10.81	340420	323098	  1.05	10.98	2194	  5.58	
002208	合肥城建	6.67	0.36	区域地产	1209	13.26	--  	14.07	270460	3184	          8.47	8.79	14.42	14.07	0.561㈢	    18.82	376953728	  1.33	         44.92亿	安徽	13.43	13.94	132876	137584	  0.97	14.06	127	  4.31	
300020	银江股份	6.58	0.72	软件服务	263	7.96	--  	8.42	353750	4387	          5.63	6.71	8.49	8.42	0.019㈢	   335.03	291571008	  1.46	         52.88亿	浙江	8.10	8.24	164225	189524	  0.87	8.41	1292	  4.22	
002390	信邦制药	6.34	0.19	中成药	46	5.10	--  	5.37	395539	2347	          2.37	7.72	5.49	5.37	0.158㈢	    25.44	210183280	  1.36	         89.53亿	贵州	5.11	5.31	195658	199880	  0.98	5.36	668	  3.97	
000989	九 芝 堂	6.30	0.57	中成药	398	11.65	--  	12.33	401019	10335	          5.05	6.30	12.38	12.32	0.385㈢	    24.02	481143840	  1.35	         97.84亿	湖南	11.66	12.00	178927	222091	  0.81	12.32	3201	  3.93	
300181	佐力药业	5.87	0.29	中成药	1077	6.53	--  	6.86	580401	5231	         12.42	7.26	7.00	6.85	0.042㈢	   121.65	393371488	  1.17	         32.01亿	浙江	6.70	6.78	290515	289886	  1.00	6.85	2747	  3.51	
002235	安妮股份	5.58	0.76	互联网	901	6.20	--  	6.63	776378	20910	         15.52	7.02	6.64	6.62	0.107㈢	    46.21	502824640	  1.22	         33.12亿	福建	6.30	6.48	355406	420972	  0.84	6.62	878	  3.22	
600635	大众公用	5.49	-0.15	供气供热	4381	5.95	--  	6.16	2438849	22164	         10.08	7.03	6.36	6.15	0.113㈢	    40.69	1494905344	  1.03	        148.76亿	上海	6.18	6.13	1150296	1288552	  0.89	6.15	6551	  4.37	
600226	瀚叶股份	5.04	-0.26	农药化肥	5607	3.53	--  	3.76	2276107	25203	         11.42	11.20	3.93	3.75	0.068㈢	    41.45	842652160	  0.96	         74.73亿	浙江	3.60	3.70	1090396	1185710	  0.92	3.75	10588	  3.92	
000046	泛海控股	4.86	0.00	全国地产	243	6.38	--  	6.70	686100	6608	          1.33	10.03	7.02	6.69	0.350㈢	    14.35	463815840	  1.22	        346.22亿	北京	6.45	6.76	322046	364053	  0.88	6.69	6	  2.49	
600825	新华传媒	4.78	0.00	出版业	2585	6.41	--  	6.58	719376	5257	          6.88	6.54	6.82	6.57	0.026㈢	   192.51	473602496	  0.91	         68.65亿	上海	6.50	6.58	371422	347953	  1.07	6.57	2734	  3.66	
002249	大洋电机	4.65	-0.20	电气设备	2961	4.47	--  	4.74	689358	7720	          3.01	8.41	4.85	4.73	0.061㈢	    58.14	320687552	  1.28	        108.49亿	广东	4.55	4.65	316184	373174	  0.85	4.73	2569	  2.28	
300541	先进数通	4.32	0.12	软件服务	146	16.12	--  	16.44	67328	348	          8.90	6.67	17.17	16.43	0.126㈢	    98.11	111832504	  1.22	         12.43亿	北京	16.12	16.61	34503	32824	  1.05	16.43	21	  1.95	
300479	神思电子	3.86	0.52	软件服务	46	17.25	--  	17.50	139301	1487	          8.71	5.88	18.24	17.50	0.039㈢	   339.99	246892224	  0.97	         28.00亿	山东	17.54	17.72	63393	75907	  0.84	17.49	37	  1.49	
