代码	名称	涨幅%%	涨速%%	细分行业	买量	最低	未匹配量	卖价	总量	现量	换手%%	振幅%%	最高	现价	每股收益	市盈(动)	总金额	量比	流通市值	地区	今开	均价	内盘	外盘	内外比	买价	卖量	强弱度%%	
002157	正邦科技	10.04	0.00	饲料	19681	12.12	--  	--  	894186	634	          4.14	6.89	12.93	12.93	0.020㈢	   651.87	1127549440	  0.70	        279.31亿	江西	12.57	12.61	488864	405321	  1.21	12.93	0	  7.68	
000876	新 希 望	10.03	0.00	饲料	21653	11.76	--  	--  	1226124	2450	          2.94	6.60	12.51	12.51	0.344㈢	    27.27	1513178112	  1.44	        522.35亿	四川	12.05	12.34	660785	565339	  1.17	12.51	0	  7.66	
002458	益生股份	10.01	0.00	农业综合	5549	38.11	--  	--  	192977	27	          9.24	7.50	40.90	40.90	1.075㈣	    38.03	777012800	  0.90	         85.40亿	山东	38.64	40.26	110440	82536	  1.34	40.90	0	  7.64	
300498	温氏股份	10.00	0.06	农业综合	10264	34.20	--  	--  	822687	4433	          2.21	6.36	36.30	36.30	0.546㈢	    49.88	2900198144	  1.65	       1349.47亿	广东	34.20	35.25	295968	526718	  0.56	36.30	0	  7.64	
002714	牧原股份	10.00	0.00	农业综合	9198	47.38	--  	--  	238846	199	          2.00	7.00	50.60	50.60	0.168㈢	   225.98	1182773376	  1.08	        602.92亿	河南	48.87	49.52	120996	117850	  1.03	50.60	0	  7.64	
002124	天邦股份	9.99	0.00	饲料	19084	11.70	--  	--  	281032	98	          2.66	4.68	12.22	12.22	0.104㈢	    87.95	337151328	  0.57	        129.35亿	浙江	11.70	12.00	149548	131483	  1.14	12.22	0	  7.63	
600975	新五丰	9.99	0.00	农业综合	26467	6.92	--  	--  	640840	503	          9.82	6.86	7.38	7.38	-0.067㈢	--  	463549280	  1.31	         48.17亿	湖南	6.92	7.23	292849	347990	  0.84	7.38	0	  8.86	
002567	唐人神	9.17	2.00	饲料	514	8.52	--  	9.18	389402	24466	          5.14	7.74	9.17	9.17	0.152㈢	    45.34	345921248	  1.11	         69.44亿	湖南	8.72	8.88	185993	203408	  0.91	9.17	1994	  6.80	
300761	立华股份	6.28	0.32	农业综合	1	86.68	--  	91.28	142941	1721	         34.63	8.15	93.68	91.28	2.418㈢	    28.32	1285753344	  0.92	         37.68亿	江苏	90.98	89.95	73885	69055	  1.07	91.27	65	  3.91	
002840	华统股份	5.80	0.05	食品	216	17.22	--  	18.26	146587	1078	          9.99	9.16	18.80	18.25	0.369㈢	    37.12	265873616	  1.30	         26.78亿	浙江	17.22	18.14	74786	71800	  1.04	18.25	256	  3.43	
002548	金新农	5.74	0.22	饲料	95	8.54	--  	9.03	165819	837	          4.90	7.50	9.18	9.02	-0.140㈢	--  	147407008	  1.37	         30.53亿	深圳	8.66	8.89	84217	81601	  1.03	9.02	324	  3.38	
002100	天康生物	5.65	0.69	饲料	153	7.00	--  	7.30	214773	2443	          2.23	5.80	7.40	7.29	0.270㈢	    20.31	155799728	  1.08	         70.23亿	新疆	7.20	7.25	92544	122228	  0.76	7.29	1254	  3.29	
000048	*ST康达	4.71	0.15	饲料	25	19.75	--  	20.70	12333	31	          0.32	5.01	20.74	20.68	0.229㈢	    67.87	25193980	  1.77	         79.70亿	深圳	19.85	20.43	6221	6112	  1.02	20.68	58	  2.34	
603609	禾丰牧业	4.57	0.09	饲料	693	10.96	--  	11.45	171581	989	          2.06	9.95	12.05	11.45	0.490㈢	    17.92	199399952	  1.28	         95.17亿	辽宁	10.96	11.62	69332	102248	  0.68	11.44	1811	  3.44	
603363	傲农生物	3.64	0.25	饲料	967	11.68	--  	11.97	178515	2189	          9.70	4.42	12.19	11.96	0.074㈢	   120.57	213127648	  1.02	         22.01亿	福建	11.68	11.94	85871	92643	  0.93	11.96	23	  2.52	
002385	大北农	3.29	0.25	饲料	4602	4.00	--  	4.08	975680	8431	          3.65	4.56	4.18	4.08	0.104㈢	    29.47	399397824	  1.19	        109.16亿	北京	4.00	4.09	439797	535882	  0.82	4.07	64	  0.93	
000895	双汇发展	3.21	0.16	食品	620	24.34	--  	25.07	460656	5137	          1.40	4.08	25.33	25.07	1.107㈢	    16.99	1145645440	  1.51	        827.07亿	河南	24.35	24.87	219911	240745	  0.91	25.06	562	  0.85	
002477	雏鹰农牧	2.46	0.00	农业综合	7851	2.41	--  	2.51	2359465	36194	         11.97	6.56	2.57	2.50	-0.277㈢	--  	590545024	  0.88	         49.27亿	河南	2.44	2.50	1051147	1308318	  0.80	2.50	13946	  0.09	
600073	上海梅林	2.37	0.00	食品	395	8.51	--  	8.66	252072	1054	          2.69	4.73	8.91	8.65	0.322㈢	    20.14	219216400	  0.89	         81.11亿	上海	8.55	8.70	138283	113788	  1.22	8.65	367	  1.25	
000735	罗 牛 山	2.34	-0.28	农业综合	4914	13.11	--  	13.58	1380111	33212	         13.02	4.68	13.73	13.57	0.338㈢	    30.07	1851764608	  1.05	        143.79亿	海南	13.20	13.42	676054	704056	  0.96	13.57	3383	 -0.03	
002726	龙大肉食	2.26	0.35	食品	370	8.43	--  	8.61	127145	1152	          1.69	5.34	8.88	8.61	0.168㈢	    38.36	109582232	  1.12	         64.68亿	山东	8.43	8.62	64218	62927	  1.02	8.60	1193	 -0.11	
002505	大康农业	1.51	0.00	农业综合	5152	1.99	--  	2.03	803038	8296	          1.46	3.52	2.06	2.02	0.008㈢	   196.35	163360736	  0.71	        110.80亿	湖南	2.00	2.03	413187	389851	  1.06	2.02	10797	 -0.86	
002311	海大集团	1.19	-0.03	饲料	61	26.66	--  	27.18	101319	259	          0.66	4.25	27.80	27.17	0.820㈢	    25.35	277600128	  1.24	        419.67亿	广东	26.73	27.40	47787	53531	  0.89	27.17	14	 -1.17	
000529	广弘控股	0.96	0.00	食品	1364	6.21	--  	6.29	191688	1733	          3.36	2.89	6.39	6.28	0.178㈢	    26.41	120683296	  0.68	         35.79亿	广东	6.29	6.30	94987	96700	  0.98	6.28	568	 -1.40	
002330	得利斯	0.96	0.38	食品	1150	5.18	--  	5.29	97285	763	          1.94	3.82	5.38	5.28	0.011㈢	   367.69	51449208	  0.67	         26.50亿	山东	5.23	5.29	42288	54996	  0.77	5.28	269	 -1.41	
000860	顺鑫农业	0.07	0.02	白酒	286	42.20	--  	43.31	135902	533	          2.38	6.10	44.84	43.30	0.940㈢	    34.55	591651200	  1.44	        247.07亿	北京	43.10	43.54	67542	68359	  0.99	43.30	120	 -2.30	
数据来源:通达信
