代码	名称	涨幅%	涨速%	细分行业	买量	最低	卖价	涨速%	总量	现量	换手%	振幅%	最高	现价	每股收益	市盈(动)	总金额	量比	流通市值	地区	今开	均价	内盘	外盘	内外比	买价	卖量	强弱度%	流通股(亿)	涨跌	AB股总市值	活跃度	未匹配量	笔均量	笔换手	财务更新	上市日期	总股本(亿)	B/A股(亿)	H股(亿)	总资产(亿)	净资产(亿)	少数股权(亿)	资产负债率%	流动资产(亿)	固定资产(亿)	无形资产(亿)	流动负债(亿)	资本公积金(亿)	存货(亿)	应收帐款(亿)	营业收入(亿)	营业成本(亿)	营业利润(亿)	投资收益(亿)	利润总额(亿)	税后利润(亿)	净利润(亿)	未分利润(亿)	经营现金流(亿)	总现金流(亿)	股东人数	人均持股	人均市值	利润同比%	收入同比%	市净率	市现率	市销率	昨收	每股净资	调整后净资	每股公积	每股未分配	权益比%	净益率%	毛利率%	营业利润率%	净利润率%	交易代码	自选日	自选价	自选收益%	
603200	上海洗霸	-1.02	2.47	环境保护	1	37.00	39.00	2.47	14738	410	          5.83	10.08	40.97	39.00	0.800㈢	    37.04	57074676	  1.16	          9.86亿	上海	39.79	38.73	8234	6504	  1.27	38.70	285	  0.18	          0.25	-0.40	         29.27亿	   1184	--  	     12	        0.0049	20190301	20170601	          0.75	--  	--  	8.44	7.20	          0.08	13.82	7.57	0.13	0.09	1.17	3.76	0.49	2.05	2.73	1.61	0.62	0.03	0.67	0.59	0.59	2.66	0.09	-1.49	7781.00	          3248	12.67万	29.75	22.25	          4.07	313.39	10.72	39.40	          9.59	0.00	          5.01	          3.54	         85.29	   8.24㈢	         41.14	         22.79	         21.70	603200	--  	--  	--  	
300362	天翔环境	-8.03	1.29	环境保护	3089	5.38	5.50	1.29	251232	3721	          8.00	7.86	5.85	5.50	-0.580㈢	--  	139107840	  0.76	         17.26亿	四川	5.71	5.54	138397	112835	  1.23	5.49	345	 -6.21	          3.14	-0.48	         24.03亿	   2920	--  	     86	        0.0027	20190311	20140121	          4.37	--  	--  	59.26	15.79	          0.56	72.42	36.23	5.30	6.60	35.19	12.30	5.88	4.81	3.15	2.52	-2.35	-0.03	-2.43	-2.48	-2.43	0.57	-12.42	-11.08	15028.00	         13876	7.63万	-388.64	-59.87	          8.33	-1.93	7.63	5.98	          0.66	0.66	          2.81	          0.13	         26.64	 -15.37㈢	         19.93	        -74.62	        -77.03	300362	20180105	14.21	-61.15	
300152	科融环境	-7.93	0.75	环境保护	1231	2.61	2.67	0.75	618933	9280	          8.68	7.59	2.83	2.67	-0.367㈢	--  	166757616	  0.83	         19.03亿	江苏	2.71	2.69	365290	253643	  1.44	2.66	1488	 -6.12	          7.13	-0.23	         19.03亿	   3010	--  	    206	        0.0029	20190213	20101229	          7.13	--  	--  	25.89	11.31	          0.95	52.64	14.70	2.37	3.40	10.75	5.06	2.62	5.61	3.26	2.69	-2.74	-0.15	-3.08	-2.77	-2.61	-1.33	-0.65	-0.30	56817.00	          8843	2.36万	-2889.50	-29.55	          1.68	-29.35	5.83	2.90	          1.59	0.00	          0.71	         -0.19	         43.67	 -23.12㈢	         17.62	        -84.02	        -80.13	300152	--  	--  	--  	
603717	天域生态	-3.38	0.68	环境保护	504	10.12	10.30	0.68	45464	1110	          3.72	5.16	10.67	10.30	0.225㈢	    34.33	46863152	  0.58	         12.57亿	重庆	10.66	10.31	28270	17194	  1.64	10.28	317	 -2.18	          1.22	-0.36	         24.90亿	   1483	--  	     31	        0.0025	20190213	20170327	          2.42	--  	--  	30.17	13.12	          0.02	56.44	22.94	2.09	0.06	16.43	5.85	10.28	5.72	7.63	5.39	0.65	0.00	0.65	0.54	0.54	4.47	-0.48	-0.12	18576.00	          6572	6.77万	9.66	42.75	          1.90	-51.95	3.26	10.66	          5.43	0.00	          2.42	          1.85	         43.48	   4.15㈢	         29.40	          8.48	          7.13	603717	20170330	25.50	-42.67	
300056	三维丝	-4.24	0.64	环境保护	228	6.24	6.34	0.64	65295	424	          3.02	7.56	6.74	6.33	-0.102㈢	--  	42082556	  0.79	         13.66亿	福建	6.65	6.45	40550	24744	  1.64	6.33	675	 -2.42	          2.16	-0.28	         24.40亿	   1560	--  	     42	        0.0019	20190218	20100226	          3.85	--  	--  	27.27	13.61	          0.04	49.95	15.17	3.69	0.67	13.13	9.15	5.98	4.75	4.89	3.92	-0.41	0.00	-0.43	-0.43	-0.39	0.38	0.61	-1.10	21882.00	          8199	5.19万	39.27	5.73	          1.79	39.83	4.99	6.61	          3.53	0.00	          2.37	          0.10	         49.91	  -2.88㈢	         19.71	         -8.39	         -8.02	300056	20180718	7.89	-19.77	
300187	永清环保	2.54	0.62	环境保护	892	6.30	6.48	0.62	145083	2831	          2.28	8.72	6.85	6.47	0.031㈢	   157.47	94412024	  0.73	         41.10亿	湖南	6.43	6.51	77052	68030	  1.13	6.47	574	  4.35	          6.35	0.16	         41.70亿	   2162	--  	     67	        0.0011	20190114	20110308	          6.45	--  	--  	34.40	16.26	          1.04	49.71	17.73	4.85	7.19	15.59	3.95	5.88	3.38	7.53	6.03	0.26	0.06	0.26	0.19	0.20	5.40	-1.88	-1.62	24576.00	          9343	6.04万	-76.24	-13.67	          2.56	-22.17	5.54	6.31	          2.52	0.00	          0.61	          0.84	         47.27	   1.22㈢	         19.89	          3.44	          2.64	300187	--  	--  	--  	
000504	南华生物	-2.44	0.59	环境保护	10	13.18	13.57	0.59	28321	65	          0.91	5.18	13.90	13.57	-0.074㈢	--  	38160224	  0.79	         42.16亿	湖南	13.90	13.47	14735	13585	  1.08	13.56	19	 -0.63	          3.11	-0.34	         42.28亿	   1064	--  	     27	        0.0009	20190213	19921208	          3.12	--  	--  	3.86	0.02	          1.21	68.24	1.78	0.17	0.17	2.38	1.42	0.36	0.14	0.56	0.19	-0.23	0.00	-0.24	-0.23	-0.23	-4.86	-0.19	-1.01	16311.00	         10137	13.76万	-12.29	216.87	       2397.95	-227.34	75.79	13.91	          0.01	0.00	          0.45	         -1.56	          0.46	-1305.01㈢	         66.78	        -40.54	        -41.25	000504	20171213	21.39	-36.56	
603903	中持股份	-3.06	0.58	环境保护	4	22.28	22.51	0.58	31022	386	          4.18	5.47	23.55	22.49	0.630㈢	    27.14	70646584	  0.86	         16.67亿	北京	23.33	22.77	18145	12876	  1.41	22.49	1	 -1.86	          0.74	-0.71	         23.23亿	   1698	--  	     18	        0.0025	20190116	20170314	          1.03	--  	--  	23.13	7.77	          0.47	64.38	9.80	0.13	3.15	10.23	4.39	3.00	3.26	6.91	5.20	0.72	0.03	0.76	0.66	0.64	2.40	-0.96	0.62	12392.00	          4747	10.68万	117.35	123.72	          2.99	-24.32	3.36	23.20	          7.52	0.00	          4.25	          2.32	         33.59	   8.26㈢	         24.66	         10.49	          9.30	603903	20170330	40.58	-44.21	
002717	岭南股份	-2.13	0.58	环境保护	131	8.59	8.72	0.58	128979	2356	          1.89	4.26	8.97	8.72	0.570㈢	    11.71	112429920	  0.57	         59.52亿	广东	8.95	8.72	76173	52805	  1.44	8.71	142	 -0.32	          6.83	-0.19	         89.33亿	   2359	--  	     55	        0.0008	20190222	20140219	         10.24	--  	--  	147.32	42.78	          1.46	69.97	98.59	3.06	0.26	83.99	13.75	47.44	26.76	57.12	42.09	7.01	0.11	7.03	5.85	5.72	16.63	-1.49	5.27	29061.00	         20291	17.69万	87.77	123.65	          2.12	-59.91	1.56	8.91	          4.12	4.12	          1.34	          1.62	         29.04	  13.37㈢	         26.31	         12.27	         10.02	002717	--  	--  	--  	
002499	科林环保	-1.72	0.47	环境保护	419	8.45	8.62	0.47	74056	1322	          3.92	8.05	9.15	8.55	0.118㈢	    54.31	65374176	  0.99	         16.16亿	江苏	8.92	8.83	35929	38126	  0.94	8.55	9	  0.09	          1.89	-0.15	         16.16亿	   1740	--  	     43	        0.0023	20190213	20101109	          1.89	--  	--  	17.95	7.61	          0.01	57.57	14.97	2.01	0.00	6.97	3.51	2.07	6.62	1.37	0.72	0.24	-0.01	0.24	0.21	0.22	1.96	-3.44	-0.95	19556.00	          6445	5.51万	-50.99	-84.83	          2.12	-4.70	11.81	8.70	          4.03	0.00	          1.86	          1.04	         42.39	   2.93㈢	         47.19	         17.63	         16.31	002499	20180704	12.12	-29.29	
