代码	名称	涨幅%%	涨速%%	细分行业	买量	最低	未匹配量	卖价	总量	现量	换手%%	振幅%%	最高	现价	每股收益	市盈(动)	总金额	量比	流通市值	地区	今开	均价	内盘	外盘	内外比	买价	卖量	强弱度%%	
300182	捷成股份	10.08	0.00	软件服务	98098	5.35	--  	--  	480529	5473	          2.68	0.00	5.35	5.35	0.308㈢	    13.03	257083136	  0.58	         96.04亿	北京	5.35	5.35	462348	18181	 25.43	5.35	0	  7.72	
600060	海信电器	10.01	0.00	家用电器	179706	10.66	--  	--  	110479	86	          0.84	0.00	10.66	10.66	0.278㈢	    28.72	117770144	  0.49	        139.48亿	山东	10.66	10.66	101040	9438	 10.71	10.66	0	  8.89	
002146	荣盛发展	5.83	0.29	全国地产	601	9.85	--  	10.35	980565	6693	          2.52	6.55	10.49	10.34	0.860㈢	     9.02	1003048064	  1.84	        402.59亿	河北	9.86	10.23	443615	536949	  0.83	10.34	1867	  3.47	
601066	中信建投	5.78	-3.81	证券	12035	22.25	--  	23.42	1654062	43755	         41.35	9.44	24.34	23.41	0.300㈢	    61.43	3902680576	  1.64	         93.64亿	北京	22.95	23.59	883917	770145	  1.15	23.41	70	  4.66	
603986	兆易创新	4.88	-0.19	半导体	79	95.60	--  	96.80	96740	499	          4.66	6.29	101.40	96.71	1.310㈢	    56.20	944626432	  1.17	        200.57亿	北京	96.20	97.65	44045	52694	  0.84	96.71	16	  3.76	
000889	中嘉博创	4.27	0.40	通信设备	12	12.50	--  	12.70	72739	289	          1.17	6.40	13.28	12.70	0.260㈢	    39.47	93793832	  1.02	         78.95亿	河北	12.70	12.89	38183	34556	  1.10	12.69	167	  1.90	
600739	辽宁成大	3.86	0.00	商贸代理	213	13.79	--  	14.00	673614	6065	          4.40	6.01	14.60	14.00	0.457㈢	    22.99	951783936	  1.29	        214.16亿	辽宁	13.90	14.13	343364	330250	  1.04	13.99	665	  2.74	
600138	中青旅	3.03	0.71	旅游服务	230	15.21	--  	15.66	218526	1263	          3.02	4.74	15.93	15.66	0.755㈢	    15.55	341537504	  1.30	        113.35亿	北京	15.28	15.63	108851	109674	  0.99	15.65	679	  1.90	
601336	新华保险	2.81	0.99	保险	27	52.65	--  	53.80	414380	1886	          1.99	6.76	56.19	53.80	2.469㈢	    16.34	2238262016	  1.08	       1121.97亿	北京	53.15	54.01	195625	218754	  0.89	53.79	1448	  1.69	
600600	青岛啤酒	2.70	0.15	啤酒	70	38.65	--  	40.29	94150	1392	          1.35	4.92	40.58	40.29	1.554㈢	    19.44	375087520	  1.19	        280.38亿	山东	39.30	39.84	44006	50144	  0.88	40.28	673	  1.58	
