代码	名称	涨幅%%	涨速%%	细分行业	买量	最低	未匹配量	卖价	总量	现量	换手%%	振幅%%	最高	现价	每股收益	市盈(动)	总金额	量比	流通市值	地区	今开	均价	内盘	外盘	内外比	买价	卖量	强弱度%%	
002581	未名医药	10.05	0.00	生物制药	30752	7.40	--  	--  	206577	10	          5.15	10.86	8.21	8.21	0.019㈢	   322.59	165538240	  1.78	         32.90亿	山东	7.48	8.01	119400	87176	  1.37	8.21	0	  7.69	
000819	岳阳兴长	5.69	0.75	石油加工	81	10.14	--  	10.78	148675	853	          5.48	10.59	11.22	10.78	0.154㈢	    52.61	157101728	  2.18	         29.25亿	湖南	10.28	10.57	69833	78841	  0.89	10.77	1137	  3.32	
300601	康泰生物	5.49	-0.19	生物制药	1	43.53	--  	44.40	186220	814	          7.48	5.39	45.80	44.40	0.600㈢	    56.52	828763968	  1.36	        110.50亿	深圳	44.00	44.50	86293	99927	  0.86	44.36	173	  3.12	
000518	四环生物	4.22	0.41	生物制药	3182	4.58	--  	4.95	629465	13466	          6.11	10.97	5.10	4.94	-0.009㈢	--  	302579296	  0.95	         50.86亿	江苏	4.59	4.81	301463	328002	  0.92	4.94	4196	  1.85	
600739	辽宁成大	3.86	0.00	商贸代理	213	13.79	--  	14.00	673614	6065	          4.40	6.01	14.60	14.00	0.457㈢	    22.99	951783936	  1.29	        214.16亿	辽宁	13.90	14.13	343364	330250	  1.04	13.99	665	  2.74	
600851	海欣股份	3.42	0.12	纺织	130	7.87	--  	8.17	94976	936	          1.29	4.68	8.24	8.17	0.086㈢	    71.26	76828208	  1.40	         60.31亿	上海	7.90	8.09	39338	55638	  0.71	8.16	318	  2.30	
600572	康恩贝	3.11	0.00	中成药	8140	7.90	--  	8.28	2202279	20452	          8.28	7.72	8.52	8.28	0.287㈢	    21.61	1793939584	  1.09	        220.30亿	浙江	8.19	8.15	1084690	1117588	  0.97	8.27	2847	  1.99	
600196	复星医药	3.00	0.24	化学制药	448	29.01	--  	29.58	628985	5302	          3.29	3.97	30.15	29.57	0.830㈢	    27.14	1856410752	  1.08	        564.94亿	上海	29.01	29.51	298666	330319	  0.90	29.57	246	  1.87	
600201	生物股份	2.86	0.37	生物制药	187	15.67	--  	16.16	453087	3318	          4.02	4.39	16.36	16.16	0.710㈢	    20.64	727221248	  1.23	        182.00亿	内蒙	15.84	16.05	234242	218844	  1.07	16.15	2395	  1.74	
002393	力生制药	1.75	-0.22	化学制药	23	25.91	--  	26.32	36400	279	          2.00	5.20	27.25	26.23	0.575㈢	    34.20	96691384	  1.58	         47.86亿	天津	25.91	26.56	18202	18197	  1.00	26.23	19	 -0.62	
600812	华北制药	1.54	0.22	化学制药	1167	4.55	--  	4.62	153302	544	          0.94	2.42	4.66	4.62	0.047㈢	    73.45	70513408	  1.13	         75.34亿	河北	4.57	4.60	78551	74751	  1.05	4.61	1514	  0.42	
300142	沃森生物	1.41	-0.04	生物制药	18	21.30	--  	21.58	231376	2278	          1.68	1.79	21.68	21.58	0.059㈢	   273.08	497219008	  1.11	        297.17亿	云南	21.54	21.49	120165	111211	  1.08	21.57	54	 -0.95	
300294	博雅生物	0.83	-0.42	生物制药	70	30.03	--  	30.30	35039	190	          0.87	4.03	31.24	30.25	0.680㈢	    34.33	107163296	  0.92	        121.33亿	江西	30.03	30.58	16515	18523	  0.89	30.25	26	 -1.53	
000952	广济药业	0.74	0.18	化学制药	27	10.82	--  	10.92	93794	425	          3.73	2.77	11.12	10.91	0.525㈢	    15.57	102680560	  1.20	         27.46亿	湖北	10.83	10.95	49119	44674	  1.10	10.91	113	 -1.63	
002038	双鹭药业	0.67	0.00	生物制药	85	27.01	--  	27.24	178282	1257	          3.14	2.62	27.72	27.23	0.777㈢	    26.29	488532000	  1.06	        154.38亿	北京	27.28	27.40	95167	83115	  1.15	27.23	78	 -1.70	
002007	华兰生物	0.18	-0.17	生物制药	23	38.65	--  	38.90	183864	1169	          2.29	2.96	39.80	38.90	0.820㈢	    35.93	719289408	  0.95	        312.23亿	河南	38.81	39.12	88814	95049	  0.93	38.89	80	 -2.18	
600351	亚宝药业	0.16	0.16	中成药	1004	6.30	--  	6.37	129083	623	          1.68	2.68	6.47	6.36	0.277㈢	    17.21	82297704	  1.35	         48.97亿	山西	6.35	6.38	61708	67374	  0.92	6.36	450	 -0.96	
600332	白云山	0.11	0.08	中成药	786	37.21	--  	37.69	289147	2333	          2.70	3.13	38.39	37.68	2.115㈢	    13.36	1093961216	  1.12	        403.62亿	广东	38.00	37.83	156214	132932	  1.18	37.68	65	 -1.02	
300122	智飞生物	0.04	0.07	生物制药	257	45.60	--  	45.99	213416	1417	          2.46	3.68	47.29	45.98	0.679㈢	    50.78	988756544	  1.14	        399.64亿	重庆	46.47	46.33	105333	108083	  0.97	45.98	7	 -2.32	
000661	长春高新	--  	--  	生物制药	0	--  	--  	--  	0	0	          0.00	0.00	--  	226.05	4.930㈢	    34.39	0	  0.00	        384.18亿	吉林	--  	226.05	0	0	--  	--  	0	 -2.36	
000790	泰合健康	-0.20	-0.19	中成药	2553	5.08	--  	5.11	236111	4725	          4.22	3.91	5.28	5.11	0.028㈢	   135.62	122187344	  0.83	         28.60亿	四川	5.15	5.17	121492	114619	  1.06	5.10	1691	 -2.56	
002680	*ST长生	-1.32	-0.65	生物制药	20584	1.44	--  	1.51	613849	3374	         10.57	5.26	1.52	1.50	0.259㈡	     2.90	91731752	  1.14	          8.71亿	江苏	1.49	1.49	302043	311805	  0.97	1.50	5782	 -3.68	
数据来源:通达信
