代码	名称	涨幅%%	涨速%%	细分行业	买量	最低	未匹配量	卖价	总量	现量	换手%%	振幅%%	最高	现价	每股收益	市盈(动)	总金额	量比	流通市值	地区	今开	均价	内盘	外盘	内外比	买价	卖量	强弱度%%	
000911	南宁糖业	10.03	0.00	食品	19975	6.79	--  	--  	229494	283	          7.08	11.34	7.57	7.57	-1.999㈢	--  	168156368	  1.79	         24.53亿	广西	6.87	7.33	108145	121348	  0.89	7.57	0	  7.66	
002124	天邦股份	9.99	0.00	饲料	19084	11.70	--  	--  	281032	98	          2.66	4.68	12.22	12.22	0.104㈢	    87.95	337151328	  0.57	        129.35亿	浙江	11.70	12.00	149548	131483	  1.14	12.22	0	  7.63	
000576	广东甘化	9.97	0.00	造纸	35718	8.68	--  	--  	547880	820	         12.58	9.39	9.49	9.49	-0.087㈢	--  	502234496	  1.49	         41.34亿	广东	8.68	9.17	250779	297100	  0.84	9.49	0	  7.60	
300072	三聚环保	9.96	0.00	环境保护	69724	10.09	--  	--  	549220	965	          2.58	9.46	11.04	11.04	0.529㈢	    15.65	594242560	  1.01	        235.07亿	北京	10.10	10.82	329353	219867	  1.50	11.04	0	  7.60	
300249	依米康	9.95	0.00	软件服务	43928	6.46	--  	--  	213078	379	          7.00	9.49	7.07	7.07	0.135㈢	    39.32	146507360	  2.05	         21.53亿	四川	6.47	6.88	96516	116561	  0.83	7.07	0	  7.59	
002234	民和股份	9.82	0.37	农业综合	1044	25.88	--  	27.41	223125	4179	         11.67	6.29	27.45	27.40	1.260㈣	    21.74	598717696	  0.97	         52.38亿	山东	25.89	26.83	96970	126155	  0.77	27.40	79	  7.46	
600311	荣华实业	7.99	0.51	黄金	3787	3.57	--  	3.92	669498	13478	         10.06	10.47	3.95	3.92	-0.085㈢	--  	251223824	  1.68	         26.09亿	甘肃	3.60	3.75	297601	371896	  0.80	3.91	3738	  6.87	
600191	华资实业	6.67	-0.36	食品	1839	5.03	--  	5.45	377817	2318	          7.79	11.37	5.61	5.44	-0.125㈢	--  	204586752	  1.43	         26.38亿	内蒙	5.12	5.41	215757	162060	  1.33	5.44	814	  5.55	
601330	绿色动力	5.70	0.14	环境保护	3977	13.30	--  	14.10	300500	7300	         25.86	7.13	14.25	14.09	0.220㈢	    50.87	412992352	  1.62	         16.37亿	深圳	13.36	13.74	129040	171460	  0.75	14.09	1099	  4.58	
600027	华电国际	5.20	0.00	火力发电	3528	4.45	--  	4.66	1250667	9658	          1.79	4.75	4.66	4.65	0.155㈢	    22.54	571828672	  2.66	        325.30亿	山东	4.45	4.57	474170	776496	  0.61	4.65	7015	  4.08	
300090	盛运环保	3.67	0.00	环境保护	149	2.44	--  	2.55	1259013	18568	         11.02	7.35	2.62	2.54	-0.159㈢	--  	320223712	  1.02	         29.01亿	安徽	2.45	2.54	561561	697451	  0.81	2.54	3873	  1.31	
000826	启迪桑德	3.40	0.16	环境保护	41	11.76	--  	12.15	364504	4428	          3.07	6.21	12.49	12.15	0.540㈢	    15.37	443699264	  1.65	        144.30亿	湖北	11.90	12.17	184912	179592	  1.03	12.14	273	  1.04	
300172	中电环保	3.15	0.16	环境保护	371	6.01	--  	6.23	148270	2309	          4.28	4.80	6.30	6.23	0.189㈢	    24.77	91806368	  1.65	         21.56亿	江苏	6.06	6.19	71329	76941	  0.93	6.22	11	  0.78	
603822	嘉澳环保	3.01	-0.47	环境保护	126	32.00	--  	33.20	28386	567	          6.99	4.44	33.43	33.19	0.550㈢	    45.25	92874936	  1.02	         13.48亿	浙江	32.01	32.72	13350	15036	  0.89	33.19	17	  1.89	
000930	中粮生化	2.93	0.24	农业综合	5353	8.16	--  	8.44	483207	4700	          5.95	5.37	8.60	8.43	0.350㈢	    34.40	406194048	  1.49	         68.49亿	安徽	8.22	8.41	214214	268992	  0.80	8.43	1469	  0.57	
000652	泰达股份	2.80	1.25	批发业	477	3.94	--  	4.04	543363	6206	          3.69	5.34	4.15	4.04	0.049㈢	    61.79	218534192	  0.93	         59.55亿	天津	4.03	4.02	288097	255266	  1.13	4.03	299	  0.43	
000833	粤桂股份	2.55	0.36	造纸	637	5.40	--  	5.63	170929	1372	          4.52	6.19	5.74	5.63	0.146㈢	    28.82	95526384	  2.20	         21.29亿	广西	5.45	5.59	85344	85585	  1.00	5.62	26	  0.19	
600803	新奥股份	2.29	-0.08	农药化肥	298	11.40	--  	11.61	362397	2063	          2.95	4.14	11.87	11.60	0.880㈢	    10.34	421499616	  1.40	        142.61亿	河北	11.44	11.63	188581	173816	  1.08	11.60	350	  1.17	
300152	科融环境	1.81	1.44	环境保护	6280	2.66	--  	2.82	1080780	11363	         15.16	7.94	2.88	2.82	-0.367㈢	--  	303016800	  1.10	         20.10亿	江苏	2.66	2.80	545920	534859	  1.02	2.81	3049	 -0.56	
300153	科泰电源	1.67	0.59	电气设备	380	8.33	--  	8.52	159385	1262	          4.99	5.02	8.75	8.51	0.055㈢	   116.03	135150784	  1.26	         27.20亿	上海	8.43	8.48	83087	76298	  1.09	8.51	724	 -0.69	
600371	万向德农	1.35	0.13	种植业	124	7.42	--  	7.51	76795	1239	          3.41	3.24	7.66	7.50	0.147㈢	    38.33	57888072	  1.19	         16.88亿	黑龙江	7.50	7.54	34626	42168	  0.82	7.50	61	  0.23	
600598	北大荒	1.19	0.21	种植业	329	9.24	--  	9.40	469411	3067	          2.64	3.45	9.56	9.39	0.548㈢	    12.85	441050656	  1.29	        166.92亿	黑龙江	9.32	9.40	238578	230832	  1.03	9.39	1683	  0.06	
600538	国发股份	1.18	-0.18	医药商业	690	5.10	--  	5.15	98727	842	          2.13	1.77	5.19	5.14	-0.012㈢	--  	50857032	  1.07	         23.87亿	广西	5.10	5.15	51943	46784	  1.11	5.14	167	  0.06	
002630	华西能源	1.17	0.29	专用机械	613	3.41	--  	3.48	1057602	10162	         10.90	5.54	3.60	3.47	0.094㈢	    27.65	369815296	  0.97	         33.67亿	四川	3.44	3.50	543825	513776	  1.06	3.47	4437	 -1.20	
000601	韶能股份	1.12	0.22	水力发电	546	4.45	--  	4.51	127069	311	          1.18	3.60	4.61	4.50	0.249㈢	    13.57	57682184	  1.19	         48.59亿	广东	4.45	4.54	60260	66809	  0.90	4.50	281	 -1.24	
600475	华光股份	1.01	0.00	专用机械	151	9.85	--  	9.97	75837	1053	          5.40	3.14	10.16	9.96	0.584㈢	    12.80	75758368	  1.05	         13.99亿	江苏	9.85	9.99	40553	35284	  1.15	9.96	144	 -0.11	
002060	粤 水 电	0.88	0.00	建筑施工	1032	3.41	--  	3.45	303660	2175	          2.53	2.35	3.49	3.44	0.074㈢	    34.73	104827648	  1.04	         41.34亿	广东	3.41	3.45	168539	135120	  1.25	3.44	3999	 -1.48	
600982	宁波热电	0.82	0.27	供气供热	86	3.67	--  	3.72	125565	772	          1.68	2.72	3.77	3.71	0.207㈣	    17.94	46813900	  1.25	         27.71亿	浙江	3.70	3.73	73663	51901	  1.42	3.71	922	 -0.31	
603693	江苏新能	0.51	0.00	新型电力	1693	15.62	--  	15.78	170329	1911	         14.43	2.99	16.09	15.78	0.530㈢	    25.78	269917088	  1.00	         18.62亿	江苏	15.74	15.85	92398	77930	  1.19	15.77	103	 -0.61	
300335	迪森股份	0.00	0.55	供气供热	285	7.28	--  	7.33	296605	1519	         11.22	4.37	7.60	7.33	0.410㈢	    13.39	220177504	  1.91	         19.37亿	广东	7.33	7.42	169414	127191	  1.33	7.32	114	 -2.36	
000939	*ST凯迪	0.00	0.00	新型电力	40992	1.14	--  	1.16	633382	3303	          2.08	3.45	1.18	1.16	-0.441㈢	--  	73380176	  0.90	         35.24亿	湖北	1.15	1.16	322839	310543	  1.04	1.15	11353	 -2.36	
000966	长源电力	-0.24	0.24	火力发电	1281	4.11	--  	4.16	256357	4084	          2.31	3.60	4.26	4.16	0.153㈢	    20.38	107591608	  0.88	         46.10亿	湖北	4.19	4.20	152516	103841	  1.47	4.15	2879	 -2.60	
002616	长青集团	-0.25	0.00	环境保护	631	8.03	--  	8.06	87928	746	          1.91	4.34	8.38	8.05	0.225㈣	    35.80	71772136	  1.08	         36.98亿	广东	8.10	8.16	49184	38743	  1.27	8.05	281	 -2.61	
600835	上海机电	-0.38	0.33	运输设备	24	18.25	--  	18.32	96242	477	          1.19	2.39	18.69	18.31	1.010㈢	    13.60	177649744	  1.60	        147.67亿	上海	18.46	18.46	46963	49278	  0.95	18.31	4	 -1.50	
300091	金通灵	-0.82	-0.20	机械基件	1049	4.79	--  	4.83	751351	9457	          7.12	4.32	5.00	4.82	0.120㈢	    31.06	366669440	  1.10	         50.88亿	江苏	4.97	4.88	393382	357968	  1.10	4.82	3628	 -3.19	
002604	*ST龙力	-1.11	-0.55	食品	3401	1.76	--  	1.79	186242	446	          3.67	2.78	1.81	1.78	-0.423㈢	--  	33255470	  1.12	          9.04亿	山东	1.76	1.79	109245	76997	  1.42	1.78	2556	 -3.48	
数据来源:通达信
