代码	名称	涨幅%%	涨速%%	细分行业	买量	最低	未匹配量	卖价	总量	现量	换手%%	振幅%%	最高	现价	每股收益	市盈(动)	总金额	量比	流通市值	地区	今开	均价	内盘	外盘	内外比	买价	卖量	强弱度%%	
002017	东信和平	10.01	0.00	通信设备	41911	14.70	--  	--  	223620	290	          6.48	5.61	15.49	15.49	0.089㈢	   131.12	340768896	  0.45	         53.46亿	广东	14.84	15.24	101038	122581	  0.82	15.49	0	  7.65	
300017	网宿科技	9.96	0.00	电信运营	267248	11.60	--  	--  	2367446	1731	         12.31	1.96	11.81	11.81	0.252㈢	    35.13	2793327360	  1.97	        227.10亿	上海	11.81	11.80	1814149	553296	  3.28	11.81	0	  7.60	
300175	朗源股份	9.92	0.00	食品	131312	5.65	--  	--  	30486	2696	          0.66	0.00	5.65	5.65	0.097㈢	    43.65	17224590	  0.25	         26.08亿	山东	5.65	5.65	23451	7035	  3.33	5.65	0	  7.56	
000503	国新健康	6.97	-0.04	医疗保健	333	20.09	--  	21.32	415544	3091	          4.62	9.08	21.90	21.32	-0.126㈢	--  	878107008	  1.48	        191.63亿	海南	20.39	21.13	197691	217852	  0.91	21.31	465	  4.61	
600415	小商品城	5.19	0.41	商品城	1883	4.65	--  	4.86	758765	7450	          1.39	6.28	4.94	4.86	0.250㈢	    14.60	366860000	  1.44	        264.54亿	浙江	4.65	4.83	405699	353065	  1.15	4.85	3004	  4.07	
002127	南极电商	4.66	0.36	互联网	118	10.44	--  	11.00	196870	959	          1.05	7.23	11.20	11.00	0.183㈢	    45.06	214978720	  1.15	        205.87亿	江苏	10.45	10.92	82866	114003	  0.73	10.99	219	  2.30	
300267	尔康制药	4.28	0.00	化学制药	3458	3.97	--  	4.15	498714	1530	          3.64	6.30	4.22	4.14	0.144㈢	    21.51	204451472	  1.32	         56.67亿	湖南	4.00	4.10	258090	240624	  1.07	4.14	3539	  1.92	
600845	宝信软件	4.03	0.03	软件服务	23	29.50	--  	30.17	108154	882	          1.69	5.17	31.00	30.17	0.630㈢	    38.29	327332320	  1.38	        193.34亿	上海	29.50	30.27	36692	71462	  0.51	30.16	92	  2.91	
002716	金贵银业	3.68	0.87	小金属	4928	7.66	--  	8.17	895486	20633	         16.51	6.35	8.16	8.16	0.340㈢	    28.05	712157184	  1.17	         44.26亿	湖南	7.70	7.95	425524	469962	  0.91	8.16	438	  1.32	
000701	厦门信达	3.63	0.00	综合类	675	6.91	--  	7.14	148173	1047	          3.64	5.52	7.29	7.14	-0.060㈢	    35.00	105587368	  1.82	         29.03亿	福建	6.96	7.13	69654	78518	  0.89	7.13	175	  1.26	
300295	三六五网	3.41	-0.12	互联网	361	14.44	--  	14.86	132820	1719	          7.47	8.91	15.72	14.86	0.434㈢	    25.70	199409200	  1.38	         26.40亿	江苏	14.45	15.01	66452	66368	  1.00	14.85	92	  1.05	
600446	金证股份	3.21	-0.73	软件服务	2396	20.30	--  	21.58	1349778	10952	         15.82	12.87	22.99	21.57	0.116㈢	   139.89	2948931072	  1.43	        184.04亿	深圳	21.00	21.85	654480	695297	  0.94	21.57	235	  2.08	
600572	康恩贝	3.11	0.00	中成药	8140	7.90	--  	8.28	2202279	20452	          8.28	7.72	8.52	8.28	0.287㈢	    21.61	1793939584	  1.09	        220.30亿	浙江	8.19	8.15	1084690	1117588	  0.97	8.27	2847	  1.99	
600180	瑞茂通	3.02	0.00	仓储物流	640	8.56	--  	8.89	121755	2126	          1.20	8.47	9.29	8.88	0.372㈢	    17.92	109712600	  1.59	         90.26亿	山东	8.66	9.01	64727	57027	  1.14	8.88	166	  1.89	
002711	欧浦智网	2.33	0.00	仓储物流	2695	3.88	--  	3.96	540140	5873	          5.14	4.15	4.04	3.95	0.185㈢	    16.00	214215520	  0.89	         41.48亿	广东	3.91	3.97	254675	285464	  0.89	3.95	2213	 -0.03	
