代码	名称	涨幅%%	涨速%%	细分行业	买量	最低	未匹配量	卖价	总量	现量	换手%%	振幅%%	最高	现价	每股收益	市盈(动)	总金额	量比	流通市值	地区	今开	均价	内盘	外盘	内外比	买价	卖量	强弱度%%	
300170	汉得信息	9.99	0.00	软件服务	248140	13.87	--  	--  	32725	1184	          0.47	0.00	13.87	13.87	0.280㈢	    37.34	45389256	  0.11	         96.16亿	上海	13.87	13.87	28070	4654	  6.03	13.87	0	  7.63	
000810	创维数字	9.96	0.00	家用电器	110382	8.39	--  	--  	48994	1394	          0.50	0.00	8.39	8.39	0.220㈢	    29.36	41105580	  0.22	         81.42亿	四川	8.39	8.39	43227	5766	  7.50	8.39	0	  7.60	
002308	威创股份	6.80	-0.67	电脑设备	389	5.58	--  	5.82	776704	7054	          8.61	7.35	5.98	5.81	0.162㈢	    26.97	448492032	  1.79	         52.39亿	广东	5.80	5.77	403509	373194	  1.08	5.81	2765	  4.44	
002920	德赛西威	3.89	0.00	汽车配件	84	25.25	--  	26.17	47446	261	          3.88	6.08	26.78	26.16	0.615㈢	    31.91	124283872	  0.97	         31.99亿	广东	25.25	26.19	21502	25943	  0.83	26.16	27	  1.53	
300242	佳云科技	3.78	0.43	互联网	978	4.57	--  	4.67	270707	1429	          5.25	5.11	4.80	4.67	0.052㈢	    66.96	126587944	  1.30	         24.09亿	广东	4.58	4.68	115933	154773	  0.75	4.66	1531	  1.41	
002829	星网宇达	2.47	0.21	通信设备	132	19.01	--  	19.48	30496	328	          4.96	3.68	19.71	19.48	0.130㈢	   117.76	59262456	  1.43	         11.98亿	北京	19.01	19.43	13555	16940	  0.80	19.47	23	  0.11	
300456	耐威科技	1.85	0.13	元器件	581	29.60	--  	30.31	92021	855	          6.41	4.30	30.88	30.30	0.300㈢	    93.76	278470464	  0.97	         43.50亿	北京	30.10	30.26	46175	45845	  1.01	30.30	71	 -0.52	
300051	三五互联	1.55	0.77	互联网	65	6.48	--  	6.55	124607	806	          4.90	3.72	6.72	6.55	0.056㈢	    87.49	82068720	  1.12	         16.64亿	福建	6.49	6.59	52070	72537	  0.72	6.53	211	 -0.81	
002813	路畅科技	1.14	0.23	汽车配件	23	26.30	--  	26.65	41691	539	         13.90	2.58	26.98	26.65	-0.225㈢	--  	110914480	  0.95	          7.99亿	深圳	26.33	26.60	21122	20568	  1.03	26.63	313	 -1.23	
601777	力帆股份	1.10	0.44	摩托车	6	4.54	--  	4.60	251894	900	          1.99	3.30	4.69	4.60	0.100㈢	    33.81	116348392	  0.94	         58.15亿	重庆	4.56	4.62	134676	117217	  1.15	4.59	1906	 -0.02	
603399	吉翔股份	0.87	-0.08	小金属	113	11.30	--  	11.58	153321	1311	          3.02	6.10	12.00	11.57	0.423㈢	    20.51	178777776	  1.38	         58.78亿	辽宁	11.41	11.66	68440	84880	  0.81	11.57	18	 -0.25	
600166	福田汽车	0.48	0.48	汽车整车	2581	2.10	--  	2.12	1073255	7700	          1.61	2.86	2.16	2.11	-0.254㈢	--  	228380176	  0.86	        140.74亿	北京	2.10	2.13	577261	495994	  1.16	2.11	16142	 -0.65	
002413	雷科防务	0.44	0.00	通信设备	4092	6.78	--  	6.87	467355	6165	          4.70	4.39	7.08	6.87	0.093㈢	    55.24	321755936	  1.12	         68.38亿	江苏	6.84	6.88	242861	224494	  1.08	6.86	1297	 -1.93	
300177	中海达	0.43	0.36	通信设备	174	13.73	--  	13.92	227260	2237	          6.91	4.33	14.33	13.92	0.166㈢	    62.87	318082272	  0.74	         45.81亿	广东	14.00	14.00	113540	113720	  1.00	13.91	7	 -1.93	
300336	新文化	0.39	0.19	影视音像	974	5.13	--  	5.20	393688	3801	          5.57	3.68	5.32	5.19	0.278㈢	    13.98	205732096	  0.88	         36.66亿	上海	5.18	5.23	203811	189876	  1.07	5.19	1282	 -1.98	
601127	小康股份	0.30	0.24	汽车配件	87	16.43	--  	16.60	41550	155	          1.88	2.24	16.80	16.59	0.060㈢	   237.62	69019032	  0.92	         36.64亿	重庆	16.80	16.61	19319	22231	  0.87	16.59	63	 -0.82	
002906	华阳集团	0.09	0.00	汽车配件	296	10.80	--  	10.84	40301	344	          1.99	2.50	11.07	10.83	0.080㈢	   101.76	44064368	  0.90	         21.90亿	广东	10.82	10.93	21431	18869	  1.14	10.83	220	 -2.27	
603881	数据港	-1.04	0.53	电信运营	183	31.90	--  	32.33	67754	529	          5.30	7.04	34.20	32.32	0.455㈢	    53.27	224718688	  1.76	         41.32亿	上海	32.98	33.17	37202	30552	  1.22	32.32	100	 -2.16	
600686	金龙汽车	-1.33	0.00	汽车整车	717	8.86	--  	8.94	207505	1886	          3.42	3.65	9.19	8.93	0.100㈢	    47.28	186808336	  1.02	         54.18亿	福建	9.15	9.00	112531	94974	  1.18	8.93	34	 -2.45	
数据来源:通达信
