代码	名称	涨幅%%	涨速%%	细分行业	买量	最低	未匹配量	卖价	总量	现量	换手%%	振幅%%	最高	现价	每股收益	市盈(动)	总金额	量比	流通市值	地区	今开	均价	内盘	外盘	内外比	买价	卖量	强弱度%%	
000607	华媒控股	3.32	0.20	广告包装	46	4.85	--  	4.98	133054	1185	          1.50	6.02	5.14	4.98	0.060㈢	    62.23	66524316	  1.35	         44.07亿	浙江	4.86	5.00	57847	75207	  0.77	4.97	84	  0.95	
000681	视觉中国	4.46	-0.03	互联网	238	26.42	--  	27.90	157343	715	          5.07	8.16	28.60	27.89	0.314㈢	    66.59	438462336	  1.50	         86.59亿	江苏	26.99	27.87	70048	87294	  0.80	27.89	426	  2.09	
000936	华西股份	1.48	0.24	化纤	1717	8.18	--  	8.25	859485	6909	          9.71	5.05	8.59	8.24	0.331㈢	    18.68	720736256	  0.99	         72.95亿	江苏	8.52	8.39	441196	418288	  1.05	8.24	988	 -0.89	
002235	安妮股份	5.58	0.76	互联网	901	6.20	--  	6.63	776378	20910	         15.52	7.02	6.64	6.62	0.107㈢	    46.21	502824640	  1.22	         33.12亿	福建	6.30	6.48	355406	420972	  0.84	6.62	878	  3.22	
002329	皇氏集团	0.00	-0.23	乳制品	2157	4.05	--  	4.09	273235	3049	          5.27	4.65	4.24	4.09	-0.053㈢	--  	112716712	  0.86	         21.21亿	广西	4.12	4.13	158920	114315	  1.39	4.08	175	 -2.36	
002474	榕基软件	1.53	0.00	软件服务	567	7.88	--  	7.98	233288	2883	          4.98	4.59	8.24	7.97	0.049㈢	   122.49	188145536	  1.45	         37.36亿	福建	8.00	8.06	109496	123792	  0.88	7.97	969	 -0.84	
002544	杰赛科技	0.45	0.30	软件服务	95	13.08	--  	13.25	131801	895	          2.58	3.64	13.56	13.25	0.073㈢	   135.39	176349888	  1.00	         67.82亿	广东	13.30	13.38	67469	64332	  1.05	13.24	56	 -1.91	
002712	思美传媒	0.89	0.25	广告包装	366	7.80	--  	7.94	365001	3379	         11.87	5.09	8.20	7.93	0.350㈢	    17.29	291179584	  0.79	         24.39亿	浙江	7.90	7.98	208629	156372	  1.33	7.93	132	 -1.47	
300006	莱美药业	0.45	0.00	化学制药	145	4.38	--  	4.43	281220	1566	          4.19	2.95	4.51	4.42	0.123㈢	    26.92	125087112	  1.23	         29.67亿	重庆	4.42	4.45	144530	136690	  1.06	4.42	428	 -1.91	
300079	数码科技	10.00	0.00	通信设备	617405	4.62	--  	--  	109926	330	          0.91	0.00	4.62	4.62	0.059㈢	    59.04	50785928	  0.20	         55.86亿	北京	4.62	4.62	96424	13502	  7.14	4.62	0	  7.64	
300182	捷成股份	10.08	0.00	软件服务	98098	5.35	--  	--  	480529	5473	          2.68	0.00	5.35	5.35	0.308㈢	    13.03	257083136	  0.58	         96.04亿	北京	5.35	5.35	462348	18181	 25.43	5.35	0	  7.72	
300183	东软载波	1.95	0.07	软件服务	219	14.00	--  	14.11	112540	544	          4.20	3.54	14.49	14.10	0.250㈢	    42.35	159893152	  1.39	         37.82亿	山东	14.33	14.21	57707	54833	  1.05	14.10	25	 -0.41	
300188	美亚柏科	-0.47	0.24	软件服务	898	16.50	--  	16.84	167370	1185	          3.17	6.51	17.60	16.83	0.060㈢	   211.78	288326176	  1.29	         88.86亿	福建	17.06	17.23	87007	80362	  1.08	16.83	109	 -2.84	
300229	拓尔思	0.58	-0.18	软件服务	891	10.40	--  	10.45	139936	1161	          3.01	3.76	10.79	10.44	0.090㈢	    83.32	148315568	  0.92	         48.60亿	北京	10.53	10.60	70693	69242	  1.02	10.44	120	 -1.79	
300356	光一科技	4.24	0.38	电气设备	1537	7.55	--  	7.87	393070	4362	         10.66	7.69	8.13	7.86	0.055㈢	   107.70	307573984	  0.85	         28.99亿	江苏	7.66	7.82	185013	208056	  0.89	7.86	522	  1.88	
300364	中文在线	2.03	0.00	出版业	226	5.42	--  	5.54	502493	3520	          9.36	8.86	5.90	5.53	0.050㈢	    83.01	280769984	  1.17	         29.67亿	北京	5.46	5.59	263159	239333	  1.10	5.53	4593	 -0.33	
300386	飞天诚信	1.06	0.37	软件服务	195	13.27	--  	13.41	134255	1675	          6.25	4.37	13.85	13.41	0.184㈢	    54.56	181470000	  0.86	         28.79亿	北京	13.34	13.52	72522	61732	  1.17	13.40	276	 -1.31	
300449	汉邦高科	0.27	0.16	电脑设备	272	18.23	--  	18.36	65868	582	          6.11	3.77	18.92	18.35	0.186㈢	    73.93	122518016	  0.79	         19.77亿	北京	18.44	18.60	33428	32439	  1.03	18.35	98	 -2.09	
300459	金科文化	-0.25	-0.11	化工原料	743	8.04	--  	8.11	106544	698	          1.39	3.45	8.32	8.10	0.383㈢	    15.84	87327576	  1.30	         62.02亿	浙江	8.13	8.20	58224	48320	  1.20	8.10	191	 -2.61	
300579	数字认证	0.03	0.15	软件服务	3	33.00	--  	33.15	38195	386	          8.72	5.43	34.80	33.15	0.326㈢	    76.18	130022120	  1.14	         14.52亿	北京	33.80	34.04	19564	18630	  1.05	33.14	152	 -2.33	
600757	长江传媒	0.14	0.00	出版业	2267	7.11	--  	7.15	226798	826	          1.87	2.38	7.28	7.14	0.523㈢	    10.25	163207616	  1.21	         86.64亿	湖北	7.14	7.20	116557	110241	  1.06	7.14	457	 -0.98	
600818	中路股份	0.76	0.00	文教休闲	191	11.79	--  	11.88	31488	210	          1.32	2.88	12.13	11.88	0.043㈢	   206.08	37744208	  0.95	         28.27亿	上海	11.79	11.99	15798	15690	  1.01	11.87	229	 -0.36	
600831	广电网络	2.89	-0.21	影视音像	133	8.83	--  	8.90	734135	9960	         13.03	7.98	9.52	8.90	0.196㈢	    34.05	669223104	  1.75	         50.15亿	陕西	9.52	9.12	332255	401879	  0.83	8.89	1761	  1.77	
601858	中国科传	1.36	0.10	出版业	391	10.35	--  	10.46	112231	633	          5.89	2.91	10.65	10.46	0.241㈢	    32.61	118076888	  0.85	         19.93亿	北京	10.41	10.52	60562	51669	  1.17	10.45	438	  0.24	
603533	掌阅科技	0.23	0.18	互联网	793	21.79	--  	21.94	63815	547	          3.91	3.02	22.45	21.93	0.286㈢	    57.43	140985472	  0.84	         35.78亿	北京	21.80	22.09	35106	28709	  1.22	21.93	16	 -0.89	
603607	京华激光	1.09	-0.04	造纸	147	19.25	--  	19.44	25576	360	          5.25	2.76	19.78	19.43	0.511㈢	    28.53	49887960	  0.83	          9.47亿	浙江	19.42	19.51	13637	11938	  1.14	19.43	19	 -0.03	
603999	读者传媒	1.36	0.00	出版业	1279	5.91	--  	5.96	137918	840	          2.39	4.94	6.20	5.95	0.054㈢	    82.96	83350328	  1.01	         34.27亿	甘肃	5.93	6.04	69174	68744	  1.01	5.95	675	  0.24	
数据来源:通达信
