代码	名称	涨幅%	涨速%	细分行业	买量	最低	卖价	涨速%	总量	现量	换手%	振幅%	最高	现价	每股收益	市盈(动)	总金额	量比	流通市值	地区	今开	均价	内盘	外盘	内外比	买价	卖量	强弱度%	流通股(亿)	涨跌	AB股总市值	活跃度	未匹配量	笔均量	笔换手	财务更新	上市日期	总股本(亿)	B/A股(亿)	H股(亿)	总资产(亿)	净资产(亿)	少数股权(亿)	资产负债率%	流动资产(亿)	固定资产(亿)	无形资产(亿)	流动负债(亿)	资本公积金(亿)	存货(亿)	应收帐款(亿)	营业收入(亿)	营业成本(亿)	营业利润(亿)	投资收益(亿)	利润总额(亿)	税后利润(亿)	净利润(亿)	未分利润(亿)	经营现金流(亿)	总现金流(亿)	股东人数	人均持股	人均市值	利润同比%	收入同比%	市净率	市现率	市销率	昨收	每股净资	调整后净资	每股公积	每股未分配	权益比%	净益率%	毛利率%	营业利润率%	净利润率%	交易代码	自选日	自选价	自选收益%	
002207	ST准油	-1.29	3.21	石油开采	238	5.87	6.10	3.21	31190	1600	          1.31	6.63	6.28	6.10	-0.072㈢	--  	18744906	  0.65	         14.48亿	新疆	6.17	6.01	16934	14256	  1.19	5.91	72	  0.52	          2.37	-0.08	         14.59亿	    627	--  	     50	        0.0021	20190213	20080128	          2.39	--  	--  	6.49	3.35	          0.00	48.32	2.31	1.10	0.09	3.13	2.21	0.09	1.63	1.70	1.58	-0.43	-0.08	-0.17	-0.17	-0.17	-1.77	-0.55	-1.17	25926.00	          7008	4.27万	-138.70	28.19	          4.35	-26.57	8.56	6.18	          1.40	0.00	          0.92	         -0.74	         51.68	  -5.15㈢	          7.46	        -25.15	        -10.14	002207	--  	--  	--  	
603798	康普顿	-2.43	0.81	石油加工	86	11.05	11.26	0.81	25119	221	          2.94	5.55	11.69	11.25	0.319㈢	    26.43	28564568	  0.66	          9.61亿	山东	11.56	11.37	14309	10810	  1.32	11.25	37	 -1.23	          0.85	-0.28	         22.50亿	   1133	--  	     22	        0.0026	20190213	20160406	          2.00	--  	--  	10.14	8.69	          0.00	14.30	5.86	3.43	0.52	1.26	2.62	1.20	0.33	6.60	4.57	0.80	0.00	0.82	0.64	0.64	3.52	0.53	-0.46	15287.00	          3866	4.35万	-33.87	-4.73	          2.59	42.78	3.41	11.53	          4.34	0.00	          1.31	          1.76	         85.70	   7.35㈢	         30.75	         12.08	          9.68	603798	20181012	11.70	-3.85	
600339	中油工程	2.01	0.66	石油加工	1696	4.48	4.58	0.66	559497	7545	          3.60	5.58	4.73	4.57	0.093㈢	    36.90	256337904	  1.63	         70.93亿	新疆	4.50	4.58	317662	241835	  1.31	4.57	2386	  3.21	         15.52	0.09	        255.15亿	   3416	--  	    164	        0.0011	20190213	20001225	         55.83	--  	--  	962.01	230.43	          0.27	76.02	876.99	53.45	17.98	714.46	145.17	266.75	188.79	343.46	321.94	9.88	0.37	10.12	5.15	5.19	24.58	46.54	43.07	52304.00	         29676	13.56万	-0.47	9.77	          1.11	5.48	0.74	4.48	          4.13	0.00	          2.60	          0.44	         23.95	   2.25㈢	          6.27	          2.88	          1.51	600339	--  	--  	--  	
600256	广汇能源	0.70	0.47	石油开采	6949	4.21	4.31	0.47	1007598	14154	          1.50	3.98	4.38	4.30	0.220㈢	    16.10	433834112	  0.90	        289.70亿	新疆	4.28	4.31	468755	538842	  0.87	4.30	3511	  1.90	         67.37	0.03	        292.14亿	   4005	--  	    252	        0.0004	20190306	20000526	         67.94	--  	--  	496.62	147.37	         22.37	65.82	64.06	158.41	18.45	183.32	12.16	6.06	3.90	92.95	60.68	17.85	-0.16	17.78	13.00	13.61	57.19	32.41	16.60	177680.00	         21825	9.38万	451.40	99.96	          1.97	9.01	3.14	4.27	          2.19	2.19	          0.18	          0.84	         29.67	   9.23㈢	         34.72	         19.21	         14.64	600256	--  	--  	--  	
002828	贝肯能源	-0.76	0.31	石油开采	3430	12.72	13.00	0.31	73600	1136	          7.45	5.73	13.47	13.00	0.270㈢	    37.02	96478920	  1.05	         12.84亿	新疆	13.10	13.11	38202	35397	  1.08	12.99	111	  1.05	          0.99	-0.10	         26.60亿	   2207	--  	     33	        0.0034	20190109	20161208	          2.05	--  	--  	17.51	9.63	          0.32	43.19	11.98	3.41	0.16	7.56	3.00	2.09	6.54	5.53	4.14	0.53	0.00	0.59	0.53	0.54	4.00	-1.92	-1.21	25067.00	          3940	5.12万	11.28	40.86	          2.76	-13.88	4.81	13.10	          4.71	0.00	          1.47	          1.95	         54.98	   5.60㈢	         25.14	          9.55	          9.75	002828	20171107	31.00	-28.35	
000819	岳阳兴长	1.30	0.28	石油加工	596	10.51	10.91	0.28	77875	1576	          2.87	5.48	11.10	10.90	0.154㈢	    53.19	84424040	  0.93	         29.57亿	湖南	10.94	10.84	40085	37790	  1.06	10.90	2602	  3.12	          2.71	0.14	         29.58亿	   1934	--  	     40	        0.0015	20190213	19970625	          2.71	--  	--  	8.63	7.23	          0.25	13.29	6.51	1.56	0.28	1.15	0.70	0.66	0.20	14.78	13.51	0.54	0.00	0.54	0.38	0.42	2.38	0.75	0.26	33532.00	          4976	5.42万	622.09	38.68	          4.09	39.22	2.00	10.76	          2.66	0.00	          0.26	          0.88	         83.76	   5.77㈢	          8.57	          3.64	          2.82	000819	20180320	11.00	-0.91	
300164	通源石油	-0.81	0.27	石油开采	422	7.28	7.36	0.27	259571	3522	          8.18	5.13	7.66	7.35	0.230㈢	    24.10	193763984	  1.02	         23.32亿	陕西	7.50	7.46	146051	113519	  1.29	7.35	986	  1.01	          3.17	-0.06	         33.16亿	   3154	--  	     82	        0.0026	20181221	20110113	          4.51	--  	--  	29.22	17.43	          4.69	24.28	11.78	3.97	0.53	4.97	9.01	2.16	7.08	11.70	4.96	1.35	0.07	1.64	1.38	1.03	3.46	0.33	-1.02	24471.00	         11790	8.67万	846.07	140.94	          1.90	99.69	2.84	7.41	          3.86	0.00	          2.00	          0.77	         59.67	   5.92㈢	         57.58	         11.54	          8.82	300164	20180911	9.01	-18.42	
601857	中国石油	-0.26	0.26	石油开采	5155	7.63	7.67	0.26	990895	14864	          0.06	2.08	7.79	7.67	0.263㈢	    21.88	764126464	  0.73	      12419.42亿	北京	7.72	7.71	525210	465685	  1.13	7.66	1141	  0.94	       1619.22	-0.02	      12419.42亿	   4171	--  	    238	        0.0000	20190213	20071105	       1830.21	--  	        210.99	24835.59	12177.35	       1975.16	43.02	5349.08	6698.01	733.23	6238.28	1286.86	1769.50	0.00	17099.33	13268.50	1146.37	53.98	1014.91	633.23	481.21	7280.34	2569.37	284.91	498543.00	         25633	19.66万	177.16	17.30	          1.15	5.46	0.82	7.69	          6.65	0.00	          0.70	          3.98	         49.03	   3.95㈢	         22.40	          6.70	          2.81	601857	--  	--  	--  	
603003	龙宇燃油	-2.55	0.24	石油贸易	81	8.29	8.42	0.24	62695	720	          1.51	5.68	8.78	8.41	0.112㈢	    56.09	53142392	  0.57	         35.03亿	上海	8.60	8.48	34065	28630	  1.19	8.41	110	 -1.35	          4.17	-0.22	         35.03亿	   1491	--  	     42	        0.0010	20190213	20120817	          4.17	--  	--  	60.49	40.28	          1.91	30.26	45.54	5.93	3.60	17.76	35.57	5.78	9.79	129.01	127.95	0.85	0.24	0.87	0.71	0.47	1.60	-2.81	-18.35	21070.00	         11072	9.31万	8.14	-0.57	          0.87	-12.44	0.27	8.63	          9.67	0.00	          8.54	          0.38	         66.58	   1.16㈢	          0.83	          0.66	          0.36	603003	--  	--  	--  	
002778	高科石化	6.87	0.24	石油加工	177	19.78	21.16	0.24	29825	1003	          4.67	7.23	21.21	21.15	0.226㈢	    70.17	61367176	  1.70	         13.52亿	江苏	19.78	20.58	13525	16300	  0.83	21.15	3	  8.69	          0.64	1.36	         18.85亿	   1557	--  	     19	        0.0030	20190213	20160106	          0.89	--  	--  	7.95	6.33	          0.00	20.43	5.14	0.71	0.41	1.61	2.14	1.66	1.37	4.95	4.28	0.25	0.00	0.25	0.20	0.20	2.96	-0.36	-0.46	13884.00	          3306	6.99万	-7.39	15.09	          2.98	-52.92	3.81	19.79	          7.10	0.00	          2.41	          3.32	         79.57	   3.18㈢	         13.39	          5.01	          4.07	002778	20180724	23.30	-9.23	
