代码	名称	涨幅%	涨速%	细分行业	买量	最低	卖价	涨速%	总量	现量	换手%	振幅%	最高	现价	每股收益	市盈(动)	总金额	量比	流通市值	地区	今开	均价	内盘	外盘	内外比	买价	卖量	强弱度%	流通股(亿)	涨跌	AB股总市值	活跃度	未匹配量	笔均量	笔换手	财务更新	上市日期	总股本(亿)	B/A股(亿)	H股(亿)	总资产(亿)	净资产(亿)	少数股权(亿)	资产负债率%	流动资产(亿)	固定资产(亿)	无形资产(亿)	流动负债(亿)	资本公积金(亿)	存货(亿)	应收帐款(亿)	营业收入(亿)	营业成本(亿)	营业利润(亿)	投资收益(亿)	利润总额(亿)	税后利润(亿)	净利润(亿)	未分利润(亿)	经营现金流(亿)	总现金流(亿)	股东人数	人均持股	人均市值	利润同比%	收入同比%	市净率	市现率	市销率	昨收	每股净资	调整后净资	每股公积	每股未分配	权益比%	净益率%	毛利率%	营业利润率%	净利润率%	交易代码	自选日	自选价	自选收益%	
300700	岱勒新材	1.69	0.78	矿物制品	126	25.36	25.81	0.78	37184	441	          8.39	6.03	26.89	25.80	0.413㈣	    62.51	96679912	  0.97	         11.43亿	湖南	26.30	26.00	16600	20584	  0.81	25.80	3	  3.51	          0.44	0.43	         21.26亿	   1989	--  	     19	        0.0042	20190212	20170912	          0.82	--  	--  	10.08	5.43	          0.00	46.16	5.07	3.03	0.41	4.19	2.39	1.19	0.00	3.30	2.07	0.36	-0.00	0.37	0.34	0.34	1.95	0.05	-1.55	14300.00	          3098	7.99万	-69.46	-24.22	          3.92	459.58	6.44	25.37	          6.58	0.00	          2.90	          2.36	         53.84	   6.27㈣	         37.31	         11.00	         10.31	300700	--  	--  	--  	
002088	鲁阳节能	-1.18	0.74	矿物制品	38	10.67	10.85	0.74	39631	1116	          1.28	3.37	11.04	10.85	0.660㈢	    12.79	42783764	  0.63	         33.70亿	山东	11.00	10.80	21409	18221	  1.17	10.84	128	  0.63	          3.11	-0.13	         39.27亿	   1193	--  	     33	        0.0011	20190304	20061130	          3.62	--  	--  	26.21	19.45	          0.00	25.80	16.04	6.42	1.37	6.60	5.18	2.92	4.46	12.38	7.15	2.59	0.03	2.60	2.30	2.30	9.99	1.10	-1.23	16289.00	         12780	13.87万	65.48	11.56	          1.93	35.63	3.17	10.98	          5.63	5.63	          1.43	          2.76	         74.20	  11.84㈢	         42.24	         20.95	         18.60	002088	20180315	14.91	-23.88	
603688	石英股份	-3.39	0.69	矿物制品	96	14.31	14.55	0.69	35221	112	          1.05	5.71	15.17	14.55	0.304㈢	    35.86	51666516	  0.83	         49.01亿	江苏	15.05	14.67	23870	11350	  2.10	14.54	78	 -2.19	          3.37	-0.51	         49.08亿	   2514	--  	     14	        0.0004	20181213	20141031	          3.37	--  	--  	14.73	13.68	          0.00	7.11	7.94	3.39	0.50	0.95	4.70	1.45	1.84	4.56	2.59	1.25	0.09	1.27	1.03	1.03	4.98	0.82	-0.59	13619.00	          8912	12.97万	36.29	14.16	          3.59	59.85	10.77	15.06	          4.06	0.00	          1.39	          1.48	         92.89	   7.50㈢	         43.27	         27.49	         22.52	603688	--  	--  	--  	
300179	四方达	-2.70	0.65	矿物制品	576	4.59	4.69	0.65	52315	594	          1.60	5.82	4.87	4.68	0.112㈢	    31.44	24658948	  0.56	         15.28亿	河南	4.82	4.71	28685	23630	  1.21	4.68	222	 -0.89	          3.26	-0.13	         23.40亿	   1263	--  	     41	        0.0013	20190213	20110215	          5.00	--  	--  	10.84	8.27	          0.00	23.69	6.88	1.93	0.29	2.28	1.20	1.13	1.35	2.70	1.39	0.65	0.05	0.65	0.56	0.56	2.46	0.52	0.13	30257.00	          9635	4.51万	-13.97	16.48	          2.83	44.77	8.65	4.81	          1.65	0.00	          0.24	          0.49	         76.27	   6.75㈢	         48.57	         24.21	         20.63	300179	--  	--  	--  	
600172	黄河旋风	-6.13	0.45	矿物制品	4036	4.35	4.44	0.45	653550	7000	          5.71	7.82	4.72	4.44	0.070㈢	    47.59	292839712	  0.67	         50.82亿	河南	4.63	4.48	369246	284303	  1.30	4.43	1285	 -4.93	         11.45	-0.29	         64.44亿	   3415	--  	    191	        0.0017	20190201	19981126	         14.51	--  	--  	117.29	48.78	         -0.00	58.41	47.16	40.02	3.08	42.07	18.92	10.35	15.43	25.10	17.95	1.19	0.02	1.24	1.00	1.02	14.83	-1.07	3.57	64339.00	         13556	6.02万	-8.29	20.13	          1.32	-60.11	2.57	4.73	          3.36	0.00	          1.30	          1.02	         41.59	   2.08㈢	         28.48	          4.75	          4.05	600172	20180227	8.59	-48.31	
300554	三超新材	1.32	0.40	矿物制品	22	19.65	19.98	0.40	41831	306	          8.98	4.46	20.53	19.98	0.678㈢	    22.10	84131184	  0.90	          9.31亿	江苏	19.75	20.11	20438	21392	  0.96	19.96	5	  3.13	          0.47	0.26	         18.70亿	   1818	--  	     23	        0.0049	20190312	20170421	          0.94	--  	--  	7.09	5.26	          0.00	25.78	4.42	2.06	0.23	1.71	2.19	0.83	1.01	2.73	1.48	0.75	0.00	0.75	0.63	0.63	2.01	0.39	-0.19	10393.00	          3965	7.92万	55.21	66.89	          3.69	47.89	6.84	19.72	          5.42	5.42	          2.34	          2.15	         74.22	  12.06㈢	         45.98	         27.51	         23.23	300554	--  	--  	--  	
000795	英洛华	4.21	0.37	矿物制品	3312	5.05	5.45	0.37	905989	12715	         10.22	11.69	5.66	5.44	0.099㈣	    54.99	486992608	  1.17	         48.22亿	山西	5.10	5.38	425016	480973	  0.88	5.44	5821	  6.03	          8.86	0.22	         61.67亿	   4169	--  	    217	        0.0025	20190311	19970808	         11.34	--  	--  	28.55	21.86	          0.34	22.25	20.24	6.04	1.25	5.75	10.72	4.91	0.00	21.35	16.58	1.48	-0.19	1.53	1.21	1.12	-0.67	0.41	-0.37	84100.00	          6069	3.30万	9.16	14.97	          2.82	151.54	2.89	5.22	          1.93	0.00	          0.95	         -0.06	         76.56	   5.13㈣	         22.34	          6.94	          5.25	000795	20180314	6.45	-15.66	
300064	豫金刚石	-3.07	0.19	矿物制品	683	5.24	5.37	0.19	170269	1274	          2.81	6.33	5.59	5.36	0.158㈢	    25.41	91729640	  0.63	         32.46亿	河南	5.48	5.39	94920	75348	  1.26	5.36	953	 -1.26	          6.06	-0.17	         64.61亿	   2094	--  	     81	        0.0013	20190313	20100326	         12.05	--  	--  	94.68	70.31	          0.21	25.52	44.93	22.07	1.02	19.25	47.52	4.51	9.32	10.64	7.50	1.74	0.67	2.25	1.89	1.91	9.72	-4.82	-0.42	26816.00	         13390	7.18万	9.84	9.92	          0.93	-13.40	6.07	5.53	          5.78	5.78	          3.94	          0.81	         74.26	   2.71㈢	         29.48	         16.36	         17.92	300064	--  	--  	--  	
600516	方大炭素	0.17	0.13	矿物制品	2209	22.82	23.16	0.13	787989	10945	          4.45	4.07	23.76	23.15	2.530㈢	     6.94	1830173696	  0.99	        410.29亿	甘肃	23.18	23.23	397624	390364	  1.02	23.15	621	  1.37	         17.72	0.04	        418.41亿	   4592	--  	    172	        0.0010	20181225	20020830	         18.07	--  	--  	150.55	112.59	          8.06	19.86	117.28	15.72	4.32	26.37	24.84	18.42	10.70	91.76	21.21	58.98	1.27	58.65	48.39	45.25	66.23	47.21	11.31	232817.00	          4474	10.36万	124.10	75.47	          3.68	8.86	4.56	23.11	          6.29	6.29	          1.37	          3.66	         74.79	  40.19㈢	         76.89	         64.28	         49.31	600516	20170815	33.70	-25.67	
300073	当升科技	1.70	0.13	矿物制品	927	30.21	31.11	0.13	159055	2067	          4.50	5.07	31.76	31.11	0.500㈢	    49.63	494067744	  1.05	        110.07亿	北京	30.44	31.06	78891	80163	  0.98	31.10	181	  3.52	          3.54	0.52	        135.86亿	   3810	--  	     42	        0.0012	20190213	20100427	          4.37	--  	--  	47.43	32.04	          0.00	32.45	37.31	4.38	0.21	13.95	22.08	3.88	11.27	24.78	20.84	2.38	0.00	2.39	2.05	2.05	5.33	1.90	15.24	41579.00	          6128	19.06万	12.00	72.60	          4.24	71.52	5.48	30.59	          7.34	0.00	          5.06	          1.22	         67.55	   6.41㈢	         15.92	          9.61	          8.29	300073	20180312	27.96	11.66	
