代码	名称	涨幅%%	涨速%%	细分行业	买量	最低	未匹配量	卖价	总量	现量	换手%%	振幅%%	最高	现价	每股收益	市盈(动)	总金额	量比	流通市值	地区	今开	均价	内盘	外盘	内外比	买价	卖量	强弱度%%	
002274	华昌化工	10.04	0.00	农药化肥	26040	9.40	--  	--  	845380	231	         13.52	11.72	10.52	10.52	0.192㈢	    41.01	850797376	  2.19	         65.78亿	江苏	9.56	10.06	398339	447040	  0.89	10.52	0	  6.27	
300337	银邦股份	6.28	-0.19	铝	197	4.81	--  	5.08	342092	4575	          4.88	8.16	5.20	5.08	0.026㈢	   146.07	171892624	  0.54	         35.60亿	江苏	4.81	5.02	144245	197847	  0.73	5.07	656	  2.50	
000793	华闻传媒	5.38	0.21	出版业	184	4.42	--  	4.71	805367	10617	          4.15	6.73	4.72	4.70	0.011㈢	   306.82	369489472	  0.52	         91.13亿	海南	4.52	4.59	369396	435971	  0.85	4.70	3130	  1.61	
000627	天茂集团	5.08	0.29	保险	514	6.50	--  	6.82	250415	3940	          0.51	4.93	6.82	6.82	0.205㈢	    24.97	167767728	  1.48	        336.95亿	湖北	6.53	6.70	92565	157850	  0.59	6.81	2457	  1.31	
600208	新湖中宝	5.07	0.00	全国地产	512	3.66	--  	3.95	928520	7156	          1.08	8.27	3.97	3.94	0.206㈢	    14.35	357988864	  0.74	        338.77亿	浙江	3.77	3.86	377356	551164	  0.68	3.94	10867	  1.87	
600755	厦门国贸	5.03	0.22	商贸代理	3459	8.75	--  	9.19	589759	10465	          3.25	5.83	9.26	9.19	0.700㈢	     7.06	532792992	  0.96	        166.92亿	福建	8.86	9.03	235107	354651	  0.66	9.18	697	  1.83	
000876	新 希 望	4.56	0.15	饲料	707	12.53	--  	13.31	814703	18170	          1.94	8.02	13.55	13.30	0.344㈢	    28.99	1075537152	  1.18	        559.02亿	四川	12.58	13.20	343957	470745	  0.73	13.30	1289	  0.79	
002093	国脉科技	4.54	0.31	电信运营	170	9.12	--  	9.67	214050	3439	          2.20	6.05	9.68	9.67	0.126㈢	    57.45	202382128	  1.32	         94.17亿	福建	9.30	9.45	89351	124698	  0.72	9.66	1328	  0.77	
300096	易联众	4.42	-0.30	软件服务	203	12.50	--  	12.98	263612	4927	          7.00	6.28	13.28	12.98	-0.040㈢	--  	341077440	  1.24	         48.87亿	福建	12.55	12.94	128556	135056	  0.95	12.97	22	  0.65	
002294	信立泰	4.26	0.11	化学制药	2137	26.00	--  	27.20	166543	1828	          1.59	4.98	27.30	27.19	1.394㈣	    19.50	444286720	  0.94	        284.37亿	深圳	26.25	26.68	69431	97111	  0.71	27.19	1080	  0.48	
600260	凯乐科技	4.13	0.27	通信设备	1066	21.42	--  	22.68	222862	3373	          3.55	6.24	22.78	22.68	1.190㈢	    14.42	496670592	  0.93	        142.49亿	湖北	21.81	22.29	96371	126490	  0.76	22.67	84	  0.93	
300520	科大国创	4.00	0.10	软件服务	29	19.50	--  	20.55	66469	846	          5.90	5.72	20.63	20.55	0.100㈢	   185.48	134145800	  1.09	         23.15亿	安徽	19.71	20.18	30372	36097	  0.84	20.54	198	  0.22	
601611	中国核建	3.92	0.11	建筑施工	50	8.69	--  	9.02	174037	3157	          1.81	3.81	9.02	9.01	0.220㈢	    30.72	154604864	  0.64	         86.66亿	上海	8.70	8.88	65607	108429	  0.61	9.01	1547	  0.72	
600895	张江高科	3.89	0.00	园区开发	3344	21.39	--  	22.71	571523	8072	          3.69	6.63	22.84	22.71	0.296㈢	    57.63	1274840320	  0.60	        351.71亿	上海	21.90	22.31	275644	295879	  0.93	22.70	995	  0.69	
600331	宏达股份	3.84	-0.25	铅锌	6458	3.58	--  	3.80	520976	4284	          2.56	6.85	3.83	3.79	0.008㈢	   349.30	195528848	  0.55	         77.01亿	四川	3.70	3.75	243948	277027	  0.88	3.79	4235	  0.64	
000156	华数传媒	3.83	-0.24	影视音像	68	11.65	--  	12.20	190030	2322	          1.48	5.20	12.26	12.19	0.337㈢	    27.15	228559456	  0.46	        156.07亿	浙江	11.65	12.03	83632	106398	  0.79	12.19	1233	  0.06	
300332	天壕环境	3.82	0.00	环境保护	3105	5.37	--  	5.72	395706	7504	          5.57	6.73	5.74	5.71	0.035㈢	   121.29	221377312	  0.54	         40.54亿	北京	5.60	5.59	185584	210122	  0.88	5.71	3710	  0.04	
601311	骆驼股份	3.68	0.30	电气设备	558	12.88	--  	13.52	314391	5911	          3.71	5.07	13.54	13.51	0.446㈢	    22.71	417551488	  0.67	        114.62亿	湖北	13.27	13.28	144923	169468	  0.86	13.51	306	  0.48	
002044	美年健康	3.62	-0.04	医疗保健	81	17.75	--  	18.59	230148	2811	          0.98	5.07	18.66	18.59	0.133㈢	   105.16	425689600	  1.50	        435.85亿	江苏	17.94	18.50	85471	144677	  0.59	18.58	1208	 -0.15	
600741	华域汽车	3.56	0.15	汽车配件	1059	19.66	--  	20.39	190779	2244	          0.61	3.81	20.41	20.38	2.019㈢	     7.57	382796736	  0.87	        642.53亿	上海	19.67	20.06	77276	113502	  0.68	20.38	953	  0.36	
600175	美都能源	3.54	-0.37	综合类	13010	2.51	--  	2.64	721253	7372	          2.94	5.12	2.64	2.63	0.041㈢	    48.50	186791856	  0.92	         64.46亿	浙江	2.54	2.59	301350	419903	  0.72	2.63	17364	  0.34	
002429	兆驰股份	3.48	0.00	家用电器	1860	3.12	--  	3.28	624672	12896	          1.57	5.06	3.28	3.27	0.079㈢	    31.17	200604496	  0.51	        129.91亿	深圳	3.13	3.21	288697	335974	  0.86	3.27	10395	 -0.29	
600008	首创股份	3.47	0.24	环境保护	12993	4.00	--  	4.17	529746	6981	          1.10	4.47	4.18	4.17	0.090㈢	    41.43	217380272	  1.12	        201.02亿	北京	4.04	4.10	210489	319257	  0.66	4.16	9897	  0.27	
600502	安徽水利	3.27	0.00	建筑施工	1104	4.84	--  	5.07	308346	2999	          3.39	4.69	5.07	5.06	0.465㈣	    10.89	153827424	  0.50	         46.08亿	安徽	4.90	4.99	138011	170334	  0.81	5.06	5631	  0.07	
600763	通策医疗	3.22	0.41	医疗保健	880	67.37	--  	70.52	43795	573	          1.37	5.31	71.00	70.50	0.859㈢	    61.56	302370176	  1.55	        226.05亿	浙江	68.17	69.04	19570	24224	  0.81	70.50	1	  0.02	
000016	深康佳Ａ	3.14	0.00	家用电器	4275	5.35	--  	5.59	418809	3473	          2.62	6.46	5.70	5.59	0.179㈢	    23.49	231437312	  0.74	         89.25亿	深圳	5.42	5.53	190815	227993	  0.84	5.58	2293	 -0.64	
002023	海特高新	3.13	0.08	航空	1397	12.10	--  	12.86	384849	7666	          5.84	6.58	12.92	12.86	0.064㈢	   150.17	487675744	  0.82	         84.78亿	四川	12.58	12.67	199445	185404	  1.08	12.85	120	 -0.65	
600410	华胜天成	2.95	0.00	软件服务	886	8.44	--  	9.07	554311	4770	          5.04	8.06	9.15	9.07	0.046㈢	   146.48	489897664	  0.57	         99.66亿	北京	8.90	8.84	256916	297395	  0.86	9.06	344	 -0.25	
000521	长虹美菱	2.91	0.00	家用电器	4314	3.72	--  	3.89	151948	1383	          1.89	5.03	3.91	3.89	0.063㈢	    46.43	58159552	  0.60	         31.22亿	安徽	3.81	3.83	62618	89330	  0.70	3.88	793	 -0.86	
002292	奥飞娱乐	2.84	0.00	影视音像	660	7.75	--  	8.34	312895	2857	          3.85	7.41	8.35	8.33	0.053㈢	   116.79	253370640	  0.92	         67.76亿	广东	8.09	8.10	145105	167790	  0.86	8.33	747	 -0.94	
002073	软控股份	2.83	0.32	软件服务	2119	5.93	--  	6.18	300372	3518	          3.67	4.33	6.19	6.18	0.084㈢	    55.38	183099008	  0.43	         50.61亿	山东	5.97	6.10	148562	151810	  0.98	6.17	868	 -0.95	
000778	新兴铸管	2.81	0.00	钢加工	2804	4.97	--  	5.12	440768	7537	          1.12	3.01	5.12	5.12	0.454㈢	     8.46	223272000	  0.99	        200.76亿	河北	4.99	5.07	142449	298319	  0.48	5.11	512	 -0.96	
002608	江苏国信	2.77	0.10	火力发电	669	9.36	--  	10.01	240008	2328	          4.45	7.30	10.07	10.00	0.450㈢	    17.90	237001552	  1.77	         53.90亿	江苏	9.52	9.87	113073	126935	  0.89	10.00	2804	 -1.00	
002437	誉衡药业	2.77	1.56	化学制药	2626	4.83	--  	5.20	668740	10038	          3.09	7.31	5.20	5.20	0.143㈢	    27.30	336022592	  0.64	        112.69亿	黑龙江	5.01	5.02	327497	341242	  0.96	5.19	1900	 -1.01	
600825	新华传媒	2.74	0.60	出版业	798	6.33	--  	6.74	297095	6824	          2.84	6.40	6.75	6.74	0.026㈢	   197.50	194963392	  0.68	         70.43亿	上海	6.54	6.56	140467	156628	  0.90	6.73	415	 -0.46	
300195	长荣股份	2.74	0.00	轻工机械	342	10.03	--  	10.49	59945	551	          1.98	4.70	10.51	10.49	0.279㈢	    28.21	61893288	  1.00	         31.74亿	天津	10.31	10.32	27334	32611	  0.84	10.48	20	 -1.03	
