代码	名称	涨幅%%	涨速%%	细分行业	买量	最低	未匹配量	卖价	总量	现量	换手%%	振幅%%	最高	现价	每股收益	市盈(动)	总金额	量比	流通市值	地区	今开	均价	内盘	外盘	内外比	买价	卖量	强弱度%%	
600604	市北高新	9.98	0.00	园区开发	50851	11.88	--  	--  	2454147	472	         18.39	9.48	13.00	13.00	0.031㈢	   318.89	3099451392	  1.42	        173.44亿	上海	12.34	12.63	1308396	1145751	  1.14	13.00	0	  8.86	
000838	财信发展	9.92	0.00	区域地产	95571	3.65	--  	--  	250532	480	          3.96	12.06	4.10	4.10	0.021㈢	   145.05	98433464	  0.62	         25.92亿	重庆	3.65	3.93	155691	94840	  1.64	4.10	0	  7.56	
000560	我爱我家	7.00	-0.16	房产服务	369	5.59	--  	5.97	256853	2889	          1.50	7.72	6.02	5.96	0.213㈢	    20.97	149472000	  1.60	        101.80亿	云南	5.60	5.82	101268	155584	  0.65	5.96	1520	  4.64	
600825	新华传媒	4.78	0.00	出版业	2585	6.41	--  	6.58	719376	5257	          6.88	6.54	6.82	6.57	0.026㈢	   192.51	473602496	  0.91	         68.65亿	上海	6.50	6.58	371422	347953	  1.07	6.57	2734	  3.66	
002244	滨江集团	4.13	-0.20	区域地产	1425	4.64	--  	4.80	382045	2203	          1.41	6.96	4.96	4.79	0.227㈢	    15.81	183530352	  1.18	        129.47亿	浙江	4.64	4.80	180265	201779	  0.89	4.79	1486	  1.77	
002285	世联行	3.95	0.17	房产服务	124	5.84	--  	6.06	407757	4339	          2.03	6.36	6.21	6.05	0.184㈢	    24.69	246697344	  1.30	        121.61亿	深圳	5.85	6.05	182061	225695	  0.81	6.05	709	  1.59	
600895	张江高科	3.51	0.05	园区开发	2126	18.72	--  	19.16	838006	6227	          5.41	5.30	19.70	19.15	0.296㈢	    48.60	1608378496	  0.82	        296.57亿	上海	19.09	19.19	422177	415828	  1.02	19.15	1152	  2.39	
300295	三六五网	3.41	-0.12	互联网	361	14.44	--  	14.86	132820	1719	          7.47	8.91	15.72	14.86	0.434㈢	    25.70	199409200	  1.38	         26.40亿	江苏	14.45	15.01	66452	66368	  1.00	14.85	92	  1.05	
000909	数源科技	3.10	0.00	综合类	76	7.89	--  	7.98	86268	526	          2.77	4.26	8.22	7.98	0.089㈢	    67.11	69498576	  1.14	         24.82亿	浙江	8.00	8.06	41583	44685	  0.93	7.97	575	  0.74	
600621	华鑫股份	1.98	-0.07	证券	981	12.13	--  	12.86	708928	4255	         13.24	13.25	13.80	12.85	0.037㈢	   262.06	914240128	  1.60	         68.78亿	上海	12.51	12.90	364719	344209	  1.06	12.85	1015	  0.86	
002574	明牌珠宝	1.94	0.00	服饰	375	5.67	--  	5.79	130285	1321	          2.47	3.00	5.84	5.78	0.161㈢	    26.93	74933424	  1.52	         30.52亿	浙江	5.68	5.75	55547	74737	  0.74	5.78	509	 -0.42	
000007	全新好	1.74	0.43	酒店餐饮	499	6.90	--  	7.03	226306	1968	          7.33	3.91	7.17	7.03	-0.025㈢	--  	159302832	  0.94	         21.72亿	深圳	6.98	7.04	103649	122656	  0.85	7.02	1121	 -0.63	
002280	联络互动	1.57	0.22	软件服务	134	4.49	--  	4.54	578363	3345	          3.38	3.36	4.64	4.53	0.065㈢	    52.36	264294640	  1.12	         77.55亿	浙江	4.51	4.57	297310	281053	  1.06	4.53	1395	 -0.79	
000863	三湘印象	1.56	0.00	区域地产	79	4.50	--  	4.57	61629	683	          0.67	2.90	4.63	4.56	0.081㈢	    42.37	28177996	  0.73	         41.80亿	上海	4.52	4.57	30426	31202	  0.98	4.56	538	 -0.81	
300621	维业股份	0.97	0.58	装修装饰	25	10.30	--  	10.40	27956	179	          4.28	2.43	10.55	10.40	0.370㈢	    21.69	29134644	  1.25	          6.79亿	深圳	10.43	10.42	13165	14790	  0.89	10.39	24	 -1.39	
000056	皇庭国际	0.92	-0.17	房产服务	1097	5.46	--  	5.50	254740	4284	          2.82	3.30	5.64	5.50	0.129㈢	    31.92	141185376	  1.23	         49.71亿	深圳	5.50	5.54	108847	145893	  0.75	5.49	1488	 -1.45	
002713	东易日盛	0.92	-0.33	装修装饰	239	17.30	--  	17.62	29425	72	          1.18	4.58	18.10	17.61	0.322㈢	    41.07	52158040	  1.41	         44.06亿	北京	17.60	17.73	15418	14007	  1.10	17.61	8	 -1.45	
000090	天健集团	0.84	0.17	建筑施工	33	5.94	--  	5.98	254905	483	          1.77	3.04	6.12	5.98	0.121㈢	    36.94	153345392	  1.26	         85.95亿	深圳	5.97	6.02	125874	129030	  0.98	5.97	4	 -1.52	
002081	金 螳 螂	0.74	0.74	装修装饰	9	10.75	--  	10.88	183590	1789	          0.71	3.06	11.08	10.88	0.600㈢	    13.78	200045200	  0.97	        280.29亿	江苏	10.84	10.90	101379	82211	  1.23	10.81	189	 -1.62	
002377	国创高新	0.57	0.38	石油加工	839	5.22	--  	5.30	261199	1972	          5.38	3.04	5.38	5.30	0.241㈢	    16.50	138847968	  1.00	         25.75亿	湖北	5.26	5.32	132819	128379	  1.03	5.29	412	 -1.80	
000027	深圳能源	-0.93	0.16	火力发电	2018	6.32	--  	6.39	323144	2443	          0.82	3.11	6.52	6.38	0.152㈢	    31.41	207138576	  1.03	        252.93亿	深圳	6.44	6.41	188209	134934	  1.39	6.38	884	 -3.30	
数据来源:通达信
