代码	名称	涨幅%%	涨速%%	细分行业	买量	最低	未匹配量	卖价	总量	现量	换手%%	振幅%%	最高	现价	每股收益	市盈(动)	总金额	量比	流通市值	地区	今开	均价	内盘	外盘	内外比	买价	卖量	强弱度%%	
002600	领益智造	10.09	0.00	元器件	248154	5.62	--  	--  	1954521	1569	         13.14	6.97	6.00	6.00	-0.050㈢	--  	1158442624	  0.64	         89.27亿	广东	6.00	5.93	1404683	549838	  2.55	6.00	0	  7.73	
000758	中色股份	5.47	0.40	铅锌	8585	4.78	--  	5.02	930588	6198	          4.73	8.21	5.17	5.01	0.086㈢	    43.61	463722880	  1.46	         98.66亿	北京	4.85	4.98	465752	464835	  1.00	5.01	1257	  3.11	
600614	鹏起科技	4.62	0.99	综合类	860	5.79	--  	6.11	1158927	19342	          7.67	7.53	6.23	6.11	0.091㈢	    50.26	698995264	  0.80	         92.35亿	上海	5.84	6.03	558476	600451	  0.93	6.10	673	  3.50	
300127	银河磁体	3.63	0.15	元器件	626	12.66	--  	13.15	81202	1466	          3.58	4.65	13.25	13.14	0.383㈢	    25.75	104730280	  1.90	         29.84亿	四川	12.74	12.90	40641	40561	  1.00	13.14	766	  1.26	
000969	安泰科技	2.50	-0.15	钢加工	120	6.01	--  	6.17	192745	955	          2.13	3.66	6.23	6.16	-0.078㈢	--  	118624928	  0.83	         55.74亿	北京	6.01	6.15	91710	101035	  0.91	6.16	241	  0.13	
300340	科恒股份	2.12	-0.16	元器件	1994	17.13	--  	17.34	177103	1520	         11.57	6.54	18.24	17.33	0.240㈢	    54.17	312690528	  1.33	         26.52亿	广东	18.20	17.66	95360	81743	  1.17	17.33	92	 -0.24	
600058	五矿发展	1.88	0.62	商贸代理	50	7.96	--  	8.11	94779	687	          0.88	5.40	8.39	8.11	-0.369㈢	--  	77079800	  1.03	         86.93亿	北京	7.96	8.13	41844	52934	  0.79	8.10	449	  0.76	
300748	金力永磁	1.83	0.82	元器件	1034	26.10	--  	27.21	131721	2487	         31.66	6.44	27.82	27.20	0.390㈣	    76.40	353569536	  0.99	         11.32亿	江西	26.62	26.84	66555	65166	  1.02	27.20	10	 -0.53	
600259	广晟有色	1.76	0.42	小金属	93	25.51	--  	26.10	79675	1991	          3.04	3.90	26.51	26.09	-0.448㈢	--  	207988448	  0.86	         68.39亿	海南	25.75	26.10	39817	39858	  1.00	26.09	507	  0.63	
002002	鸿达兴业	1.67	-0.19	化工原料	3532	4.72	--  	4.87	1150509	8133	          4.51	6.47	5.03	4.87	0.257㈢	    14.22	557865344	  0.82	        124.14亿	江苏	4.79	4.85	567634	582875	  0.97	4.86	4142	 -0.69	
600010	包钢股份	1.67	0.55	普钢	55296	1.80	--  	1.83	6899712	32658	          2.18	3.89	1.87	1.83	0.051㈢	    27.16	1259909760	  0.77	        579.69亿	内蒙	1.81	1.83	3450409	3449302	  1.00	1.82	176810	  0.55	
600392	盛和资源	1.57	0.39	小金属	2281	10.18	--  	10.38	763580	5656	          5.32	4.40	10.63	10.38	0.193㈢	    40.41	794635200	  0.98	        148.88亿	四川	10.25	10.41	363334	400246	  0.91	10.37	1465	  0.44	
