代码	名称	涨幅%%	涨速%%	细分行业	买量	最低	未匹配量	卖价	总量	现量	换手%%	振幅%%	最高	现价	每股收益	市盈(动)	总金额	量比	流通市值	地区	今开	均价	内盘	外盘	内外比	买价	卖量	强弱度%%	
600331	宏达股份	10.12	0.84	铅锌	18181	3.18	--  	--  	2077467	27059	         10.22	12.58	3.59	3.59	0.008㈢	   330.86	716350016	  1.73	         72.95亿	四川	3.19	3.45	1090859	986608	  1.11	3.59	0	  9.00	
000758	中色股份	5.47	0.40	铅锌	8585	4.78	--  	5.02	930588	6198	          4.73	8.21	5.17	5.01	0.086㈢	    43.61	463722880	  1.46	         98.66亿	北京	4.85	4.98	465752	464835	  1.00	5.01	1257	  3.11	
002378	章源钨业	4.10	0.29	小金属	1952	6.59	--  	6.86	287655	3972	          3.12	4.41	6.88	6.85	0.030㈢	   170.94	193083632	  1.02	         63.24亿	江西	6.59	6.71	138065	149589	  0.92	6.85	971	  1.74	
000060	中金岭南	2.86	1.00	铅锌	3205	4.93	--  	5.04	1181059	12442	          3.31	3.67	5.11	5.04	0.216㈢	    17.53	592916736	  1.16	        179.84亿	深圳	4.98	5.02	611179	569879	  1.07	5.03	3915	  0.49	
000663	永安林业	2.54	0.16	林业	32	6.30	--  	6.46	59054	914	          2.65	2.54	6.46	6.46	-0.205㈢	--  	37724780	  0.89	         14.40亿	福建	6.32	6.39	26499	32555	  0.81	6.45	39	  0.18	
002340	格林美	2.33	0.21	小金属	4800	4.76	--  	4.84	1471553	11587	          3.89	4.03	4.95	4.83	0.130㈢	    29.04	715116992	  1.15	        182.75亿	深圳	4.76	4.86	721628	749925	  0.96	4.83	4130	 -0.03	
300208	青岛中程	2.14	0.15	电气设备	735	6.54	--  	6.68	176272	935	          2.90	4.75	6.85	6.67	0.339㈢	    14.78	117801384	  1.24	         40.50亿	山东	6.62	6.68	95617	80654	  1.19	6.67	710	 -0.22	
600326	西藏天路	2.13	0.62	建筑施工	1806	7.86	--  	8.18	769426	9413	          8.89	6.13	8.35	8.17	0.439㈢	    13.96	621671424	  1.29	         70.70亿	西藏	8.06	8.08	397574	371851	  1.07	8.17	910	  1.00	
000933	神火股份	2.02	0.60	煤炭开采	3046	4.90	--  	5.05	1041233	7813	          5.48	4.85	5.14	5.05	0.153㈢	    24.68	525018880	  0.95	         95.97亿	河南	4.98	5.04	509357	531875	  0.96	5.04	4052	 -0.34	
000697	炼石航空	1.85	0.00	航空	259	12.46	--  	12.70	91705	519	          2.02	4.17	12.98	12.69	-0.380㈢	--  	116689416	  1.34	         57.58亿	陕西	12.60	12.72	42340	49365	  0.86	12.69	767	 -0.52	
600259	广晟有色	1.76	0.42	小金属	93	25.51	--  	26.10	79675	1991	          3.04	3.90	26.51	26.09	-0.448㈢	--  	207988448	  0.86	         68.39亿	海南	25.75	26.10	39817	39858	  1.00	26.09	507	  0.63	
000007	全新好	1.74	0.43	酒店餐饮	499	6.90	--  	7.03	226306	1968	          7.33	3.91	7.17	7.03	-0.025㈢	--  	159302832	  0.94	         21.72亿	深圳	6.98	7.04	103649	122656	  0.85	7.02	1121	 -0.63	
002428	云南锗业	1.73	0.39	小金属	3674	7.42	--  	7.65	586357	4870	          9.10	5.86	7.86	7.64	0.014㈢	   411.83	447672512	  0.98	         49.21亿	云南	7.60	7.63	290397	295960	  0.98	7.64	1172	 -0.63	
000630	铜陵有色	1.68	0.41	铜	14550	2.38	--  	2.42	2109891	13134	          2.21	2.94	2.45	2.42	0.063㈢	    28.85	510707968	  0.99	        231.37亿	安徽	2.38	2.42	1040069	1069821	  0.97	2.41	17481	 -0.68	
600497	驰宏锌锗	1.68	0.74	铅锌	30	5.37	--  	5.45	942786	10328	          2.19	3.36	5.55	5.45	0.164㈢	    24.88	514437472	  0.98	        234.89亿	云南	5.43	5.46	465994	476792	  0.98	5.44	1486	  0.56	
000962	东方钽业	1.59	0.13	小金属	587	7.55	--  	7.66	158152	984	          3.59	5.70	7.98	7.66	0.008㈢	   764.97	122075104	  1.11	         33.77亿	宁夏	7.60	7.72	75828	82324	  0.92	7.65	102	 -0.77	
000831	五矿稀土	1.21	0.30	小金属	790	9.90	--  	10.03	312962	1424	          3.19	3.53	10.25	10.03	0.082㈢	    92.25	315197344	  0.98	         98.38亿	山西	9.95	10.07	161214	151748	  1.06	10.02	202	 -1.15	
600111	北方稀土	1.21	0.09	小金属	1977	10.78	--  	10.92	1293889	12877	          3.56	3.90	11.20	10.91	0.104㈢	    78.36	1420546432	  0.89	        396.37亿	内蒙	10.94	10.98	658360	635528	  1.04	10.91	2067	  0.08	
600456	宝钛股份	1.18	0.90	小金属	203	21.04	--  	21.40	183235	1015	          4.26	5.34	22.17	21.40	0.225㈢	    71.33	396152736	  1.53	         92.08亿	陕西	21.80	21.62	94514	88721	  1.07	21.39	458	  0.06	
600549	厦门钨业	1.05	0.07	小金属	615	14.30	--  	14.45	306556	1629	          2.18	3.01	14.73	14.44	0.318㈢	    34.02	446036800	  1.03	        203.03亿	福建	14.42	14.55	147604	158951	  0.93	14.44	599	 -0.07	
000993	闽东电力	1.05	0.17	水力发电	747	5.58	--  	5.79	147956	4245	          3.97	4.90	5.86	5.78	-0.180㈢	--  	84859152	  0.93	         21.56亿	福建	5.60	5.74	75889	72066	  1.05	5.78	1969	 -1.32	
600362	江西铜业	1.02	0.25	铜	2747	15.75	--  	15.85	526204	4230	          2.54	2.61	16.16	15.85	0.591㈢	    20.13	839147264	  1.09	        328.93亿	江西	15.85	15.95	272751	253453	  1.08	15.84	235	 -0.10	
601168	西部矿业	0.94	0.31	铜	689	6.40	--  	6.46	375050	1407	          1.57	2.81	6.58	6.46	0.285㈢	    16.98	243359568	  0.97	        153.94亿	青海	6.43	6.49	196834	178216	  1.10	6.45	2526	 -0.18	
600251	冠农股份	0.89	0.00	农业综合	1501	5.62	--  	5.68	127603	562	          1.63	2.66	5.77	5.68	0.164㈢	    26.02	72691464	  1.21	         44.58亿	新疆	5.65	5.70	60600	67002	  0.90	5.67	773	 -0.23	
000960	锡业股份	0.88	0.32	小金属	341	12.41	--  	12.56	428938	3081	          3.05	3.94	12.90	12.55	0.436㈢	    21.58	542820416	  1.04	        176.47亿	云南	12.58	12.65	218247	210690	  1.04	12.55	563	 -1.48	
600328	兰太实业	0.88	0.25	化工原料	259	7.92	--  	8.01	152948	1643	          3.49	2.52	8.12	8.00	0.563㈢	    10.66	122578144	  1.17	         35.04亿	内蒙	7.95	8.01	77783	75165	  1.03	8.00	556	 -0.24	
000878	云南铜业	0.87	0.29	铜	995	10.22	--  	10.39	499701	2363	          3.53	4.28	10.66	10.38	0.280㈢	    33.56	522074624	  1.17	        147.02亿	云南	10.40	10.45	234830	264870	  0.89	10.38	263	 -1.49	
603399	吉翔股份	0.87	-0.08	小金属	113	11.30	--  	11.58	153321	1311	          3.02	6.10	12.00	11.57	0.423㈢	    20.51	178777776	  1.38	         58.78亿	辽宁	11.41	11.66	68440	84880	  0.81	11.57	18	 -0.25	
601958	金钼股份	0.87	0.43	小金属	376	6.88	--  	6.95	278856	2824	          0.86	2.61	7.06	6.95	0.070㈢	    74.12	194451424	  1.01	        224.25亿	陕西	6.94	6.97	141995	136861	  1.04	6.94	2238	 -0.25	
603993	洛阳钼业	0.84	0.42	小金属	12338	4.78	--  	4.83	2540630	14653	          1.44	3.13	4.93	4.83	0.192㈢	    18.91	1233831936	  0.94	        853.26亿	河南	4.80	4.86	1396688	1143942	  1.22	4.82	15481	 -0.29	
600265	ST景谷	0.77	-0.22	林业	25	26.11	--  	26.20	1771	27	          0.14	3.96	27.14	26.20	-0.163㈢	--  	4691985	  0.61	         34.01亿	云南	26.11	26.50	907	863	  1.05	26.15	24	 -0.35	
000762	西藏矿业	0.73	0.37	小金属	605	8.18	--  	8.25	151922	731	          3.19	3.18	8.44	8.24	-0.145㈢	--  	125942008	  0.84	         39.22亿	西藏	8.18	8.29	82671	69250	  1.19	8.24	1107	 -1.63	
000937	冀中能源	0.71	0.00	煤炭开采	4665	4.23	--  	4.27	384863	2577	          1.32	3.07	4.36	4.27	0.240㈢	    13.33	165313328	  1.09	        124.11亿	河北	4.25	4.30	208637	176226	  1.18	4.26	1186	 -1.66	
