代码	名称	涨幅%%	涨速%%	细分行业	买量	最低	未匹配量	卖价	总量	现量	换手%%	振幅%%	最高	现价	每股收益	市盈(动)	总金额	量比	流通市值	地区	今开	均价	内盘	外盘	内外比	买价	卖量	强弱度%%	
300203	聚光科技	10.02	0.00	环境保护	568	26.37	--  	--  	318027	644	          7.04	9.18	28.77	28.77	0.928㈢	    23.26	898723328	  3.72	        129.94亿	浙江	26.50	28.26	158936	159090	  1.00	28.77	0	  7.65	
300072	三聚环保	9.96	0.00	环境保护	69724	10.09	--  	--  	549220	965	          2.58	9.46	11.04	11.04	0.529㈢	    15.65	594242560	  1.01	        235.07亿	北京	10.10	10.82	329353	219867	  1.50	11.04	0	  7.60	
300249	依米康	9.95	0.00	软件服务	43928	6.46	--  	--  	213078	379	          7.00	9.49	7.07	7.07	0.135㈢	    39.32	146507360	  2.05	         21.53亿	四川	6.47	6.88	96516	116561	  0.83	7.07	0	  7.59	
300156	神雾环保	9.90	0.70	环境保护	3259	3.93	--  	4.33	983697	10486	         13.63	10.15	4.33	4.33	-0.245㈢	--  	415999872	  1.93	         31.25亿	北京	3.96	4.23	459655	524041	  0.88	4.32	2984	  7.53	
002573	清新环境	6.87	0.00	环境保护	3379	8.71	--  	9.33	483336	4388	          4.48	9.85	9.57	9.33	0.458㈢	    15.28	444100640	  1.65	        100.64亿	北京	8.80	9.19	232727	250608	  0.93	9.32	120	  4.51	
600526	菲达环保	5.28	0.18	环境保护	167	5.20	--  	5.59	265844	2924	          4.86	8.68	5.66	5.58	0.027㈢	   155.20	144134576	  1.08	         30.55亿	浙江	5.20	5.42	128755	137088	  0.94	5.58	290	  4.16	
300137	先河环保	5.24	-0.08	环境保护	1899	10.43	--  	10.85	363448	2769	          7.67	6.60	11.11	10.84	0.267㈢	    30.43	394700128	  1.17	         51.37亿	河北	10.43	10.86	174178	189269	  0.92	10.84	708	  2.88	
600388	龙净环保	5.10	0.38	环境保护	38	12.50	--  	13.19	245951	5780	          2.30	6.06	13.26	13.19	0.496㈢	    19.96	319690304	  1.60	        141.01亿	福建	12.57	13.00	123918	122032	  1.02	13.18	522	  3.98	
600459	贵研铂业	4.97	-0.05	小金属	256	14.81	--  	15.64	429574	3675	         12.66	10.48	16.37	15.63	0.354㈢	    33.11	668158336	  1.90	         53.03亿	云南	15.20	15.55	204033	225540	  0.90	15.63	284	  3.85	
002076	雪 莱 特	4.84	0.82	家用电器	1785	3.51	--  	3.69	421045	9719	          9.45	5.41	3.70	3.68	-0.071㈢	--  	151757472	  1.52	         16.39亿	广东	3.53	3.60	159926	261118	  0.61	3.68	4841	  2.48	
000425	徐工机械	4.49	0.24	工程机械	6142	4.06	--  	4.19	2567525	12265	          3.67	6.23	4.31	4.19	0.192㈢	    16.33	1077102976	  1.93	        293.03亿	江苏	4.09	4.20	1176275	1391250	  0.85	4.18	6369	  2.12	
002658	雪迪龙	4.02	0.24	环境保护	125	8.00	--  	8.30	87913	522	          2.89	4.89	8.39	8.29	0.230㈢	    26.95	72502032	  1.70	         25.26亿	北京	8.06	8.25	41694	46219	  0.90	8.29	1289	  1.65	
600187	国中水务	3.77	0.00	水务	1737	3.18	--  	3.31	832492	2996	          5.72	6.92	3.40	3.30	0.006㈢	   430.77	274680032	  1.30	         48.04亿	黑龙江	3.24	3.30	368854	463638	  0.80	3.30	4006	  2.65	
