代码	名称	涨幅%	涨速%	细分行业	买量	最低	卖价	涨速%	总量	现量	换手%	振幅%	最高	现价	每股收益	市盈(动)	总金额	量比	流通市值	地区	今开	均价	内盘	外盘	内外比	买价	卖量	强弱度%	流通股(亿)	涨跌	AB股总市值	活跃度	未匹配量	笔均量	笔换手	财务更新	上市日期	总股本(亿)	B/A股(亿)	H股(亿)	总资产(亿)	净资产(亿)	少数股权(亿)	资产负债率%	流动资产(亿)	固定资产(亿)	无形资产(亿)	流动负债(亿)	资本公积金(亿)	存货(亿)	应收帐款(亿)	营业收入(亿)	营业成本(亿)	营业利润(亿)	投资收益(亿)	利润总额(亿)	税后利润(亿)	净利润(亿)	未分利润(亿)	经营现金流(亿)	总现金流(亿)	股东人数	人均持股	人均市值	利润同比%	收入同比%	市净率	市现率	市销率	昨收	每股净资	调整后净资	每股公积	每股未分配	权益比%	净益率%	毛利率%	营业利润率%	净利润率%	交易代码	自选日	自选价	自选收益%	
603587	地素时尚	3.50	1.26	服饰	477	24.00	25.71	1.26	67322	4850	         11.04	6.92	25.72	25.71	1.250㈢	    17.19	167139168	  0.99	         15.68亿	上海	24.75	24.83	33307	34015	  0.98	25.70	479	  4.70	          0.61	0.87	        103.10亿	   2472	--  	     27	        0.0045	20181027	20180622	          4.01	--  	--  	33.88	29.62	          0.02	12.53	28.38	3.86	0.10	4.04	15.89	3.05	0.40	14.71	3.75	5.54	0.00	6.03	4.50	4.50	7.85	3.52	5.69	36936.00	          1652	4.25万	0.00	0.00	          3.48	29.27	7.01	24.84	          7.39	0.00	          3.96	          1.96	         87.42	  15.18㈢	         74.47	         37.67	         30.58	603587	--  	--  	--  	
603557	起步股份	-1.65	0.75	服饰	10	10.47	10.74	0.75	234002	4910	         10.69	5.86	11.11	10.74	0.310㈢	    25.90	251099616	  1.01	         23.51亿	浙江	10.72	10.73	125564	108437	  1.16	10.73	670	 -0.45	          2.19	-0.18	         50.93亿	   3153	--  	     74	        0.0034	20190126	20170818	          4.74	--  	--  	20.77	15.17	         -0.00	26.98	15.48	3.96	0.34	5.52	5.38	2.57	4.95	9.31	5.91	1.47	0.08	1.80	1.47	1.47	4.84	-0.69	-0.76	22847.00	          5448	5.85万	5.13	3.74	          3.33	-74.07	5.47	10.92	          3.23	3.23	          1.13	          1.02	         73.03	   9.72㈢	         36.53	         15.79	         15.85	603557	20180302	15.63	-30.90	
603555	贵人鸟	-1.97	0.72	服饰	218	6.67	6.98	0.72	84488	1454	          1.34	7.02	7.17	6.98	0.026㈢	   204.91	58573612	  0.70	         43.88亿	福建	7.05	6.93	43083	41404	  1.04	6.97	180	 -0.77	          6.29	-0.14	         43.88亿	   2010	--  	     42	        0.0007	20190213	20140124	          6.29	--  	--  	65.64	21.91	          3.10	61.89	35.97	6.21	1.11	28.67	9.19	6.39	19.97	23.02	16.11	0.25	0.42	0.25	0.29	0.16	4.20	2.58	-3.25	17996.00	          8307	5.80万	-89.14	-0.52	          2.00	17.02	1.91	7.12	          3.49	0.00	          1.46	          0.67	         33.39	   0.73㈢	         30.01	          1.11	          0.70	603555	20180119	20.88	-65.37	
002087	新野纺织	-2.59	0.67	纺织	2117	4.40	4.52	0.67	288509	4915	          3.54	4.97	4.63	4.51	0.389㈢	     8.70	129599984	  0.59	         36.79亿	河南	4.57	4.49	169720	118788	  1.43	4.51	2249	 -0.78	          8.16	-0.12	         36.84亿	   2447	--  	    118	        0.0014	20190213	20061130	          8.17	--  	--  	88.76	35.31	          0.00	60.22	49.18	29.37	6.56	38.30	10.42	20.40	6.77	47.46	39.44	3.69	0.00	3.68	3.17	3.17	15.11	4.86	-3.96	41292.00	         14353	6.47万	33.70	24.06	          1.04	7.58	0.78	4.63	          4.32	0.00	          1.28	          1.85	         39.78	   8.99㈢	         16.91	          7.77	          6.69	002087	--  	--  	--  	
600439	瑞贝卡	-4.02	0.56	服饰	939	3.49	3.59	0.56	233126	1225	          2.06	6.43	3.73	3.58	0.163㈢	    16.46	83687240	  0.77	         40.53亿	河南	3.71	3.59	144429	88697	  1.63	3.58	1284	 -2.82	         11.32	-0.15	         40.53亿	   2019	--  	    115	        0.0010	20190213	20030710	         11.32	--  	--  	47.08	27.65	          0.05	41.16	36.61	5.22	1.95	8.10	2.48	28.01	3.13	14.65	9.94	2.08	0.08	2.09	1.85	1.85	14.00	-0.17	0.84	58707.00	         12783	4.58万	17.57	-0.17	          1.47	-242.11	2.77	3.73	          2.44	0.00	          0.22	          1.24	         58.73	   6.68㈢	         32.10	         14.23	         12.61	600439	--  	--  	--  	
000955	欣龙控股	4.07	0.56	纺织	931	5.10	5.37	0.56	517917	9194	          9.62	7.75	5.50	5.37	-0.065㈢	--  	274986720	  1.04	         28.91亿	海南	5.27	5.31	245014	272903	  0.90	5.36	38	  5.89	          5.38	0.21	         28.91亿	   3146	--  	    165	        0.0031	20190213	19991209	          5.38	--  	--  	12.09	6.89	          0.30	40.51	5.75	4.31	1.04	3.63	4.96	1.03	1.28	5.56	4.89	-0.37	0.00	-0.37	-0.37	-0.35	-3.45	-1.07	-2.85	43703.00	          9543	5.12万	23.85	16.74	          4.19	-27.02	5.20	5.16	          1.28	0.00	          0.92	         -0.64	         57.03	  -5.04㈢	         12.00	         -6.68	         -6.25	000955	20180803	7.02	-23.50	
600232	金鹰股份	-5.24	0.54	纺织	104	5.51	5.61	0.54	73337	976	          2.01	6.42	5.89	5.61	0.070㈢	    60.09	41549704	  1.06	         20.46亿	浙江	5.85	5.67	44283	29054	  1.52	5.60	31	 -4.04	          3.65	-0.31	         20.46亿	   1749	--  	     42	        0.0011	20190213	20000602	          3.65	--  	--  	17.84	11.54	          0.42	32.95	13.07	3.61	0.61	5.84	3.97	6.50	2.92	8.73	7.35	0.50	0.00	0.50	0.35	0.26	2.72	-0.63	-0.95	29696.00	          6316	3.54万	32.46	2.61	          1.77	-32.43	2.34	5.92	          3.16	0.00	          1.09	          0.75	         64.69	   2.21㈢	         15.83	          5.75	          2.92	600232	20170913	10.60	-46.13	
000850	华茂股份	-4.08	0.50	纺织	833	3.96	4.00	0.50	126838	573	          1.34	5.28	4.18	4.00	0.142㈢	    21.15	51250156	  0.67	         37.74亿	安徽	4.12	4.04	68556	58281	  1.18	3.99	513	 -2.26	          9.43	-0.17	         37.75亿	   1568	--  	     81	        0.0009	20190213	19981007	          9.44	--  	--  	74.36	41.48	          1.60	42.08	16.51	20.01	4.35	20.43	0.21	8.00	2.87	19.88	17.57	1.41	1.85	1.41	1.21	1.34	15.76	0.03	-0.05	45428.00	         11128	4.45万	463.54	20.96	          0.91	1293.49	1.90	4.17	          4.40	0.00	          0.02	          1.67	         55.77	   3.23㈢	         11.61	          7.10	          6.73	000850	--  	--  	--  	
300577	开润股份	-2.82	0.48	纺织	85	31.33	31.70	0.48	7641	56	          1.19	3.62	32.51	31.68	0.589㈢	    40.36	24267132	  0.62	         20.32亿	安徽	32.51	31.76	5168	2473	  2.09	31.68	14	 -1.01	          0.64	-0.92	         68.94亿	    971	--  	      8	        0.0012	20181113	20161221	          2.18	--  	--  	12.86	5.90	          0.41	50.90	11.18	0.92	0.10	6.46	0.75	3.06	0.00	14.42	10.74	1.62	0.03	1.62	1.38	1.28	2.91	1.14	0.52	4277.00	         14998	47.51万	37.48	81.70	         11.69	60.61	4.78	32.60	          2.71	0.00	          0.34	          1.34	         45.87	  21.72㈢	         25.53	         11.22	          8.88	300577	20171023	59.50	-3.61	
600400	红豆股份	-7.30	0.47	服饰	802	4.22	4.33	0.47	273624	2894	          1.10	7.51	4.57	4.32	0.068㈢	    47.31	119701016	  0.93	        107.84亿	江苏	4.55	4.37	166646	106977	  1.56	4.32	1640	 -6.10	         24.96	-0.34	        109.44亿	   2611	--  	    105	        0.0004	20190213	20010108	         25.33	--  	--  	53.20	39.98	          0.67	23.57	27.49	3.97	0.99	12.54	7.52	2.74	3.39	16.92	12.18	2.14	0.99	2.13	1.75	1.73	8.58	-2.48	-3.30	35478.00	         27243	11.77万	-69.49	-15.18	          2.74	-44.13	6.47	4.66	          1.58	0.00	          0.30	          0.34	         75.16	   4.34㈢	         28.05	         12.63	         10.25	600400	20180320	7.48	-16.47	
