代码	名称	涨幅%%	涨速%%	细分行业	买量	最低	未匹配量	卖价	总量	现量	换手%%	振幅%%	最高	现价	每股收益	市盈(动)	总金额	量比	流通市值	地区	今开	均价	内盘	外盘	内外比	买价	卖量	强弱度%%	
300267	尔康制药	4.28	0.00	化学制药	3458	3.97	--  	4.15	498714	1530	          3.64	6.30	4.22	4.14	0.144㈢	    21.51	204451472	  1.32	         56.67亿	湖南	4.00	4.10	258090	240624	  1.07	4.14	3539	  1.92	
002019	亿帆医药	3.87	0.34	化学制药	701	11.42	--  	11.81	331615	1628	          4.07	5.81	12.08	11.80	0.589㈢	    15.02	392937216	  1.62	         96.03亿	浙江	11.42	11.85	152063	179551	  0.85	11.80	826	  1.51	
002742	三圣股份	2.04	0.00	其他建材	1503	7.81	--  	8.01	132349	1174	          4.93	4.59	8.17	8.00	0.195㈢	    30.80	106062248	  1.18	         21.49亿	重庆	7.83	8.01	62344	70005	  0.89	8.00	656	 -0.32	
000597	东北制药	1.99	0.41	化学制药	44	11.93	--  	12.34	96006	1662	          2.03	3.97	12.41	12.33	0.300㈢	    35.83	116870216	  1.53	         58.37亿	辽宁	12.09	12.17	44787	51219	  0.87	12.33	161	 -0.38	
000525	红 太 阳	1.81	0.13	农药化肥	22	15.10	--  	15.22	88472	240	          1.54	2.81	15.52	15.22	0.931㈢	    12.26	135658432	  1.65	         87.42亿	江苏	15.10	15.33	39572	48899	  0.81	15.21	539	 -0.56	
600812	华北制药	1.54	0.22	化学制药	1167	4.55	--  	4.62	153302	544	          0.94	2.42	4.66	4.62	0.047㈢	    73.45	70513408	  1.13	         75.34亿	河北	4.57	4.60	78551	74751	  1.05	4.61	1514	  0.42	
002562	兄弟科技	1.31	0.43	化学制药	829	4.54	--  	4.64	241559	1340	          4.69	4.38	4.74	4.63	0.086㈢	    40.36	112247216	  0.94	         23.83亿	浙江	4.61	4.65	123969	117589	  1.05	4.63	1189	 -1.05	
300401	花园生物	1.28	0.00	食品	38	14.10	--  	14.29	176194	1579	          3.84	4.96	14.80	14.28	0.469㈢	    22.84	252671136	  1.17	         65.55亿	浙江	14.21	14.34	89026	87167	  1.02	14.28	80	 -1.09	
002332	仙琚制药	1.26	0.14	生物制药	1197	7.16	--  	7.25	153197	478	          1.69	2.79	7.36	7.25	0.231㈢	    23.54	111328224	  0.94	         65.54亿	浙江	7.18	7.27	78698	74499	  1.06	7.24	21	 -1.11	
600216	浙江医药	1.00	0.20	化学制药	804	10.01	--  	10.16	405133	2960	          4.24	3.88	10.40	10.15	0.540㈢	    14.28	413406592	  1.24	         97.03亿	浙江	10.10	10.20	210070	195062	  1.08	10.15	534	 -0.13	
603079	圣达生物	0.81	0.09	食品	234	20.70	--  	21.25	34409	354	          9.42	6.74	22.12	21.24	0.462㈢	    34.50	73702520	  1.26	          7.76亿	浙江	21.01	21.42	18195	16214	  1.12	21.24	34	 -0.31	
000952	广济药业	0.74	0.18	化学制药	27	10.82	--  	10.92	93794	425	          3.73	2.77	11.12	10.91	0.525㈢	    15.57	102680560	  1.20	         27.46亿	湖北	10.83	10.95	49119	44674	  1.10	10.91	113	 -1.63	
600299	安迪苏	0.62	0.18	化学制药	1092	11.22	--  	11.41	175835	1994	          0.66	3.35	11.60	11.40	0.265㈢	    32.32	200602240	  0.77	        305.74亿	北京	11.38	11.41	96848	78987	  1.23	11.40	713	 -0.50	
002626	金达威	0.58	-0.13	食品	445	13.90	--  	13.98	85624	304	          1.43	3.02	14.32	13.97	1.056㈢	     9.92	120418064	  1.27	         83.84亿	福建	13.91	14.06	48228	37395	  1.29	13.97	401	 -1.79	
002001	新 和 成	-0.06	-0.05	化学制药	397	17.52	--  	17.66	515653	7197	          2.43	3.96	18.22	17.65	1.181㈢	    11.21	922551744	  1.28	        374.44亿	浙江	17.77	17.89	275050	240602	  1.14	17.65	179	 -2.42	
002102	ST冠福	-0.53	0.00	化学制药	29703	1.87	--  	1.88	712591	6949	          3.58	2.65	1.92	1.88	0.149㈢	     9.45	134547264	  1.17	         37.44亿	福建	1.88	1.89	400985	311606	  1.29	1.87	3803	 -2.89	
数据来源:通达信
