代码	名称	涨幅%	涨速%	细分行业	买量	最低	卖价	涨速%	总量	现量	换手%	振幅%	最高	现价	每股收益	市盈(动)	总金额	量比	流通市值	地区	今开	均价	内盘	外盘	内外比	买价	卖量	强弱度%	流通股(亿)	涨跌	AB股总市值	活跃度	未匹配量	笔均量	笔换手	财务更新	上市日期	总股本(亿)	B/A股(亿)	H股(亿)	总资产(亿)	净资产(亿)	少数股权(亿)	资产负债率%	流动资产(亿)	固定资产(亿)	无形资产(亿)	流动负债(亿)	资本公积金(亿)	存货(亿)	应收帐款(亿)	营业收入(亿)	营业成本(亿)	营业利润(亿)	投资收益(亿)	利润总额(亿)	税后利润(亿)	净利润(亿)	未分利润(亿)	经营现金流(亿)	总现金流(亿)	股东人数	人均持股	人均市值	利润同比%	收入同比%	市净率	市现率	市销率	昨收	每股净资	调整后净资	每股公积	每股未分配	权益比%	净益率%	毛利率%	营业利润率%	净利润率%	交易代码	自选日	自选价	自选收益%	
000571	新大洲Ａ	2.80	1.66	综合类	3595	3.50	3.68	1.66	392947	15145	          4.87	6.16	3.72	3.67	-0.021㈢	--  	141826496	  0.97	         29.60亿	海南	3.58	3.61	183329	209617	  0.87	3.67	3062	  4.62	          8.06	0.10	         29.88亿	   2931	--  	    134	        0.0017	20190213	19940525	          8.14	--  	--  	54.03	21.93	          7.39	45.74	16.71	16.04	3.78	15.31	6.48	1.53	3.07	13.50	10.43	-0.08	0.39	-0.03	-0.20	-0.17	6.35	-3.06	-1.74	90358.00	          7249	2.66万	-125.50	39.20	          1.36	-9.76	2.21	3.57	          2.69	0.00	          0.80	          0.78	         40.59	  -0.76㈢	         22.78	         -0.60	         -1.24	000571	20180416	5.68	-35.39	
600730	中国高科	1.40	1.08	综合类	24	5.85	6.54	1.08	343492	6748	          5.86	10.56	6.53	6.53	0.006㈢	   845.42	213469648	  1.18	         38.31亿	北京	6.33	6.21	193582	149910	  1.29	6.53	79	  2.60	          5.87	0.09	         38.31亿	   3012	--  	    114	        0.0019	20190213	19960726	          5.87	--  	--  	36.32	19.89	          0.56	43.70	26.62	0.04	0.12	1.09	0.51	0.29	0.06	0.74	0.12	0.14	0.68	0.14	0.09	0.03	8.42	0.06	8.47	63751.00	          7359	4.81万	-96.35	-73.34	          1.93	662.48	51.69	6.44	          3.39	0.00	          0.09	          1.44	         54.76	   0.17㈢	         84.17	         19.10	          4.59	600730	--  	--  	--  	
600701	*ST工新	-3.49	0.81	综合类	238	2.45	2.49	0.81	201754	3444	          2.60	6.20	2.61	2.49	-0.373㈢	--  	51014604	  0.56	         19.32亿	黑龙江	2.55	2.53	117135	84619	  1.38	2.48	32	 -2.29	          7.76	-0.09	         25.76亿	   1473	--  	    137	        0.0018	20190213	19960528	         10.35	--  	--  	98.33	39.12	          0.87	59.33	44.77	29.31	5.59	43.48	27.84	5.61	14.71	10.44	6.76	-3.67	-0.00	-4.20	-4.16	-3.86	-0.89	-0.58	-1.33	65473.00	         10265	2.56万	-276.05	-62.02	          0.66	-44.25	2.47	2.58	          3.78	0.00	          2.69	         -0.09	         39.78	  -9.86㈢	         35.27	        -35.14	        -36.95	600701	20170929	13.45	-81.49	
600647	同达创业	-4.33	0.57	综合类	129	13.92	14.15	0.57	14667	111	          1.05	5.41	14.72	14.15	-0.237㈢	--  	20979708	  0.75	         19.69亿	上海	14.62	14.30	9220	5447	  1.69	14.09	135	 -3.13	          1.39	-0.64	         19.69亿	    730	--  	     20	        0.0014	20190311	19930504	          1.39	--  	--  	5.01	2.92	          0.33	35.06	4.41	0.18	0.00	1.75	0.01	0.66	0.01	0.17	0.07	-0.30	0.00	-0.29	-0.31	-0.33	1.22	-0.05	-0.22	10674.00	          7733	10.94万	-394.96	-16.10	          6.74	-429.98	112.83	14.79	          2.10	0.00	          0.00	          0.87	         58.31	 -11.31㈢	         61.09	       -169.11	       -189.35	600647	--  	--  	--  	
000009	中国宝安	-6.05	0.32	综合类	879	6.12	6.21	0.32	804836	7742	          3.80	8.32	6.67	6.21	0.046㈢	   101.52	509637056	  0.73	        131.64亿	深圳	6.51	6.33	457466	347369	  1.32	6.20	2635	 -4.24	         21.20	-0.40	        133.47亿	   3957	--  	    203	        0.0010	20190312	19910625	         21.49	--  	--  	288.01	50.88	         48.89	65.36	195.94	36.41	10.33	118.67	8.05	94.92	24.54	66.49	43.00	3.49	3.77	3.77	2.59	0.99	18.60	20.56	3.91	165801.00	         10519	6.53万	-45.36	36.45	          2.62	6.49	2.01	6.61	          2.37	0.00	          0.37	          0.87	         17.67	   1.94㈢	         35.34	          5.26	          1.48	000009	--  	--  	--  	
600884	杉杉股份	-1.97	0.25	综合类	84	15.68	15.93	0.25	301042	3451	          2.68	6.09	16.67	15.93	0.939㈢	    12.72	486721632	  0.90	        178.86亿	浙江	16.10	16.17	149843	151199	  0.99	15.92	83	 -0.77	         11.23	-0.32	        178.86亿	   4048	--  	     74	        0.0007	20190228	19960130	         11.23	--  	--  	234.79	107.94	         11.55	49.11	112.59	33.15	4.36	82.88	36.93	26.94	33.28	63.82	49.07	14.16	9.08	14.26	11.91	10.54	39.11	-3.38	15.19	83139.00	          6671	10.63万	125.27	-3.94	          1.66	-52.98	2.80	16.25	          9.61	0.00	          3.29	          3.48	         45.97	   9.77㈢	         23.10	         22.19	         16.52	600884	--  	--  	--  	
000409	*ST地矿	-4.54	0.22	综合类	652	4.61	4.63	0.22	74874	424	          1.85	6.80	4.94	4.63	0.101㈢	    34.48	35551620	  0.89	         18.78亿	山东	4.85	4.75	46138	28736	  1.61	4.62	151	 -2.72	          4.06	-0.22	         23.66亿	   1113	--  	     67	        0.0017	20190213	19960627	          5.11	--  	--  	45.70	9.90	         11.87	52.37	27.85	6.86	5.73	17.42	6.53	10.22	4.67	9.68	9.40	2.05	6.33	2.04	1.36	0.51	-1.74	-0.12	1.85	45482.00	          7699	3.56万	140.40	-31.43	          2.39	-196.41	2.44	4.85	          1.94	0.00	          1.28	         -0.34	         21.66	   5.20㈢	          2.89	         21.14	          5.32	000409	--  	--  	--  	
300688	创业黑马	-8.81	0.14	综合类	248	43.06	43.64	0.14	39393	333	         10.78	9.31	47.51	43.60	0.337㈢	    97.14	174930064	  0.77	         15.93亿	北京	47.37	44.41	21971	17421	  1.26	43.60	12	 -6.99	          0.37	-4.21	         29.65亿	   2520	--  	     16	        0.0043	20190213	20170810	          0.68	--  	--  	4.74	3.92	          0.02	16.75	4.39	0.04	0.04	0.78	2.16	0.00	0.48	2.15	1.49	0.19	0.04	0.24	0.21	0.23	1.03	-0.37	-1.37	14866.00	          1644	7.17万	5.91	79.07	          7.56	-80.45	13.77	47.81	          5.77	0.00	          3.18	          1.51	         82.76	   5.83㈢	         30.65	          8.71	         10.63	300688	20170906	94.71	-53.86	
000034	神州数码	-5.85	0.13	综合类	641	14.80	14.98	0.13	181201	814	          4.47	5.28	15.64	14.97	0.527㈢	    21.32	275777856	  0.73	         60.63亿	深圳	15.36	15.22	105968	75232	  1.41	14.97	519	 -4.03	          4.05	-0.93	         97.91亿	   3582	--  	     51	        0.0012	20190305	19940509	          6.54	--  	--  	248.02	36.76	          0.11	85.13	191.67	1.95	25.70	201.60	23.81	74.98	67.81	533.55	509.78	4.07	0.39	4.24	3.47	3.44	5.67	6.31	0.93	30589.00	         10619	15.90万	10.13	32.73	          2.66	15.52	0.18	15.90	          5.62	0.00	          3.64	          0.87	         14.82	   9.37㈢	          4.45	          0.76	          0.65	000034	--  	--  	--  	
000909	数源科技	-4.44	0.12	综合类	114	8.29	8.40	0.12	69267	428	          2.23	8.08	9.00	8.40	0.089㈢	    70.64	59302864	  0.60	         26.12亿	浙江	8.76	8.56	38908	30359	  1.28	8.39	158	 -2.62	          3.11	-0.39	         26.24亿	   1620	--  	     43	        0.0014	20190213	19990507	          3.12	--  	--  	34.35	10.55	          2.23	62.79	26.40	0.19	0.07	16.53	4.72	9.35	2.57	12.79	10.76	0.65	-0.01	0.65	0.48	0.28	2.33	5.28	1.35	29787.00	          5732	4.82万	2.34	-14.93	          2.49	4.97	2.05	8.79	          3.38	0.00	          1.51	          0.75	         30.71	   2.64㈢	         15.86	          5.06	          2.18	000909	20171012	15.16	-44.36	
000881	中广核技	-3.93	0.11	综合类	222	8.77	9.06	0.11	115799	1374	          3.76	6.90	9.42	9.05	0.184㈢	    36.89	104228032	  0.85	         27.88亿	辽宁	9.42	9.00	68321	47478	  1.44	9.05	158	 -2.11	          3.08	-0.37	         92.76亿	   2205	--  	     53	        0.0017	20190311	19980902	         10.25	--  	--  	116.88	55.02	          3.93	49.57	80.50	21.92	2.99	47.90	31.23	12.13	23.09	47.85	39.24	2.69	0.44	2.78	2.37	1.89	13.02	0.87	-0.30	32000.00	          7853	7.11万	-19.18	9.15	          1.69	106.94	1.94	9.42	          5.37	0.00	          3.05	          1.27	         47.07	   3.43㈢	         18.01	          5.63	          3.94	000881	--  	--  	--  	
600805	悦达投资	-3.91	0.00	综合类	177	5.57	5.66	0.00	148279	929	          1.74	5.61	5.90	5.65	0.175㈢	    24.25	84764024	  0.67	         48.04亿	江苏	5.85	5.72	86895	61383	  1.42	5.65	669	 -2.71	          8.50	-0.23	         48.08亿	   1832	--  	     81	        0.0010	20190213	19940103	          8.51	--  	--  	101.56	62.19	          5.96	32.90	23.95	11.36	7.55	29.88	3.82	3.65	2.50	14.78	12.41	1.40	2.88	1.46	1.25	1.49	42.49	1.81	1.83	50186.00	         12027	6.80万	153.63	31.77	          0.77	26.53	3.25	5.88	          7.31	0.00	          0.45	          4.99	         61.23	   2.39㈢	         15.99	          9.48	         10.06	600805	--  	--  	--  	
600624	复旦复华	10.02	0.00	综合类	120424	9.90	--  	0.00	1246326	1727	         18.20	0.99	9.99	9.99	0.048㈢	   155.32	1244973824	  4.27	         68.40亿	上海	9.99	9.99	1102523	143802	  7.67	9.99	0	 11.22	          6.85	0.91	         68.40亿	   2980	--  	    418	        0.0061	20190213	19930105	          6.85	--  	--  	25.91	11.34	          0.78	53.25	16.34	3.51	0.74	11.66	1.71	10.46	1.20	7.36	3.20	0.47	-0.01	0.50	0.38	0.33	2.69	1.10	1.02	68154.00	          7048	7.04万	19.20	36.04	          6.03	62.31	9.29	9.08	          1.66	0.00	          0.25	          0.39	         43.76	   2.91㈢	         56.57	          6.40	          4.49	600624	--  	--  	--  	
600277	亿利洁能	-1.21	0.00	综合类	641	6.52	6.56	0.00	212505	4559	          0.79	2.87	6.71	6.55	0.197㈢	    24.99	140033856	  0.57	        175.15亿	内蒙	6.67	6.59	81490	131014	  0.62	6.55	445	 -0.01	         26.74	-0.08	        179.40亿	   2904	--  	     73	        0.0003	20190213	20000725	         27.39	--  	--  	310.80	147.64	         16.67	47.13	134.67	78.23	19.11	97.50	99.02	4.44	14.38	131.93	115.67	8.12	2.13	8.17	7.40	5.38	18.18	23.59	-0.56	56922.00	         24465	16.02万	50.53	9.29	          1.22	7.60	1.36	6.63	          5.39	0.00	          3.62	          0.66	         47.50	   3.65㈢	         12.33	          6.16	          4.08	600277	--  	--  	--  	
600212	江泉实业	-4.51	0.00	综合类	1512	4.53	4.67	0.00	210308	3615	          4.11	6.97	4.87	4.66	-0.053㈢	--  	98260480	  0.54	         23.85亿	山东	4.81	4.67	119849	90458	  1.32	4.66	780	 -3.31	          5.12	-0.22	         23.85亿	   2219	--  	     95	        0.0019	20190213	19990817	          5.12	--  	--  	7.64	7.28	          0.00	4.66	2.45	1.05	0.46	0.36	4.68	0.20	1.20	1.70	1.43	-0.27	-0.18	-0.27	-0.27	-0.27	-3.52	-0.33	-0.35	46374.00	          9559	4.45万	-208.58	-9.62	          3.28	-71.44	14.05	4.88	          1.42	0.00	          0.91	         -0.69	         95.34	  -3.76㈢	         15.77	        -16.00	        -16.12	600212	--  	--  	--  	
