代码	名称	涨幅%%	涨速%%	细分行业	买量	最低	未匹配量	卖价	总量	现量	换手%%	振幅%%	最高	现价	每股收益	市盈(动)	总金额	量比	流通市值	地区	今开	均价	内盘	外盘	内外比	买价	卖量	强弱度%%	
002181	粤 传 媒	10.10	0.00	出版业	59210	5.10	--  	--  	478221	1108	          4.22	9.11	5.56	5.56	0.023㈢	   178.61	256679568	  0.99	         63.07亿	广东	5.25	5.37	254705	223516	  1.14	5.56	0	  7.73	
300264	佳创视讯	10.08	0.00	通信设备	12621	6.52	--  	--  	300130	95	          9.42	2.31	6.66	6.66	-0.003㈢	--  	199547824	  2.35	         21.22亿	深圳	6.66	6.65	238209	61920	  3.85	6.66	0	  7.72	
300130	新国都	10.03	0.00	电脑设备	29108	16.68	--  	--  	61220	132	          1.83	5.51	17.56	17.56	0.310㈢	    52.04	106249024	  0.34	         58.82亿	深圳	16.68	17.36	46008	15212	  3.02	17.56	0	  7.66	
002526	山东矿机	9.93	0.00	工程机械	39870	2.78	--  	--  	3670136	4575	         22.59	11.35	3.10	3.10	0.063㈢	    36.85	1102100224	  2.84	         50.37亿	山东	2.83	3.00	1531973	2138162	  0.72	3.10	0	  7.56	
002148	北纬科技	9.83	-0.12	互联网	332	6.93	--  	7.61	791893	4579	         17.83	9.83	7.61	7.60	0.068㈢	    83.66	584241024	  2.39	         33.75亿	北京	6.95	7.38	377055	414837	  0.91	7.60	1051	  7.46	
300339	润和软件	9.30	0.07	软件服务	322	12.49	--  	13.52	436013	2620	          6.11	8.98	13.60	13.51	0.230㈢	    45.09	575138048	  1.59	         96.41亿	江苏	12.66	13.19	214311	221702	  0.97	13.51	20	  6.94	
600100	同方股份	9.28	-0.08	电脑设备	1542	10.52	--  	11.20	613050	3001	          2.07	7.23	11.26	11.19	-0.193㈢	--  	679055552	  3.44	        331.66亿	北京	10.52	11.08	255934	357115	  0.72	11.19	1809	  8.16	
002605	姚记扑克	9.14	0.73	文教休闲	1110	9.97	--  	11.11	234164	4347	          8.76	11.11	11.10	11.10	0.193㈢	    43.10	246330960	  1.70	         29.68亿	上海	10.22	10.52	108235	125928	  0.86	11.10	213	  6.78	
002577	雷柏科技	6.61	0.39	电脑设备	334	12.02	--  	12.75	119735	3074	          4.26	7.19	12.88	12.75	0.065㈢	   147.26	147455760	  1.76	         35.86亿	深圳	12.02	12.32	51404	68330	  0.75	12.74	977	  4.24	
600892	大晟文化	6.57	1.72	影视音像	1076	6.06	--  	6.49	500078	29295	          9.27	7.22	6.50	6.49	0.014㈢	   351.62	312378624	  1.50	         35.02亿	深圳	6.11	6.25	218446	281631	  0.78	6.48	4136	  5.45	
