代码	名称	涨幅%%	涨速%%	细分行业	买量	最低	未匹配量	卖价	总量	现量	换手%%	振幅%%	最高	现价	每股收益	市盈(动)	总金额	量比	流通市值	地区	今开	均价	内盘	外盘	内外比	买价	卖量	强弱度%%	
002600	领益智造	10.09	0.00	元器件	248154	5.62	--  	--  	1954521	1569	         13.14	6.97	6.00	6.00	-0.050㈢	--  	1158442624	  0.64	         89.27亿	广东	6.00	5.93	1404683	549838	  2.55	6.00	0	  7.73	
300079	数码科技	10.00	0.00	通信设备	617405	4.62	--  	--  	109926	330	          0.91	0.00	4.62	4.62	0.059㈢	    59.04	50785928	  0.20	         55.86亿	北京	4.62	4.62	96424	13502	  7.14	4.62	0	  7.64	
002356	赫美集团	9.97	0.00	其他商业	295341	7.06	--  	--  	8141	12	          0.17	0.00	7.06	7.06	-0.473㈢	--  	5747758	  0.08	         33.90亿	深圳	7.06	7.06	6531	1610	  4.06	7.06	0	  7.60	
002285	世联行	3.95	0.17	房产服务	124	5.84	--  	6.06	407757	4339	          2.03	6.36	6.21	6.05	0.184㈢	    24.69	246697344	  1.30	        121.61亿	深圳	5.85	6.05	182061	225695	  0.81	6.05	709	  1.59	
000062	深圳华强	3.92	0.00	批发业	151	20.15	--  	20.96	98178	1717	          1.39	7.44	21.65	20.95	0.719㈢	    21.84	202649504	  1.59	        147.87亿	深圳	20.20	20.64	48903	49274	  0.99	20.95	49	  1.55	
002055	得润电子	3.42	0.00	元器件	303	13.43	--  	13.92	197128	1607	          4.63	7.88	14.49	13.91	0.182㈢	    57.19	274360416	  1.31	         59.24亿	深圳	13.45	13.92	93460	103667	  0.90	13.91	357	  1.06	
300295	三六五网	3.41	-0.12	互联网	361	14.44	--  	14.86	132820	1719	          7.47	8.91	15.72	14.86	0.434㈢	    25.70	199409200	  1.38	         26.40亿	江苏	14.45	15.01	66452	66368	  1.00	14.85	92	  1.05	
002154	报 喜 鸟	3.06	0.00	服饰	1079	3.60	--  	3.71	233680	1971	          2.11	4.74	3.77	3.70	0.058㈢	    47.85	86586504	  1.18	         40.97亿	浙江	3.60	3.71	111960	121720	  0.92	3.70	1609	  0.70	
300332	天壕环境	2.36	-0.45	环境保护	1429	4.19	--  	4.34	328933	3480	          4.63	5.91	4.44	4.33	0.035㈢	    91.97	142546400	  1.20	         30.74亿	北京	4.24	4.33	162508	166425	  0.98	4.33	561	 -0.00	
300208	青岛中程	2.14	0.15	电气设备	735	6.54	--  	6.68	176272	935	          2.90	4.75	6.85	6.67	0.339㈢	    14.78	117801384	  1.24	         40.50亿	山东	6.62	6.68	95617	80654	  1.19	6.67	710	 -0.22	
