代码	名称	涨幅%%	涨速%%	细分行业	买量	最低	未匹配量	卖价	总量	现量	换手%%	振幅%%	最高	现价	每股收益	市盈(动)	总金额	量比	流通市值	地区	今开	均价	内盘	外盘	内外比	买价	卖量	强弱度%%	
000812	陕西金叶	6.60	0.20	广告包装	250	4.56	--  	5.02	1083860	7378	         16.20	12.98	5.17	5.01	0.033㈢	   115.51	534288032	  1.65	         33.53亿	陕西	4.65	4.93	568482	515377	  1.10	5.01	787	  4.23	
002194	*ST凡谷	5.00	0.00	通信设备	5184	11.15	--  	--  	148303	17	          2.80	1.76	11.34	11.34	-0.094㈢	--  	167617712	  1.24	         60.14亿	湖北	11.16	11.30	83746	64556	  1.30	11.34	0	  2.64	
000528	柳 工	3.89	0.13	工程机械	1099	7.41	--  	7.75	803455	4544	          5.49	7.92	8.00	7.74	0.490㈢	    11.97	621122240	  1.63	        113.21亿	广西	7.49	7.73	373883	429571	  0.87	7.74	3167	  1.53	
000607	华媒控股	3.32	0.20	广告包装	46	4.85	--  	4.98	133054	1185	          1.50	6.02	5.14	4.98	0.060㈢	    62.23	66524316	  1.35	         44.07亿	浙江	4.86	5.00	57847	75207	  0.77	4.97	84	  0.95	
600325	华发股份	2.98	0.00	区域地产	6042	7.40	--  	7.61	689577	2524	          3.28	4.20	7.71	7.60	0.765㈢	     7.45	524260544	  1.45	        159.93亿	广东	7.43	7.60	329159	360418	  0.91	7.60	2497	  1.86	
000401	冀东水泥	2.56	0.06	水泥	2770	16.01	--  	16.40	847632	12462	          6.29	4.00	16.65	16.40	1.050㈢	    11.72	1380406016	  1.08	        220.94亿	河北	16.53	16.29	432534	415097	  1.04	16.39	2045	  0.20	
000735	罗 牛 山	2.34	-0.28	农业综合	4914	13.11	--  	13.58	1380111	33212	         13.02	4.68	13.73	13.57	0.338㈢	    30.07	1851764608	  1.05	        143.79亿	海南	13.20	13.42	676054	704056	  0.96	13.57	3383	 -0.03	
002659	凯文教育	2.01	-0.11	文教休闲	99	7.92	--  	8.13	139569	2467	          4.49	5.52	8.36	8.13	-0.143㈢	--  	112999136	  0.91	         25.28亿	江苏	8.00	8.10	68911	70657	  0.98	8.12	493	 -0.36	
002431	棕榈股份	1.99	0.22	建筑施工	4004	4.53	--  	4.62	566362	4512	          4.27	3.97	4.71	4.62	0.010㈢	   345.23	262838768	  1.19	         61.22亿	广东	4.54	4.64	279288	287073	  0.97	4.61	339	 -0.38	
002682	龙洲股份	1.98	0.19	公路	389	5.03	--  	5.15	79046	728	          1.83	4.16	5.24	5.15	0.162㈢	    23.78	40619304	  1.23	         22.25亿	福建	5.06	5.14	40538	38508	  1.05	5.14	711	 -0.38	
002073	软控股份	1.95	0.00	软件服务	994	5.10	--  	5.24	431837	2842	          5.27	5.45	5.38	5.24	0.084㈢	    46.96	225276304	  1.56	         42.91亿	山东	5.15	5.22	217637	214199	  1.02	5.23	577	 -0.42	
300050	世纪鼎利	1.75	0.31	软件服务	802	6.30	--  	6.38	234813	2025	          6.36	4.47	6.58	6.38	0.058㈢	    81.89	151423840	  1.21	         23.55亿	广东	6.33	6.45	110965	123847	  0.90	6.37	1042	 -0.61	
002031	巨轮智能	1.65	0.41	汽车配件	8910	2.43	--  	2.46	585504	7049	          3.10	4.55	2.54	2.46	0.021㈢	    89.82	144935376	  1.02	         46.51亿	广东	2.43	2.48	272183	313320	  0.87	2.45	1216	 -0.71	
002607	中公教育	1.49	0.24	汽车服务	178	11.85	--  	12.31	461761	3731	          5.63	8.50	12.88	12.30	0.050㈢	  1409.48	571089536	  0.86	        100.90亿	安徽	12.13	12.37	225564	236197	  0.95	12.30	30	 -0.88	
002696	百洋股份	1.47	0.22	渔业	456	8.77	--  	8.98	80350	2005	          3.82	2.82	9.02	8.98	0.329㈢	    20.50	71686552	  0.84	         18.88亿	广西	8.86	8.92	46026	34323	  1.34	8.97	511	 -0.90	
600551	时代出版	1.46	0.10	出版业	55	9.65	--  	9.75	50407	196	          1.00	2.40	9.88	9.74	0.471㈢	    15.49	49199104	  0.99	         49.27亿	安徽	9.69	9.76	21631	28776	  0.75	9.74	226	  0.34	
002093	国脉科技	1.45	0.00	电信运营	66	8.36	--  	8.43	247340	1185	          2.54	3.86	8.68	8.42	0.126㈢	    50.02	211062560	  0.93	         82.00亿	福建	8.50	8.53	131386	115953	  1.13	8.42	499	 -0.92	
300089	文化长城	1.44	0.48	陶瓷	536	6.22	--  	6.33	156510	484	          5.65	4.01	6.47	6.32	0.290㈢	    16.68	99340816	  1.15	         17.51亿	广东	6.25	6.35	78796	77714	  1.01	6.32	877	 -0.92	
002325	洪涛股份	1.40	0.00	装修装饰	2631	3.58	--  	3.61	293949	503	          3.19	3.09	3.69	3.61	0.113㈢	    23.90	106728256	  0.94	         33.23亿	深圳	3.59	3.63	143886	150062	  0.96	3.60	439	 -0.96	
300148	天舟文化	1.35	0.45	出版业	1502	4.44	--  	4.50	456370	4110	          5.70	3.39	4.59	4.49	0.216㈢	    15.61	206060016	  0.79	         35.96亿	湖南	4.49	4.52	229390	226980	  1.01	4.49	4064	 -1.01	
300047	天源迪科	1.30	-0.19	软件服务	54	14.66	--  	14.81	178547	1119	          5.88	4.24	15.28	14.80	0.196㈢	    56.63	266527136	  1.07	         44.93亿	深圳	14.85	14.93	90393	88153	  1.03	14.80	20	 -1.06	
300297	蓝盾股份	1.22	0.15	软件服务	907	6.55	--  	6.63	570483	2868	          7.34	5.50	6.91	6.63	0.193㈢	    25.74	382612544	  1.16	         51.55亿	广东	6.59	6.71	298200	272283	  1.10	6.62	527	 -1.14	
300248	新开普	0.97	0.00	软件服务	186	8.26	--  	8.35	94456	737	          2.98	4.36	8.62	8.34	0.040㈢	   155.55	79931776	  0.81	         26.41亿	河南	8.33	8.46	47608	46847	  1.02	8.34	172	 -1.40	
600730	中国高科	0.91	0.00	综合类	879	5.48	--  	5.54	230964	852	          3.94	5.47	5.78	5.53	0.006㈢	   715.95	129845008	  1.58	         32.44亿	北京	5.48	5.62	110725	120239	  0.92	5.53	353	 -0.21	
300061	康旗股份	0.81	0.57	医疗保健	373	8.67	--  	8.76	77194	394	          2.81	3.80	9.00	8.75	0.329㈢	    19.96	68194024	  0.91	         24.01亿	上海	8.77	8.83	42844	34350	  1.25	8.75	164	 -1.56	
600418	江淮汽车	0.75	0.19	汽车整车	228	5.30	--  	5.35	281582	3126	          1.49	2.83	5.45	5.34	0.025㈢	   158.54	151539984	  1.12	        101.10亿	安徽	5.32	5.38	133690	147892	  0.90	5.34	663	 -0.37	
600661	昂立教育	0.75	0.00	文教休闲	69	21.41	--  	21.54	13267	86	          0.51	2.67	21.98	21.53	0.337㈢	    47.93	28729302	  1.01	         55.78亿	上海	21.41	21.66	6915	6351	  1.09	21.53	3	 -0.37	
002588	史丹利	0.41	0.00	农药化肥	1502	4.82	--  	4.86	196889	705	          2.70	2.89	4.96	4.86	0.170㈢	    21.46	96179912	  1.08	         35.46亿	山东	4.85	4.88	106255	90634	  1.17	4.85	422	 -1.95	
300338	开元股份	0.12	0.23	电器仪表	300	8.44	--  	8.54	94839	1039	          5.04	4.92	8.86	8.54	0.295㈢	    21.69	81624536	  1.20	         16.07亿	湖南	8.61	8.61	49640	45199	  1.10	8.53	281	 -2.25	
002237	恒邦股份	--  	--  	黄金	0	--  	--  	--  	0	0	          0.00	0.00	--  	10.00	0.322㈢	    23.28	0	  0.00	         85.17亿	山东	--  	10.00	0	0	--  	--  	0	 -2.36	
000721	西安饮食	0.00	-0.21	酒店餐饮	2463	4.43	--  	4.47	168564	1564	          3.87	2.47	4.54	4.46	-0.008㈢	--  	75511664	  1.09	         19.44亿	陕西	4.45	4.48	90886	77678	  1.17	4.46	901	 -2.36	
000546	金圆股份	-0.10	0.10	水泥	319	10.16	--  	10.23	96737	552	          1.46	2.74	10.44	10.22	0.517㈢	    14.82	99355456	  1.29	         67.56亿	吉林	10.17	10.27	51374	45362	  1.13	10.22	288	 -2.46	
600712	南宁百货	-0.23	1.17	百货	561	4.26	--  	4.34	106072	1376	          1.97	3.92	4.43	4.33	-0.069㈢	--  	46124140	  1.39	         23.29亿	广西	4.33	4.35	54858	51214	  1.07	4.33	81	 -1.35	
000609	中迪投资	-0.49	0.67	区域地产	382	5.98	--  	6.05	147999	2317	          5.07	4.28	6.24	6.05	-0.021㈢	--  	90258328	  0.90	         17.67亿	北京	6.11	6.10	86505	61493	  1.41	6.04	269	 -2.86	
002638	勤上股份	-0.66	0.33	半导体	7146	2.95	--  	3.02	714985	4672	          7.30	4.93	3.10	3.02	0.048㈢	    47.63	216574352	  1.05	         29.58亿	广东	3.03	3.03	384252	330732	  1.16	3.01	726	 -3.02	
数据来源:通达信
