代码	名称	涨幅%%	涨速%%	细分行业	买量	最低	未匹配量	卖价	总量	现量	换手%%	振幅%%	最高	现价	每股收益	市盈(动)	总金额	量比	流通市值	地区	今开	均价	内盘	外盘	内外比	买价	卖量	强弱度%%	
000818	航锦科技	7.48	0.28	化工原料	1027	10.22	--  	10.92	296082	2033	          4.42	9.45	11.18	10.92	0.479㈢	    17.10	318476544	  2.32	         73.21亿	辽宁	10.22	10.76	125413	170668	  0.73	10.91	159	  5.12	
601678	滨化股份	2.15	0.38	化工原料	781	5.13	--  	5.22	260177	549	          1.68	3.33	5.30	5.22	0.428㈢	     9.15	136161312	  1.14	         80.62亿	山东	5.13	5.23	124230	135947	  0.91	5.21	1107	  1.03	
002254	泰和新材	1.83	0.17	化纤	47	11.45	--  	11.69	112039	1709	          1.83	3.48	11.85	11.69	0.231㈢	    37.92	130713488	  1.06	         71.39亿	山东	11.50	11.67	48782	63257	  0.77	11.68	127	 -0.54	
600810	神马股份	1.74	0.15	化纤	1135	13.29	--  	13.47	279049	2017	          6.31	3.93	13.81	13.46	1.277㈢	     7.91	378202528	  0.99	         59.53亿	河南	13.40	13.55	135666	143382	  0.95	13.46	603	  0.62	
000584	哈工智能	1.60	0.24	化纤	64	8.12	--  	8.24	165560	2041	          2.71	4.20	8.46	8.23	0.164㈢	    37.59	136899920	  0.87	         50.31亿	江苏	8.17	8.27	84820	80739	  1.05	8.23	220	 -0.76	
600618	氯碱化工	1.55	0.26	化工原料	696	7.75	--  	7.86	80362	585	          1.07	2.20	7.92	7.86	0.581㈢	    10.15	63029412	  1.11	         58.94亿	上海	7.78	7.84	38855	41506	  0.94	7.85	1033	  0.43	
002246	北化股份	1.54	0.38	化工原料	498	7.77	--  	7.92	110445	1384	          2.45	3.85	8.07	7.92	0.137㈢	    43.44	87267632	  1.33	         35.63亿	四川	7.83	7.90	52281	58164	  0.90	7.91	93	 -0.83	
603192	汇得科技	1.46	0.12	化工原料	23	32.66	--  	33.43	51994	1035	         19.50	3.67	33.87	33.42	1.100㈢	    29.26	172942912	  1.06	          8.91亿	上海	33.05	33.26	26580	25413	  1.05	33.42	50	  0.34	
600096	云天化	1.39	0.00	农药化肥	34	6.47	--  	6.56	125419	255	          0.95	3.86	6.72	6.56	0.060㈢	    84.70	82588328	  1.22	         86.68亿	云南	6.47	6.58	62587	62832	  1.00	6.55	803	  0.27	
002408	齐翔腾达	1.16	0.38	化工原料	985	7.76	--  	7.85	425498	4178	          2.44	2.58	7.96	7.84	0.393㈢	    14.97	334774016	  1.04	        136.73亿	山东	7.81	7.87	215978	209520	  1.03	7.84	1377	 -1.20	
600339	中油工程	1.16	0.00	石油加工	1937	4.27	--  	4.38	507371	2053	          3.27	4.17	4.45	4.37	0.093㈢	    35.28	220740672	  1.63	         67.83亿	新疆	4.32	4.35	244941	262429	  0.93	4.37	276	  0.04	
000973	佛塑科技	1.09	0.22	塑料	2709	4.59	--  	4.65	410379	4456	          4.24	4.35	4.79	4.65	0.043㈢	    81.06	192029504	  0.71	         44.98亿	广东	4.64	4.68	199430	210949	  0.95	4.64	115	 -1.28	
