代码	名称	涨幅%%	涨速%%	细分行业	买量	最低	未匹配量	卖价	总量	现量	换手%%	振幅%%	最高	现价	每股收益	市盈(动)	总金额	量比	流通市值	地区	今开	均价	内盘	外盘	内外比	买价	卖量	强弱度%%	
600037	歌华有线	10.05	0.00	影视音像	64882	10.90	--  	--  	306784	346	          2.20	7.70	11.72	11.72	0.393㈢	    22.37	351976064	  2.26	        163.12亿	北京	11.40	11.47	166803	139981	  1.19	11.72	0	  8.93	
603000	人民网	9.99	0.00	互联网	73193	19.93	--  	--  	326039	116	          2.95	6.25	21.13	21.13	0.061㈢	   258.60	676864768	  0.53	        233.63亿	北京	20.20	20.76	179864	146174	  1.23	21.13	0	  8.87	
600446	金证股份	3.21	-0.73	软件服务	2396	20.30	--  	21.58	1349778	10952	         15.82	12.87	22.99	21.57	0.116㈢	   139.89	2948931072	  1.43	        184.04亿	深圳	21.00	21.85	654480	695297	  0.94	21.57	235	  2.08	
300348	长亮科技	2.97	-0.14	软件服务	4	26.00	--  	27.00	238465	2741	         10.80	8.47	28.22	27.00	0.100㈢	   215.01	644651712	  1.25	         59.63亿	深圳	27.43	27.03	120657	117808	  1.02	26.98	217	  0.61	
300027	华谊兄弟	2.39	0.18	影视音像	633	5.45	--  	5.57	823138	4946	          3.72	5.70	5.76	5.57	0.118㈢	    35.55	460324864	  1.37	        123.16亿	浙江	5.60	5.59	423586	399552	  1.06	5.56	2007	  0.03	
002197	证通电子	2.33	-0.10	电器仪表	243	8.62	--  	8.80	233795	2742	          5.38	5.47	9.09	8.79	0.071㈢	    93.30	205514848	  0.91	         38.20亿	深圳	8.63	8.79	113957	119838	  0.95	8.79	534	 -0.04	
002065	东华软件	2.10	0.12	软件服务	1272	8.14	--  	8.29	776443	2755	          2.77	5.30	8.57	8.28	0.210㈢	    29.57	648559424	  1.52	        232.48亿	北京	8.21	8.35	330340	446102	  0.74	8.28	2721	 -0.27	
300315	掌趣科技	2.09	-0.50	互联网	5448	3.79	--  	3.91	1082797	4503	          4.18	6.28	4.03	3.90	0.187㈢	    15.62	425345536	  1.25	        101.00亿	北京	3.85	3.93	513715	569081	  0.90	3.90	2198	 -0.27	
300113	顺网科技	1.60	0.34	互联网	494	14.40	--  	14.61	256743	3398	          5.48	3.83	14.95	14.60	0.631㈢	    17.34	377097792	  1.24	         68.46亿	浙江	14.73	14.69	132112	124631	  1.06	14.60	1141	 -0.76	
300467	迅游科技	1.14	-0.07	互联网	327	24.63	--  	24.79	101954	573	          7.73	5.06	25.87	24.78	0.763㈢	    24.37	257349552	  1.16	         32.68亿	四川	24.92	25.24	54028	47925	  1.13	24.78	118	 -1.22	
600398	海澜之家	1.01	0.20	服饰	190	9.87	--  	10.02	170486	1647	          0.38	3.83	10.25	10.02	0.585㈢	    12.85	171698816	  1.00	        450.17亿	江苏	10.00	10.07	99199	71287	  1.39	10.01	128	 -0.11	
601933	永辉超市	0.92	0.23	超市连锁	328	8.72	--  	8.81	704986	3833	          0.88	2.75	8.96	8.80	0.106㈢	    62.06	623198912	  1.18	        701.21亿	福建	8.74	8.84	368355	336630	  1.09	8.80	623	 -0.20	
002889	东方嘉盛	0.72	0.19	仓储物流	75	26.46	--  	26.67	40102	232	         10.78	2.46	27.11	26.66	0.742㈢	    26.95	107536736	  1.30	          9.92亿	深圳	26.75	26.82	21529	18573	  1.16	26.66	13	 -1.65	
002482	广田集团	0.51	0.34	装修装饰	33	5.86	--  	5.91	189790	655	          1.24	3.41	6.06	5.90	0.300㈢	    14.73	112851976	  1.38	         90.23亿	深圳	5.88	5.95	84206	105584	  0.80	5.90	809	 -1.85	
600880	博瑞传播	0.49	0.00	广告包装	1941	4.08	--  	4.11	182776	749	          1.67	2.45	4.18	4.10	0.021㈢	   143.69	75710880	  1.12	         44.81亿	四川	4.08	4.14	89551	93225	  0.96	4.10	1722	 -0.63	
002251	步 步 高	0.42	0.74	超市连锁	677	9.37	--  	9.53	226349	1321	          2.82	3.59	9.71	9.52	0.228㈢	    31.35	215682448	  1.57	         76.48亿	湖南	9.47	9.53	131820	94528	  1.39	9.52	273	 -1.94	
300178	腾邦国际	0.41	0.10	旅游服务	472	9.60	--  	9.70	259547	1816	          4.43	4.56	10.04	9.69	0.477㈢	    15.24	254108736	  1.19	         56.73亿	深圳	9.65	9.79	128644	130903	  0.98	9.69	551	 -1.95	
002405	四维图新	0.13	-0.08	软件服务	1241	22.70	--  	22.89	787511	7434	          7.55	6.48	24.18	22.88	0.167㈢	   102.51	1835535232	  1.41	        238.51亿	北京	23.16	23.31	407742	379769	  1.07	22.88	2499	 -2.23	
000925	众合科技	0.00	0.00	专用机械	1177	7.23	--  	7.30	197507	2425	          4.32	3.16	7.46	7.29	0.074㈢	    73.51	145416112	  1.09	         33.35亿	浙江	7.35	7.36	114103	83403	  1.37	7.29	691	 -2.36	
000158	常山北明	-0.17	0.52	纺织	940	5.77	--  	5.82	277276	862	          1.71	3.95	6.00	5.82	0.024㈢	   181.64	163466800	  1.10	         94.53亿	河北	5.90	5.90	146856	130419	  1.13	5.81	320	 -2.54	
600271	航天信息	-0.42	0.14	电脑设备	83	28.06	--  	28.46	313197	2134	          1.70	5.92	29.75	28.45	0.460㈢	    46.51	909003904	  1.26	        525.42亿	北京	28.85	29.02	168345	144851	  1.16	28.45	86	 -1.54	
数据来源:通达信
