代码	名称	涨幅%	涨速%	细分行业	买量	最低	卖价	涨速%	总量	现量	换手%	振幅%	最高	现价	每股收益	市盈(动)	总金额	量比	流通市值	地区	今开	均价	内盘	外盘	内外比	买价	卖量	强弱度%	流通股(亿)	涨跌	AB股总市值	活跃度	未匹配量	笔均量	笔换手	财务更新	上市日期	总股本(亿)	B/A股(亿)	H股(亿)	总资产(亿)	净资产(亿)	少数股权(亿)	资产负债率%	流动资产(亿)	固定资产(亿)	无形资产(亿)	流动负债(亿)	资本公积金(亿)	存货(亿)	应收帐款(亿)	营业收入(亿)	营业成本(亿)	营业利润(亿)	投资收益(亿)	利润总额(亿)	税后利润(亿)	净利润(亿)	未分利润(亿)	经营现金流(亿)	总现金流(亿)	股东人数	人均持股	人均市值	利润同比%	收入同比%	市净率	市现率	市销率	昨收	每股净资	调整后净资	每股公积	每股未分配	权益比%	净益率%	毛利率%	营业利润率%	净利润率%	交易代码	自选日	自选价	自选收益%	
600372	中航电子	-2.66	1.48	航空	84	16.62	17.18	1.48	197773	1395	          1.12	6.40	17.75	17.18	0.140㈢	    91.57	336354208	  0.92	        302.23亿	北京	17.65	17.01	107015	90757	  1.18	17.11	261	 -1.46	         17.59	-0.47	        302.23亿	   3476	--  	     57	        0.0003	20190213	20010706	         17.59	--  	--  	221.75	73.37	          3.64	65.27	166.95	29.46	7.04	103.24	15.08	38.85	78.75	46.01	31.94	2.23	0.07	3.04	2.59	2.48	32.15	-5.63	-12.67	48818.00	          8817	15.15万	12.14	14.00	          4.39	-53.72	6.57	17.65	          3.92	3.92	          0.86	          1.83	         33.08	   3.37㈢	         30.57	          4.84	          5.38	600372	--  	--  	--  	
600316	洪都航空	0.14	0.55	航空	221	13.70	14.53	0.55	271648	2102	          3.79	8.14	14.88	14.52	-0.108㈢	--  	388803808	  0.90	        104.13亿	江西	14.27	14.31	135653	135995	  1.00	14.52	27	  1.34	          7.17	0.02	        104.13亿	   3766	--  	     72	        0.0010	20190213	20001215	          7.17	--  	--  	96.68	48.47	          0.17	49.70	50.59	20.07	1.61	46.52	31.40	35.89	10.77	8.23	7.70	-0.79	0.02	-0.79	-0.77	-0.77	6.26	3.02	0.04	60364.00	          6680	9.70万	11.42	-37.21	          2.15	34.46	12.65	14.50	          6.76	0.00	          4.38	          0.87	         50.13	  -1.60㈢	          6.48	         -9.55	         -9.40	600316	--  	--  	--  	
300424	航新科技	-5.28	0.43	航空	473	18.30	18.86	0.43	74685	648	          4.73	7.34	19.76	18.85	0.183㈢	    77.21	142189792	  0.61	         29.73亿	广东	19.60	19.04	42374	32310	  1.31	18.85	10	 -3.46	          1.58	-1.05	         45.23亿	   2751	--  	     27	        0.0017	20190213	20150422	          2.40	--  	--  	19.81	9.46	          0.01	52.23	10.60	3.07	1.00	6.73	2.11	3.68	4.30	4.95	3.28	0.45	0.01	0.45	0.43	0.44	4.64	-0.28	-0.44	13825.00	         10542	19.87万	7.63	62.91	          4.78	-158.80	9.13	19.90	          3.94	0.00	          0.88	          1.93	         47.74	   4.65㈢	         33.84	          8.99	          8.87	300424	20180515	25.66	-26.54	
000901	航天科技	0.34	0.41	航空	574	13.50	14.84	0.41	522644	3625	          9.22	12.17	15.30	14.84	0.092㈢	   120.77	755045824	  1.08	         84.14亿	黑龙江	14.60	14.45	267375	255269	  1.05	14.83	631	  2.15	          5.67	0.05	         91.15亿	   4276	--  	    122	        0.0022	20190213	19990401	          6.14	--  	--  	64.68	39.27	          1.82	36.46	36.94	9.79	3.44	16.33	24.05	11.57	11.18	41.90	33.77	1.04	0.10	1.08	0.66	0.57	7.47	0.22	-2.68	65584.00	          6020	8.93万	-33.45	2.71	          2.32	415.56	2.18	14.79	          6.39	0.00	          3.92	          1.22	         60.72	   1.44㈢	         19.40	          2.48	          1.35	000901	--  	--  	--  	
600118	中国卫星	-1.49	0.31	航空	6332	24.45	25.82	0.31	464351	3567	          3.93	9.20	26.86	25.81	0.227㈢	    85.11	1182584960	  1.17	        305.20亿	北京	26.17	25.47	245769	218582	  1.12	25.81	387	 -0.29	         11.82	-0.39	        305.20亿	   4361	--  	    106	        0.0009	20190213	19970908	         11.82	--  	--  	122.16	53.33	         11.34	47.06	97.99	11.80	5.46	55.53	16.40	19.46	50.05	45.34	38.84	3.33	-0.00	3.34	2.87	2.69	23.74	-4.88	-4.53	144098.00	          3983	10.28万	5.16	13.41	          5.72	-62.59	6.73	26.20	          4.51	0.00	          1.39	          2.01	         43.65	   5.04㈢	         14.35	          7.34	          5.93	600118	--  	--  	--  	
300719	安达维尔	0.38	0.30	航空	518	12.06	13.20	0.30	163467	2326	         19.85	12.86	13.75	13.19	-0.076㈢	--  	210017776	  1.78	         10.86亿	北京	12.63	12.85	79174	84292	  0.94	13.19	327	  2.20	          0.82	0.05	         33.41亿	   2892	--  	     57	        0.0069	20181211	20171109	          2.53	--  	--  	9.99	8.73	          0.00	12.61	8.71	1.04	0.12	1.23	4.44	1.90	3.09	2.22	1.15	-0.19	0.03	-0.18	-0.19	-0.19	1.61	-1.18	-1.00	24247.00	          3396	4.48万	-351.53	3.30	          3.83	-28.36	15.02	13.14	          3.45	0.00	          1.75	          0.64	         87.39	  -2.21㈢	         48.36	         -8.42	         -8.68	300719	--  	--  	--  	
600343	航天动力	-0.09	0.27	航空	699	10.20	11.00	0.27	338013	1941	          5.30	10.90	11.40	11.00	0.016㈢	   529.19	366676928	  1.20	         70.20亿	陕西	10.90	10.85	161477	176536	  0.91	10.99	1705	  1.11	          6.38	-0.01	         70.20亿	   3799	--  	     89	        0.0014	20190213	20030408	          6.38	--  	--  	43.01	21.94	          4.94	37.49	31.35	7.66	1.37	15.15	11.64	9.63	9.16	8.88	7.41	0.17	0.00	0.17	0.15	0.10	3.42	-2.19	-3.31	90827.00	          4484	4.93万	-6.17	-15.45	          3.20	-32.08	7.91	11.01	          3.44	0.00	          1.82	          0.54	         51.02	   0.45㈢	         16.57	          1.90	          1.12	600343	--  	--  	--  	
000768	中航飞机	-2.57	0.24	航空	1885	16.23	16.67	0.24	482414	3642	          1.74	6.73	17.38	16.66	0.084㈢	   148.92	808254528	  0.98	        461.25亿	陕西	17.10	16.75	260684	221729	  1.18	16.66	5	 -0.76	         27.69	-0.44	        461.26亿	   4248	--  	    114	        0.0004	20190313	19970626	         27.69	--  	--  	485.50	157.12	         18.15	63.90	405.14	47.54	3.77	303.45	101.41	176.35	153.89	204.06	191.93	2.72	0.08	2.45	1.68	2.32	15.72	-29.16	-24.55	151710.00	          8607	14.34万	82.90	4.66	          2.94	-15.82	2.26	17.10	          5.68	0.00	          3.66	          0.57	         32.36	   1.48㈢	          5.94	          1.34	          1.14	000768	--  	--  	--  	
600893	航发动力	-2.60	0.16	航空	676	25.47	25.86	0.16	190244	1680	          0.98	4.52	26.67	25.85	0.289㈢	    67.05	495154304	  0.88	        503.49亿	陕西	26.64	26.03	102581	87663	  1.17	25.85	312	 -1.40	         19.48	-0.69	        581.58亿	   3744	--  	     51	        0.0003	20190213	19960408	         22.50	--  	--  	553.21	261.20	         38.50	45.83	323.60	142.82	20.85	292.73	190.84	158.65	0.00	138.48	113.31	7.53	1.34	7.61	6.72	6.50	45.42	-31.18	-25.95	80998.00	         10766	27.83万	78.25	6.54	          2.23	-18.65	4.20	26.54	         11.61	0.00	          8.48	          2.02	         47.21	   2.49㈢	         18.17	          5.43	          4.70	600893	--  	--  	--  	
600879	航天电子	-2.81	0.14	航空	2305	6.70	6.92	0.14	755562	4197	          3.13	5.76	7.11	6.92	0.126㈢	    41.20	521624928	  0.82	        167.00亿	湖北	7.10	6.90	401148	354414	  1.13	6.91	1884	 -1.61	         24.13	-0.20	        188.17亿	   4202	--  	    180	        0.0007	20190213	19951115	         27.19	--  	--  	252.07	117.61	          4.72	51.47	194.38	37.75	7.05	127.04	47.81	75.92	85.61	90.82	75.70	4.34	-0.01	4.41	3.72	3.43	40.29	-16.06	-3.81	155523.00	         12727	8.81万	8.72	10.98	          1.60	-11.72	2.07	7.12	          4.33	0.00	          1.76	          1.48	         46.66	   2.91㈢	         16.65	          4.78	          3.77	600879	--  	--  	--  	
