代码	名称	涨幅%%	涨速%%	细分行业	买量	最低	未匹配量	卖价	总量	现量	换手%%	振幅%%	最高	现价	每股收益	市盈(动)	总金额	量比	流通市值	地区	今开	均价	内盘	外盘	内外比	买价	卖量	强弱度%%	
601608	中信重工	9.98	0.00	专用机械	99886	4.40	--  	--  	1583529	2889	          3.65	7.89	4.74	4.74	0.020㈢	   218.01	736953472	  2.05	        205.69亿	河南	4.54	4.65	841305	742224	  1.13	4.74	0	  8.86	
300249	依米康	9.95	0.00	软件服务	43928	6.46	--  	--  	213078	379	          7.00	9.49	7.07	7.07	0.135㈢	    39.32	146507360	  2.05	         21.53亿	四川	6.47	6.88	96516	116561	  0.83	7.07	0	  7.59	
300156	神雾环保	9.90	0.70	环境保护	3259	3.93	--  	4.33	983697	10486	         13.63	10.15	4.33	4.33	-0.245㈢	--  	415999872	  1.93	         31.25亿	北京	3.96	4.23	459655	524041	  0.88	4.32	2984	  7.53	
600100	同方股份	9.28	-0.08	电脑设备	1542	10.52	--  	11.20	613050	3001	          2.07	7.23	11.26	11.19	-0.193㈢	--  	679055552	  3.44	        331.66亿	北京	10.52	11.08	255934	357115	  0.72	11.19	1809	  8.16	
603859	能科股份	8.12	-0.67	软件服务	38	24.83	--  	26.23	75915	145	         15.22	7.63	26.68	26.22	0.159㈢	   123.65	198681936	  1.69	         13.08亿	北京	25.22	26.17	30532	45383	  0.67	26.22	3	  7.00	
002123	梦网集团	7.83	-0.47	互联网	43	11.63	--  	12.40	564913	5777	          8.75	8.87	12.65	12.40	0.188㈢	    49.49	689967744	  1.28	         80.03亿	深圳	11.70	12.21	284441	280472	  1.01	12.39	2328	  5.46	
002335	科华恒盛	5.60	0.22	电气设备	243	17.18	--  	18.15	92291	1324	          4.10	7.70	18.50	18.10	0.396㈢	    34.24	164343392	  2.03	         40.77亿	福建	17.18	17.81	38252	54039	  0.71	18.10	32	  3.24	
000820	神雾节能	5.35	0.17	环境保护	2085	5.62	--  	5.92	418382	2622	         14.54	8.56	6.10	5.91	-0.200㈢	--  	246823456	  1.54	         17.00亿	辽宁	5.63	5.90	182292	236090	  0.77	5.91	1635	  2.98	
002178	延华智能	5.00	0.46	建筑施工	535	4.29	--  	4.41	649623	2569	          9.15	7.86	4.62	4.41	0.025㈢	   133.71	291145312	  2.97	         31.31亿	上海	4.29	4.48	349818	299804	  1.17	4.40	1190	  2.64	
002139	拓邦股份	4.81	0.18	元器件	4049	5.42	--  	5.66	492331	2170	          6.28	6.30	5.76	5.66	0.200㈢	    22.25	277222240	  1.45	         44.38亿	深圳	5.45	5.63	225113	267218	  0.84	5.65	5887	  2.45	
300257	开山股份	4.62	-0.14	机械基件	13	13.00	--  	13.58	69742	474	          0.85	8.24	14.07	13.58	0.105㈢	    96.81	95031552	  2.00	        111.02亿	浙江	13.03	13.63	32499	37242	  0.87	13.57	92	  2.26	
002121	科陆电子	4.47	0.75	电器仪表	1031	5.20	--  	5.37	197683	5183	          2.18	3.50	5.38	5.37	0.014㈢	   286.34	104918840	  1.14	         48.63亿	深圳	5.25	5.31	93226	104457	  0.89	5.36	181	  2.11	
600481	双良节能	3.94	0.48	环境保护	5109	4.08	--  	4.23	261249	2098	          1.61	4.93	4.28	4.22	0.090㈢	    34.29	109373864	  1.59	         68.38亿	江苏	4.09	4.19	101009	160240	  0.63	4.22	1218	  2.82	
002205	国统股份	3.36	-0.18	其他建材	176	15.15	--  	15.67	34525	810	          2.97	5.28	15.95	15.67	-0.041㈢	--  	53769960	  1.44	         18.20亿	新疆	15.21	15.57	15496	19029	  0.81	15.66	37	  1.00	
600406	国电南瑞	3.29	0.00	软件服务	490	18.90	--  	19.17	531743	3514	          2.08	3.99	19.64	19.17	0.520㈢	    28.46	1026720576	  1.40	        489.45亿	江苏	18.90	19.31	299738	232004	  1.29	19.16	177	  2.17	
002499	科林环保	3.00	0.24	环境保护	107	8.07	--  	8.27	67353	212	          3.56	4.99	8.47	8.25	0.118㈢	    52.40	55814112	  1.26	         15.59亿	江苏	8.07	8.29	30330	37023	  0.82	8.25	28	  0.63	
002380	科远股份	2.55	0.08	电气设备	218	12.20	--  	12.49	50570	520	          3.53	5.75	12.90	12.48	0.305㈢	    30.71	63767588	  1.49	         17.89亿	江苏	12.32	12.61	22931	27639	  0.83	12.48	1042	  0.18	
300124	汇川技术	2.38	-0.54	电器仪表	49	26.90	--  	27.14	233573	1143	          1.72	2.94	27.68	27.13	0.477㈢	    42.64	638637056	  1.51	        367.60亿	深圳	27.05	27.34	120240	113332	  1.06	27.13	6	  0.01	
300332	天壕环境	2.36	-0.45	环境保护	1429	4.19	--  	4.34	328933	3480	          4.63	5.91	4.44	4.33	0.035㈢	    91.97	142546400	  1.20	         30.74亿	北京	4.24	4.33	162508	166425	  0.98	4.33	561	 -0.00	
002665	首航节能	2.28	0.00	电气设备	5897	3.08	--  	3.14	1135581	9250	          5.03	4.56	3.22	3.14	-0.006㈢	--  	357431456	  1.26	         70.85亿	北京	3.12	3.15	514605	620975	  0.83	3.13	3155	 -0.08	
600405	动力源	2.28	0.75	电气设备	49	5.29	--  	5.39	205531	3483	          3.71	3.23	5.46	5.39	-0.090㈢	--  	110347776	  1.00	         29.82亿	北京	5.31	5.37	106382	99148	  1.07	5.38	263	  1.16	
