代码	名称	涨幅%%	涨速%%	细分行业	买量	最低	未匹配量	卖价	总量	现量	换手%%	振幅%%	最高	现价	每股收益	市盈(动)	总金额	量比	流通市值	地区	今开	均价	内盘	外盘	内外比	买价	卖量	强弱度%%	
000971	高升控股	10.11	0.00	互联网	132928	4.05	--  	--  	212829	412	          3.60	2.39	4.14	4.14	0.021㈢	   150.50	87846896	  0.39	         24.51亿	湖北	4.05	4.13	158635	54194	  2.93	4.14	0	  7.74	
300353	东土科技	10.04	0.00	通信设备	11286	11.03	--  	--  	535813	609	         15.26	9.40	12.06	12.06	0.088㈢	   102.92	631186752	  1.97	         42.34亿	北京	11.26	11.78	277638	258175	  1.08	12.06	0	  7.67	
600100	同方股份	9.28	-0.08	电脑设备	1542	10.52	--  	11.20	613050	3001	          2.07	7.23	11.26	11.19	-0.193㈢	--  	679055552	  3.44	        331.66亿	北京	10.52	11.08	255934	357115	  0.72	11.19	1809	  8.16	
603690	至纯科技	7.76	0.18	专用机械	170	21.12	--  	22.90	62309	386	          6.76	10.64	23.38	22.90	0.130㈢	   132.34	140154576	  1.48	         21.11亿	上海	21.16	22.49	35149	27160	  1.29	22.89	231	  6.64	
000818	航锦科技	7.48	0.28	化工原料	1027	10.22	--  	10.92	296082	2033	          4.42	9.45	11.18	10.92	0.479㈢	    17.10	318476544	  2.32	         73.21亿	辽宁	10.22	10.76	125413	170668	  0.73	10.91	159	  5.12	
002371	北方华创	7.44	0.36	专用机械	7	52.00	--  	55.58	154521	1898	          4.30	9.47	56.90	55.58	0.368㈢	   113.21	851925248	  1.43	        199.72亿	北京	52.98	55.13	81285	73236	  1.11	55.57	225	  5.08	
000070	特发信息	6.47	-0.11	通信设备	475	15.66	--  	16.28	1081736	11568	         18.02	7.26	16.77	16.28	0.262㈢	    46.60	1752128256	  1.12	         97.73亿	深圳	16.00	16.20	552691	529044	  1.04	16.27	3132	  4.11	
002449	国星光电	5.24	0.23	半导体	1760	12.41	--  	13.06	258941	2647	          4.26	5.56	13.10	13.06	0.620㈢	    15.80	331366400	  1.25	         79.34亿	广东	12.41	12.80	122784	136156	  0.90	13.05	525	  2.87	
002725	跃岭股份	5.07	-0.45	汽车配件	701	10.19	--  	10.79	239797	4249	         13.58	10.14	11.23	10.78	0.104㈢	    77.53	253341168	  1.58	         19.03亿	浙江	10.32	10.56	110910	128886	  0.86	10.78	2775	  2.70	
603986	兆易创新	4.88	-0.19	半导体	79	95.60	--  	96.80	96740	499	          4.66	6.29	101.40	96.71	1.310㈢	    56.20	944626432	  1.17	        200.57亿	北京	96.20	97.65	44045	52694	  0.84	96.71	16	  3.76	
