代码	名称	涨幅%%	涨速%%	细分行业	买量	最低	未匹配量	卖价	总量	现量	换手%%	振幅%%	最高	现价	每股收益	市盈(动)	总金额	量比	流通市值	地区	今开	均价	内盘	外盘	内外比	买价	卖量	强弱度%%	
002600	领益智造	10.09	0.00	元器件	248154	5.62	--  	--  	1954521	1569	         13.14	6.97	6.00	6.00	-0.050㈢	--  	1158442624	  0.64	         89.27亿	广东	6.00	5.93	1404683	549838	  2.55	6.00	0	  7.73	
002333	罗普斯金	8.10	0.00	铝	834	6.71	--  	7.22	301751	2236	          6.22	9.45	7.34	7.21	-0.132㈢	--  	213865104	  1.43	         34.97亿	江苏	6.71	7.09	122664	179087	  0.68	7.21	359	  5.73	
002273	水晶光电	7.10	0.69	元器件	141	12.35	--  	13.12	569146	5654	          7.00	8.49	13.39	13.12	0.470㈢	    20.97	726853440	  1.73	        106.65亿	浙江	12.49	12.77	258807	310339	  0.83	13.11	4908	  4.74	
300567	精测电子	7.09	-0.10	电器仪表	1	66.33	--  	71.00	29332	745	          3.51	8.19	71.76	71.00	1.190㈢	    45.66	206115712	  1.21	         59.42亿	湖北	66.33	70.27	14163	15168	  0.93	70.91	176	  4.72	
002008	大族激光	4.97	0.65	电器仪表	7	40.23	--  	42.00	388593	1994	          3.91	5.92	42.60	42.00	1.550㈢	    20.29	1618060672	  1.38	        417.19亿	深圳	40.25	41.64	208377	180215	  1.16	41.99	1023	  2.61	
300128	锦富技术	3.88	-0.19	元器件	796	4.70	--  	5.10	1461790	17309	         13.72	12.45	5.31	5.09	-0.014㈢	--  	726079040	  1.12	         54.24亿	江苏	4.91	4.97	679669	782121	  0.87	5.09	5639	  1.51	
300433	蓝思科技	3.44	0.00	元器件	1535	8.80	--  	9.03	778535	5255	          1.99	6.88	9.40	9.02	0.270㈢	    24.95	708454144	  1.44	        352.71亿	湖南	8.80	9.10	376921	401614	  0.94	9.02	2324	  1.08	
002045	国光电器	3.30	0.85	元器件	2294	5.73	--  	5.95	302825	7065	          7.28	4.35	5.98	5.94	-0.150㈢	--  	177221968	  1.23	         24.69亿	广东	5.89	5.85	153106	149718	  1.02	5.94	1637	  0.94	
002202	金风科技	3.26	0.00	电气设备	259	13.95	--  	14.55	600709	2651	          2.10	7.52	15.01	14.55	0.670㈢	    16.04	868766336	  1.42	        415.37亿	新疆	14.15	14.46	286011	314697	  0.91	14.54	209	  0.90	
002456	欧菲科技	2.97	0.57	元器件	4387	13.91	--  	14.21	1659482	13000	          6.22	4.13	14.48	14.20	0.510㈢	    20.99	2354999808	  1.07	        378.84亿	深圳	14.02	14.19	803107	856374	  0.94	14.20	416	  0.61	
002681	奋达科技	2.81	0.21	家用电器	1771	4.65	--  	4.76	372420	1410	          3.37	4.33	4.85	4.75	0.160㈢	    28.08	177957936	  1.08	         52.48亿	深圳	4.65	4.78	161913	210506	  0.77	4.75	1079	  0.45	
002024	苏宁易购	2.68	0.32	电器连锁	823	12.35	--  	12.65	1110297	7863	          1.90	4.06	12.85	12.65	0.658㈢	    14.42	1403165056	  1.13	        739.61亿	江苏	12.40	12.64	572395	537901	  1.06	12.64	845	  0.31	
600584	长电科技	2.46	0.51	半导体	1301	13.32	--  	13.76	775643	7349	          7.49	7.45	14.32	13.75	0.011㈢	   946.01	1068596288	  1.03	        142.44亿	江苏	13.65	13.78	379338	396305	  0.96	13.75	117	  1.34	
