代码	名称	涨幅%%	涨速%%	细分行业	买量	最低	未匹配量	卖价	总量	现量	换手%%	振幅%%	最高	现价	每股收益	市盈(动)	总金额	量比	流通市值	地区	今开	均价	内盘	外盘	内外比	买价	卖量	强弱度%%	
600226	瀚叶股份	5.04	-0.26	农药化肥	5607	3.53	--  	3.76	2276107	25203	         11.42	11.20	3.93	3.75	0.068㈢	    41.45	842652160	  0.96	         74.73亿	浙江	3.60	3.70	1090396	1185710	  0.92	3.75	10588	  3.92	
603599	广信股份	2.96	-0.06	农药化肥	694	14.05	--  	14.61	67217	166	          1.45	5.85	14.88	14.60	0.808㈢	    13.56	97805440	  1.65	         67.84亿	安徽	14.28	14.55	34969	32248	  1.08	14.60	180	  1.84	
002004	华邦健康	2.06	0.00	化学制药	302	5.31	--  	5.46	263135	1228	          1.56	3.93	5.52	5.45	0.235㈢	    17.39	142969504	  1.74	         91.94亿	重庆	5.34	5.43	129004	134131	  0.96	5.45	876	 -0.30	
000525	红 太 阳	1.81	0.13	农药化肥	22	15.10	--  	15.22	88472	240	          1.54	2.81	15.52	15.22	0.931㈢	    12.26	135658432	  1.65	         87.42亿	江苏	15.10	15.33	39572	48899	  0.81	15.21	539	 -0.56	
002258	利尔化学	1.49	0.13	农药化肥	861	15.47	--  	15.64	171229	1327	          3.27	2.34	15.83	15.63	1.102㈣	    14.18	268206032	  0.70	         81.74亿	四川	15.50	15.66	72012	99217	  0.73	15.63	160	 -0.87	
000407	胜利股份	1.17	0.23	供气供热	419	4.22	--  	4.32	314458	1961	          4.22	3.52	4.37	4.31	0.103㈢	    31.49	134875712	  1.65	         32.14亿	山东	4.25	4.29	158852	155606	  1.02	4.31	1237	 -1.19	
603077	和邦生物	1.01	0.00	化工原料	18987	1.96	--  	2.00	1346342	9065	          1.52	5.05	2.06	2.00	0.051㈢	    29.54	269768192	  1.07	        176.63亿	四川	1.99	2.00	646000	700341	  0.92	1.99	13715	 -0.11	
000553	安道麦A	0.88	0.53	农药化肥	176	11.33	--  	11.44	81086	1111	          1.73	2.38	11.60	11.44	1.039㈢	     8.26	93143912	  1.01	         53.61亿	湖北	11.36	11.49	43198	37888	  1.14	11.43	153	 -1.48	
300575	中旗股份	0.84	0.59	农药化肥	3	55.45	--  	56.10	19745	200	          5.74	4.57	57.99	56.10	1.819㈢	    23.13	111292992	  0.99	         19.29亿	江苏	56.30	56.37	9144	10600	  0.86	56.00	249	 -1.52	
603810	丰山集团	0.82	0.02	农药化肥	32	40.99	--  	41.66	35265	372	         17.63	3.20	42.31	41.65	1.580㈢	    26.31	146599872	  1.06	          8.33亿	江苏	41.35	41.57	17557	17707	  0.99	41.65	64	 -0.30	
002391	长青股份	0.58	0.00	农药化肥	70	11.90	--  	12.05	61804	498	          2.60	2.84	12.24	12.04	0.706㈢	    12.79	74664872	  1.14	         28.62亿	江苏	12.00	12.08	31675	30128	  1.05	12.04	226	 -1.78	
600596	新安股份	0.40	0.24	农药化肥	2671	12.56	--  	12.70	556471	3779	          8.10	3.16	12.96	12.69	1.651㈢	     5.76	709149120	  1.14	         87.18亿	浙江	12.68	12.74	278393	278078	  1.00	12.69	1883	 -0.73	
002496	辉丰股份	0.34	0.00	农药化肥	1333	2.95	--  	2.98	306373	1647	          3.17	3.03	3.04	2.98	-0.160㈢	--  	91664264	  0.90	         28.79亿	江苏	2.98	2.99	168617	137756	  1.22	2.97	700	 -2.03	
600141	兴发集团	0.27	0.09	化工原料	1983	11.10	--  	11.19	279838	1503	          3.92	2.87	11.42	11.18	0.500㈢	    15.58	314505248	  1.25	         79.79亿	湖北	11.19	11.24	145416	134422	  1.08	11.18	631	 -0.85	
603639	海利尔	-0.10	-0.09	农药化肥	47	30.15	--  	30.39	23624	221	          4.35	2.40	30.88	30.38	2.330㈢	    12.17	72181608	  1.33	         16.50亿	山东	30.59	30.55	15145	8479	  1.79	30.38	81	 -1.22	
600389	江山股份	-0.17	0.50	农药化肥	195	18.00	--  	18.11	48974	553	          1.65	2.48	18.45	18.10	0.874㈢	    15.54	89547752	  1.53	         53.76亿	江苏	18.17	18.28	33018	15955	  2.07	18.10	30	 -1.29	
600486	扬农化工	-1.10	0.17	农药化肥	54	47.32	--  	47.53	27303	54	          0.88	3.16	48.84	47.52	2.536㈢	    14.05	131420144	  0.82	        147.26亿	江苏	47.88	48.13	14584	12719	  1.15	47.52	9	 -2.22	
数据来源:通达信
