代码	名称	涨幅%%	涨速%%	细分行业	买量	最低	未匹配量	卖价	总量	现量	换手%%	振幅%%	最高	现价	每股收益	市盈(动)	总金额	量比	流通市值	地区	今开	均价	内盘	外盘	内外比	买价	卖量	强弱度%%	
002175	东方网络	10.13	0.00	电器仪表	115483	4.20	--  	--  	429152	697	          7.16	3.80	4.35	4.35	-0.140㈢	--  	186371984	  0.82	         26.07亿	广西	4.35	4.34	357139	72012	  4.96	4.35	0	  7.76	
300264	佳创视讯	10.08	0.00	通信设备	12621	6.52	--  	--  	300130	95	          9.42	2.31	6.66	6.66	-0.003㈢	--  	199547824	  2.35	         21.22亿	深圳	6.66	6.65	238209	61920	  3.85	6.66	0	  7.72	
300182	捷成股份	10.08	0.00	软件服务	98098	5.35	--  	--  	480529	5473	          2.68	0.00	5.35	5.35	0.308㈢	    13.03	257083136	  0.58	         96.04亿	北京	5.35	5.35	462348	18181	 25.43	5.35	0	  7.72	
000665	湖北广电	10.06	0.00	影视音像	65741	8.94	--  	--  	68222	50	          1.07	2.99	9.19	9.19	0.324㈢	    21.29	62549400	  0.90	         58.46亿	湖北	8.95	9.17	50761	17460	  2.91	9.19	0	  7.70	
300691	联合光电	10.02	0.00	元器件	15460	28.00	--  	--  	5834	20	          0.97	0.00	28.00	28.00	0.400㈢	    53.41	16334640	  0.33	         16.76亿	广东	28.00	28.00	4642	1191	  3.90	28.00	0	  7.66	
300556	丝路视觉	10.00	0.00	软件服务	1111	19.85	--  	--  	119758	390	         19.12	7.68	21.34	21.34	0.360㈢	    44.39	251636400	  2.16	         13.36亿	深圳	20.60	21.01	60169	59588	  1.01	21.34	0	  7.64	
300079	数码科技	10.00	0.00	通信设备	617405	4.62	--  	--  	109926	330	          0.91	0.00	4.62	4.62	0.059㈢	    59.04	50785928	  0.20	         55.86亿	北京	4.62	4.62	96424	13502	  7.14	4.62	0	  7.64	
002189	利达光电	9.99	0.84	元器件	1205	19.01	--  	--  	183487	1781	          9.33	7.34	20.37	20.37	0.220㈢	    82.09	366178336	  1.62	         40.07亿	河南	19.69	19.96	95982	87504	  1.10	20.37	0	  7.62	
000810	创维数字	9.96	0.00	家用电器	110382	8.39	--  	--  	48994	1394	          0.50	0.00	8.39	8.39	0.220㈢	    29.36	41105580	  0.22	         81.42亿	四川	8.39	8.39	43227	5766	  7.50	8.39	0	  7.60	
002238	天威视讯	9.95	0.00	影视音像	32011	8.21	--  	--  	143713	178	          2.33	2.49	8.40	8.40	0.244㈢	    25.81	120648176	  1.15	         51.86亿	深圳	8.40	8.40	132129	11584	 11.41	8.40	0	  7.58	
002273	水晶光电	7.10	0.69	元器件	141	12.35	--  	13.12	569146	5654	          7.00	8.49	13.39	13.12	0.470㈢	    20.97	726853440	  1.73	        106.65亿	浙江	12.49	12.77	258807	310339	  0.83	13.11	4908	  4.74	
300020	银江股份	6.58	0.72	软件服务	263	7.96	--  	8.42	353750	4387	          5.63	6.71	8.49	8.42	0.019㈢	   335.03	291571008	  1.46	         52.88亿	浙江	8.10	8.24	164225	189524	  0.87	8.41	1292	  4.22	
