代码	名称	涨幅%%	涨速%%	细分行业	买量	最低	未匹配量	卖价	总量	现量	换手%%	振幅%%	最高	现价	每股收益	市盈(动)	总金额	量比	流通市值	地区	今开	均价	内盘	外盘	内外比	买价	卖量	强弱度%%	
000711	京蓝科技	9.98	0.00	软件服务	74008	6.05	--  	--  	237667	845	          5.85	9.32	6.61	6.61	0.170㈢	    33.25	154655232	  1.04	         26.86亿	黑龙江	6.05	6.51	170765	66901	  2.55	6.61	0	  7.62	
300197	铁汉生态	9.93	0.00	环境保护	33263	4.40	--  	--  	1381418	1480	          9.21	10.61	4.87	4.87	0.160㈢	    22.86	659535936	  1.76	         73.01亿	深圳	4.50	4.77	695340	686077	  1.01	4.87	0	  7.57	
300355	蒙草生态	9.75	0.97	环境保护	8070	4.72	--  	5.19	1212431	20895	         10.27	9.96	5.19	5.18	0.203㈢	    19.16	613284800	  2.02	         61.17亿	内蒙	4.79	5.06	618254	594177	  1.04	5.18	27124	  7.38	
300495	美尚生态	6.28	1.52	环境保护	409	13.35	--  	14.05	365741	5239	         11.24	8.55	14.48	14.05	0.347㈢	    30.40	505599136	  2.46	         45.70亿	江苏	13.41	13.82	168253	197487	  0.85	14.04	3092	  3.91	
600610	*ST毅达	4.93	0.00	建筑施工	16714	3.62	--  	--  	9101	10	          0.24	0.00	3.62	3.62	-0.020㈢	--  	3294595	  0.08	         13.60亿	上海	3.62	3.62	7827	1274	  6.14	3.62	0	  3.81	
000786	北新建材	4.46	0.40	其他建材	194	19.10	--  	19.90	362419	2624	          2.56	7.09	20.45	19.89	1.160㈢	    12.34	719646656	  1.16	        281.24亿	北京	19.10	19.86	193504	168914	  1.15	19.89	133	  2.10	
000040	东旭蓝天	4.18	0.37	新型电力	2075	7.93	--  	8.23	728186	7155	          6.87	4.43	8.28	8.23	1.050㈢	     6.53	592916608	  1.56	         87.26亿	深圳	7.93	8.14	327378	400807	  0.82	8.22	2158	  1.81	
002310	东方园林	4.17	0.34	建筑施工	3084	8.42	--  	8.75	1647695	13781	         10.72	7.87	9.08	8.74	0.360㈢	    18.05	1450336768	  1.35	        134.39亿	北京	8.49	8.80	830629	817066	  1.02	8.74	9152	  1.81	
603359	东珠生态	3.71	0.11	建筑施工	130	18.08	--  	18.75	39965	695	          2.61	3.82	18.77	18.75	0.756㈢	    18.61	73995112	  0.92	         28.68亿	江苏	18.08	18.51	16254	23711	  0.69	18.73	141	  2.58	
002247	聚力文化	3.24	0.21	软件服务	1832	4.64	--  	4.79	385539	4221	          7.09	5.18	4.88	4.78	0.411㈢	     8.71	184197168	  1.27	         26.01亿	浙江	4.67	4.78	151179	234359	  0.65	4.78	393	  0.88	
002717	岭南股份	3.08	0.23	环境保护	816	8.45	--  	8.70	301150	2893	          4.41	5.09	8.88	8.70	0.570㈢	    11.68	261901344	  1.61	         59.39亿	广东	8.47	8.70	137784	163365	  0.84	8.69	670	  0.72	
300266	兴源环境	3.06	0.00	环境保护	4058	3.89	--  	4.04	1067308	6940	          7.30	7.14	4.17	4.04	0.100㈢	    36.57	432789024	  1.31	         59.06亿	浙江	3.91	4.05	498771	568537	  0.88	4.03	2416	  0.70	
002200	云投生态	2.97	0.61	环境保护	347	6.37	--  	6.58	47636	600	          3.62	4.85	6.68	6.58	-1.267㈢	--  	31266296	  1.24	          8.66亿	云南	6.37	6.56	25173	22462	  1.12	6.57	394	  0.61	
002887	绿茵生态	2.82	0.29	环境保护	140	20.18	--  	20.79	43384	334	          8.45	4.55	21.10	20.78	0.708㈢	    22.01	89803088	  1.18	         10.67亿	天津	20.28	20.70	20978	22406	  0.94	20.78	15	  0.46	
603778	乾景园林	2.26	0.61	建筑施工	394	4.85	--  	4.97	87225	533	          1.74	4.73	5.08	4.97	0.039㈢	    96.24	43426476	  0.98	         24.85亿	北京	4.86	4.98	40641	46584	  0.87	4.96	541	  1.14	
600170	上海建工	2.25	0.55	建筑施工	7568	3.56	--  	3.63	764342	7707	          0.90	3.10	3.67	3.63	0.190㈢	    13.39	277400992	  1.28	        308.07亿	上海	3.57	3.63	342155	422187	  0.81	3.62	890	  1.13	
002431	棕榈股份	1.99	0.22	建筑施工	4004	4.53	--  	4.62	566362	4512	          4.27	3.97	4.71	4.62	0.010㈢	   345.23	262838768	  1.19	         61.22亿	广东	4.54	4.64	279288	287073	  0.97	4.61	339	 -0.38	
000010	美丽生态	1.97	0.00	建筑施工	2167	3.56	--  	3.62	113350	2579	          2.17	3.94	3.70	3.62	-0.234㈢	--  	41385668	  0.97	         18.90亿	深圳	3.57	3.65	54552	58797	  0.93	3.61	1785	 -0.39	
002785	万里石	1.62	-0.08	其他建材	713	10.43	--  	10.69	72860	831	          4.71	3.81	10.83	10.68	0.052㈢	   155.09	77492304	  1.27	         16.52亿	福建	10.51	10.64	38669	34190	  1.13	10.67	150	 -0.75	
002325	洪涛股份	1.40	0.00	装修装饰	2631	3.58	--  	3.61	293949	503	          3.19	3.09	3.69	3.61	0.113㈢	    23.90	106728256	  0.94	         33.23亿	深圳	3.59	3.63	143886	150062	  0.96	3.60	439	 -0.96	
603955	大千生态	1.34	0.00	环境保护	71	16.35	--  	16.59	24322	178	          3.41	4.89	17.15	16.58	0.499㈢	    24.93	40806916	  1.61	         11.82亿	江苏	16.40	16.78	12161	12161	  1.00	16.58	44	  0.22	
000656	金科股份	1.31	0.00	区域地产	10206	6.09	--  	6.17	468504	2980	          0.89	4.43	6.36	6.17	0.400㈢	    11.28	290681824	  1.92	        324.81亿	重庆	6.14	6.20	213256	255247	  0.84	6.16	208	 -1.05	
000509	华塑控股	1.27	0.32	其他建材	4875	3.10	--  	3.18	461535	4994	          5.59	3.82	3.22	3.18	-0.010㈢	--  	146379168	  1.10	         26.25亿	四川	3.12	3.17	218841	242694	  0.90	3.17	1611	 -1.09	
300237	美晨生态	1.10	0.22	建筑施工	2578	4.54	--  	4.59	365239	4541	          2.53	4.19	4.73	4.59	0.266㈢	    12.93	169125520	  1.00	         66.36亿	山东	4.54	4.63	187675	177564	  1.06	4.58	14	 -1.26	
002775	文科园林	1.02	0.14	建筑施工	180	6.84	--  	6.91	96232	723	          2.22	3.80	7.10	6.91	0.400㈢	    13.79	67208448	  0.90	         29.95亿	深圳	6.88	6.98	54665	41567	  1.32	6.90	227	 -1.34	
002374	丽鹏股份	0.95	-0.30	建筑施工	1102	3.19	--  	3.21	219113	1614	          2.73	2.84	3.28	3.20	0.026㈢	    91.53	70873608	  0.90	         25.64亿	山东	3.22	3.23	105726	113387	  0.93	3.20	2685	 -1.42	
600963	岳阳林纸	0.88	0.22	造纸	1718	4.51	--  	4.57	307948	2315	          2.95	3.09	4.65	4.57	0.244㈢	    14.05	141132096	  1.10	         47.67亿	湖南	4.53	4.58	154625	153323	  1.01	4.56	111	 -0.24	
603388	元成股份	0.78	-0.25	建筑施工	32	11.49	--  	11.61	19427	154	          2.32	2.70	11.80	11.57	0.413㈢	    21.01	22595444	  1.09	          9.67亿	浙江	11.49	11.63	10777	8650	  1.25	11.57	32	 -0.34	
002081	金 螳 螂	0.74	0.74	装修装饰	9	10.75	--  	10.88	183590	1789	          0.71	3.06	11.08	10.88	0.600㈢	    13.78	200045200	  0.97	        280.29亿	江苏	10.84	10.90	101379	82211	  1.23	10.81	189	 -1.62	
300536	农尚环境	0.62	0.00	建筑施工	108	9.54	--  	9.69	38156	221	          6.24	4.36	9.96	9.69	0.253㈢	    28.76	37143724	  1.22	          5.92亿	湖北	9.62	9.73	18450	19705	  0.94	9.68	14	 -1.74	
002482	广田集团	0.51	0.34	装修装饰	33	5.86	--  	5.91	189790	655	          1.24	3.41	6.06	5.90	0.300㈢	    14.73	112851976	  1.38	         90.23亿	深圳	5.88	5.95	84206	105584	  0.80	5.90	809	 -1.85	
603316	诚邦股份	0.49	-0.11	建筑施工	159	8.21	--  	8.25	32034	1001	          3.05	2.56	8.42	8.24	0.207㈢	    29.82	26632456	  1.44	          8.66亿	浙江	8.25	8.31	16923	15111	  1.12	8.24	59	 -0.63	
002163	中航三鑫	0.34	0.34	装修装饰	284	5.77	--  	5.85	159707	1221	          1.99	3.78	5.99	5.84	-0.057㈢	--  	93258808	  1.03	         46.92亿	深圳	5.77	5.84	92582	67125	  1.38	5.84	642	 -2.02	
000055	方大集团	0.31	0.00	其他建材	1629	6.32	--  	6.41	448250	2814	          6.61	2.98	6.51	6.40	1.910㈣	     3.20	287590304	  0.95	         43.41亿	深圳	6.43	6.42	252230	196019	  1.29	6.40	857	 -2.05	
