代码	名称	涨幅%	涨速%	细分行业	买量	最低	卖价	涨速%	总量	现量	换手%	振幅%	最高	现价	每股收益	市盈(动)	总金额	量比	流通市值	地区	今开	均价	内盘	外盘	内外比	买价	卖量	强弱度%	流通股(亿)	涨跌	AB股总市值	活跃度	未匹配量	笔均量	笔换手	财务更新	上市日期	总股本(亿)	B/A股(亿)	H股(亿)	总资产(亿)	净资产(亿)	少数股权(亿)	资产负债率%	流动资产(亿)	固定资产(亿)	无形资产(亿)	流动负债(亿)	资本公积金(亿)	存货(亿)	应收帐款(亿)	营业收入(亿)	营业成本(亿)	营业利润(亿)	投资收益(亿)	利润总额(亿)	税后利润(亿)	净利润(亿)	未分利润(亿)	经营现金流(亿)	总现金流(亿)	股东人数	人均持股	人均市值	利润同比%	收入同比%	市净率	市现率	市销率	昨收	每股净资	调整后净资	每股公积	每股未分配	权益比%	净益率%	毛利率%	营业利润率%	净利润率%	交易代码	自选日	自选价	自选收益%	
600155	华创阳安	-6.08	1.06	证券	3152	10.20	10.51	1.06	354062	6478	          3.14	8.68	11.17	10.50	0.143㈢	    55.23	377251200	  0.70	        118.47亿	北京	10.85	10.65	203025	151037	  1.34	10.50	46	 -4.88	         11.28	-0.68	        182.65亿	   4053	--  	     87	        0.0008	20190213	19980918	         17.40	--  	--  	393.94	150.32	          3.34	60.99	290.96	2.19	0.88	184.35	137.22	0.36	1.72	1.00	0.23	3.55	6.21	3.57	2.57	2.48	-3.24	-6.91	1.70	38861.00	         13844	14.54万	9.40	-69.11	          1.22	-26.43	181.98	11.18	          8.64	0.00	          7.89	         -0.19	         38.16	   1.65㈢	         77.26	        353.21	        247.13	600155	--  	--  	--  	
002926	华西证券	-5.01	0.89	证券	48	11.12	11.38	0.89	634643	5511	          3.57	7.10	11.97	11.37	0.306㈢	    27.91	728362816	  0.63	        202.18亿	四川	11.80	11.48	378746	255896	  1.48	11.37	286	 -3.20	         17.78	-0.60	        298.46亿	   4472	--  	    142	        0.0008	20190201	20180205	         26.25	--  	--  	484.03	183.03	          0.44	62.10	0.00	3.36	0.43	0.00	81.14	0.00	0.00	20.17	0.00	10.49	6.96	10.45	8.02	8.02	47.28	-35.38	-3.26	243775.00	          4594	5.22万	-5.27	0.00	          1.63	-8.44	14.80	11.97	          6.97	0.00	          3.09	          1.80	         37.81	   4.38㈢	--  	         52.03	         39.76	002926	--  	--  	--  	
601198	东兴证券	-1.55	0.68	证券	1281	13.03	13.31	0.68	366063	4629	          1.33	4.74	13.67	13.30	0.282㈢	    35.34	488433664	  0.57	        366.81亿	北京	13.32	13.34	203586	162477	  1.25	13.30	21	 -0.36	         27.58	-0.21	        366.81亿	   3975	--  	     92	        0.0003	20190213	20150226	         27.58	--  	--  	842.17	195.28	          0.36	76.77	0.00	1.86	0.19	0.00	97.62	0.00	0.00	22.06	0.00	9.24	13.47	9.28	7.78	7.78	43.09	-36.65	-1.46	101117.00	         12890	17.14万	-16.02	-10.31	          1.88	-10.01	16.63	13.51	          7.08	0.00	          3.54	          1.56	         23.19	   3.99㈢	--  	         41.90	         35.29	601198	--  	--  	--  	
002939	长城证券	-3.45	0.64	证券	236	13.92	14.27	0.64	414975	4446	         13.37	6.97	14.95	14.26	0.154㈢	    69.24	597193280	  0.52	         44.25亿	深圳	14.30	14.39	218226	196749	  1.11	14.26	524	 -1.64	          3.10	-0.51	        442.55亿	   4052	--  	    102	        0.0033	20181025	20181026	         31.03	--  	--  	525.29	146.55	          1.15	71.88	0.00	1.61	0.63	0.00	76.72	0.00	0.00	20.38	0.00	5.95	8.06	5.98	4.82	4.79	24.28	-19.72	-4.24	555970.00	           558	0.80万	0.00	0.00	          2.72	-22.44	21.71	14.77	          5.25	5.25	          2.47	          0.78	         27.90	   3.27㈢	--  	         29.18	         23.52	002939	--  	--  	--  	
601990	南京证券	-3.61	0.60	证券	513	13.10	13.37	0.60	354597	6136	         12.89	6.85	14.05	13.36	0.090㈢	   121.87	479108352	  0.49	         36.74亿	江苏	13.44	13.51	184939	169658	  1.09	13.36	36	 -2.41	          2.75	-0.50	        367.27亿	   4258	--  	     83	        0.0030	20181031	20180613	         27.49	--  	--  	234.17	105.65	          0.80	54.54	0.00	9.50	0.22	0.00	47.50	0.00	0.00	9.04	0.00	3.05	2.01	3.06	2.30	2.26	14.71	2.64	-0.86	78898.00	          3486	4.66万	0.00	0.00	          3.48	139.15	40.61	13.86	          3.84	0.00	          1.73	          0.54	         45.12	   2.14㈢	--  	         33.68	         24.99	601990	20180712	12.14	10.05	
002797	第一创业	-3.83	0.53	证券	955	7.38	7.55	0.53	1268430	15393	          6.61	6.89	7.92	7.54	0.036㈢	   158.00	966942976	  0.52	        144.65亿	深圳	7.70	7.62	649793	618637	  1.05	7.54	2528	 -2.01	         19.18	-0.30	        264.08亿	   4607	--  	    275	        0.0014	20190213	20160511	         35.02	--  	--  	330.49	88.44	          3.64	72.14	0.00	1.38	2.75	0.00	25.93	0.00	0.00	12.56	0.00	1.29	4.60	1.46	1.32	1.25	17.25	-12.07	-13.49	239512.00	          8010	6.04万	-58.06	-8.02	          2.99	-21.89	21.02	7.84	          2.53	0.00	          0.74	          0.49	         26.76	   1.42㈢	--  	         10.26	          9.98	002797	--  	--  	--  	
601555	东吴证券	-3.81	0.43	证券	221	9.17	9.35	0.43	570671	6317	          1.97	5.97	9.75	9.34	0.064㈢	   109.46	535818784	  0.63	        270.02亿	江苏	9.50	9.39	303553	267118	  1.14	9.34	1364	 -2.61	         28.91	-0.37	        280.20亿	   4052	--  	    141	        0.0005	20190227	20111212	         30.00	--  	--  	893.81	204.25	          2.85	76.83	0.00	6.91	1.83	0.00	117.64	0.00	0.00	25.19	0.00	2.60	10.40	2.56	1.98	1.92	29.70	31.26	-1.30	93323.00	         24634	23.01万	-76.22	-21.33	          1.37	8.96	11.12	9.71	          6.81	0.00	          3.92	          0.99	         22.85	   0.94㈢	--  	         10.32	          7.62	601555	--  	--  	--  	
600369	西南证券	-4.25	0.39	证券	7249	5.10	5.19	0.39	880357	6007	          1.56	6.10	5.43	5.18	0.053㈢	    73.85	463159456	  0.56	        292.42亿	重庆	5.31	5.26	393638	486719	  0.81	5.18	4282	 -3.05	         56.45	-0.23	        292.42亿	   4136	--  	    213	        0.0004	20190227	20010109	         56.45	--  	--  	644.05	190.18	          4.84	69.72	0.00	3.21	1.78	0.00	77.67	0.00	0.00	18.28	0.00	3.57	9.70	3.53	3.00	2.97	26.28	24.38	-21.02	140337.00	         19862	10.29万	-49.71	-17.91	          1.54	11.99	16.00	5.41	          3.37	0.00	          1.38	          0.47	         29.53	   1.56㈢	--  	         19.53	         16.25	600369	--  	--  	--  	
601881	中国银河	-4.41	0.38	证券	1847	10.36	10.62	0.38	628617	8065	          5.12	8.29	11.28	10.61	0.184㈢	    43.14	679616064	  0.54	        130.35亿	北京	10.90	10.81	328956	299661	  1.10	10.61	1909	 -3.22	         12.29	-0.49	        683.95亿	   4198	--  	    150	        0.0012	20190213	20170123	        101.37	--  	         36.91	2562.54	655.17	          3.46	74.30	0.00	2.50	3.70	0.00	250.23	0.00	0.00	63.28	0.00	24.01	-3.99	24.09	19.04	18.70	159.40	89.45	-73.53	105702.00	         11623	12.33万	-44.74	-29.03	          1.64	12.02	17.00	11.10	          6.46	0.00	          2.47	          1.57	         25.57	   2.85㈢	--  	         37.94	         29.55	601881	--  	--  	--  	
600837	海通证券	-3.13	0.38	证券	7665	13.15	13.30	0.38	1244527	18910	          1.54	4.59	13.78	13.29	0.312㈢	    31.95	1672418048	  0.34	       1075.44亿	上海	13.52	13.44	685856	558671	  1.23	13.29	4709	 -1.94	         80.92	-0.43	       1075.44亿	   4582	--  	    272	        0.0003	20190227	19940224	        115.02	--  	         34.10	5564.85	1177.42	        124.94	76.60	0.00	31.93	13.10	0.00	563.58	0.00	0.00	161.77	0.00	49.74	37.08	54.52	40.92	35.88	314.49	-28.60	-13.63	268014.00	         30193	40.13万	-41.62	-15.99	          1.30	-53.45	9.45	13.72	         10.25	10.25	          4.90	          2.73	         21.16	   3.05㈢	--  	         30.75	         22.18	600837	--  	--  	--  	
