代码	名称	涨幅%%	涨速%%	细分行业	买量	最低	未匹配量	卖价	总量	现量	换手%%	振幅%%	最高	现价	每股收益	市盈(动)	总金额	量比	流通市值	地区	今开	均价	内盘	外盘	内外比	买价	卖量	强弱度%%	
002596	海南瑞泽	10.06	1.14	其他建材	3457	8.70	--  	--  	791532	22651	          9.18	11.75	9.74	9.74	0.100㈢	    76.00	730288384	  1.35	         84.00亿	海南	8.80	9.23	355832	435700	  0.82	9.74	0	  7.69	
000735	罗 牛 山	2.34	-0.28	农业综合	4914	13.11	--  	13.58	1380111	33212	         13.02	4.68	13.73	13.57	0.338㈢	    30.07	1851764608	  1.05	        143.79亿	海南	13.20	13.42	676054	704056	  0.96	13.57	3383	 -0.03	
600195	中牧股份	2.00	0.16	饲料	197	11.95	--  	12.26	130077	986	          2.16	2.91	12.30	12.25	0.690㈢	    16.35	158196464	  1.27	         73.71亿	北京	12.01	12.16	69989	60088	  1.16	12.25	199	  0.88	
600555	海航创新	1.92	1.27	旅游服务	2339	3.08	--  	3.19	395794	8891	          4.07	3.53	3.19	3.18	-0.003㈢	--  	124344104	  1.20	         30.96亿	海南	3.13	3.14	179911	215882	  0.83	3.18	7004	  0.80	
600168	武汉控股	1.68	-0.14	水务	383	6.54	--  	6.65	69103	526	          0.97	2.60	6.71	6.64	0.321㈢	    15.53	45857452	  1.25	         47.12亿	湖北	6.56	6.64	30548	38555	  0.79	6.64	227	  0.56	
600684	珠江实业	1.39	0.00	全国地产	4324	5.01	--  	5.10	456305	1616	          5.35	4.18	5.22	5.09	0.350㈢	    10.92	233778288	  1.23	         43.44亿	广东	5.05	5.12	236879	219426	  1.08	5.09	3542	  0.27	
600398	海澜之家	1.01	0.20	服饰	190	9.87	--  	10.02	170486	1647	          0.38	3.83	10.25	10.02	0.585㈢	    12.85	171698816	  1.00	        450.17亿	江苏	10.00	10.07	99199	71287	  1.39	10.01	128	 -0.11	
600533	栖霞建设	0.84	0.00	区域地产	2010	3.56	--  	3.61	366741	6930	          3.49	3.35	3.68	3.61	0.107㈢	    25.35	132887312	  0.82	         37.90亿	江苏	3.61	3.62	193826	172915	  1.12	3.60	1152	 -0.28	
002520	日发精机	0.63	0.00	机床制造	476	7.88	--  	7.99	60698	302	          2.57	3.78	8.18	7.98	0.110㈢	    72.05	48763368	  1.00	         18.83亿	浙江	7.99	8.03	32405	28292	  1.15	7.98	169	 -1.73	
002264	新 华 都	0.63	0.47	超市连锁	1716	6.33	--  	6.41	240030	980	          3.99	3.45	6.55	6.41	0.022㈢	   214.75	154298624	  1.06	         38.57亿	福建	6.37	6.43	124478	115552	  1.08	6.40	2047	 -1.74	
600158	中体产业	0.49	0.29	文教休闲	63	10.13	--  	10.33	315363	2056	          4.80	4.38	10.58	10.32	0.053㈢	   147.27	326368448	  1.04	         67.85亿	天津	10.28	10.35	163976	151386	  1.08	10.32	887	 -0.63	
600777	新潮能源	0.00	0.40	综合类	13250	2.49	--  	2.52	1369082	17243	          4.19	3.57	2.58	2.52	0.096㈢	    19.75	346905248	  0.84	         82.36亿	山东	2.52	2.53	720498	648584	  1.11	2.51	590	 -1.12	
600692	亚通股份	0.00	-0.12	房产服务	2018	7.88	--  	7.95	161383	1476	          6.33	3.90	8.19	7.95	0.099㈢	    59.94	129087016	  1.10	         20.27亿	上海	8.00	8.00	83509	77873	  1.07	7.94	676	 -1.12	
600361	华联综超	-0.22	0.67	超市连锁	652	4.46	--  	4.50	151994	2192	          2.28	3.33	4.61	4.50	0.103㈢	    32.66	68897248	  0.66	         29.96亿	北京	4.50	4.53	82600	69394	  1.19	4.49	200	 -1.34	
000592	平潭发展	-0.24	0.00	林业	2519	3.96	--  	4.10	1413091	11715	          7.38	5.12	4.17	4.09	0.041㈢	    74.12	575841216	  0.94	         78.28亿	福建	4.04	4.08	705684	707406	  1.00	4.09	6571	 -2.61	
600157	永泰能源	-0.92	0.00	煤炭开采	45803	2.13	--  	2.16	4922681	36890	          3.96	4.61	2.23	2.15	0.003㈢	   644.62	1071315776	  1.00	        267.15亿	山西	2.18	2.18	2452348	2470332	  0.99	2.15	52680	 -2.04	
数据来源:通达信
