代码	名称	涨幅%%	涨速%%	细分行业	买量	最低	未匹配量	卖价	总量	现量	换手%%	振幅%%	最高	现价	每股收益	市盈(动)	总金额	量比	流通市值	地区	今开	均价	内盘	外盘	内外比	买价	卖量	强弱度%%	
002149	西部材料	10.04	0.00	小金属	27775	7.38	--  	--  	453006	605	         10.65	9.91	8.11	8.11	0.087㈢	    69.57	357562912	  1.98	         34.50亿	陕西	7.45	7.89	267666	185340	  1.44	8.11	0	  7.68	
600468	百利电气	3.28	0.34	电气设备	1096	5.80	--  	6.00	115267	664	          1.42	4.66	6.07	5.99	0.058㈢	    78.06	68699904	  1.19	         48.59亿	天津	5.81	5.96	57441	57826	  0.99	5.99	685	  2.15	
002130	沃尔核材	2.80	0.00	电气设备	1503	4.26	--  	4.40	660362	9296	          6.98	9.35	4.66	4.40	0.113㈢	    29.09	291125632	  1.46	         41.63亿	深圳	4.30	4.41	313428	346934	  0.90	4.39	952	  0.44	
000890	法 尔 胜	2.78	0.48	钢加工	429	6.09	--  	6.30	228841	2409	          6.03	5.39	6.42	6.29	0.104㈢	    45.39	144082000	  0.70	         23.88亿	江苏	6.16	6.30	102764	126076	  0.82	6.29	985	  0.41	
600082	海泰发展	2.73	0.00	园区开发	1028	4.83	--  	4.89	252629	2197	          3.99	3.15	4.98	4.89	0.002㈢	  2199.40	123925008	  0.72	         31.00亿	天津	4.83	4.91	104760	147869	  0.71	4.88	2004	  1.61	
300216	千山药机	2.18	-0.20	医疗保健	2853	4.44	--  	4.70	717584	4695	         25.48	10.46	4.92	4.69	-1.117㈢	--  	332579104	  1.33	         13.21亿	湖南	4.44	4.63	345434	372149	  0.93	4.69	2904	 -0.19	
600105	永鼎股份	1.89	-0.36	通信设备	5694	5.33	--  	5.39	405104	3760	          3.27	3.98	5.54	5.38	0.085㈢	    47.37	220371808	  0.90	         66.62亿	江苏	5.33	5.44	206237	198867	  1.04	5.38	737	  0.77	
600363	联创光电	1.88	0.00	元器件	477	9.55	--  	9.74	199184	1797	          4.49	3.25	9.86	9.73	0.395㈢	    18.47	193355056	  1.12	         43.15亿	江西	9.59	9.71	106694	92489	  1.15	9.73	599	  0.76	
600770	综艺股份	1.66	0.33	综合类	1283	6.06	--  	6.14	410517	2550	          3.16	4.31	6.32	6.13	0.065㈢	    70.21	253153984	  1.18	         79.69亿	江苏	6.13	6.17	202891	207626	  0.98	6.13	2542	  0.54	
600973	宝胜股份	1.61	0.00	电气设备	965	4.36	--  	4.43	163532	1761	          1.34	4.37	4.55	4.42	0.094㈢	    35.31	72696880	  1.21	         54.02亿	江苏	4.36	4.45	70719	92813	  0.76	4.42	757	  0.49	
000962	东方钽业	1.59	0.13	小金属	587	7.55	--  	7.66	158152	984	          3.59	5.70	7.98	7.66	0.008㈢	   764.97	122075104	  1.11	         33.77亿	宁夏	7.60	7.72	75828	82324	  0.92	7.65	102	 -0.77	
002471	中超控股	1.54	0.30	电气设备	1854	3.22	--  	3.29	369557	3089	          2.94	3.70	3.34	3.29	0.095㈢	    26.02	121333120	  1.08	         41.35亿	江苏	3.25	3.28	192421	177135	  1.09	3.28	1576	 -0.82	
600522	中天科技	1.10	0.10	通信设备	3118	10.02	--  	10.08	1095327	9757	          3.57	2.81	10.30	10.08	0.533㈢	    14.19	1115324032	  1.10	        309.06亿	江苏	10.09	10.18	551215	544112	  1.01	10.07	1374	 -0.02	
002300	太阳电缆	1.05	0.30	电气设备	2322	6.68	--  	6.74	141324	933	          2.60	2.40	6.84	6.73	0.144㈢	    35.04	95483136	  0.95	         36.52亿	福建	6.70	6.76	73919	67404	  1.10	6.73	803	 -1.31	
600255	梦舟股份	0.85	0.85	铜	3404	2.32	--  	2.37	1165261	11299	          6.58	3.40	2.40	2.37	0.024㈢	    75.10	274572608	  0.94	         41.94亿	安徽	2.35	2.36	666550	498710	  1.34	2.36	6156	 -0.27	
600595	中孚实业	0.76	0.38	铝	7567	2.62	--  	2.67	498265	4183	          2.86	4.92	2.75	2.66	-0.220㈢	--  	133704864	  0.97	         46.32亿	河南	2.65	2.68	255583	242682	  1.05	2.66	4525	 -0.36	
002498	汉缆股份	0.70	0.35	电气设备	3638	2.86	--  	2.90	529106	2541	          1.59	2.79	2.94	2.89	0.043㈢	    50.48	153325008	  0.93	         96.12亿	山东	2.88	2.90	271027	258079	  1.05	2.89	9442	 -1.67	
600416	湘电股份	0.57	0.85	电气设备	214	6.91	--  	7.11	200722	3150	          2.28	4.81	7.25	7.11	-0.454㈢	--  	141667504	  0.97	         62.67亿	湖南	7.06	7.06	125872	74849	  1.68	7.10	490	 -0.56	
600777	新潮能源	0.00	0.40	综合类	13250	2.49	--  	2.52	1369082	17243	          4.19	3.57	2.58	2.52	0.096㈢	    19.75	346905248	  0.84	         82.36亿	山东	2.52	2.53	720498	648584	  1.11	2.51	590	 -1.12	
数据来源:通达信
