代码	名称	涨幅%%	涨速%%	细分行业	买量	最低	未匹配量	卖价	总量	现量	换手%%	振幅%%	最高	现价	每股收益	市盈(动)	总金额	量比	流通市值	地区	今开	均价	内盘	外盘	内外比	买价	卖量	强弱度%%	
300085	银之杰	9.99	0.00	软件服务	44766	15.33	--  	--  	565084	1071	         13.66	4.34	15.96	15.96	0.005㈢	  2325.68	896568000	  2.21	         66.01亿	深圳	15.70	15.87	417420	147663	  2.83	15.96	0	  7.63	
002356	赫美集团	9.97	0.00	其他商业	295341	7.06	--  	--  	8141	12	          0.17	0.00	7.06	7.06	-0.473㈢	--  	5747758	  0.08	         33.90亿	深圳	7.06	7.06	6531	1610	  4.06	7.06	0	  7.60	
601598	中国外运	6.81	-0.34	仓储物流	11343	5.30	--  	5.66	2268482	19198	         16.78	9.83	5.82	5.65	0.262㈢	    16.18	1275669504	  1.50	         76.37亿	北京	5.33	5.62	1110178	1158303	  0.96	5.65	6604	  5.68	
600119	长江投资	6.59	0.53	仓储物流	369	7.17	--  	7.60	223740	4339	          7.28	6.45	7.63	7.60	-0.947㈢	--  	165866384	  1.66	         23.36亿	上海	7.24	7.41	96479	127260	  0.76	7.59	2390	  5.47	
002537	海联金汇	5.29	0.77	汽车整车	402	11.10	--  	11.76	141209	2903	          1.18	6.09	11.78	11.75	0.231㈢	    38.12	162097472	  1.25	        140.41亿	山东	11.17	11.48	61058	80151	  0.76	11.75	596	  2.92	
600415	小商品城	5.19	0.41	商品城	1883	4.65	--  	4.86	758765	7450	          1.39	6.28	4.94	4.86	0.250㈢	    14.60	366860000	  1.44	        264.54亿	浙江	4.65	4.83	405699	353065	  1.15	4.85	3004	  4.07	
300464	星徽精密	3.73	2.86	机械基件	84	8.32	--  	8.63	66390	1399	          3.36	5.53	8.78	8.63	0.010㈢	  2420.26	56176344	  1.09	         17.05亿	广东	8.48	8.46	27989	38401	  0.73	8.62	135	  1.36	
000981	银亿股份	3.37	0.27	汽车配件	390	3.50	--  	3.69	999746	14216	          3.88	7.87	3.78	3.68	0.212㈢	    13.03	364648736	  1.05	         94.73亿	甘肃	3.53	3.65	443044	556702	  0.80	3.68	3964	  1.01	
603128	华贸物流	3.15	0.32	仓储物流	353	6.09	--  	6.22	319079	2218	          3.34	5.14	6.40	6.22	0.253㈢	    18.47	198295232	  1.78	         59.39亿	上海	6.09	6.21	139229	179849	  0.77	6.21	1839	  2.03	
002419	天虹股份	3.10	0.00	百货	171	12.32	--  	12.65	171326	943	          1.43	8.81	13.40	12.64	0.561㈢	    16.90	217080112	  1.73	        151.67亿	深圳	12.34	12.67	85776	85549	  1.00	12.64	446	  0.74	
600053	九鼎投资	2.90	-0.21	多元金融	7	26.88	--  	27.34	123865	923	          2.86	4.89	28.18	27.33	0.389㈢	    52.64	340557920	  0.86	        118.49亿	江西	27.52	27.49	61648	62217	  0.99	27.33	34	  1.78	
002024	苏宁易购	2.68	0.32	电器连锁	823	12.35	--  	12.65	1110297	7863	          1.90	4.06	12.85	12.65	0.658㈢	    14.42	1403165056	  1.13	        739.61亿	江苏	12.40	12.64	572395	537901	  1.06	12.64	845	  0.31	
002259	ST升达	2.13	0.42	供气供热	9253	2.34	--  	2.41	234937	15652	          3.25	2.55	2.40	2.40	-0.054㈢	--  	55794384	  1.14	         17.37亿	四川	2.35	2.37	121621	113315	  1.07	2.40	2067	 -0.24	
603871	嘉友国际	1.92	0.42	仓储物流	10	40.00	--  	40.37	19159	126	          6.84	3.26	41.29	40.37	2.080㈢	    15.13	78197880	  1.43	         11.30亿	北京	40.00	40.81	9525	9634	  0.99	40.35	1	  0.80	
