代码	名称	涨幅%	涨速%	细分行业	买量	最低	卖价	涨速%	总量	现量	换手%	振幅%	最高	现价	每股收益	市盈(动)	总金额	量比	流通市值	地区	今开	均价	内盘	外盘	内外比	买价	卖量	强弱度%	流通股(亿)	涨跌	AB股总市值	活跃度	未匹配量	笔均量	笔换手	财务更新	上市日期	总股本(亿)	B/A股(亿)	H股(亿)	总资产(亿)	净资产(亿)	少数股权(亿)	资产负债率%	流动资产(亿)	固定资产(亿)	无形资产(亿)	流动负债(亿)	资本公积金(亿)	存货(亿)	应收帐款(亿)	营业收入(亿)	营业成本(亿)	营业利润(亿)	投资收益(亿)	利润总额(亿)	税后利润(亿)	净利润(亿)	未分利润(亿)	经营现金流(亿)	总现金流(亿)	股东人数	人均持股	人均市值	利润同比%	收入同比%	市净率	市现率	市销率	昨收	每股净资	调整后净资	每股公积	每股未分配	权益比%	净益率%	毛利率%	营业利润率%	净利润率%	交易代码	自选日	自选价	自选收益%	
002777	久远银海	1.23	3.64	软件服务	10	34.10	37.08	3.64	25208	1463	          1.72	9.27	37.49	37.00	0.360㈢	    80.54	90642840	  0.73	         54.07亿	四川	36.00	35.96	12865	12342	  1.04	37.00	1	  3.05	          1.46	0.45	         63.84亿	   1662	--  	     15	        0.0010	20181228	20151231	          1.73	--  	--  	17.59	9.60	          0.83	40.68	14.61	0.97	0.75	5.92	5.45	4.12	1.30	4.21	2.33	0.78	0.00	0.82	0.67	0.59	1.97	-0.27	0.13	11143.00	          7183	26.58万	28.78	19.59	          6.65	-239.70	15.15	36.55	          5.57	0.00	          3.16	          1.14	         54.58	   6.19㈢	         44.63	         18.45	         14.11	002777	--  	--  	--  	
300380	安硕信息	-0.55	2.00	软件服务	44	22.23	23.48	2.00	60508	1405	          4.91	9.36	24.44	23.48	0.098㈢	   179.82	140718688	  0.64	         28.96亿	上海	23.98	23.26	32414	28093	  1.15	23.47	387	  1.26	          1.23	-0.13	         32.27亿	   2325	--  	     26	        0.0021	20190221	20140128	          1.37	--  	--  	6.21	4.15	          0.23	29.53	5.12	0.23	0.01	1.83	1.43	1.84	1.98	3.36	2.10	0.06	0.01	0.09	0.07	0.13	1.12	-1.44	-1.14	20761.00	          3396	7.97万	700.48	10.18	          7.78	-22.44	9.60	23.61	          3.02	0.00	          1.04	          0.81	         66.77	   3.25㈢	         37.60	          1.64	          4.01	300380	--  	--  	--  	
300085	银之杰	-8.57	1.58	软件服务	1473	17.12	17.40	1.58	358833	6910	          8.68	6.68	18.39	17.39	0.005㈢	  2534.05	631887296	  0.60	         71.93亿	深圳	17.74	17.61	161714	197119	  0.82	17.39	971	 -6.75	          4.14	-1.63	        122.88亿	   4036	--  	     89	        0.0021	20190213	20100526	          7.07	--  	--  	23.62	13.19	          0.29	42.89	14.65	0.14	0.54	8.05	3.76	1.48	5.62	9.81	6.60	0.10	-0.46	0.13	0.04	0.04	2.23	-1.26	0.29	42825.00	          9658	16.80万	-86.46	23.64	          9.31	-97.76	12.53	19.02	          1.87	0.00	          0.53	          0.32	         55.86	   0.28㈢	         32.76	          1.04	          0.37	300085	20180223	12.80	35.86	
002268	卫 士 通	-1.21	1.43	软件服务	1	30.45	31.96	1.43	143795	3414	          1.78	6.58	32.58	31.96	-0.088㈢	--  	452291040	  0.77	        258.84亿	四川	31.63	31.45	74129	69666	  1.06	31.92	432	  0.61	          8.10	-0.39	        267.93亿	   3400	--  	     42	        0.0005	20190213	20080811	          8.38	--  	--  	55.67	42.15	          0.42	23.54	37.67	2.59	0.74	12.41	25.93	3.09	20.03	10.42	7.50	-1.16	0.26	-0.97	-0.74	-0.73	7.33	-5.87	-15.52	30888.00	         16317	52.15万	23.64	0.82	          6.36	-45.64	25.71	32.35	          5.03	0.00	          3.09	          0.87	         75.72	  -1.74㈢	         28.01	        -11.09	         -7.05	002268	--  	--  	--  	
002657	中科金财	-6.42	1.29	软件服务	1567	19.01	19.69	1.29	241841	4018	          8.56	10.31	21.18	19.69	0.200㈢	    73.79	483192896	  0.69	         55.62亿	北京	20.20	19.98	134554	107287	  1.25	19.68	130	 -4.60	          2.82	-1.35	         66.47亿	   3930	--  	     62	        0.0022	20190307	20120228	          3.38	--  	--  	38.00	25.85	          0.28	31.23	26.50	0.22	0.49	11.06	17.73	6.52	1.03	8.23	5.98	0.69	0.73	0.71	0.60	0.68	4.11	-3.32	-3.91	65781.00	          4294	8.46万	-44.55	12.06	          2.63	-20.02	8.08	21.04	          7.48	7.48	          5.25	          1.22	         68.02	   2.61㈢	         27.35	          8.35	          8.21	002657	--  	--  	--  	
002298	中电兴发	-4.00	1.28	软件服务	93	7.72	7.93	1.28	161476	1095	          3.11	6.05	8.22	7.93	0.170㈢	    34.93	128699712	  0.51	         41.12亿	安徽	8.20	7.97	96045	65430	  1.47	7.92	888	 -2.18	          5.19	-0.33	         54.84亿	   2484	--  	     65	        0.0013	20181123	20090929	          6.92	--  	--  	58.77	42.95	          1.77	23.92	35.05	5.72	0.96	11.32	29.03	16.64	9.09	15.48	10.96	1.49	0.02	1.47	1.25	1.18	7.30	-4.33	-6.98	45965.00	         10482	8.31万	0.84	25.12	          1.30	-12.66	3.54	8.26	          6.10	6.10	          4.20	          1.06	         73.08	   2.74㈢	         29.17	          9.62	          7.61	002298	--  	--  	--  	
600289	*ST信通	-1.08	1.10	软件服务	415	2.68	2.76	1.10	138570	916	          2.45	8.27	2.91	2.75	-0.726㈢	--  	38793208	  0.96	         15.56亿	黑龙江	2.75	2.80	73824	64746	  1.14	2.75	826	  0.12	          5.66	-0.03	         17.35亿	   1240	--  	    112	        0.0020	20190213	20000720	          6.31	--  	--  	27.10	2.50	         -0.03	90.88	20.77	4.02	1.75	5.91	14.11	3.29	4.75	7.17	2.49	-2.06	0.00	-4.58	-4.58	-4.58	-20.67	-1.78	-2.13	44760.00	          9446	2.60万	-648.09	-17.36	          6.93	-9.76	2.42	2.78	          0.40	0.00	          2.24	         -3.28	          9.24	-182.93㈢	         65.26	        -28.74	        -63.87	600289	20170818	12.03	-77.14	
002912	中新赛克	0.03	1.08	软件服务	366	110.00	117.50	1.08	18448	237	          3.56	7.58	118.87	117.00	1.465㈢	    59.88	210215376	  0.88	         60.63亿	深圳	115.90	113.95	10218	8230	  1.24	117.00	10	  1.84	          0.52	0.03	        124.86亿	   2633	--  	      7	        0.0014	20190304	20171121	          1.07	--  	--  	18.03	12.46	          0.00	30.94	15.86	0.68	0.29	5.43	5.39	2.50	3.21	4.75	0.87	1.75	-0.00	1.77	1.56	1.56	5.80	-0.23	-1.06	7396.00	          6082	71.16万	64.04	56.72	          9.65	-540.07	26.28	116.97	         12.12	12.12	          5.05	          5.43	         69.06	  12.56㈢	         81.69	         36.82	         32.92	002912	20171228	121.00	55.33	
601519	大智慧	-7.57	1.03	软件服务	6378	10.47	10.76	1.03	1569390	23647	          7.90	7.05	11.29	10.75	-0.020㈢	--  	1681932416	  0.75	        213.68亿	上海	10.80	10.72	785863	783526	  1.00	10.75	81	 -6.37	         19.88	-0.88	        213.68亿	   4710	--  	    333	        0.0017	20190213	20110128	         19.88	--  	--  	19.26	13.43	          0.02	30.15	8.21	0.27	0.16	3.10	11.90	0.00	0.74	4.17	1.87	0.23	0.24	-0.29	-0.39	-0.39	-19.11	-0.62	-0.62	122400.00	          7045	7.57万	-108.71	-11.98	         15.90	-346.15	51.19	11.63	          0.68	0.00	          0.60	         -0.96	         69.77	  -2.89㈢	         55.11	          5.50	         -9.30	601519	--  	--  	--  	
002421	达实智能	-7.66	1.02	软件服务	410	4.82	4.94	1.02	1006693	8701	          5.94	6.36	5.16	4.94	0.082㈢	    45.22	501267040	  0.64	         83.78亿	深圳	5.10	4.98	545440	461253	  1.18	4.93	651	 -5.85	         16.96	-0.41	         93.97亿	   4100	--  	    246	        0.0014	20181221	20100603	         19.02	--  	--  	65.01	31.48	          1.25	49.66	43.89	1.39	1.43	23.31	1.55	3.25	22.34	17.87	12.34	1.87	-0.18	1.98	1.61	1.56	9.98	-3.56	-0.21	87136.00	         14190	7.01万	-24.87	-0.60	          2.99	-26.39	5.26	5.35	          1.65	0.00	          0.08	          0.52	         48.41	   4.95㈢	         30.92	         10.46	          8.72	002421	--  	--  	--  	
300592	华凯创意	-6.48	0.95	软件服务	554	10.50	10.68	0.95	45845	738	          5.07	5.87	11.17	10.68	0.155㈢	    51.60	49545040	  0.60	          9.66亿	湖南	10.91	10.81	24545	21299	  1.15	10.67	24	 -4.66	          0.90	-0.74	         13.07亿	   1221	--  	     38	        0.0042	20181029	20170120	          1.22	--  	--  	10.00	5.08	          0.00	49.17	7.97	0.54	0.26	4.29	1.70	3.95	2.83	2.68	1.93	0.21	0.00	0.23	0.19	0.19	2.12	-0.14	-0.89	11400.00	          6161	6.58万	-47.08	-18.39	          2.57	-90.88	4.87	11.42	          4.15	0.00	          1.39	          1.73	         50.83	   3.74㈢	         28.08	          7.93	          7.08	300592	20170222	35.28	-69.30	
