代码	名称	涨幅%	涨速%	细分行业	买量	最低	卖价	涨速%	总量	现量	换手%	振幅%	最高	现价	每股收益	市盈(动)	总金额	量比	流通市值	地区	今开	均价	内盘	外盘	内外比	买价	卖量	强弱度%	流通股(亿)	涨跌	AB股总市值	活跃度	未匹配量	笔均量	笔换手	财务更新	上市日期	总股本(亿)	B/A股(亿)	H股(亿)	总资产(亿)	净资产(亿)	少数股权(亿)	资产负债率%	流动资产(亿)	固定资产(亿)	无形资产(亿)	流动负债(亿)	资本公积金(亿)	存货(亿)	应收帐款(亿)	营业收入(亿)	营业成本(亿)	营业利润(亿)	投资收益(亿)	利润总额(亿)	税后利润(亿)	净利润(亿)	未分利润(亿)	经营现金流(亿)	总现金流(亿)	股东人数	人均持股	人均市值	利润同比%	收入同比%	市净率	市现率	市销率	昨收	每股净资	调整后净资	每股公积	每股未分配	权益比%	净益率%	毛利率%	营业利润率%	净利润率%	交易代码	自选日	自选价	自选收益%	
603607	京华激光	-0.24	4.58	造纸	5	19.64	20.79	4.58	23506	1012	          4.83	5.81	20.85	20.79	0.511㈢	    30.53	47276996	  0.52	         10.13亿	浙江	20.57	20.11	13669	9837	  1.39	20.30	5	  0.96	          0.49	-0.05	         26.51亿	   1406	--  	     17	        0.0034	20181026	20171025	          1.28	--  	--  	8.83	7.36	          0.00	16.72	6.45	1.32	0.41	1.47	4.24	1.00	1.50	4.03	2.75	0.74	0.05	0.74	0.65	0.65	1.75	0.27	-0.55	15623.00	          3118	6.48万	1.77	0.09	          3.60	96.45	6.58	20.84	          5.77	0.00	          3.33	          1.37	         83.28	   8.85㈢	         31.68	         18.27	         16.16	603607	20180606	33.60	-38.12	
600069	银鸽投资	5.08	1.29	造纸	2188	3.62	3.93	1.29	787232	21295	          4.85	8.82	3.95	3.93	0.009㈢	   330.59	299740480	  1.61	         63.82亿	河南	3.71	3.81	372539	414693	  0.90	3.92	2410	  6.28	         16.24	0.19	         63.82亿	   3392	--  	    232	        0.0014	20190213	19970430	         16.24	--  	--  	40.48	21.24	         -0.98	49.94	20.79	15.42	1.59	17.51	14.98	3.06	3.21	21.51	19.73	0.03	0.00	0.07	0.07	0.14	-10.72	-4.07	-1.51	50643.00	         16882	6.63万	-10.90	1.45	          3.00	-15.66	2.97	3.74	          1.31	0.00	          0.92	         -0.66	         52.48	   0.68㈢	          8.31	          0.12	          0.67	600069	--  	--  	--  	
002012	凯恩股份	-0.96	0.78	造纸	1277	5.04	5.15	0.78	308425	4707	          6.60	2.88	5.19	5.15	0.040㈢	    97.54	156876448	  0.66	         24.05亿	浙江	5.10	5.09	177039	131386	  1.35	5.14	682	  0.85	          4.67	-0.05	         24.08亿	   2386	--  	    129	        0.0028	20190307	20040705	          4.68	--  	--  	18.09	12.29	          0.96	26.77	10.16	5.17	0.40	4.17	2.72	2.88	2.27	8.30	6.44	0.31	0.12	0.31	0.27	0.19	4.17	0.20	-0.54	33556.00	         11466	5.90万	-23.25	15.32	          1.95	119.80	2.90	5.20	          2.64	2.64	          0.58	          0.89	         67.93	   1.51㈢	         22.43	          3.76	          2.23	002012	20180404	7.68	-32.94	
600966	博汇纸业	-2.19	0.56	造纸	1719	3.51	3.58	0.56	173475	954	          1.30	4.93	3.69	3.57	0.381㈢	     7.03	62267880	  0.52	         47.73亿	山东	3.64	3.59	97560	75915	  1.29	3.57	2868	 -0.99	         13.37	-0.08	         47.73亿	   2035	--  	     85	        0.0006	20190213	20040608	         13.37	--  	--  	163.99	54.72	          0.00	66.63	61.65	56.38	2.37	83.92	13.33	20.09	9.38	64.12	51.12	6.78	0.00	6.79	5.10	5.09	25.87	11.02	-0.98	85180.00	         11169	3.99万	-16.51	1.15	          0.87	4.33	0.74	3.65	          4.09	0.00	          1.00	          1.93	         33.37	   9.31㈢	         20.28	         10.57	          7.94	600966	--  	--  	--  	
600308	华泰股份	-1.60	0.41	造纸	832	4.89	4.93	0.41	147410	1686	          1.26	2.59	5.02	4.93	0.556㈢	     6.64	72788280	  0.57	         57.56亿	山东	4.99	4.94	93608	53802	  1.74	4.92	116	 -0.40	         11.68	-0.08	         57.56亿	   2176	--  	     68	        0.0006	20190213	20000928	         11.68	--  	--  	138.73	76.05	          2.22	43.58	56.34	67.28	6.27	45.55	22.44	14.54	7.81	111.30	93.19	8.35	0.09	8.45	6.57	6.50	35.73	12.24	-4.54	74798.00	         10046	4.95万	34.55	12.46	          0.76	4.70	0.52	5.01	          6.51	0.00	          1.92	          3.06	         54.82	   8.54㈢	         16.28	          7.50	          5.84	600308	--  	--  	--  	
000576	广东甘化	-3.19	0.22	造纸	257	8.71	9.09	0.22	181761	1644	          4.17	8.31	9.49	9.09	-0.087㈢	--  	165026128	  0.55	         39.59亿	广东	9.30	9.08	92138	89623	  1.03	9.07	51	 -1.38	          4.36	-0.30	         40.26亿	   3219	--  	     56	        0.0013	20190221	19940907	          4.43	--  	--  	10.84	9.80	          0.28	7.06	5.93	0.84	0.43	0.76	8.42	0.28	0.33	2.58	2.49	-0.37	-0.05	-0.37	-0.37	-0.38	-3.58	3.04	-0.35	31467.00	          7995	7.27万	-21.25	-43.18	          4.11	13.26	15.59	9.39	          2.21	0.00	          1.90	         -0.81	         90.40	  -3.92㈢	          3.45	        -14.21	        -14.89	000576	20180907	6.39	42.25	
000488	晨鸣纸业	-2.16	0.15	造纸	587	6.69	6.80	0.15	420093	5539	          2.53	3.60	6.94	6.79	0.540㈢	     5.96	284762208	  0.74	        112.58亿	山东	6.90	6.78	223768	196325	  1.14	6.79	1370	 -0.35	         16.58	-0.15	        161.35亿	   3195	--  	    131	        0.0008	20181224	20001120	         29.05	          7.06	          5.28	1038.70	250.10	         12.07	74.76	472.68	274.50	19.33	573.42	51.06	64.97	36.54	234.93	157.66	28.69	1.86	30.70	25.16	24.81	91.60	90.73	16.08	117989.00	         16305	11.07万	-8.50	7.13	          1.12	2.17	0.84	6.94	          6.04	6.04	          1.76	          3.15	         24.08	   9.92㈢	         32.89	         12.21	         10.56	000488	--  	--  	--  	
002511	中顺洁柔	-0.74	0.13	造纸	296	7.92	8.01	0.13	96661	1068	          0.77	2.97	8.16	8.01	0.250㈢	    25.09	77404640	  0.51	        100.78亿	广东	8.03	8.01	60418	36243	  1.67	8.00	192	  1.07	         12.58	-0.06	        104.64亿	   2239	--  	     43	        0.0003	20190311	20101125	         13.06	--  	--  	53.64	32.97	          0.00	38.54	24.53	25.56	1.25	17.86	5.95	9.86	7.08	40.81	26.41	3.80	0.10	3.92	3.13	3.13	13.99	-0.42	-5.33	19908.00	         30940	24.78万	26.85	21.74	          3.12	-248.75	2.56	8.07	          2.57	2.57	          0.46	          1.07	         61.46	   9.49㈢	         35.28	          9.32	          7.67	002511	--  	--  	--  	
600793	宜宾纸业	-1.75	0.06	造纸	53	16.15	16.28	0.06	23108	188	          2.19	4.47	16.89	16.25	1.996㈢	     6.11	38084832	  0.92	         17.11亿	四川	16.70	16.48	11750	11358	  1.03	16.25	6	 -0.56	          1.05	-0.29	         17.11亿	   1499	--  	     15	        0.0015	20190213	19970220	          1.05	--  	--  	35.84	3.56	          0.00	90.07	12.54	19.03	0.83	25.83	1.05	2.89	1.67	10.40	8.69	1.54	-0.00	2.10	2.10	2.10	1.42	-0.32	-0.20	12831.00	          3788	6.16万	108.82	37.60	          4.81	-53.11	1.65	16.54	          3.38	0.00	          1.00	          1.34	          9.93	  59.06㈢	         16.47	         14.76	         20.21	600793	--  	--  	--  	
603165	荣晟环保	-4.75	0.00	造纸	19	19.28	19.47	0.00	29834	485	          6.73	5.97	20.50	19.47	0.794㈢	    18.40	59226720	  0.79	          8.64亿	浙江	20.48	19.85	17307	12527	  1.38	19.46	168	 -3.55	          0.44	-0.97	         34.53亿	   1694	--  	     18	        0.0040	20190213	20170117	          1.77	--  	--  	14.03	11.67	          0.00	16.84	8.23	4.29	0.57	1.53	3.73	0.82	2.11	15.60	13.41	1.56	0.07	1.56	1.41	1.41	5.92	1.81	0.87	15931.00	          2784	5.42万	-49.81	4.66	          2.96	19.10	2.21	20.44	          6.58	0.00	          2.10	          3.34	         83.16	  12.07㈢	         14.03	          9.97	          9.02	603165	--  	--  	--  	
600963	岳阳林纸	-2.09	0.00	造纸	716	4.61	4.70	0.00	221933	2394	          2.13	4.38	4.82	4.69	0.244㈢	    14.42	104225608	  0.63	         48.92亿	湖南	4.80	4.70	127173	94760	  1.34	4.69	3262	 -0.89	         10.43	-0.10	         65.55亿	   2090	--  	    106	        0.0010	20181121	20040525	         13.98	--  	--  	154.14	81.43	          0.15	47.07	94.20	44.00	7.82	60.20	59.51	59.75	6.44	50.02	38.60	4.21	0.02	4.20	3.41	3.41	5.93	7.43	-0.77	66189.00	          9875	4.63万	70.69	23.37	          0.81	8.82	1.31	4.79	          5.83	0.00	          4.26	          0.42	         52.83	   4.19㈢	         22.83	          8.41	          6.82	600963	--  	--  	--  	
600567	山鹰纸业	-3.02	0.00	造纸	2818	3.81	3.85	0.00	803542	9310	          1.75	4.03	3.97	3.85	0.510㈢	     5.71	310889088	  0.77	        176.51亿	安徽	3.94	3.87	460312	343230	  1.34	3.84	1294	 -1.82	         45.85	-0.12	        176.51亿	   3679	--  	    218	        0.0005	20190123	20011218	         45.85	--  	--  	335.24	120.63	          1.28	63.63	113.36	120.14	13.39	164.08	43.45	33.96	27.87	179.38	139.57	27.57	-0.06	27.61	23.14	23.17	42.18	32.71	-7.80	239152.00	         13818	5.32万	61.94	44.85	          1.46	5.40	0.98	3.97	          2.64	2.64	          0.95	          0.92	         35.98	  19.21㈢	         22.19	         15.37	         12.92	600567	--  	--  	--  	
600433	冠豪高新	0.68	0.00	造纸	1710	4.31	4.44	0.00	253752	3779	          2.00	5.44	4.55	4.44	0.069㈢	    48.57	112183192	  0.92	         56.45亿	广东	4.41	4.42	132056	121696	  1.09	4.43	112	  1.88	         12.71	0.03	         56.45亿	   2148	--  	    118	        0.0009	20190213	20030619	         12.71	--  	--  	41.24	26.05	          0.04	36.72	15.02	22.01	2.69	15.11	6.96	4.73	4.68	18.36	14.65	0.97	-0.11	1.02	0.86	0.87	5.43	0.90	1.72	52586.00	         15663	6.95万	125.74	31.65	          2.17	62.39	3.07	4.41	          2.05	0.00	          0.55	          0.43	         63.18	   3.35㈢	         20.24	          5.30	          4.75	600433	20180223	4.32	3.08	
600356	恒丰纸业	-9.96	0.00	造纸	0	8.59	8.59	0.00	139133	438	          4.66	7.76	9.33	8.59	0.183㈢	    35.12	122856104	  0.67	         25.66亿	黑龙江	9.15	8.83	83618	55514	  1.51	--  	3146	 -8.76	          2.99	-0.95	         25.66亿	   2048	--  	     68	        0.0023	20190213	20010419	          2.99	--  	--  	27.27	20.98	          0.21	22.29	14.24	8.91	2.90	6.01	9.26	4.57	4.18	11.49	8.91	0.73	0.00	0.73	0.53	0.55	7.04	-2.46	-2.10	17580.00	         11452	9.84万	-27.00	8.75	          1.22	-10.42	2.23	9.54	          7.02	0.00	          3.10	          2.36	         76.95	   2.61㈢	         22.39	          6.35	          4.77	600356	--  	--  	--  	
600235	民丰特纸	-9.94	0.00	造纸	0	7.79	7.79	0.00	437760	883	         12.46	5.66	8.28	7.79	0.054㈢	   108.60	346095488	  0.74	         27.37亿	浙江	8.15	7.91	204002	233758	  0.87	--  	46325	 -8.74	          3.51	-0.86	         27.37亿	   2548	--  	    172	        0.0049	20190213	20000615	          3.51	--  	--  	21.60	12.94	          0.16	39.35	8.79	9.90	0.47	8.31	8.29	3.65	2.80	11.47	9.68	0.18	0.12	0.18	0.18	0.19	0.44	0.98	-0.25	22801.00	         10035	7.82万	18.78	-4.38	          2.11	27.83	2.39	8.65	          3.68	0.00	          2.36	          0.13	         59.92	   1.46㈢	         15.55	          1.55	          1.65	600235	--  	--  	--  	
002565	顺灏股份	-9.98	0.00	造纸	0	12.45	12.45	0.00	737986	3225	         10.78	5.64	13.23	12.45	0.090㈢	   103.82	933070912	  0.71	         85.26亿	上海	12.80	12.64	281694	456292	  0.62	--  	94100	 -8.16	          6.85	-1.38	         88.28亿	   3058	--  	    241	        0.0035	20190213	20110318	          7.09	--  	--  	37.09	21.67	          1.56	37.38	19.74	5.98	1.48	9.94	8.46	6.90	5.89	14.55	10.81	0.85	0.36	0.91	0.74	0.64	4.63	0.11	0.73	24017.00	         17027	21.20万	69.90	10.13	          4.07	812.82	6.07	13.83	          3.06	0.00	          1.19	          0.65	         58.42	   2.94㈢	         25.72	          5.84	          4.38	002565	--  	--  	--  	
002521	齐峰新材	-0.32	0.00	造纸	37	6.10	6.30	0.00	101305	1096	          2.38	4.27	6.37	6.30	0.107㈢	    44.17	63172292	  0.75	         26.79亿	山东	6.30	6.24	56987	44317	  1.29	6.29	60	  1.50	          4.25	-0.02	         31.17亿	   1639	--  	     62	        0.0015	20190213	20101210	          4.95	--  	--  	42.55	33.71	          0.00	20.79	26.88	13.99	1.16	8.66	19.90	4.70	8.10	28.46	25.10	0.65	0.07	0.71	0.53	0.53	7.65	2.25	-2.34	31184.00	         12736	8.02万	-59.00	10.61	          0.92	13.82	1.10	6.32	          6.81	0.00	          4.02	          1.55	         79.21	   1.57㈢	         11.79	          2.27	          1.86	002521	--  	--  	--  	
002067	景兴纸业	-1.93	0.00	造纸	700	3.95	4.07	0.00	358499	3002	          3.68	4.83	4.15	4.06	0.330㈢	     9.44	144431584	  0.81	         39.58亿	浙江	4.10	4.03	206507	151991	  1.36	4.06	2256	 -0.12	          9.75	-0.08	         45.11亿	   2350	--  	    153	        0.0016	20181229	20060915	         11.11	--  	--  	64.83	42.26	          1.43	32.60	31.03	26.36	1.82	13.93	16.92	6.96	5.16	44.28	38.04	4.33	0.24	4.32	3.79	3.58	13.48	2.09	-1.39	96640.00	         10088	4.10万	-26.89	13.20	          1.07	21.59	1.02	4.14	          3.80	0.00	          1.52	          1.21	         65.19	   8.48㈢	         14.08	          9.77	          8.10	002067	--  	--  	--  	
