代码	名称	涨幅%%	涨速%%	细分行业	买量	最低	未匹配量	卖价	总量	现量	换手%%	振幅%%	最高	现价	每股收益	市盈(动)	总金额	量比	流通市值	地区	今开	均价	内盘	外盘	内外比	买价	卖量	强弱度%%	
002600	领益智造	10.09	0.00	元器件	248154	5.62	--  	--  	1954521	1569	         13.14	6.97	6.00	6.00	-0.050㈢	--  	1158442624	  0.64	         89.27亿	广东	6.00	5.93	1404683	549838	  2.55	6.00	0	  7.73	
300079	数码科技	10.00	0.00	通信设备	617405	4.62	--  	--  	109926	330	          0.91	0.00	4.62	4.62	0.059㈢	    59.04	50785928	  0.20	         55.86亿	北京	4.62	4.62	96424	13502	  7.14	4.62	0	  7.64	
600728	佳都科技	9.63	1.35	软件服务	5714	10.81	--  	11.27	1894057	17753	         11.81	4.86	11.31	11.27	0.070㈢	   121.49	2108389760	  2.24	        180.79亿	广东	11.31	11.13	1041367	852690	  1.22	11.26	1122	  8.51	
600119	长江投资	6.59	0.53	仓储物流	369	7.17	--  	7.60	223740	4339	          7.28	6.45	7.63	7.60	-0.947㈢	--  	165866384	  1.66	         23.36亿	上海	7.24	7.41	96479	127260	  0.76	7.59	2390	  5.47	
600415	小商品城	5.19	0.41	商品城	1883	4.65	--  	4.86	758765	7450	          1.39	6.28	4.94	4.86	0.250㈢	    14.60	366860000	  1.44	        264.54亿	浙江	4.65	4.83	405699	353065	  1.15	4.85	3004	  4.07	
002552	*ST宝鼎	5.06	0.00	机械基件	2487	7.67	--  	--  	60472	103	          3.02	5.45	8.09	8.09	0.094㈣	    86.35	47934668	  1.35	         16.19亿	浙江	7.75	7.93	28930	31542	  0.92	8.09	0	  2.70	
002178	延华智能	5.00	0.46	建筑施工	535	4.29	--  	4.41	649623	2569	          9.15	7.86	4.62	4.41	0.025㈢	   133.71	291145312	  2.97	         31.31亿	上海	4.29	4.48	349818	299804	  1.17	4.40	1190	  2.64	
600614	鹏起科技	4.62	0.99	综合类	860	5.79	--  	6.11	1158927	19342	          7.67	7.53	6.23	6.11	0.091㈢	    50.26	698995264	  0.80	         92.35亿	上海	5.84	6.03	558476	600451	  0.93	6.10	673	  3.50	
002285	世联行	3.95	0.17	房产服务	124	5.84	--  	6.06	407757	4339	          2.03	6.36	6.21	6.05	0.184㈢	    24.69	246697344	  1.30	        121.61亿	深圳	5.85	6.05	182061	225695	  0.81	6.05	709	  1.59	
600767	ST运盛	3.92	0.38	医疗保健	333	5.10	--  	5.30	42516	155	          1.25	5.10	5.36	5.30	-0.054㈢	--  	22337610	  1.69	         18.07亿	上海	5.13	5.25	14664	27852	  0.53	5.29	224	  2.80	
