代码	名称	涨幅%	涨速%	细分行业	买量	最低	卖价	涨速%	总量	现量	换手%	振幅%	最高	现价	每股收益	市盈(动)	总金额	量比	流通市值	地区	今开	均价	内盘	外盘	内外比	买价	卖量	强弱度%	流通股(亿)	涨跌	AB股总市值	活跃度	未匹配量	笔均量	笔换手	财务更新	上市日期	总股本(亿)	B/A股(亿)	H股(亿)	总资产(亿)	净资产(亿)	少数股权(亿)	资产负债率%	流动资产(亿)	固定资产(亿)	无形资产(亿)	流动负债(亿)	资本公积金(亿)	存货(亿)	应收帐款(亿)	营业收入(亿)	营业成本(亿)	营业利润(亿)	投资收益(亿)	利润总额(亿)	税后利润(亿)	净利润(亿)	未分利润(亿)	经营现金流(亿)	总现金流(亿)	股东人数	人均持股	人均市值	利润同比%	收入同比%	市净率	市现率	市销率	昨收	每股净资	调整后净资	每股公积	每股未分配	权益比%	净益率%	毛利率%	营业利润率%	净利润率%	交易代码	自选日	自选价	自选收益%	
603507	振江股份	-0.43	1.15	钢加工	4	25.23	25.60	1.15	13470	85	          1.68	4.51	26.39	25.60	0.490㈢	    40.15	34979620	  0.57	         20.58亿	江苏	25.71	25.97	6771	6698	  1.01	25.41	25	  0.77	          0.80	-0.11	         32.79亿	   1509	--  	      9	        0.0011	20181221	20171106	          1.28	--  	--  	22.28	14.01	          0.30	35.80	14.27	3.72	0.44	7.94	9.83	3.33	3.65	6.70	5.02	0.72	0.23	0.73	0.61	0.61	3.08	-2.00	-0.12	16346.00	          4120	10.55万	-41.87	-12.66	          2.34	-16.41	4.89	25.71	         10.94	0.00	          7.68	          2.40	         62.87	   4.37㈢	         25.13	         10.81	          9.14	603507	--  	--  	--  	
600608	ST沪科	-0.62	0.84	钢加工	314	4.66	4.80	0.84	20336	460	          0.64	3.93	4.85	4.80	-0.006㈢	--  	9706297	  0.68	         15.28亿	上海	4.77	4.77	12105	8231	  1.47	4.78	143	  0.58	          3.18	-0.03	         15.79亿	    385	--  	     53	        0.0017	20190213	19920327	          3.29	--  	--  	1.72	0.57	          0.05	64.20	1.72	0.00	0.00	1.06	4.49	0.72	0.00	7.17	7.11	-0.02	0.00	-0.02	-0.02	-0.02	-7.68	-0.68	-0.68	19929.00	         12951	6.22万	91.35	220.93	         27.79	-23.08	2.20	4.83	          0.17	0.00	          1.36	         -2.33	         33.04	  -3.52㈢	          0.92	         -0.30	         -0.28	600608	--  	--  	--  	
600477	杭萧钢构	-4.70	0.65	钢加工	696	4.55	4.67	0.65	338966	3319	          1.89	6.75	4.88	4.66	0.239㈢	    14.62	159025744	  0.73	         83.42亿	浙江	4.88	4.69	192965	146000	  1.32	4.66	520	 -3.51	         17.90	-0.23	         83.45亿	   2918	--  	    116	        0.0006	20190213	20031110	         17.91	--  	--  	79.06	30.96	          1.49	58.96	56.97	6.61	1.50	46.43	1.13	33.42	11.36	41.40	31.83	5.27	-0.15	5.28	4.29	4.28	9.64	4.43	1.35	82259.00	         12596	5.87万	-19.93	29.75	          2.69	18.82	2.02	4.89	          1.73	1.73	          0.06	          0.54	         39.16	  13.83㈢	         23.10	         12.73	         10.34	600477	--  	--  	--  	
600231	凌钢股份	0.00	0.60	普钢	1451	3.29	3.33	0.60	292868	1534	          1.06	3.60	3.41	3.33	0.432㈣	     7.71	97766704	  0.59	         92.28亿	辽宁	3.33	3.34	170495	122372	  1.39	3.32	4165	  1.20	         27.71	0.00	         92.28亿	   2105	--  	    139	        0.0005	20190311	20000511	         27.71	--  	--  	159.95	74.46	          0.00	53.45	65.22	84.13	5.57	85.00	4.52	22.46	0.00	207.77	181.38	16.58	0.02	16.43	11.97	11.97	34.06	17.31	1.86	80700.00	         10048	3.35万	-0.78	15.50	          1.24	5.33	0.44	3.33	          2.69	0.00	          0.16	          1.23	         46.55	  16.08㈣	         12.70	          7.98	          5.76	600231	--  	--  	--  	
600010	包钢股份	-3.63	0.54	普钢	908	1.83	1.87	0.54	6054325	41602	          1.91	6.22	1.95	1.86	0.051㈢	    27.60	1147135488	  0.67	        589.20亿	内蒙	1.91	1.89	3335236	2719088	  1.23	1.86	60948	 -2.43	        316.77	-0.07	        847.88亿	   4635	--  	   1306	        0.0004	20190213	20010309	        455.85	--  	--  	1479.43	518.52	          2.01	64.82	439.64	687.26	17.44	816.67	13.99	203.27	42.96	482.67	404.82	30.25	1.97	30.22	23.10	23.04	32.47	49.25	-27.31	561388.00	         36820	6.85万	63.80	38.37	          1.64	17.22	1.76	1.93	          1.14	0.00	          0.03	          0.07	         35.05	   4.44㈢	         16.13	          6.27	          4.77	600010	--  	--  	--  	
600808	马钢股份	0.51	0.51	普钢	1172	3.91	3.97	0.51	596250	3529	          1.00	2.28	4.00	3.96	0.725㈢	     4.10	236497952	  0.84	        236.32亿	安徽	3.91	3.97	282975	313275	  0.90	3.96	6751	  1.71	         59.68	0.02	        236.32亿	   3645	--  	    164	        0.0003	20190213	19940106	         77.01	--  	         17.33	741.60	282.11	         36.62	57.02	359.28	304.02	18.93	369.96	83.52	118.23	10.82	631.17	534.58	69.40	8.21	70.34	63.90	55.83	75.87	80.08	3.11	212130.00	         11603	4.59万	103.79	19.39	          1.08	3.81	0.48	3.94	          3.66	0.00	          1.08	          0.99	         38.04	  19.79㈢	         15.30	         11.00	          8.85	600808	--  	--  	--  	
600117	西宁特钢	0.51	0.51	特种钢	220	3.95	3.99	0.51	233918	1808	          3.16	4.80	4.14	3.98	-0.551㈢	--  	94592920	  0.92	         29.50亿	青海	4.02	4.04	109028	124890	  0.87	3.98	281	  1.70	          7.41	0.02	         41.60亿	   2214	--  	    106	        0.0014	20190213	19971015	         10.45	--  	--  	248.23	25.59	          5.68	87.40	73.19	99.27	7.75	164.32	20.42	33.05	5.61	50.77	47.10	-5.85	0.01	-5.85	-5.78	-5.76	-7.21	-3.39	0.60	75068.00	          4950	1.97万	-257.42	20.97	          1.63	-12.28	0.82	3.96	          2.45	0.00	          1.95	         -0.69	         10.31	 -22.51㈢	          7.22	        -11.53	        -11.35	600117	--  	--  	--  	
000761	本钢板材	-1.51	0.51	普钢	208	3.87	3.92	0.51	127482	1123	          0.47	4.02	4.03	3.92	0.213㈢	    13.81	50281596	  0.64	        107.25亿	辽宁	3.96	3.94	72807	54674	  1.33	3.91	35	  0.31	         27.36	-0.06	        151.91亿	   2190	--  	     58	        0.0002	20190213	19980115	         38.75	          4.00	--  	597.39	189.32	          5.34	67.41	329.48	221.83	2.80	332.89	123.43	124.10	7.79	367.55	326.11	8.42	0.03	8.42	8.26	8.25	17.35	69.33	7.61	70795.00	         11026	4.32万	-38.16	20.99	          0.80	2.19	0.41	3.98	          4.89	0.00	          3.19	          0.45	         31.69	   4.36㈢	         11.27	          2.29	          2.25	000761	20170904	7.19	-44.78	
600558	大西洋	-3.30	0.49	钢加工	1197	4.03	4.11	0.49	146950	2593	          1.64	5.66	4.27	4.10	0.072㈢	    42.50	60517328	  0.61	         36.80亿	四川	4.18	4.12	88170	58780	  1.50	4.10	1003	 -2.10	          8.98	-0.14	         36.80亿	   1950	--  	     75	        0.0008	20190213	20010227	          8.98	--  	--  	30.66	19.26	          2.06	30.46	14.53	11.92	2.63	8.91	4.48	5.23	2.87	19.38	16.45	0.86	0.24	0.85	0.75	0.65	4.84	-0.01	0.41	43593.00	         13767	5.64万	94.07	25.47	          1.91	-4591.61	1.90	4.24	          2.15	0.00	          0.50	          0.54	         62.83	   3.37㈢	         15.14	          4.46	          3.35	600558	20170911	7.47	-44.85	
600126	杭钢股份	3.99	0.39	普钢	3884	5.02	5.22	0.39	291833	3969	          2.42	6.39	5.34	5.21	0.475㈢	     8.22	151592144	  1.86	         62.78亿	浙江	5.07	5.19	116668	175164	  0.67	5.21	262	  5.19	         12.05	0.20	        175.95亿	   2780	--  	    105	        0.0009	20190213	19980311	         33.77	--  	--  	272.83	181.65	          2.00	32.69	127.12	93.08	40.01	81.10	102.68	17.21	1.26	197.46	170.77	21.86	0.42	21.80	16.20	16.05	39.87	33.89	27.43	42690.00	         11494	5.99万	35.01	-3.46	          0.97	5.19	0.89	5.01	          5.38	0.00	          3.04	          1.18	         66.58	   8.84㈢	         13.52	         11.07	          8.13	600126	--  	--  	--  	
