代码	名称	涨幅%%	涨速%%	细分行业	买量	最低	未匹配量	卖价	总量	现量	换手%%	振幅%%	最高	现价	每股收益	市盈(动)	总金额	量比	流通市值	地区	今开	均价	内盘	外盘	内外比	买价	卖量	强弱度%%	
600728	佳都科技	9.63	1.35	软件服务	5714	10.81	--  	11.27	1894057	17753	         11.81	4.86	11.31	11.27	0.070㈢	   121.49	2108389760	  2.24	        180.79亿	广东	11.31	11.13	1041367	852690	  1.22	11.26	1122	  8.51	
300099	精准信息	5.12	0.75	电器仪表	329	5.10	--  	5.34	276893	5013	          7.07	7.28	5.47	5.34	0.036㈢	   110.36	145772416	  1.51	         20.92亿	山东	5.10	5.26	124006	152887	  0.81	5.33	597	  2.75	
002161	远 望 谷	4.02	0.00	通信设备	1640	6.51	--  	6.74	571250	3472	          8.18	8.66	7.07	6.73	-0.107㈢	--  	380567776	  1.68	         47.01亿	深圳	6.54	6.66	269080	302170	  0.89	6.73	567	  1.65	
600495	晋西车轴	3.83	0.18	运输设备	1209	5.20	--  	5.43	623494	6936	          5.16	9.20	5.68	5.42	0.033㈢	   123.30	336629728	  1.37	         65.48亿	山西	5.27	5.40	278984	344509	  0.81	5.42	2511	  2.71	
300462	华铭智能	3.76	0.23	专用机械	273	16.58	--  	17.09	97278	862	         12.57	5.71	17.52	17.09	0.300㈢	    41.63	165909968	  1.48	         13.22亿	上海	16.58	17.06	45236	52041	  0.87	17.08	63	  1.40	
300024	机器人	3.35	0.17	专用机械	1010	17.00	--  	17.27	471214	3640	          3.11	4.49	17.75	17.27	0.211㈢	    61.38	820223168	  1.32	        261.40亿	辽宁	17.25	17.41	245281	225932	  1.09	17.26	2681	  0.99	
300213	佳讯飞鸿	2.95	0.00	通信设备	1576	7.53	--  	7.67	353994	2966	          9.18	5.10	7.91	7.67	0.113㈢	    50.77	272161280	  1.14	         29.59亿	北京	7.58	7.69	163487	190506	  0.86	7.66	510	  0.59	
300001	特锐德	2.80	-0.23	电气设备	268	24.18	--  	24.57	242963	1899	          2.63	6.49	25.73	24.57	0.144㈢	   127.96	605742912	  1.49	        227.20亿	山东	24.20	24.93	118675	124288	  0.95	24.56	80	  0.44	
600525	长园集团	2.62	0.14	电气设备	4221	6.91	--  	7.07	1272460	8316	          9.74	4.80	7.24	7.06	0.980㈢	     5.49	900597120	  0.81	         92.19亿	深圳	6.95	7.08	677358	595101	  1.14	7.06	2707	  1.49	
300427	红相股份	2.47	0.69	电气设备	4	13.88	--  	14.50	96873	918	          3.93	6.36	14.78	14.50	0.480㈢	    23.05	138495536	  1.21	         35.74亿	福建	14.21	14.30	50825	46047	  1.10	14.48	1794	  0.11	
