代码	名称	涨幅%	涨速%	细分行业	买量	最低	卖价	涨速%	总量	现量	换手%	振幅%	最高	现价	每股收益	市盈(动)	总金额	量比	流通市值	地区	今开	均价	内盘	外盘	内外比	买价	卖量	强弱度%	流通股(亿)	涨跌	AB股总市值	活跃度	未匹配量	笔均量	笔换手	财务更新	上市日期	总股本(亿)	B/A股(亿)	H股(亿)	总资产(亿)	净资产(亿)	少数股权(亿)	资产负债率%	流动资产(亿)	固定资产(亿)	无形资产(亿)	流动负债(亿)	资本公积金(亿)	存货(亿)	应收帐款(亿)	营业收入(亿)	营业成本(亿)	营业利润(亿)	投资收益(亿)	利润总额(亿)	税后利润(亿)	净利润(亿)	未分利润(亿)	经营现金流(亿)	总现金流(亿)	股东人数	人均持股	人均市值	利润同比%	收入同比%	市净率	市现率	市销率	昨收	每股净资	调整后净资	每股公积	每股未分配	权益比%	净益率%	毛利率%	营业利润率%	净利润率%	交易代码	自选日	自选价	自选收益%	
002936	郑州银行	-2.76	0.34	银行	19	5.90	6.00	0.34	675920	7702	         11.27	5.36	6.23	5.99	0.650㈢	     7.74	408183328	  0.52	         35.94亿	河南	6.12	6.04	370776	305143	  1.22	5.99	3390	 -0.94	          6.00	-0.17	        263.80亿	   3957	--  	    171	        0.0028	20181022	20180919	         59.22	--  	         15.18	4577.57	374.68	         12.11	91.55	0.00	18.80	6.13	0.00	51.64	0.00	0.00	80.39	0.00	43.91	15.39	43.95	34.76	34.36	110.49	-225.00	-126.84	401899.00	          1493	0.89万	0.00	0.00	          1.20	-1.58	4.41	6.16	          5.01	5.01	          0.87	          1.87	          8.19	   9.17㈢	--  	         54.62	         42.74	002936	--  	--  	--  	
601998	中信银行	0.16	0.32	银行	4783	6.29	6.35	0.32	519752	10882	          0.16	2.05	6.42	6.34	0.720㈢	     6.32	329956128	  0.58	       2022.79亿	北京	6.34	6.35	248794	270957	  0.92	6.34	4196	  1.36	        319.05	0.01	       2158.94亿	   3549	--  	    146	        0.0000	20181026	20070427	        489.35	--  	        148.82	58647.96	4241.48	        129.99	92.55	0.00	216.46	19.95	0.00	589.77	0.00	0.00	1213.84	0.00	459.53	127.80	460.15	374.72	367.99	1763.16	1772.32	-977.43	173469.00	        183924	116.61万	5.93	5.27	          0.80	1.75	2.56	6.33	          7.95	7.95	          1.21	          3.60	          7.23	   8.68㈢	--  	         37.86	         30.32	601998	--  	--  	--  	
601288	农业银行	-0.27	0.27	银行	48384	3.69	3.70	0.27	2997456	23200	          0.10	1.08	3.73	3.70	0.510㈢	     5.66	1112082304	  0.64	      10880.05亿	北京	3.70	3.71	1389348	1608107	  0.86	3.69	27816	  0.93	       2940.55	-0.01	      11812.04亿	   4401	--  	    681	        0.0000	20181031	20100715	       3499.83	--  	        307.39	227003.23	16303.80	         44.88	92.80	0.00	1492.50	235.78	0.00	1735.49	0.00	0.00	4574.48	0.00	2086.81	61.36	2100.51	1718.04	1716.11	6439.80	1123.87	214.05	420605.00	         87227	32.27万	7.25	12.01	          0.84	11.52	2.83	3.71	          4.43	4.43	          0.50	          1.84	          7.18	  10.53㈢	--  	         45.62	         37.51	601288	--  	--  	--  	
601988	中国银行	-0.26	0.26	银行	15898	3.77	3.79	0.26	1289656	17812	          0.06	1.58	3.83	3.79	0.500㈢	     5.46	489603264	  0.56	       7988.01亿	北京	3.80	3.80	681759	607896	  1.12	3.78	1748	  0.93	       2107.66	-0.01	       7988.01亿	   4199	--  	    307	        0.0000	20181030	20060705	       2943.88	--  	        836.22	209256.61	15786.58	       1104.22	91.93	0.00	2181.73	188.33	0.00	1421.26	0.00	0.00	3761.41	0.00	1946.92	109.72	1956.14	1627.48	1532.74	6987.00	5710.55	4285.38	745892.00	         29902	11.33万	5.34	3.32	          0.75	1.95	2.97	3.80	          5.02	5.02	          0.48	          2.37	          7.54	   9.71㈢	--  	         51.76	         40.75	601988	--  	--  	--  	
000001	平安银行	0.49	0.24	银行	315	12.27	12.43	0.24	1057468	10977	          0.62	2.83	12.62	12.43	1.390㈣	     8.60	1316372864	  0.71	       2134.26亿	深圳	12.33	12.45	513082	544385	  0.94	12.42	307	  2.30	        171.70	0.06	       2134.28亿	   4529	--  	    233	        0.0001	20190311	19910403	        171.70	--  	--  	34185.92	2400.42	          0.00	92.98	0.00	108.99	47.71	0.00	564.65	0.00	0.00	1167.16	0.00	323.05	91.86	322.31	248.18	248.18	950.37	-573.23	230.80	369119.00	         20617	25.63万	7.02	10.33	          0.97	-3.72	1.83	12.37	         12.82	12.82	          3.29	          5.53	          7.02	  10.34㈣	--  	         27.68	         21.26	000001	--  	--  	--  	
601398	工商银行	-0.18	0.18	银行	7716	5.54	5.57	0.18	2263956	18749	          0.08	1.25	5.61	5.57	0.672㈢	     6.21	1262154880	  0.72	      15017.40亿	北京	5.57	5.57	1082998	1180957	  0.92	5.56	23717	  1.02	       2696.12	-0.01	      15017.40亿	   4432	--  	    511	        0.0000	20181031	20061027	       3564.06	--  	        867.94	281981.34	22669.63	        138.98	91.91	0.00	2411.83	0.00	0.00	1519.54	0.00	0.00	5770.55	0.00	2943.55	126.55	2965.23	2401.20	2396.27	11939.37	8829.02	3284.49	557481.00	         40500	22.56万	5.10	7.71	          0.91	2.25	3.44	5.58	          6.12	6.12	          0.43	          3.35	          8.04	  10.57㈢	--  	         51.01	         41.53	601398	--  	--  	--  	
601328	交通银行	0.16	0.16	银行	10053	6.33	6.37	0.16	1075673	8231	          0.27	1.57	6.43	6.37	0.740㈢	     6.19	686662080	  0.75	       2500.28亿	上海	6.35	6.38	465071	610602	  0.76	6.36	4516	  1.36	        392.51	0.01	       2500.28亿	   4006	--  	    269	        0.0001	20181027	20070515	        742.63	--  	        350.12	93915.38	6824.58	         66.27	92.66	0.00	1431.78	30.89	0.00	1136.63	0.00	0.00	1578.32	0.00	664.98	78.41	665.27	576.73	573.04	1203.21	1262.88	-344.07	354454.00	        110736	70.54万	5.30	5.42	          0.76	3.75	3.00	6.36	          8.38	8.38	          1.53	          1.62	          7.27	   8.40㈢	--  	         42.13	         36.31	601328	--  	--  	--  	
601997	贵阳银行	-1.07	0.15	银行	1362	12.85	12.96	0.15	198012	2638	          1.60	2.83	13.22	12.95	1.624㈢	     5.98	257915920	  0.55	        160.45亿	贵州	13.03	13.03	109470	88541	  1.24	12.95	955	  0.13	         12.39	-0.14	        297.67亿	   2999	--  	     66	        0.0005	20190210	20160816	         22.99	--  	--  	4919.60	280.85	          9.83	94.09	0.00	24.10	1.35	0.00	48.62	0.00	0.00	91.25	0.00	41.17	1.63	41.22	37.96	37.34	136.73	-384.90	1.32	77812.00	         15923	20.62万	17.14	1.66	          1.00	-0.77	3.26	13.09	         12.98	12.98	          2.12	          5.95	          5.71	  13.29㈢	--  	         45.12	         40.92	601997	--  	--  	--  	
002839	张家港行	-2.45	0.15	银行	900	6.70	6.79	0.15	451139	4919	          5.26	5.47	7.08	6.78	0.356㈢	    14.30	309861728	  0.52	         58.20亿	江苏	6.95	6.87	250419	200720	  1.25	6.78	1139	 -0.63	          8.58	-0.17	        122.55亿	   3813	--  	    118	        0.0014	20190308	20170124	         18.08	--  	--  	1084.87	89.54	          1.14	91.64	0.00	5.97	0.91	0.00	8.66	0.00	0.00	21.57	0.00	6.84	1.42	6.86	6.46	6.43	14.90	-31.24	-29.33	107781.00	          7964	5.40万	15.31	16.80	          1.23	-3.92	5.68	6.95	          5.49	5.49	          0.48	          0.82	          8.25	   7.18㈢	--  	         31.73	         29.80	002839	20170222	18.39	-62.04	
600919	江苏银行	-3.58	0.14	银行	4979	6.98	7.02	0.14	952239	5474	          1.58	3.03	7.20	7.01	0.889㈢	     5.92	673884544	  1.00	        421.18亿	江苏	7.15	7.08	509326	442913	  1.15	7.01	5240	 -2.38	         60.08	-0.26	        809.27亿	   4258	--  	    224	        0.0004	20181030	20160802	        115.44	--  	--  	19393.39	1196.33	         18.11	93.74	0.00	53.25	6.16	0.00	160.75	0.00	0.00	260.69	0.00	114.53	24.49	113.66	103.86	102.58	350.01	-747.12	-147.73	199769.00	         30076	21.08万	11.67	1.92	          0.81	-1.08	3.10	7.27	          8.63	8.63	          1.39	          3.03	          6.17	   8.57㈢	--  	         43.93	         39.35	600919	--  	--  	--  	
601128	常熟银行	-3.51	0.13	银行	2052	7.61	7.71	0.13	361962	2858	          3.49	5.51	8.05	7.70	0.500㈢	    11.67	281519392	  0.44	         79.87亿	江苏	7.90	7.78	188175	173786	  1.08	7.70	616	 -2.31	         10.37	-0.28	        174.23亿	   3687	--  	     98	        0.0009	20190103	20160930	         22.63	--  	--  	1647.75	121.44	          6.88	92.21	0.00	9.97	1.65	0.00	6.92	0.00	0.00	42.80	0.00	15.55	1.81	15.51	12.07	11.20	25.10	9.97	-28.55	59829.00	         17336	13.35万	25.32	18.27	          1.41	17.47	4.07	7.98	          5.46	5.46	          0.31	          1.11	          7.37	   9.22㈢	--  	         36.32	         26.17	601128	--  	--  	--  	
601009	南京银行	-1.29	0.13	银行	1459	7.60	7.64	0.13	639893	4816	          0.75	2.45	7.79	7.64	1.011㈢	     5.67	492048672	  0.57	        648.04亿	江苏	7.70	7.69	338922	300970	  1.13	7.63	1934	 -0.09	         84.82	-0.10	        648.04亿	   4048	--  	    158	        0.0002	20181031	20070719	         84.82	--  	--  	12170.97	746.82	          9.30	93.79	0.00	75.40	3.37	0.00	132.42	0.00	0.00	201.91	0.00	101.66	9.70	101.39	86.61	85.74	269.28	178.62	-98.23	119180.00	         45046	34.41万	15.35	8.75	          1.00	3.63	3.21	7.74	          7.64	7.64	          1.56	          3.17	          6.14	  11.48㈢	--  	         50.35	         42.46	601009	--  	--  	--  	
