代码	名称	涨幅%%	涨速%%	细分行业	买量	最低	未匹配量	卖价	总量	现量	换手%%	振幅%%	最高	现价	每股收益	市盈(动)	总金额	量比	流通市值	地区	今开	均价	内盘	外盘	内外比	买价	卖量	强弱度%%	
300198	纳川股份	10.06	3.05	塑料	19520	3.37	--  	--  	1084356	74733	         14.49	10.36	3.72	3.72	0.006㈢	   503.87	389107936	  1.89	         27.84亿	福建	3.45	3.59	577814	506542	  1.14	3.72	0	  7.69	
002190	成飞集成	9.99	0.00	汽车配件	4364	18.85	--  	--  	240775	1497	          6.98	12.42	21.25	21.25	-0.278㈢	--  	481463296	  2.16	         73.35亿	四川	19.08	20.00	110469	130306	  0.85	21.25	0	  7.63	
002080	中材科技	9.51	0.00	化纤	689	11.74	--  	12.78	331059	1887	          5.17	9.43	12.84	12.78	0.578㈢	    16.60	413728704	  2.34	         81.79亿	江苏	11.80	12.50	155533	175525	  0.89	12.77	807	  7.15	
000068	华控赛格	8.43	0.74	元器件	5013	6.22	--  	6.83	1111996	16922	         11.05	10.49	6.88	6.82	-0.048㈢	--  	730340800	  1.08	         68.65亿	深圳	6.42	6.57	506082	605914	  0.84	6.82	7032	  6.06	
002371	北方华创	7.44	0.36	专用机械	7	52.00	--  	55.58	154521	1898	          4.30	9.47	56.90	55.58	0.368㈢	   113.21	851925248	  1.43	        199.72亿	北京	52.98	55.13	81285	73236	  1.11	55.57	225	  5.08	
002411	延安必康	6.81	-0.57	化学制药	109	20.57	--  	22.27	354822	2349	          2.97	11.37	22.94	22.27	0.393㈢	    42.46	776963776	  2.26	        266.38亿	陕西	20.88	21.90	164328	190494	  0.86	22.26	49	  4.45	
002217	合力泰	5.13	0.40	元器件	7065	7.26	--  	7.58	2162561	29375	          8.44	6.10	7.70	7.58	0.381㈢	    14.91	1621293184	  1.37	        194.15亿	山东	7.26	7.50	960298	1202262	  0.80	7.57	10649	  2.77	
600071	凤凰光学	5.12	1.26	元器件	56	10.86	--  	11.29	43149	1228	          1.82	7.17	11.63	11.29	-0.018㈢	--  	48315540	  1.30	         26.81亿	江西	11.02	11.20	28114	15034	  1.87	11.20	690	  4.00	
002850	科达利	4.85	0.07	机械基件	179	25.98	--  	26.83	45598	547	          4.91	5.36	27.35	26.82	0.209㈢	    96.47	121781176	  1.41	         24.92亿	深圳	25.98	26.71	22129	23468	  0.94	26.82	5	  2.48	
002076	雪 莱 特	4.84	0.82	家用电器	1785	3.51	--  	3.69	421045	9719	          9.45	5.41	3.70	3.68	-0.071㈢	--  	151757472	  1.52	         16.39亿	广东	3.53	3.60	159926	261118	  0.61	3.68	4841	  2.48	
002139	拓邦股份	4.81	0.18	元器件	4049	5.42	--  	5.66	492331	2170	          6.28	6.30	5.76	5.66	0.200㈢	    22.25	277222240	  1.45	         44.38亿	深圳	5.45	5.63	225113	267218	  0.84	5.65	5887	  2.45	
002759	天际股份	4.55	0.22	家用电器	15	8.41	--  	8.98	231123	1376	         12.29	10.14	9.28	8.97	0.108㈢	    62.03	203931712	  2.79	         16.87亿	广东	8.69	8.82	94103	137020	  0.69	8.97	187	  2.18	
002121	科陆电子	4.47	0.75	电器仪表	1031	5.20	--  	5.37	197683	5183	          2.18	3.50	5.38	5.37	0.014㈢	   286.34	104918840	  1.14	         48.63亿	深圳	5.25	5.31	93226	104457	  0.89	5.36	181	  2.11	
300450	先导智能	4.26	-0.63	专用机械	49	34.34	--  	35.71	215739	1265	          4.44	5.96	36.38	35.71	0.620㈢	    43.16	771617280	  1.12	        173.35亿	江苏	34.49	35.77	101404	114335	  0.89	35.70	13	  1.90	
002733	雄韬股份	4.10	0.16	电气设备	291	23.01	--  	24.63	312749	3485	          9.56	9.04	25.15	24.63	0.205㈢	    90.01	763062656	  0.76	         80.60亿	深圳	23.60	24.40	144307	168441	  0.86	24.62	48	  1.74	
300409	道氏技术	3.89	0.17	陶瓷	476	16.46	--  	17.38	198564	962	          8.45	10.35	18.19	17.37	0.550㈢	    27.51	344969248	  1.12	         40.82亿	广东	16.76	17.37	98190	100374	  0.98	17.37	30	  1.52	
603959	百利科技	3.78	1.10	建筑施工	30	21.98	--  	23.08	49028	514	          3.29	4.86	23.06	23.06	0.289㈢	    59.88	110986688	  0.88	         34.35亿	湖南	22.38	22.64	28705	20323	  1.41	23.06	1	  2.66	
002012	凯恩股份	3.63	1.68	造纸	55	4.63	--  	4.85	600862	6544	         12.87	5.77	4.90	4.85	0.040㈢	    91.86	286197856	  1.35	         22.65亿	浙江	4.63	4.76	294430	306432	  0.96	4.84	3871	  1.27	
002812	恩捷股份	3.56	-0.20	广告包装	14	58.70	--  	61.10	51011	166	          4.01	10.49	64.89	61.10	0.780㈢	    67.30	318464192	  1.32	         77.64亿	云南	59.00	62.43	22672	28338	  0.80	61.05	75	  1.19	
000826	启迪桑德	3.40	0.16	环境保护	41	11.76	--  	12.15	364504	4428	          3.07	6.21	12.49	12.15	0.540㈢	    15.37	443699264	  1.65	        144.30亿	湖北	11.90	12.17	184912	179592	  1.03	12.14	273	  1.04	
002741	光华科技	3.40	0.39	化工原料	158	14.99	--  	15.51	63623	653	          1.98	4.47	15.66	15.50	0.349㈢	    33.26	97847072	  1.31	         49.79亿	广东	15.09	15.38	27693	35929	  0.77	15.50	113	  1.04	
300586	美联新材	3.36	0.54	化工原料	435	14.26	--  	14.79	90867	1512	         14.87	4.76	14.94	14.78	0.264㈣	    56.04	132833984	  0.84	          9.03亿	广东	14.30	14.62	49762	41105	  1.21	14.78	33	  0.99	
002045	国光电器	3.30	0.85	元器件	2294	5.73	--  	5.95	302825	7065	          7.28	4.35	5.98	5.94	-0.150㈢	--  	177221968	  1.23	         24.69亿	广东	5.89	5.85	153106	149718	  1.02	5.94	1637	  0.94	
002611	东方精工	3.24	0.49	轻工机械	1099	4.03	--  	4.15	543784	4114	          4.90	4.24	4.20	4.14	0.188㈢	    16.50	225013920	  0.92	         45.99亿	广东	4.03	4.14	241421	302362	  0.80	4.14	5235	  0.88	
300444	双杰电气	3.18	-0.24	电气设备	1154	7.84	--  	8.10	223481	3156	          7.41	4.33	8.18	8.10	0.343㈢	    17.70	179465008	  0.97	         24.44亿	北京	7.88	8.03	108918	114563	  0.95	8.09	1671	  0.82	
000839	中信国安	3.03	0.00	综合类	9508	4.66	--  	4.76	1839058	22573	          4.69	6.06	4.94	4.76	0.001㈢	  2570.12	880746560	  0.93	        186.54亿	北京	4.76	4.79	916047	923010	  0.99	4.75	53	  0.67	
600678	四川金顶	2.95	0.14	水泥	238	7.06	--  	7.34	706928	6711	         20.26	8.71	7.68	7.33	0.089㈢	    61.82	519278976	  2.34	         25.58亿	四川	7.16	7.35	337788	369139	  0.92	7.33	2372	  1.83	
300457	赢合科技	2.75	0.03	专用机械	77	28.25	--  	28.81	103197	701	          5.44	3.35	29.19	28.80	0.600㈢	    39.05	297516256	  0.93	         54.65亿	深圳	28.28	28.83	49829	53368	  0.93	28.80	71	  0.38	
300648	星云股份	2.73	0.05	电器仪表	36	18.65	--  	19.20	47155	374	          7.85	4.39	19.47	19.20	0.250㈢	    79.48	90124792	  1.24	         11.53亿	福建	18.65	19.11	24011	23143	  1.04	19.19	208	  0.36	
300750	宁德时代	2.62	0.13	电气设备	19	90.73	--  	92.39	140369	723	          6.46	4.92	95.16	92.39	1.170㈢	    63.95	1306102144	  1.33	        200.71亿	福建	91.50	93.05	68447	71922	  0.95	92.38	117	  0.26	
600525	长园集团	2.62	0.14	电气设备	4221	6.91	--  	7.07	1272460	8316	          9.74	4.80	7.24	7.06	0.980㈢	     5.49	900597120	  0.81	         92.19亿	深圳	6.95	7.08	677358	595101	  1.14	7.06	2707	  1.49	
002074	国轩高科	2.57	0.23	电气设备	390	17.10	--  	17.53	409963	3262	          4.07	6.14	18.15	17.53	0.580㈢	    22.68	726047040	  1.46	        176.75亿	江苏	17.16	17.71	180859	229103	  0.79	17.52	1093	  0.21	
300317	珈伟新能	2.55	0.50	半导体	231	5.90	--  	6.04	301284	9248	          4.59	2.38	6.04	6.03	0.013㈢	   341.58	180142416	  0.92	         39.57亿	深圳	5.95	5.98	153399	147884	  1.04	6.03	2242	  0.19	
000969	安泰科技	2.50	-0.15	钢加工	120	6.01	--  	6.17	192745	955	          2.13	3.66	6.23	6.16	-0.078㈢	--  	118624928	  0.83	         55.74亿	北京	6.01	6.15	91710	101035	  0.91	6.16	241	  0.13	
300532	今天国际	2.48	0.29	软件服务	440	13.33	--  	14.05	86234	1470	          7.21	5.99	14.15	14.04	0.078㈢	   135.58	120194184	  1.10	         16.80亿	深圳	13.78	13.94	38721	47512	  0.81	14.04	216	  0.12	
600210	紫江企业	2.44	0.00	广告包装	5834	4.17	--  	4.20	664242	5637	          4.38	2.68	4.28	4.20	0.258㈢	    12.22	281140608	  0.87	         63.70亿	上海	4.24	4.23	321031	343211	  0.94	4.19	1315	  1.32	
002418	康盛股份	2.42	0.24	机械基件	1246	4.06	--  	4.25	820812	9075	          8.18	9.18	4.44	4.24	-0.008㈢	--  	347508224	  1.03	         42.55亿	浙江	4.15	4.23	387189	433623	  0.89	4.24	4492	  0.05	
300037	新宙邦	2.40	0.45	化工原料	116	28.23	--  	29.00	106313	605	          4.27	5.37	29.75	28.99	0.560㈢	    39.67	309867872	  0.88	         72.23亿	深圳	28.32	29.15	48765	57548	  0.85	28.99	223	  0.04	
002340	格林美	2.33	0.21	小金属	4800	4.76	--  	4.84	1471553	11587	          3.89	4.03	4.95	4.83	0.130㈢	    29.04	715116992	  1.15	        182.75亿	深圳	4.76	4.86	721628	749925	  0.96	4.83	4130	 -0.03	
000733	振华科技	2.30	-0.57	元器件	264	13.51	--  	13.78	137533	402	          2.93	3.57	13.99	13.77	0.450㈢	    25.15	189159872	  1.27	         64.63亿	贵州	13.56	13.75	64779	72754	  0.89	13.77	5	 -0.06	
002805	丰元股份	2.28	0.00	化工原料	146	15.85	--  	16.13	34270	329	          6.39	4.06	16.49	16.12	0.165㈢	    73.34	55557000	  1.13	          8.64亿	山东	15.85	16.21	19349	14920	  1.30	16.12	40	 -0.08	
600405	动力源	2.28	0.75	电气设备	49	5.29	--  	5.39	205531	3483	          3.71	3.23	5.46	5.39	-0.090㈢	--  	110347776	  1.00	         29.82亿	北京	5.31	5.37	106382	99148	  1.07	5.38	263	  1.16	
300568	星源材质	2.24	0.35	化工原料	117	30.62	--  	31.98	79780	320	          6.20	5.85	32.45	31.96	0.930㈢	    25.76	252804752	  0.89	         41.14亿	深圳	31.26	31.69	43217	36563	  1.18	31.96	119	 -0.13	
000404	长虹华意	2.23	-0.21	专用机械	919	4.49	--  	4.59	139271	529	          2.01	3.56	4.65	4.59	0.090㈢	    38.22	64007904	  0.97	         31.81亿	江西	4.49	4.60	61695	77576	  0.80	4.58	191	 -0.14	
300118	东方日升	2.15	0.53	半导体	129	9.40	--  	9.51	218332	903	          3.20	4.51	9.82	9.51	0.233㈢	    30.56	209426544	  0.81	         64.91亿	浙江	9.40	9.59	117996	100335	  1.18	9.50	3598	 -0.22	
002326	永太科技	2.13	0.00	化工原料	1601	8.91	--  	9.10	262612	2784	          4.88	4.71	9.33	9.10	0.485㈢	    14.06	239407840	  1.18	         49.00亿	浙江	9.03	9.12	121691	140921	  0.86	9.09	818	 -0.23	
300340	科恒股份	2.12	-0.16	元器件	1994	17.13	--  	17.34	177103	1520	         11.57	6.54	18.24	17.33	0.240㈢	    54.17	312690528	  1.33	         26.52亿	广东	18.20	17.66	95360	81743	  1.17	17.33	92	 -0.24	
600854	春兰股份	2.11	0.23	家用电器	461	4.27	--  	4.37	115452	904	          2.22	3.51	4.42	4.36	0.200㈢	    16.39	50386392	  1.39	         22.65亿	江苏	4.29	4.36	62240	53212	  1.17	4.36	2929	  0.99	
002426	胜利精密	2.03	0.28	元器件	3985	3.44	--  	3.52	1363912	13689	          6.32	6.09	3.65	3.52	0.089㈢	    29.59	483329472	  1.20	         75.95亿	江苏	3.49	3.54	660788	703124	  0.94	3.51	7346	 -0.34	
002239	奥特佳	2.01	0.40	汽车配件	10793	2.48	--  	2.54	925626	8195	          3.06	5.62	2.62	2.54	0.136㈢	    13.98	235839504	  0.93	         76.85亿	江苏	2.50	2.55	430239	495386	  0.87	2.53	4033	 -0.36	
